EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,4.55,4.55,4.55,4.55,181
20,4.595,4.595,4.595,4.595,300
52,4.62,4.62,4.62,4.62,165
64,4.65,4.65,4.65,4.65,100
76,4.62,4.62,4.62,4.62,100
138,4.64,4.64,4.64,4.64,100
140,4.63,4.63,4.62,4.62,200
172,4.63,4.63,4.63,4.63,100
210,4.67,4.69,4.64,4.66,2665
211,4.66,4.66,4.66,4.66,200
215,4.68,4.68,4.68,4.68,100
218,4.66,4.66,4.66,4.66,1000
219,4.661,4.661,4.661,4.661,1085
224,4.72,4.72,4.7,4.7,1100
232,4.74,4.74,4.72,4.72,500
233,4.74,4.74,4.74,4.74,100
244,4.8,4.8,4.79,4.8,400
251,4.745,4.76,4.745,4.7501,3700
252,4.75,4.75,4.745,4.75,1200
253,4.75,4.75,4.75,4.75,900
280,4.75,4.75,4.75,4.75,100
284,4.75,4.75,4.75,4.75,400
289,4.79,4.79,4.79,4.79,100
306,4.76,4.76,4.76,4.76,100
317,4.775,4.775,4.775,4.775,100
333,4.76,4.76,4.76,4.76,100
336,4.77,4.77,4.77,4.77,100
337,4.76,4.76,4.76,4.76,100
340,4.75,4.75,4.75,4.75,269
347,4.76,4.76,4.76,4.76,200
351,4.7628,4.7628,4.7628,4.7628,300
352,4.76,4.7628,4.76,4.7628,500
355,4.75,4.75,4.75,4.75,146
356,4.75,4.75,4.75,4.75,100
358,4.75,4.75,4.75,4.75,200
361,4.76,4.76,4.75,4.75,300
365,4.75,4.76,4.75,4.75,500
366,4.755,4.755,4.755,4.755,100
367,4.76,4.76,4.76,4.76,700
370,4.76,4.76,4.76,4.76,100
371,4.75,4.75,4.75,4.75,200
375,4.75,4.76,4.75,4.76,300
376,4.7598,4.7598,4.7598,4.7598,100
377,4.75,4.75,4.75,4.75,400
379,4.75,4.75,4.75,4.75,300
382,4.75,4.75,4.75,4.75,200
384,4.75,4.75,4.75,4.75,100
385,4.75,4.75,4.75,4.75,200
387,4.75,4.75,4.75,4.75,600
388,4.75,4.78,4.75,4.75,700
390,4.76,4.76,4.75,4.75,700
a1520346600,4.79,4.79,4.79,4.79,267
32,4.8,4.8,4.8,4.8,200
33,4.78,4.78,4.78,4.78,100
38,4.8,4.8,4.8,4.8,200
39,4.78,4.79,4.78,4.79,200
52,4.78,4.78,4.78,4.78,200
63,4.78,4.78,4.78,4.78,100
77,4.77,4.77,4.77,4.77,100
82,4.76,4.76,4.76,4.76,200
86,4.75,4.75,4.75,4.75,200
94,4.75,4.75,4.7299,4.7299,500
105,4.75,4.78,4.75,4.78,1000
106,4.7245,4.7245,4.7245,4.7245,200
108,4.7372,4.7372,4.7372,4.7372,350
123,4.7,4.74,4.7,4.7379,455
126,4.75,4.75,4.75,4.75,100
128,4.76,4.76,4.76,4.76,100
132,4.69,4.75,4.69,4.75,2505
133,4.75,4.75,4.75,4.75,100
135,4.76,4.77,4.76,4.76,410
140,4.69,4.75,4.69,4.75,3700
151,4.77,4.77,4.69,4.69,200
153,4.735,4.735,4.735,4.735,300
156,4.76,4.76,4.76,4.76,120
169,4.73,4.77,4.73,4.77,500
174,4.77,4.77,4.77,4.77,100
178,4.75,4.75,4.75,4.75,200
180,4.75,4.75,4.75,4.75,100
191,4.78,4.78,4.78,4.78,200
198,4.7679,4.7679,4.7679,4.7679,115
207,4.75,4.77,4.75,4.77,200
212,4.77,4.77,4.77,4.77,250
248,4.72,4.75,4.72,4.75,1560
252,4.735,4.735,4.735,4.735,300
268,4.68,4.68,4.68,4.68,100
308,4.7375,4.7375,4.7375,4.7375,100
317,4.74,4.74,4.725,4.74,400
324,4.75,4.75,4.75,4.75,200
332,4.75,4.75,4.73,4.73,700
338,4.73,4.73,4.73,4.73,100
350,4.75,4.75,4.75,4.75,100
354,4.735,4.735,4.735,4.735,100
355,4.75,4.75,4.75,4.75,100
356,4.75,4.75,4.75,4.75,100
361,4.73,4.75,4.73,4.75,400
364,4.71,4.73,4.71,4.73,700
365,4.74,4.74,4.71,4.71,600
370,4.74,4.74,4.74,4.74,100
375,4.7,4.74,4.7,4.74,200
389,4.74,4.74,4.74,4.74,100
390,4.68,4.71,4.68,4.71,500
a1520433420,4.7,4.7,4.69,4.691,1221
34,4.7,4.7,4.7,4.7,400
54,4.65,4.65,4.65,4.65,100
87,4.73,4.73,4.73,4.73,100
144,4.73,4.73,4.72,4.72,200
145,4.67,4.67,4.67,4.67,100
152,4.7,4.7,4.7,4.7,250
174,4.7,4.7,4.7,4.7,100
204,4.7,4.7,4.7,4.7,100
207,4.65,4.65,4.65,4.65,100
211,4.67,4.67,4.655,4.655,1100
212,4.67,4.67,4.65,4.65,300
213,4.66,4.66,4.66,4.66,100
222,4.66,4.66,4.66,4.66,100
236,4.69,4.69,4.66,4.66,200
237,4.67,4.67,4.67,4.67,100
240,4.68,4.68,4.68,4.68,100
253,4.72,4.72,4.69,4.69,500
258,4.72,4.72,4.72,4.72,100
259,4.69,4.69,4.69,4.69,100
264,4.69,4.69,4.69,4.69,200
265,4.66,4.66,4.66,4.66,100
266,4.71,4.71,4.71,4.71,200
271,4.71,4.71,4.71,4.71,200
277,4.69,4.69,4.69,4.69,300
278,4.69,4.725,4.69,4.725,200
292,4.75,4.75,4.74,4.74,300
294,4.74,4.74,4.69,4.69,200
296,4.73,4.73,4.69,4.69,300
302,4.74,4.74,4.74,4.74,100
308,4.73,4.73,4.73,4.73,200
310,4.7,4.7,4.69,4.69,200
316,4.73,4.73,4.73,4.73,100
317,4.7,4.73,4.67,4.73,1600
318,4.65,4.65,4.65,4.65,200
326,4.69,4.69,4.69,4.69,100
330,4.72,4.72,4.72,4.72,200
331,4.7,4.7,4.7,4.7,200
336,4.7,4.72,4.7,4.72,700
340,4.695,4.695,4.695,4.695,100
341,4.66,4.66,4.66,4.66,100
344,4.73,4.73,4.695,4.695,200
349,4.68,4.68,4.68,4.68,100
353,4.74,4.74,4.74,4.74,176
354,4.74,4.74,4.74,4.74,200
355,4.68,4.68,4.68,4.68,100
358,4.73,4.73,4.73,4.73,100
360,4.74,4.74,4.74,4.74,300
361,4.7,4.7,4.7,4.7,400
362,4.65,4.65,4.65,4.65,100
363,4.72,4.72,4.7,4.7,200
368,4.73,4.73,4.73,4.73,100
369,4.65,4.65,4.65,4.65,100
371,4.725,4.725,4.725,4.725,100
