EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,11.91,11.91,11.91,11.91,5251
1,11.91,11.91,11.91,11.91,133
2,11.93,11.93,11.92,11.92,1500
3,11.93,11.93,11.93,11.93,900
4,11.94,11.94,11.93,11.93,3400
5,11.93,11.93,11.93,11.93,200
7,11.9399,11.94,11.9399,11.94,8395
8,11.9339,11.9339,11.9339,11.9339,456
10,11.93,11.93,11.93,11.93,815
11,11.9339,11.9339,11.9339,11.9339,800
12,11.9399,11.94,11.9377,11.9377,4509
13,11.9467,11.9467,11.9467,11.9467,1600
16,11.9484,11.9484,11.945,11.945,305
18,11.9438,11.95,11.9438,11.95,1698
19,11.94,11.94,11.94,11.94,515
20,11.9468,11.9468,11.94,11.94,1400
22,11.9494,11.9494,11.9494,11.9494,2000
23,11.94,11.94,11.94,11.94,200
25,11.9459,11.9459,11.9459,11.9459,148
27,11.95,11.9518,11.945,11.945,9325
28,11.9465,11.9465,11.9465,11.9465,1000
29,11.9433,11.9433,11.9433,11.9433,500
30,11.94,11.945,11.94,11.945,400
32,11.94,11.945,11.94,11.945,200
40,11.95,11.95,11.95,11.95,500
46,11.94,11.945,11.94,11.94,4104
49,11.9438,11.9438,11.9438,11.9438,460
55,11.9435,11.9435,11.9435,11.9435,1000
56,11.95,11.95,11.95,11.95,600
57,11.94,11.94,11.94,11.94,500
58,11.94,11.94,11.94,11.94,150
59,11.949,11.949,11.945,11.945,400
63,11.9438,11.9438,11.9438,11.9438,100
64,11.944,11.944,11.944,11.944,450
65,11.93,11.941,11.93,11.941,3425
67,11.9338,11.9338,11.9338,11.9338,1000
68,11.94,11.94,11.9399,11.9399,6730
71,11.95,11.95,11.9499,11.95,8818
72,11.96,11.9678,11.953,11.96,7700
73,11.9636,11.9636,11.9636,11.9636,491
76,11.97,11.97,11.965,11.965,200
81,11.96,11.9699,11.96,11.965,3500
82,11.96,11.961,11.96,11.961,1200
87,11.9599,11.9599,11.9599,11.9599,100
92,11.9501,11.9501,11.9501,11.9501,175
94,11.96,11.96,11.96,11.96,1000
98,11.95,11.951,11.95,11.951,752
100,11.955,11.96,11.95,11.955,2800
101,11.95,11.953,11.95,11.953,1300
103,11.95,11.9572,11.95,11.9572,3700
104,11.955,11.96,11.95,11.955,6802
105,11.96,11.96,11.955,11.955,500
108,11.96,11.96,11.96,11.96,400
110,11.96,11.96,11.96,11.96,359
114,11.96,11.96,11.9514,11.9514,2901
118,11.9533,11.9533,11.9533,11.9533,727
121,11.9567,11.9567,11.9567,11.9567,254
124,11.95,11.95,11.95,11.95,300
125,11.95,11.953,11.95,11.953,6395
129,11.951,11.951,11.951,11.951,600
130,11.95,11.9501,11.95,11.9501,935
134,11.95,11.96,11.95,11.96,304
140,11.954,11.954,11.954,11.954,213
141,11.95,11.95,11.95,11.95,100
152,11.95,11.95,11.95,11.95,100
154,11.94,11.959,11.94,11.9538,3130
158,11.93,11.94,11.93,11.94,2113
162,11.9399,11.9399,11.9399,11.9399,100
165,11.9301,11.9301,11.9301,11.9301,185
169,11.94,11.94,11.94,11.94,476
171,11.9399,11.9399,11.9399,11.9399,300
176,11.9337,11.9337,11.93,11.93,10200
177,11.9349,11.9349,11.9349,11.9349,237
179,11.931,11.931,11.931,11.931,1000
181,11.9368,11.9368,11.9368,11.9368,1700
183,11.9399,11.9399,11.9399,11.9399,5000
186,11.93,11.93,11.93,11.93,3400
188,11.935,11.935,11.935,11.935,1000
190,11.9339,11.9339,11.9339,11.9339,1000
195,11.9399,11.9399,11.9399,11.9399,100
197,11.9399,11.94,11.9399,11.94,800
206,11.9366,11.9366,11.9366,11.9366,500
212,11.934,11.934,11.9325,11.9325,2993
214,11.94,11.94,11.94,11.94,100
221,11.935,11.935,11.935,11.935,100
224,11.94,11.94,11.94,11.94,440
234,11.95,11.95,11.95,11.95,301
248,11.9412,11.9412,11.9412,11.9412,2738
250,11.95,11.95,11.95,11.95,300
251,11.9462,11.95,11.9462,11.95,250
255,11.94,11.9472,11.94,11.9472,1042
258,11.9401,11.9501,11.9401,11.9501,5837
259,11.94,11.941,11.94,11.94,6115
261,11.94,11.94,11.94,11.94,100
263,11.94,11.94,11.94,11.94,100
264,11.9368,11.9378,11.9368,11.9378,5554
271,11.9349,11.9349,11.9349,11.9349,1000
274,11.943,11.943,11.943,11.943,1673
292,11.93,11.93,11.93,11.93,200
293,11.9301,11.9301,11.92,11.92,2000
295,11.92,11.9272,11.92,11.9272,400
300,11.9298,11.9298,11.9298,11.9298,280
303,11.93,11.93,11.93,11.93,400
310,11.93,11.93,11.93,11.93,159
315,11.9285,11.9285,11.92,11.92,7512
316,11.9339,11.9339,11.9339,11.9339,100
318,11.9399,11.9399,11.9399,11.9399,5000
319,11.92,11.9201,11.91,11.9201,14575
320,11.92,11.92,11.92,11.92,500
324,11.938,11.938,11.93,11.93,264
325,11.9337,11.9337,11.9337,11.9337,168
328,11.93,11.939,11.93,11.93,7900
330,11.9298,11.9298,11.9298,11.9298,100
333,11.9399,11.9399,11.9399,11.9399,4000
337,11.9298,11.9298,11.9298,11.9298,292
339,11.94,11.94,11.93,11.93,1000
342,11.93,11.93,11.93,11.93,500
345,11.93,11.93,11.93,11.93,500
346,11.922,11.922,11.922,11.922,180
349,11.9316,11.9316,11.9316,11.9316,5000
354,11.9312,11.9312,11.9312,11.9312,302
365,11.9299,11.93,11.9219,11.925,519
366,11.9251,11.9251,11.9251,11.9251,418
367,11.9299,11.9299,11.9299,11.9299,100
368,11.9277,11.9277,11.9277,11.9277,5000
369,11.9299,11.93,11.9299,11.93,2800
378,11.9361,11.9361,11.9361,11.9361,229
388,11.93,11.935,11.93,11.935,846
389,11.939,11.939,11.939,11.939,1000
390,11.93,11.936,11.93,11.93,1033
a1520346600,11.95,11.95,11.95,11.95,5910
1,11.96,11.96,11.95,11.95,450
2,11.98,11.98,11.9461,11.97,1971
3,11.98,11.98,11.98,11.98,300
4,11.98,11.98,11.9681,11.9681,1100
5,11.98,11.98,11.98,11.98,100
7,11.97,11.97,11.97,11.97,948
8,11.97,11.97,11.96,11.96,400
9,11.97,11.97,11.97,11.97,300
13,11.96,11.96,11.96,11.96,3342
18,11.9636,11.969,11.9636,11.969,400
20,11.97,11.97,11.97,11.97,1100
21,11.961,11.961,11.961,11.961,3000
23,11.9698,11.9698,11.962,11.962,1285
