EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520347800,7.5913,7.5913,7.59,7.59,3078
34,7.5798,7.5798,7.5798,7.5798,200
340,7.5801,7.5801,7.5801,7.5801,161
345,7.6,7.6,7.6,7.6,273
a1520443560,7.5675,7.5675,7.56,7.56,1500
85,7.5603,7.5603,7.5,7.56,2960
109,7.41,7.41,7.41,7.41,150
134,7.4452,7.4452,7.4452,7.4452,200
a1520522880,7.41,7.42,7.41,7.42,1150
85,7.35,7.35,7.35,7.35,200
264,7.34,7.34,7.34,7.34,700
269,7.343,7.343,7.34,7.34,380
324,7.34,7.34,7.34,7.34,200
332,7.34,7.34,7.34,7.34,100
a1520622300,7.1944,7.22,7.1944,7.22,6784
TIMEZONE_OFFSET=-240
a1520958120,7.26,7.26,7.2599,7.2599,500
88,7.29,7.29,7.29,7.29,100
a1521045360,7.2178,7.2182,7.2178,7.2182,418
29,7.28,7.28,7.28,7.28,400
30,7.28,7.28,7.28,7.28,300
167,7.29,7.29,7.29,7.29,300
a1521125700,7.2471,7.2471,7.2471,7.2471,300
186,7.2228,7.2228,7.2228,7.2228,658
206,7.25,7.25,7.2141,7.2141,700
284,7.2,7.2499,7.2,7.2499,600
294,7.25,7.25,7.25,7.25,1100
295,7.25,7.25,7.25,7.25,1050
a1521220200,7.275,7.2999,7.275,7.2999,960
a1521471960,7.29,7.29,7.29,7.29,100
2,7.274,7.274,7.274,7.274,1000
48,7.28,7.28,7.28,7.28,200
91,7.2999,7.2999,7.2999,7.2999,1500
94,7.36,7.36,7.2983,7.3,2710
169,7.354,7.354,7.354,7.354,1000
242,7.3,7.3,7.3,7.3,100
283,7.35,7.35,7.35,7.35,100
294,7.31,7.31,7.31,7.31,200
a1521554400,7.35,7.35,7.35,7.35,100
93,7.35,7.35,7.35,7.35,100
114,7.35,7.35,7.35,7.35,100
a1521655080,7.39,7.39,7.39,7.39,100
28,7.39,7.39,7.39,7.39,100
32,7.4,7.4,7.4,7.4,200
110,7.38,7.38,7.38,7.38,100
a1521732240,7.3,7.35,7.29,7.35,825
112,7.35,7.35,7.32,7.32,4000
113,7.35,7.35,7.35,7.35,750
162,7.295,7.295,7.29,7.29,400
175,7.295,7.295,7.29,7.29,400
187,7.3,7.3,7.3,7.3,400
213,7.28,7.28,7.28,7.28,800
226,7.28,7.28,7.28,7.28,800
239,7.28,7.28,7.28,7.28,800
253,7.28,7.28,7.28,7.28,800
257,7.28,7.28,7.28,7.28,700
260,7.28,7.28,7.28,7.28,200
261,7.28,7.28,7.28,7.28,200
a1521833700,7.2946,7.2946,7.2946,7.2946,500
18,7.37,7.37,7.37,7.37,100
