EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,59.53,59.53,59.53,59.53,744
19,59.52,59.86,59.52,59.59,800
20,59.3,59.54,59.3,59.54,300
21,59.31,59.31,59.31,59.31,100
23,59.36,59.36,59.36,59.36,200
24,59.32,59.35,59.32,59.35,200
26,59.43,59.43,59.34,59.34,700
27,59.27,59.27,59.27,59.27,100
33,59.07,59.26,59.07,59.26,400
35,59.03,59.03,59.03,59.03,100
36,59.21,59.21,59.21,59.21,100
37,59.21,59.21,59.1775,59.1775,300
38,59.25,59.25,59.24,59.24,300
39,59.46,59.46,59.28,59.28,300
41,59.33,59.33,59.33,59.33,100
42,59.21,59.29,59.21,59.29,800
44,59.0562,59.0562,59.0562,59.0562,208
46,59.16,59.16,59.16,59.16,500
47,59.3,59.3,59.29,59.29,200
50,59.33,59.33,59.33,59.33,100
53,59.47,59.47,59.47,59.47,100
61,59.4,59.4,59.4,59.4,400
65,59.22,59.22,59.22,59.22,100
67,59.35,59.35,59.35,59.35,415
68,59.4,59.4,59.4,59.4,100
71,59.47,59.5,59.47,59.5,550
73,59.325,59.325,59.325,59.325,165
75,59.4102,59.4102,59.33,59.33,600
77,59.35,59.35,59.34,59.34,200
80,59.3,59.3,59.29,59.29,200
90,59.6152,59.6152,59.6152,59.6152,198
92,59.71,59.72,59.71,59.72,200
101,59.9,59.9,59.9,59.9,100
105,59.77,59.82,59.77,59.82,700
107,59.76,59.76,59.73,59.73,200
110,59.7799,59.7799,59.66,59.66,472
111,59.8,59.8,59.75,59.75,374
115,59.98,59.98,59.98,59.98,200
116,59.99,59.99,59.96,59.98,400
117,59.99,60,59.99,60,300
118,60.09,60.09,59.99,59.99,1708
119,59.9713,60.1,59.9713,60.1,200
121,60.135,60.135,60.135,60.135,100
122,60.08,60.08,60.08,60.08,300
123,60.0825,60.0825,60.05,60.05,200
124,59.99,59.99,59.98,59.98,400
127,60.01,60.01,60.01,60.01,100
131,60.22,60.22,60.11,60.11,300
140,60.12,60.21,60.12,60.19,500
146,60.0476,60.0476,60.0476,60.0476,130
147,60.08,60.08,60.01,60.04,500
149,60.08,60.2,60.01,60.01,700
153,60.15,60.15,60.15,60.15,100
156,60.24,60.24,60.24,60.24,200
161,60.32,60.32,60.32,60.32,100
163,60.21,60.24,60.21,60.24,300
167,60.2,60.2,60.2,60.2,400
168,60.055,60.055,60.055,60.055,100
170,60.07,60.07,60.07,60.07,100
180,60.09,60.09,60.08,60.08,600
182,60.02,60.02,60.02,60.02,100
186,60.06,60.06,60.06,60.06,100
197,60.04,60.04,60.04,60.04,100
206,60.1,60.1,60.1,60.1,300
207,60.1,60.1,60.1,60.1,100
211,60.13,60.13,60.13,60.13,100
212,60.17,60.17,60.17,60.17,100
214,60.14,60.14,60.14,60.14,100
215,60.22,60.22,60.22,60.22,100
217,60.18,60.18,60.15,60.18,400
218,60.21,60.21,60.105,60.105,200
222,60.1,60.12,60.1,60.12,200
224,60.22,60.22,60.22,60.22,100
228,60.1848,60.1848,60.1848,60.1848,400
232,60.22,60.23,60.2,60.2,500
233,60.24,60.24,60.185,60.185,200
235,60.27,60.27,60.26,60.26,300
237,60.3,60.3,60.3,60.3,100
239,60.22,60.24,60.22,60.22,800
242,60.06,60.14,60.03,60.14,700
243,59.95,60.03,59.95,60.025,300
244,60.06,60.21,60.06,60.08,600
250,60.13,60.13,60.13,60.13,100
251,60.18,60.18,60.18,60.18,100
253,60.22,60.22,60.22,60.22,200
254,60.315,60.315,60.28,60.28,200
255,60.2,60.27,60.2,60.26,500
257,60.14,60.205,60.14,60.205,200
258,60.075,60.075,60.075,60.075,100
259,60.09,60.09,60.09,60.09,100
260,60.16,60.16,60.16,60.16,100
262,60.1831,60.1831,60.182,60.182,311
263,60.2,60.22,60.1715,60.21,1142
264,60.26,60.26,60.26,60.26,100
267,60.305,60.305,60.26,60.26,500
268,60.315,60.315,60.315,60.315,100
271,60.22,60.29,60.22,60.29,500
272,60.3,60.3,60.29,60.29,200
273,60.2,60.215,60.2,60.215,200
274,60.245,60.245,60.245,60.245,100
275,60.21,60.21,60.2,60.2,1111
277,60.06,60.17,60.06,60.17,400
279,60.06,60.06,60.06,60.06,200
281,60.11,60.11,60.06,60.06,1000
283,60.05,60.06,60.05,60.06,300
284,60,60,60,60,100
289,59.98,59.98,59.98,59.98,100
290,59.88,59.95,59.88,59.95,1020
293,59.93,59.95,59.93,59.94,400
294,59.98,59.98,59.98,59.98,100
296,60.045,60.095,60.03,60.03,800
298,59.99,60.06,59.99,60.06,600
299,59.94,59.98,59.94,59.98,700
300,59.92,59.94,59.92,59.94,400
307,59.86,59.94,59.86,59.94,500
308,59.94,59.95,59.94,59.94,1000
309,59.96,59.96,59.915,59.915,500
313,59.95,59.95,59.95,59.95,100
314,59.99,59.99,59.95,59.95,200
317,60.03,60.03,59.96,59.99,500
318,59.955,59.955,59.955,59.955,100
321,60.1,60.1,60.07,60.07,200
322,60,60.04,60,60.04,426
323,60.045,60.045,60.045,60.045,100
324,60.0448,60.0448,60.0448,60.0448,172
327,60.0283,60.0283,60.0283,60.0283,108
328,60.16,60.16,60.09,60.09,500
329,60.08,60.09,60.08,60.08,300
330,60.11,60.16,60.11,60.16,400
332,60.162,60.162,60.162,60.162,150
334,60.22,60.22,60.19,60.19,200
336,60.27,60.27,60.24,60.26,500
337,60.26,60.26,60.26,60.26,100
338,60.255,60.255,60.255,60.255,100
340,60.18,60.29,60.16,60.29,2136
345,60.26,60.26,60.26,60.26,100
346,60.19,60.19,60.19,60.19,600
348,60.16,60.16,60.16,60.16,100
350,60.24,60.24,60.22,60.23,1000
351,60.27,60.27,60.24,60.24,200
353,60.32,60.32,60.32,60.32,100
354,60.43,60.43,60.43,60.43,100
355,60.43,60.43,60.43,60.43,100
357,60.31,60.37,60.31,60.37,1156
359,60.38,60.38,60.38,60.38,100
361,60.29,60.38,60.29,60.38,200
362,60.41,60.41,60.4,60.4,200
363,60.365,60.365,60.365,60.365,100
364,60.42,60.42,60.42,60.42,200
365,60.47,60.47,60.46,60.46,200
366,60.46,60.46,60.46,60.46,300
367,60.45,60.45,60.45,60.45,100
368,60.46,60.46,60.46,60.46,100
369,60.46,60.46,60.45,60.45,300
370,60.435,60.435,60.435,60.435,100
371,60.4,60.46,60.4,60.45,1100
372,60.4,60.4,60.4,60.4,100
