EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,22.1,22.1,22.07,22.07,2179
8,22.085,22.085,22.085,22.085,850
13,22.09,22.09,22.09,22.09,300
21,22.08,22.08,22.08,22.08,100
23,22.08,22.08,22.08,22.08,100
25,22.08,22.08,22.08,22.08,100
26,22.094,22.1,22.094,22.1,900
33,22.08,22.08,22.08,22.08,100
34,22.11,22.11,22.1,22.1,1025
41,22.1,22.1,22.1,22.1,100
43,22.1,22.1,22.1,22.1,100
45,22.11,22.11,22.1,22.1,1050
47,22.1,22.1,22.1,22.1,100
49,22.1,22.1,22.1,22.1,100
51,22.1,22.1,22.1,22.1,100
53,22.1,22.1001,22.1,22.1001,700
54,22.1066,22.1066,22.1066,22.1066,295
55,22.1,22.1,22.1,22.1,100
56,22.105,22.1099,22.105,22.105,400
57,22.1,22.1,22.1,22.1,100
58,22.1,22.1,22.09,22.1,1200
60,22.08,22.08,22.08,22.08,500
61,22.08,22.08,22.08,22.08,100
63,22.08,22.08,22.08,22.08,100
65,22.07,22.07,22.07,22.07,100
67,22.07,22.07,22.07,22.07,100
68,22.085,22.085,22.085,22.085,100
69,22.07,22.07,22.07,22.07,100
71,22.07,22.07,22.07,22.07,100
73,22.07,22.07,22.07,22.07,100
75,22.0922,22.0922,22.0922,22.0922,245
76,22.08,22.08,22.08,22.08,100
78,22.08,22.0898,22.08,22.0898,250
80,22.08,22.08,22.08,22.08,100
82,22.08,22.08,22.08,22.08,100
84,22.08,22.08,22.08,22.08,100
86,22.08,22.08,22.08,22.08,100
87,22.1,22.1,22.1,22.1,100
91,22.08,22.08,22.08,22.08,100
93,22.08,22.08,22.08,22.08,100
95,22.08,22.08,22.08,22.08,100
96,22.08,22.0999,22.08,22.09,700
98,22.0902,22.0902,22.0902,22.0902,200
99,22.08,22.08,22.08,22.08,100
100,22.09,22.11,22.089,22.09,12974
101,22.105,22.105,22.105,22.105,100
111,22.09,22.09,22.09,22.09,300
114,22.1202,22.13,22.12,22.12,3425
115,22.1399,22.1399,22.1208,22.1208,1899
119,22.135,22.14,22.1319,22.1319,1400
121,22.11,22.12,22.11,22.12,400
125,22.13,22.13,22.13,22.13,100
131,22.09,22.09,22.09,22.09,100
132,22.08,22.08,22.08,22.08,250
133,22.08,22.1037,22.08,22.1037,1100
134,22.1,22.1,22.1,22.1,116
137,22.08,22.08,22.08,22.08,200
141,22.08,22.08,22.08,22.08,100
144,22.08,22.08,22.0701,22.0701,1700
146,22.08,22.1,22.08,22.1,200
148,22.0873,22.1,22.0873,22.1,300
149,22.08,22.08,22.08,22.08,100
150,22.081,22.081,22.081,22.081,4130
151,22.08,22.08,22.08,22.08,100
152,22.1,22.1,22.09,22.0999,5000
153,22.08,22.08,22.08,22.08,100
156,22.08,22.08,22.08,22.08,200
158,22.08,22.08,22.08,22.08,300
159,22.06,22.0811,22.06,22.08,1900
160,22.08,22.08,22.08,22.08,100
161,22.0799,22.0799,22.0799,22.0799,200
163,22.06,22.06,22.06,22.06,100
164,22.0709,22.0709,22.0709,22.0709,200
166,22.06,22.06,22.06,22.06,100
168,22.06,22.06,22.06,22.06,100
170,22.072,22.072,22.06,22.06,326
171,22.06,22.06,22.06,22.06,100
172,22.06,22.06,22.06,22.06,100
173,22.061,22.061,22.06,22.06,1506
174,22.0799,22.0799,22.0799,22.0799,500
175,22.06,22.061,22.06,22.061,1600
176,22.06,22.06,22.06,22.06,100
177,22.0699,22.0699,22.0699,22.0699,1000
178,22.06,22.06,22.06,22.06,100
181,22.05,22.06,22.05,22.06,750
182,22.04,22.04,22.04,22.04,100
184,22.02,22.02,22.02,22.02,100
185,22.041,22.041,22.041,22.041,1000
186,22.02,22.02,22.02,22.02,100
188,22.0271,22.0271,22.0271,22.0271,200
189,22.02,22.02,22.02,22.02,100
192,22.02,22.02,22.02,22.02,100
194,22.02,22.02,22.02,22.02,100
197,22.03,22.03,22.02,22.02,200
200,22.02,22.02,22.02,22.02,100
202,22.02,22.02,22.02,22.02,100
203,22.0204,22.0204,22.0204,22.0204,213
204,22.02,22.0214,22.02,22.02,300
205,22.02,22.02,22.02,22.02,100
208,22.02,22.02,22.02,22.02,100
209,22.0399,22.04,22.03,22.03,1500
211,22.02,22.02,22.02,22.02,100
214,22.02,22.03,22.02,22.0201,2803
215,22.0242,22.0242,22.0242,22.0242,385
217,22,22,22,22,100
220,22,22,22,22,100
221,22.03,22.03,22.012,22.012,1600
222,22.039,22.039,22.039,22.039,900
223,22,22,22,22,100
225,22.019,22.019,22.019,22.019,1000
228,22,22,22,22,100
231,22,22,22,22,100
233,22.0148,22.0148,22.0148,22.0148,425
234,22,22,22,22,100
236,22.015,22.015,22,22,2100
237,22,22,22,22,100
239,22.021,22.021,22.021,22.021,1000
240,22.03,22.03,22,22,200
244,22.0162,22.0162,22.0162,22.0162,200
246,22.015,22.015,22.01,22.01,200
248,22.012,22.012,22.012,22.012,1528
249,22.01,22.01,22.01,22.01,100
252,22.01,22.01,22.01,22.01,100
254,22.01,22.015,22.01,22.015,200
255,22.0299,22.0299,22,22.0001,3532
257,22,22,22,22,100
258,22,22.015,21.99,22.015,10685
259,21.995,21.995,21.995,21.995,100
260,21.98,21.98,21.98,21.98,100
262,22.01,22.01,22.01,22.01,100
263,21.98,21.98,21.98,21.98,100
264,21.995,21.995,21.995,21.995,100
265,21.98,21.995,21.98,21.98,3250
266,22.001,22.001,22.001,22.001,1000
267,21.9982,21.9982,21.9982,21.9982,565
268,21.98,21.98,21.98,21.98,100
270,21.98,21.98,21.98,21.98,100
273,21.98,21.98,21.98,21.98,100
276,21.98,21.98,21.98,21.98,100
278,21.98,21.98,21.98,21.98,100
281,21.98,21.98,21.98,21.98,100
282,21.995,21.995,21.995,21.995,100
283,21.98,21.98,21.98,21.98,100
285,21.99,21.99,21.99,21.99,100
286,21.98,21.98,21.98,21.98,100
288,21.98,21.98,21.98,21.98,100
289,22.009,22.009,22.009,22.009,100
291,21.98,21.98,21.98,21.98,100
293,21.98,21.98,21.98,21.98,100
296,21.98,21.98,21.98,21.98,100
298,21.98,21.989,21.98,21.98,2300
301,21.98,21.98,21.98,21.98,100
303,21.981,21.981,21.96,21.975,1200
304,21.975,21.981,21.975,21.981,1100
306,21.96,21.96,21.96,21.96,100
308,21.96,21.96,21.96,21.96,100
