EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,9.15,9.15,9.12,9.12,2488
2,9.1499,9.1499,9.13,9.13,406
4,9.137,9.137,9.137,9.137,500
8,9.14,9.14,9.14,9.14,100
9,9.14,9.14,9.14,9.14,100
10,9.14,9.14,9.14,9.14,100
11,9.14,9.14,9.1293,9.1293,400
13,9.12,9.12,9.12,9.12,1551
16,9.119,9.1199,9.1,9.1,2909
17,9.1102,9.1102,9.1102,9.1102,200
27,9.11,9.11,9.1,9.11,500
31,9.1,9.11,9.1,9.11,200
32,9.1099,9.1099,9.1099,9.1099,1000
34,9.109,9.11,9.109,9.11,2100
35,9.11,9.11,9.101,9.101,2762
36,9.11,9.11,9.11,9.11,200
39,9.1,9.105,9.0989,9.105,4990
41,9.0961,9.0961,9.0961,9.0961,300
43,9.1,9.1,9.0999,9.1,800
47,9.09,9.09,9.09,9.09,100
48,9.1,9.1,9.1,9.1,200
49,9.1,9.1,9.1,9.1,100
54,9.095,9.095,9.095,9.095,100
55,9.1,9.1,9.0907,9.0907,200
56,9.0907,9.0907,9.0907,9.0907,100
57,9.095,9.095,9.095,9.095,100
58,9.095,9.095,9.095,9.095,100
59,9.0907,9.0907,9.0907,9.0907,100
60,9.0907,9.0907,9.0907,9.0907,100
61,9.0953,9.0953,9.0907,9.0907,712
62,9.0907,9.095,9.0907,9.095,200
63,9.0907,9.0907,9.0907,9.0907,100
64,9.0907,9.0907,9.0907,9.0907,100
65,9.0993,9.0993,9.0907,9.0907,300
66,9.095,9.095,9.095,9.095,100
67,9.09,9.09,9.09,9.09,100
68,9.1007,9.11,9.0907,9.0907,1800
70,9.1077,9.1077,9.105,9.105,300
71,9.1,9.1,9.1,9.1,100
72,9.11,9.11,9.1007,9.1007,200
73,9.1007,9.1007,9.1007,9.1007,100
74,9.1007,9.105,9.1007,9.105,200
75,9.11,9.11,9.1007,9.1007,600
76,9.1007,9.1007,9.1007,9.1007,100
77,9.11,9.11,9.11,9.11,2446
79,9.09,9.09,9.09,9.09,200
80,9.09,9.09,9.09,9.09,100
81,9.1,9.1,9.09,9.0926,510
82,9.09,9.0972,9.09,9.0972,200
83,9.09,9.094,9.09,9.09,1794
84,9.1,9.1,9.1,9.1,800
86,9.11,9.11,9.11,9.11,500
88,9.1101,9.1101,9.11,9.11,7204
90,9.13,9.13,9.12,9.12,2000
91,9.13,9.137,9.13,9.13,2300
96,9.14,9.14,9.14,9.14,100
100,9.14,9.14,9.1337,9.14,1800
101,9.1338,9.14,9.1338,9.14,900
102,9.1376,9.1376,9.1376,9.1376,317
103,9.14,9.14,9.1342,9.1342,1453
104,9.14,9.14,9.1361,9.1361,2217
105,9.135,9.14,9.135,9.14,223
110,9.14,9.14,9.14,9.14,600
111,9.1301,9.14,9.1301,9.1336,2900
112,9.15,9.15,9.14,9.14,7402
113,9.15,9.15,9.15,9.15,200
116,9.15,9.15,9.15,9.15,1400
117,9.1434,9.1434,9.1434,9.1434,900
118,9.1436,9.145,9.1401,9.145,600
120,9.1436,9.1436,9.1436,9.1436,500
122,9.145,9.1493,9.14,9.1493,3400
123,9.145,9.145,9.145,9.145,100
126,9.145,9.145,9.145,9.145,100
127,9.14,9.15,9.14,9.15,300
131,9.15,9.15,9.145,9.145,5500
133,9.15,9.15,9.15,9.15,200
135,9.1434,9.1436,9.1434,9.1436,1100
136,9.146,9.146,9.146,9.146,250
140,9.1459,9.15,9.1459,9.15,580
141,9.15,9.15,9.149,9.149,1100
142,9.15,9.15,9.1499,9.1499,1955
143,9.16,9.16,9.15,9.15,8800
144,9.16,9.16,9.15,9.15,3700
146,9.17,9.17,9.16,9.16,11200
147,9.17,9.17,9.17,9.17,650
150,9.1662,9.17,9.1662,9.17,1400
152,9.16,9.17,9.16,9.1636,1300
153,9.17,9.17,9.17,9.17,500
156,9.1699,9.17,9.1699,9.17,650
161,9.17,9.17,9.169,9.169,2285
163,9.17,9.17,9.17,9.17,100
165,9.17,9.17,9.17,9.17,200
168,9.17,9.17,9.17,9.17,100
173,9.15,9.165,9.15,9.165,9100
174,9.16,9.1625,9.16,9.16,7675
175,9.17,9.17,9.17,9.17,600
176,9.1636,9.165,9.16,9.1636,2100
177,9.17,9.17,9.17,9.17,1330
178,9.165,9.17,9.165,9.17,2000
181,9.16,9.16,9.16,9.16,100
182,9.17,9.17,9.165,9.165,700
187,9.17,9.17,9.17,9.17,100
189,9.1601,9.1601,9.1601,9.1601,850
192,9.175,9.175,9.175,9.175,250
193,9.175,9.175,9.1704,9.1704,750
196,9.175,9.175,9.175,9.175,200
197,9.175,9.175,9.175,9.175,100
199,9.18,9.18,9.175,9.175,326
205,9.19,9.19,9.19,9.19,200
207,9.19,9.19,9.19,9.19,100
213,9.19,9.19,9.1716,9.1716,300
215,9.19,9.19,9.19,9.19,100
216,9.18,9.18,9.18,9.18,200
218,9.18,9.18,9.1761,9.1761,1100
223,9.18,9.18,9.18,9.18,100
226,9.18,9.18,9.18,9.18,200
230,9.18,9.18,9.18,9.18,100
234,9.18,9.18,9.173,9.173,2803
235,9.18,9.18,9.18,9.18,100
241,9.18,9.18,9.18,9.18,100
245,9.18,9.18,9.1748,9.1748,600
247,9.17,9.18,9.17,9.18,300
248,9.17,9.1793,9.17,9.1793,1425
261,9.165,9.165,9.165,9.165,200
263,9.165,9.165,9.16,9.161,1000
268,9.17,9.17,9.17,9.17,300
271,9.17,9.17,9.17,9.17,100
272,9.1634,9.1634,9.1634,9.1634,200
276,9.16,9.16,9.16,9.16,108
278,9.16,9.1638,9.16,9.1638,1108
279,9.16,9.165,9.16,9.16,2101
281,9.17,9.17,9.17,9.17,101
283,9.1661,9.1661,9.1661,9.1661,1600
284,9.17,9.17,9.165,9.165,200
287,9.1674,9.1674,9.1674,9.1674,1700
289,9.17,9.17,9.165,9.165,200
291,9.1648,9.1648,9.1648,9.1648,300
292,9.16,9.16,9.16,9.16,1290
294,9.17,9.17,9.17,9.17,100
296,9.17,9.17,9.165,9.165,400
298,9.17,9.17,9.17,9.17,200
299,9.1662,9.1662,9.1662,9.1662,200
301,9.17,9.17,9.17,9.17,100
302,9.17,9.17,9.17,9.17,100
303,9.18,9.185,9.1799,9.1799,3311
305,9.175,9.175,9.175,9.175,250
309,9.19,9.19,9.18,9.18,2050
310,9.185,9.185,9.185,9.185,100
