EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,8.94,8.94,8.94,8.94,100
2,8.92,8.92,8.92,8.92,792
6,8.93,8.93,8.91,8.92,908
12,8.94,8.94,8.93,8.93,1100
15,8.94,8.94,8.94,8.94,200
26,8.92,8.92,8.92,8.92,1705
29,8.93,8.93,8.93,8.93,200
32,8.91,8.92,8.91,8.92,1900
34,8.92,8.92,8.92,8.92,224
42,8.91,8.91,8.91,8.91,400
45,8.915,8.915,8.91,8.91,600
49,8.92,8.92,8.92,8.92,100
50,8.91,8.92,8.91,8.92,500
51,8.92,8.92,8.92,8.92,100
52,8.91,8.92,8.91,8.92,300
55,8.92,8.92,8.92,8.92,100
56,8.92,8.92,8.92,8.92,100
57,8.92,8.92,8.92,8.92,1426
60,8.935,8.935,8.935,8.935,200
64,8.94,8.94,8.94,8.94,600
65,8.94,8.94,8.94,8.94,100
66,8.94,8.94,8.94,8.94,100
67,8.94,8.94,8.94,8.94,100
68,8.93,8.93,8.93,8.93,100
69,8.94,8.94,8.94,8.94,100
70,8.94,8.94,8.94,8.94,800
74,8.95,8.95,8.945,8.945,200
76,8.945,8.945,8.945,8.945,100
77,8.95,8.95,8.95,8.95,100
80,8.94,8.94,8.94,8.94,500
81,8.945,8.945,8.945,8.945,100
84,8.94,8.94,8.94,8.94,600
86,8.94,8.94,8.94,8.94,400
87,8.945,8.945,8.945,8.945,100
89,8.95,8.95,8.95,8.95,2000
91,8.95,8.95,8.95,8.95,2910
92,8.96,8.96,8.95,8.95,6580
93,8.96,8.96,8.96,8.96,1000
94,8.965,8.965,8.965,8.965,100
97,8.98,8.98,8.97,8.97,1000
98,8.98,8.98,8.98,8.98,740
99,8.98,8.98,8.98,8.98,100
100,8.98,8.98,8.98,8.98,100
101,8.98,8.98,8.98,8.98,100
102,8.98,8.98,8.98,8.98,100
103,8.98,8.98,8.98,8.98,100
104,8.98,8.98,8.98,8.98,2160
105,8.99,8.99,8.99,8.99,200
107,8.99,8.99,8.99,8.99,1500
109,8.99,8.99,8.985,8.985,200
110,8.99,8.99,8.99,8.99,269
116,8.99,8.99,8.99,8.99,100
117,8.99,8.99,8.99,8.99,100
118,8.99,8.99,8.99,8.99,100
119,8.99,8.99,8.99,8.99,500
121,9,9,9,9,100
122,9,9,9,9,100
124,9,9,9,9,100
125,9,9,9,9,1800
126,9,9,9,9,434
127,9,9,9,9,100
128,9.01,9.01,9.01,9.01,3600
130,9.02,9.02,9.01,9.01,4300
134,9.03,9.03,9.03,9.03,750
135,9.03,9.03,9.03,9.03,100
136,9.03,9.03,9.03,9.03,500
137,9.04,9.04,9.04,9.04,100
138,9.04,9.04,9.04,9.04,200
139,9.04,9.04,9.04,9.04,100
140,9.04,9.04,9.04,9.04,100
141,9.04,9.04,9.04,9.04,300
142,9.04,9.04,9.04,9.04,100
147,9.04,9.04,9.04,9.04,3050
149,9.04,9.04,9.04,9.04,100
150,9.04,9.04,9.04,9.04,100
151,9.04,9.04,9.04,9.04,100
152,9.04,9.04,9.04,9.04,900
154,9.05,9.05,9.04,9.04,500
155,9.05,9.05,9.05,9.05,100
156,9.05,9.05,9.05,9.05,100
157,9.06,9.06,9.05,9.05,510
159,9.06,9.06,9.06,9.06,1200
164,9.05,9.05,9.05,9.05,700
172,9.035,9.04,9.035,9.04,700
192,9.035,9.035,9.035,9.035,300
198,9.035,9.035,9.035,9.035,100
201,9.035,9.035,9.035,9.035,100
202,9.035,9.035,9.035,9.035,100
203,9.035,9.035,9.035,9.035,100
205,9.04,9.04,9.04,9.04,100
206,9.04,9.04,9.04,9.04,100
208,9.04,9.04,9.04,9.04,100
209,9.04,9.04,9.04,9.04,100
211,9.04,9.04,9.04,9.04,100
214,9.05,9.05,9.05,9.05,100
215,9.05,9.05,9.05,9.05,400
217,9.05,9.05,9.05,9.05,100
221,9.05,9.05,9.05,9.05,100
222,9.05,9.05,9.05,9.05,100
224,9.05,9.05,9.05,9.05,600
226,9.05,9.05,9.05,9.05,100
227,9.05,9.05,9.05,9.05,100
229,9.05,9.05,9.05,9.05,100
231,9.05,9.05,9.05,9.05,100
234,9.05,9.05,9.05,9.05,300
235,9.05,9.05,9.05,9.05,1100
243,9.05,9.05,9.05,9.05,700
244,9.05,9.05,9.045,9.045,1000
247,9.04,9.04,9.04,9.04,1200
250,9.045,9.045,9.045,9.045,200
254,9.06,9.06,9.05,9.05,2100
255,9.06,9.06,9.06,9.06,100
257,9.06,9.06,9.06,9.06,700
259,9.06,9.06,9.06,9.06,100
260,9.059,9.059,9.059,9.059,300
263,9.05,9.05,9.05,9.05,1200
268,9.06,9.06,9.055,9.055,200
276,9.05,9.05,9.05,9.05,200
279,9.055,9.055,9.055,9.055,200
280,9.06,9.06,9.06,9.06,100
282,9.06,9.06,9.06,9.06,100
284,9.06,9.06,9.06,9.06,100
290,9.05,9.05,9.05,9.05,500
292,9.055,9.055,9.055,9.055,200
297,9.055,9.055,9.055,9.055,400
299,9.055,9.055,9.055,9.055,100
301,9.055,9.055,9.055,9.055,300
302,9.06,9.06,9.06,9.06,300
303,9.07,9.07,9.07,9.07,100
304,9.08,9.08,9.07,9.07,800
306,9.07,9.07,9.07,9.07,700
307,9.07,9.07,9.065,9.065,200
310,9.065,9.065,9.065,9.065,200
314,9.07,9.07,9.07,9.07,800
318,9.075,9.075,9.075,9.075,200
320,9.08,9.08,9.08,9.08,100
321,9.07,9.07,9.07,9.07,500
325,9.07,9.07,9.07,9.07,500
326,9.07,9.07,9.07,9.07,100
327,9.07,9.07,9.07,9.07,1200
330,9.08,9.08,9.075,9.075,3700
334,9.07,9.07,9.07,9.07,1500
336,9.08,9.085,9.075,9.075,2959
340,9.08,9.08,9.08,9.08,9761
341,9.08,9.08,9.08,9.08,1100
342,9.08,9.08,9.08,9.08,500
343,9.08,9.08,9.08,9.08,2400
347,9.08,9.08,9.08,9.08,1500
350,9.08,9.08,9.08,9.08,1100
352,9.075,9.075,9.075,9.075,200
353,9.07,9.07,9.07,9.07,1700
356,9.06,9.06,9.06,9.06,300
357,9.055,9.06,9.055,9.06,1300
358,9.06,9.06,9.055,9.055,1200
360,9.06,9.06,9.06,9.06,600
361,9.07,9.07,9.07,9.07,200
363,9.06,9.065,9.06,9.065,200
364,9.07,9.07,9.07,9.07,200
366,9.07,9.07,9.07,9.07,1100
