EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260260,261.23,261.23,261.23,261.23,1028
1,261.2,261.2,261.2,261.2,100
3,260.28,260.28,260.28,260.28,200
5,261.5985,261.5985,261.38,261.38,300
12,260.465,260.465,260.465,260.465,100
15,260.82,260.82,260.3,260.74,900
16,260.34,260.34,260.34,260.34,100
18,259.925,259.925,259.925,259.925,100
19,259.545,259.545,259.53,259.53,200
20,259.085,259.795,259.085,259.29,700
21,258.83,258.83,258.83,258.83,100
22,258.735,258.735,258.735,258.735,100
24,259.65,259.65,259.45,259.45,400
25,259.66,259.66,259.66,259.66,100
26,259.66,259.66,259.66,259.66,100
28,259.56,259.56,259.56,259.56,100
30,259.63,259.6395,259.63,259.63,300
31,259.18,259.31,259.18,259.3,600
36,258.755,258.755,258.755,258.755,100
45,258.74,258.75,258.74,258.75,500
49,258.285,258.285,258.285,258.285,100
50,258.66,258.66,258.66,258.66,400
52,257.945,257.945,257.945,257.945,100
59,258.01,258.01,258.01,258.01,200
60,258.06,258.06,258.06,258.06,100
62,258.115,258.25,257.81,258.25,1351
63,257.075,258.115,256.765,258.115,2400
68,256.84,257.35,256.84,257.35,400
69,256.85,256.85,256.85,256.85,100
70,256.275,256.275,256.275,256.275,100
71,256.61,256.85,256.61,256.85,400
72,256.53,256.931,256.53,256.931,500
77,257.125,257.15,256.75,256.75,3036
78,256.69,256.95,256.69,256.95,400
80,257.08,257.099,257.08,257.08,600
81,257.19,257.26,257.19,257.21,1003
82,257.46,257.46,257.38,257.38,600
83,257.83,257.83,257.83,257.83,228
84,258.15,258.15,257.83,257.83,200
88,257.795,258.245,257.79,258.245,1000
89,257.23,257.23,257.23,257.23,100
93,258.07,258.07,258.07,258.07,100
95,257.155,257.155,257.155,257.155,100
101,258.41,258.41,258.41,258.41,100
103,258.01,258.4,258,258,800
105,258,258,258,258,560
106,258.37,258.37,258.37,258.37,100
110,259.01,259.02,258.21,258.21,1700
111,258.915,258.98,258.915,258.98,200
123,258.17,258.945,258.17,258.902,500
128,259.12,259.12,259.12,259.12,100
129,259.17,259.17,259.17,259.17,302
130,259.76,259.76,259.6,259.6,200
136,259.89,259.89,259.89,259.89,100
137,260.02,260.38,259.89,259.93,1300
139,260.94,260.94,260.69,260.69,300
145,259.46,260.03,259.46,260.02,1530
149,259.2993,259.2993,259.285,259.285,200
151,259.4955,259.4955,259.25,259.25,400
153,259.7,259.7,259.7,259.7,100
154,259.94,260.59,259.69,259.77,1466
158,259.61,259.95,259.61,259.95,868
163,259.49,259.49,259.49,259.49,100
165,260.4077,260.4077,260.4077,260.4077,222
167,259.52,259.57,259.52,259.57,200
176,259.5,259.5,259.5,259.5,100
179,259.25,259.65,259.25,259.51,800
183,258.92,259.06,258.92,259.06,700
184,258.96,258.96,258.7115,258.7115,500
185,258.63,258.63,258.63,258.63,100
187,258.785,258.785,258.785,258.785,100
188,258.6,258.6,258.6,258.6,200
191,258.47,258.79,258.47,258.6,800
196,258.15,258.24,258.15,258.24,300
197,258.24,258.24,258.24,258.24,100
200,258.64,258.64,258.14,258.14,300
201,258.62,258.62,258.62,258.62,100
203,258.5,258.5,258.3,258.3,500
204,258.495,258.68,258.405,258.405,600
206,258.78,258.78,258.78,258.78,200
207,258.545,258.545,258.545,258.545,100
208,258.71,259,258.71,258.84,1878
210,259,259.05,259,259,700
211,258.8698,258.8698,258.8698,258.8698,211
212,258.71,258.72,258.71,258.72,600
221,258.88,258.88,258.88,258.88,100
222,259,259,258.88,258.88,1000
225,259,259,259,259,100
233,259,259.02,258.97,258.97,600
238,258.62,258.9,258.62,258.72,700
241,258.3,258.35,258.3,258.35,200
242,257.92,257.92,257.92,257.92,100
246,257.89,257.89,257.89,257.89,100
248,257.84,257.89,257.84,257.89,300
251,257.65,257.65,257.65,257.65,100
253,257.88,257.88,257.88,257.88,100
256,257.47,257.47,257.47,257.47,100
258,258.01,258.01,258.01,258.01,100
259,257.45,257.45,257.45,257.45,100
261,258.01,258.01,257.46,257.56,549
262,257.54,257.54,257.54,257.54,100
266,257.75,257.75,257.49,257.49,200
267,257.49,257.49,257.49,257.49,100
268,257.94,257.94,257.48,257.48,300
270,258.28,258.28,257.59,257.71,600
271,258.705,258.705,258.705,258.705,100
272,258.37,258.37,258.37,258.37,100
275,258.07,258.07,258.07,258.07,100
276,258.225,258.225,257.71,257.82,500
277,257.74,257.74,257.74,257.74,100
278,257.74,258.16,257.74,258.16,400
281,257.8,257.8,257.8,257.8,100
282,258.03,258.03,257.65,257.73,1000
284,257.49,257.49,257.49,257.49,100
287,257.44,257.46,257.44,257.46,200
288,257.3,257.7,257.3,257.4975,500
290,257.42,257.42,256.725,256.725,200
292,257.32,257.34,257.32,257.33,500
295,257.7,257.7,257.2,257.2,1000
296,257.4887,257.4887,257.29,257.29,260
299,257.655,257.655,257.6502,257.6502,200
303,257.31,257.31,257.31,257.31,100
306,257.35,257.35,257.35,257.35,100
307,257.34,257.34,257.34,257.34,100
309,257.69,257.69,257.69,257.69,100
310,257.715,257.715,257.46,257.51,300
311,258.04,258.04,257.61,257.93,700
312,258.05,258.08,258.04,258.04,500
314,258.6,258.6,258.6,258.6,170
315,258.15,258.565,257.82,258.565,600
316,258.025,258.48,258.025,258.48,200
318,257.9,257.9,257.9,257.9,100
321,257.97,258.29,257.97,258.29,200
323,257.875,257.875,257.875,257.875,100
325,258.22,258.22,257.825,257.87,1455
328,257.88,258.22,257.88,257.9,1175
329,257.88,257.88,257.88,257.88,100
330,257.9,257.9,257.9,257.9,100
332,259.35,259.35,258.19,258.19,5000
336,259.36,259.36,259.0701,259.09,800
339,258.89,259.31,258.89,259.09,2000
340,259.05,259.05,259.05,259.05,200
341,258.895,258.895,258.895,258.895,100
342,258.73,258.735,258.73,258.735,200
343,258.845,258.845,258.845,258.845,200
347,258.72,258.72,258.72,258.72,100
348,258.77,258.77,258.77,258.77,100
351,259.415,259.415,258.73,259.03,2100
352,260.46,260.46,259.44,259.44,839
353,259.835,260.35,259.835,260.35,200
355,260.25,260.49,260.115,260.115,1444
356,259.95,260.505,259.95,260.505,400
360,260.425,260.425,259.87,259.87,400
362,260.145,260.145,260.145,260.145,100
365,259.905,260.28,259.905,260.28,200
366,260.49,260.83,260.21,260.27,1600
368,260.605,260.76,260.48,260.52,800
369,260.91,260.91,260.76,260.81,400
