EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,35.27,35.27,35.2,35.2,1318
17,35.23,35.239,35.23,35.23,2400
20,35.0291,35.0291,35.0291,35.0291,300
22,34.9999,34.9999,34.935,34.94,700
31,35.05,35.05,35.05,35.05,100
40,35.05,35.05,35.04,35.04,800
52,35.05,35.05,35.05,35.05,873
78,35.005,35.05,35.005,35.05,1180
84,35.12,35.13,35.0902,35.12,900
88,35.15,35.15,35.15,35.15,100
93,35.15,35.15,35.15,35.15,400
94,35.1848,35.1848,35.1848,35.1848,400
106,35.18,35.18,35.18,35.18,121
107,35.157,35.157,35.157,35.157,1252
123,35.19,35.19,35.19,35.19,200
146,35.2,35.274,35.19,35.19,900
148,35.31,35.31,35.31,35.31,100
156,35.32,35.32,35.32,35.32,100
177,35.28,35.37,35.28,35.35,845
179,35.3514,35.3514,35.3514,35.3514,100
192,35.32,35.3416,35.32,35.3416,606
193,35.37,35.37,35.37,35.37,100
203,35.3,35.31,35.3,35.31,2309
211,35.3793,35.3793,35.3352,35.37,600
214,35.27,35.3,35.27,35.3,400
235,35.27,35.354,35.27,35.354,1931
240,35.3389,35.3389,35.3389,35.3389,200
241,35.3686,35.3686,35.3686,35.3686,200
246,35.3388,35.3388,35.24,35.3087,400
252,35.305,35.305,35.305,35.305,200
253,35.298,35.36,35.298,35.315,1300
258,35.3,35.3,35.3,35.3,100
260,35.33,35.33,35.2946,35.2946,559
262,35.34,35.34,35.34,35.34,100
264,35.2708,35.2708,35.2708,35.2708,800
265,35.35,35.35,35.34,35.34,400
270,35.26,35.26,35.25,35.26,500
285,35.212,35.2685,35.212,35.2685,1751
296,35.2,35.2,35.2,35.2,200
306,35.37,35.37,35.37,35.37,100
310,35.27,35.3294,35.27,35.3294,350
328,35.4177,35.4177,35.4177,35.4177,200
331,35.44,35.44,35.44,35.44,100
335,35.4017,35.4017,35.4017,35.4017,100
355,35.34,35.3987,35.34,35.3987,400
364,35.46,35.484,35.43,35.484,700
365,35.41,35.41,35.41,35.41,100
366,35.4361,35.4361,35.4361,35.4361,275
367,35.41,35.41,35.41,35.41,100
368,35.43,35.43,35.43,35.43,100
372,35.4517,35.49,35.38,35.4522,1329
374,35.4892,35.4892,35.4892,35.4892,337
375,35.5052,35.522,35.5052,35.522,355
376,35.465,35.5299,35.465,35.465,600
377,35.4968,35.4968,35.4968,35.4968,700
381,35.44,35.44,35.44,35.44,305
385,35.44,35.44,35.44,35.44,349
a1520346600,35.77,35.77,35.77,35.77,436
1,35.82,35.82,35.82,35.82,100
7,35.55,35.55,35.485,35.485,1070
65,35.5024,35.5024,35.5024,35.5024,120
69,35.4901,35.4901,35.4901,35.4901,201
73,35.5,35.5,35.4901,35.4901,501
78,35.49,35.49,35.462,35.49,2200
85,35.51,35.51,35.51,35.51,100
91,35.5,35.505,35.5,35.5001,1329
92,35.5001,35.5001,35.5,35.5001,1983
93,35.5049,35.5049,35.5,35.5001,1506
94,35.5,35.5,35.5,35.5,1100
120,35.52,35.52,35.52,35.52,141
122,35.52,35.525,35.52,35.525,400
125,35.525,35.525,35.525,35.525,100
129,35.525,35.5284,35.525,35.5284,522
132,35.52,35.52,35.52,35.52,200
139,35.51,35.52,35.51,35.52,400
149,35.54,35.54,35.54,35.54,100
154,35.5348,35.5348,35.5348,35.5348,1500
164,35.54,35.54,35.54,35.54,282
169,35.5446,35.5446,35.5446,35.5446,200
170,35.5278,35.5278,35.5228,35.5228,402
174,35.54,35.54,35.54,35.54,200
182,35.539,35.539,35.5314,35.539,600
192,35.538,35.538,35.538,35.538,100
194,35.5201,35.5201,35.5201,35.5201,750
211,35.5779,35.5779,35.5779,35.5779,255
212,35.5781,35.5781,35.5781,35.5781,100
215,35.62,35.62,35.62,35.62,100
218,35.5901,35.5901,35.5901,35.5901,400
220,35.6212,35.6212,35.6212,35.6212,141
232,35.6001,35.6001,35.6001,35.6001,100
236,35.6,35.6,35.6,35.6,100
241,35.6058,35.6058,35.598,35.598,665
244,35.59,35.5901,35.59,35.5901,500
245,35.51,35.595,35.51,35.5801,1679
246,35.51,35.51,35.51,35.51,500
248,35.5,35.5,35.5,35.5,100
253,35.46,35.487,35.46,35.4601,500
262,35.4541,35.4541,35.4541,35.4541,500
263,35.49,35.49,35.46,35.46,1000
265,35.5248,35.5248,35.5248,35.5248,800
276,35.49,35.49,35.49,35.49,600
279,35.48,35.49,35.48,35.49,500
280,35.45,35.47,35.45,35.47,423
283,35.4499,35.4499,35.4499,35.4499,565
285,35.405,35.405,35.37,35.37,600
286,35.4098,35.4098,35.37,35.391,500
289,35.4147,35.4147,35.4147,35.4147,300
308,35.409,35.409,35.409,35.409,1000
312,35.4,35.4,35.4,35.4,368
316,35.4,35.4,35.4,35.4,400
326,35.4176,35.4176,35.4003,35.41,381
327,35.483,35.483,35.483,35.483,100
330,35.4326,35.4326,35.4326,35.4326,125
338,35.4086,35.4086,35.4086,35.4086,434
342,35.444,35.444,35.432,35.432,1000
355,35.48,35.48,35.48,35.48,100
357,35.5,35.5,35.5,35.5,100
362,35.54,35.54,35.54,35.54,100
364,35.56,35.56,35.56,35.56,100
365,35.56,35.56,35.56,35.56,100
370,35.58,35.58,35.5558,35.5558,600
372,35.59,35.59,35.59,35.59,100
373,35.6,35.6,35.6,35.6,200
377,35.6,35.6,35.6,35.6,100
379,35.603,35.603,35.603,35.603,300
380,35.5999,35.5999,35.5999,35.5999,100
387,35.594,35.594,35.58,35.58,600
390,35.62,35.62,35.62,35.62,143
a1520433000,35.8,35.8,35.59,35.59,1472
4,35.57,35.57,35.55,35.55,775
8,35.64,35.64,35.64,35.64,100
9,35.5707,35.5707,35.5707,35.5707,550
13,35.57,35.57,35.57,35.57,100
17,35.65,35.65,35.65,35.65,100
22,35.65,35.65,35.65,35.65,100
27,35.65,35.65,35.65,35.65,100
28,35.53,35.59,35.53,35.59,1600
29,35.5299,35.5299,35.5299,35.5299,140
32,35.53,35.53,35.53,35.53,766
38,35.53,35.53,35.53,35.53,100
45,35.53,35.53,35.53,35.53,100
47,35.53,35.53,35.53,35.53,400
48,35.5224,35.5224,35.5224,35.5224,1440
52,35.53,35.53,35.53,35.53,100
59,35.53,35.53,35.53,35.53,100
66,35.53,35.53,35.53,35.53,300
74,35.53,35.53,35.53,35.53,100
81,35.53,35.53,35.53,35.53,300
