EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,47.85,47.85,47.85,47.85,670
4,47.55,47.55,47.55,47.55,100
10,47.75,47.75,47.75,47.75,100
11,47.95,47.95,47.725,47.725,600
12,48.1,48.1,48.1,48.1,100
17,47.75,48.095,47.75,48.095,902
19,47.95,47.95,47.95,47.95,100
20,47.85,47.85,47.85,47.85,987
31,47.85,47.85,47.85,47.85,200
32,47.9,47.9,47.9,47.9,100
36,48.05,48.05,48.05,48.05,100
37,48,48,48,48,100
38,47.85,47.85,47.85,47.85,100
40,47.95,47.95,47.95,47.95,100
42,47.8,47.8,47.8,47.8,200
45,47.8,47.8,47.7,47.7,200
46,47.8,47.8,47.8,47.8,100
49,47.8,47.8,47.75,47.75,200
52,47.875,47.875,47.85,47.85,200
58,47.95,47.95,47.95,47.95,100
59,47.95,47.95,47.95,47.95,550
61,48,48,48,48,200
64,47.9,47.95,47.9,47.95,581
65,47.9,47.9,47.9,47.9,100
69,47.95,47.95,47.95,47.95,111
75,48.05,48.05,48.05,48.05,100
77,47.9,47.9,47.9,47.9,100
79,47.925,47.925,47.925,47.925,100
84,48,48,48,48,100
88,48.05,48.05,48.05,48.05,400
92,48.15,48.15,48.15,48.15,100
93,48.15,48.15,48.15,48.15,100
98,48.25,48.25,48.25,48.25,100
100,48.4,48.4,48.4,48.4,200
101,48.3,48.35,48.3,48.35,200
102,48.3,48.3,48.3,48.3,200
105,48.375,48.375,48.3,48.3,400
109,48.35,48.35,48.25,48.25,200
111,48.3,48.3,48.3,48.3,200
113,48.3,48.3,48.3,48.3,200
114,48.3,48.4,48.3,48.35,600
116,48.3,48.3,48.3,48.3,200
123,48.3,48.3,48.3,48.3,100
129,48.4,48.4,48.4,48.4,100
130,48.45,48.45,48.4,48.4,400
134,48.6,48.6,48.5,48.5,600
139,48.65,48.65,48.65,48.65,100
140,48.6,48.6,48.6,48.6,400
142,48.65,48.65,48.65,48.65,100
143,48.6,48.6,48.5,48.5,800
145,48.6,48.65,48.6,48.65,400
146,48.6,48.6,48.5,48.5,2850
149,48.6,48.6,48.55,48.55,1200
151,48.65,48.65,48.65,48.65,200
153,48.65,48.65,48.65,48.65,100
156,48.65,48.75,48.65,48.675,300
158,48.65,48.65,48.6,48.65,400
159,48.6,48.6,48.6,48.6,100
161,48.65,48.65,48.6,48.6,200
162,48.7,48.7,48.7,48.7,100
163,48.65,48.65,48.6,48.6,300
165,48.6,48.6,48.6,48.6,100
167,48.7,48.7,48.7,48.7,100
168,48.7,48.7,48.7,48.7,200
170,48.6,48.6,48.6,48.6,200
171,48.55,48.55,48.55,48.55,200
175,48.575,48.575,48.575,48.575,100
177,48.55,48.55,48.55,48.55,300
182,48.5,48.55,48.5,48.5,799
186,48.55,48.55,48.55,48.55,300
187,48.65,48.65,48.6,48.6,200
189,48.55,48.55,48.55,48.55,600
194,48.6,48.6,48.5,48.5,200
198,48.55,48.55,48.55,48.55,100
200,48.55,48.55,48.55,48.55,100
201,48.5,48.5,48.5,48.5,100
202,48.5,48.5,48.5,48.5,100
203,48.6,48.6,48.6,48.6,100
205,48.55,48.55,48.55,48.55,100
207,48.5,48.5,48.5,48.5,100
208,48.6,48.6,48.6,48.6,900
214,48.75,48.75,48.75,48.75,200
217,48.75,48.75,48.75,48.75,100
218,48.75,48.75,48.75,48.75,200
222,48.8,48.8,48.8,48.8,400
224,48.85,48.85,48.85,48.85,254
225,48.85,48.85,48.8,48.8,300
230,48.85,48.85,48.85,48.85,200
231,48.8,48.8,48.8,48.8,300
234,48.8,48.8,48.8,48.8,100
236,48.8,48.8,48.8,48.8,500
239,48.75,48.75,48.75,48.75,300
242,48.7,48.75,48.7,48.75,200
250,48.75,48.75,48.6,48.6,1011
253,48.825,48.825,48.825,48.825,100
255,48.75,48.85,48.75,48.85,300
258,48.7317,48.7317,48.7317,48.7317,105
263,48.725,48.725,48.725,48.725,375
265,48.75,48.75,48.7,48.7,400
267,48.75,48.75,48.75,48.75,200
274,48.75,48.8,48.7,48.7,500
276,48.7,48.75,48.7,48.75,300
281,48.75,48.75,48.75,48.75,100
282,48.65,48.75,48.65,48.75,600
283,48.65,48.65,48.65,48.65,200
284,48.65,48.65,48.65,48.65,600
285,48.65,48.65,48.65,48.65,100
287,48.65,48.65,48.65,48.65,100
288,48.65,48.7,48.65,48.7,400
290,48.625,48.65,48.6,48.65,2605
291,48.65,48.65,48.65,48.65,200
294,48.65,48.65,48.65,48.65,100
295,48.7,48.7,48.7,48.7,600
297,48.8,48.8,48.8,48.8,200
298,48.75,48.75,48.7,48.75,900
301,48.75,48.75,48.75,48.75,400
303,48.75,48.75,48.7,48.7,200
307,48.7,48.7,48.65,48.65,400
310,48.65,48.7,48.65,48.7,200
314,48.65,48.7,48.65,48.7,400
317,48.7,48.7,48.7,48.7,100
320,48.7,48.7,48.7,48.7,100
321,48.725,48.725,48.725,48.725,100
322,48.75,48.75,48.75,48.75,100
323,48.8,48.8,48.8,48.8,100
324,48.75,48.8,48.75,48.8,400
326,48.75,48.75,48.75,48.75,100
329,48.8,48.8,48.8,48.8,100
332,48.75,48.8,48.7,48.8,400
333,48.75,48.75,48.75,48.75,100
337,48.7,48.75,48.7,48.75,200
338,48.75,48.75,48.75,48.75,100
340,48.7,48.7,48.7,48.7,600
341,48.7,48.7,48.7,48.7,300
343,48.7,48.75,48.7,48.75,200
347,48.75,48.75,48.75,48.75,200
348,48.7,48.725,48.7,48.725,200
350,48.75,48.75,48.75,48.75,600
351,48.7,48.7,48.7,48.7,600
352,48.7,48.7,48.7,48.7,200
353,48.7,48.7,48.7,48.7,100
354,48.7,48.7,48.7,48.7,100
356,48.7,48.7,48.7,48.7,200
357,48.7,48.7,48.65,48.7,1100
359,48.625,48.625,48.625,48.625,100
361,48.6,48.6,48.6,48.6,200
363,48.65,48.675,48.65,48.65,700
365,48.675,48.675,48.675,48.675,100
366,48.675,48.675,48.675,48.675,100
367,48.725,48.725,48.7,48.7,500
368,48.7,48.7,48.7,48.7,700
369,48.7,48.7,48.7,48.7,100
370,48.7,48.7,48.7,48.7,100
371,48.7,48.75,48.7,48.75,700
373,48.75,48.775,48.725,48.75,1300
374,48.75,48.75,48.75,48.75,200
375,48.8,48.8,48.75,48.75,200
376,48.75,48.75,48.75,48.75,300
377,48.75,48.8,48.75,48.8,500
