EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260260,300700,302000,300700,302000,26
1,300700,300700,300700,300700,1
2,300850,300850,300850,300850,1
4,300900,300900,300240.0001,300240.0001,2
5,301205.9105,301205.9105,301205.9105,301205.9105,1
7,301860,301860,301860,301860,1
9,301500,301500,301500,301500,2
10,301952.4999,301952.4999,301952.4999,301952.4999,1
11,302250,302250,302250,302250,3
12,302500,302500,302500,302500,1
13,302299.9999,302299.9999,302299.9999,302299.9999,2
14,302300,302300,302300,302300,1
17,301600,301600,301587.76,301587.76,2
18,301810.52,301810.52,301810.52,301810.52,1
20,301100.01,301100.01,301100.01,301100.01,2
21,301000,301000,301000,301000,1
27,301430.0001,301430.0001,301430.0001,301430.0001,2
42,301490.52,301490.52,301490.52,301490.52,1
43,301430,301430,301430,301430,1
45,301445,301445,301300,301300,7
46,301515,301515,301515,301515,1
52,301890,301890,301710,301710,3
56,302060.0049,302060.0049,302060.0049,302060.0049,1
57,302230.0001,302230.0001,302230.0001,302230.0001,1
66,302530,302530,302530,302530,1
68,302748,302748,302748,302748,1
74,302930,302930,302930,302930,1
91,304789.9999,304789.9999,304789.9999,304789.9999,2
92,304080.45,304550,304080.45,304440,4
93,303955.42,303955.42,303955.42,303955.42,1
94,304000,304000,304000,304000,1
95,303860,303950,303860,303950,2
97,305000,305000,305000,305000,2
99,304610.0001,304610.0001,304610.0001,304610.0001,1
101,304280,304280,304280,304280,1
102,304450,304450,304450,304450,1
104,304650,304650,304650,304650,2
105,304779.9999,304779.9999,304779.9999,304779.9999,3
107,304500,304500,304500,304500,1
108,304749.9999,304749.9999,304749.9999,304749.9999,1
109,304950,304950,304950,304950,1
110,304930.26,304930.26,304930.26,304930.26,1
113,305500,305500,305376,305500,3
114,305500,305500,305500,305500,1
116,306000,306000,306000,306000,1
120,306000,306000,306000,306000,1
122,306029.9822,306029.9822,305810,305810,2
127,305060,305110.0001,305060,305110.0001,2
129,305650,305650,305650,305650,1
132,306070,306200,306070,306200,2
134,306400,306400,306400,306400,1
148,305635,305635,305635,305635,3
151,305910,305910,305910,305910,1
152,306000,306020,305983.0026,305998,18
153,306000,306340,306000,306340,3
155,306130.0017,306130.0017,306130.0017,306130.0017,1
158,306065,306065,306065,306065,1
162,305850,305850,305850,305850,1
169,305500,305500,305500,305500,1
170,304955.4501,304955.4501,304955.4501,304955.4501,1
171,305169.98,305169.98,305169.98,305169.98,1
181,305010,305010,305010,305010,1
184,304966.5887,304966.5887,304966.5887,304966.5887,1
192,305155.4501,305155.4501,305155.4501,305155.4501,2
209,305500.0001,305502,305500.0001,305502,4
226,305797.2241,305797.2241,305797.2241,305797.2241,1
233,306000,306000,306000,306000,1
238,306010,306010,306010,306010,1
246,305720,305720,305720,305720,1
250,305988.9999,305988.9999,305988.9999,305988.9999,2
260,305525.52,305525.52,305525.52,305525.52,1
274,305270,305270,305270,305270,1
280,305229.98,305229.98,305229.98,305229.98,1
282,304929.9799,304929.9799,304929.9799,304929.9799,1
284,304400,304400,304400,304400,1
290,304400.1862,304400.1862,304400.1862,304400.1862,1
309,305450,305450,305450,305450,1
311,305500.0001,305500.0001,305500.0001,305500.0001,1
313,305500,305500,305500,305500,1
331,306200,306200,306200,306200,2
334,306429.98,306499,306429.98,306499,2
338,306300,306300,306300,306300,3
339,306300,306300,306300,306300,1
346,305890.52,305890.52,305890.52,305890.52,1
349,305590,305590,305590,305590,1
353,305951,305951,305951,305951,3
354,305951,305951,305950,305950,2
356,305600,305600,305600,305600,2
357,305220.45,305640,305220.45,305640,3
366,305949,305949,305949,305949,1
367,305811.7147,305850.45,305786,305850.45,3
368,305940,305940,305940,305940,1
369,305824.43,305824.43,305824.43,305824.43,1
370,305950,306002,305949,305949,3
373,306280,306280,306280,306280,1
374,306391.43,306391.43,306391.43,306391.43,1
378,306200.0001,306200.0001,306120,306120,2
379,306419.9999,306419.9999,306419.9999,306419.9999,1
380,305730,305730,305730,305730,2
387,305780,305780,305730,305730,3
389,305410,305410,305410,305410,1
a1520346720,306999.99,306999.99,306999.99,306999.99,10
3,306078.33,306078.33,305849.98,305849.98,5
4,305508.3299,305508.3299,305508.3299,305508.3299,1
6,305000,305000,305000,305000,3
8,305720.33,305720.33,305720.33,305720.33,1
11,305395.33,305395.33,305395.33,305395.33,1
12,305275.33,305275.33,305275.33,305275.33,1
13,305000,305000,305000,305000,1
16,304400,304400,304400,304400,5
23,305879.9999,305879.9999,305879.9999,305879.9999,1
27,305558.8901,305558.8901,305558.8901,305558.8901,1
29,305801,305999,305801,305999,2
31,305170.45,305170.45,305170.45,305170.45,1
39,305085,305085,305085,305085,1
41,304906.8276,304906.8276,304906.8276,304906.8276,1
52,305960,305960,305960,305960,1
53,306000,306000,305945.45,305945.45,5
56,305951,305951,305951,305951,1
62,306350,306350,306350,306350,1
63,305965.45,305965.45,305965.45,305965.45,1
67,305910.62,305910.62,305910.62,305910.62,1
70,305915.45,305915.45,305915.45,305915.45,1
72,305805.52,305805.52,305805.52,305805.52,1
79,305500,305500,305500,305500,2
83,305000,305000,305000,305000,1
96,305150,305150,305150,305150,1
97,305055,305055,305055,305055,1
98,305400,305400,305400,305400,1
108,305300.4501,305300.4501,305300.4501,305300.4501,2
112,304835.43,305075.45,304835.43,305075.45,2
113,304650,304650,304650,304650,1
114,304960.52,304960.52,304960.52,304960.52,1
117,304871,304871,304871,304871,1
122,304975,304999.5,304955.44,304999.5,5
125,304895.4401,304895.4401,304895.4401,304895.4401,1
129,304800,304800,304800,304800,1
130,304655.44,304655.44,304640.44,304640.44,3
131,304655.4401,304655.4401,304655.4401,304655.4401,6
132,305000,305000,304940,304940,4
135,305000,305000,305000,305000,3
136,305000,305020,305000,305000,12
138,305300,305300,305300,305300,2
141,305170.44,305170.44,305170.44,305170.44,1
145,305230.4401,305230.4401,305230.4401,305230.4401,1
150,305650,305650,305650,305650,1
154,305415,305415,305415,305415,1
162,305320,305320,305320,305320,1
172,305330,305330,305330,305330,1
178,305000,305008,304850,304850,3
188,305439.9999,305439.9999,305439.9999,305439.9999,6
190,305240,305240,305240,305240,1
195,305900,305900,305900,305900,1
196,305840,305840,305840,305840,1
197,305965,305965,305830,305830,2
199,306230.43,306230.43,306035,306035,2
200,306500,306500,306500,306500,1
201,306535.44,306535.44,306535.44,306535.44,1
