EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260260,6.7,6.7,6.7,6.7,1311
1,6.75,6.75,6.75,6.75,1000
2,6.75,6.75,6.75,6.75,200
3,6.775,6.775,6.775,6.775,100
4,6.775,6.775,6.775,6.775,200
5,6.8,6.8,6.8,6.8,100
6,6.8,6.8,6.8,6.8,200
7,6.75,6.8,6.75,6.8,2923
8,6.75,6.75,6.75,6.75,100
9,6.8,6.8,6.8,6.8,100
15,6.85,6.85,6.75,6.75,200
25,6.788,6.788,6.788,6.788,742
32,6.8,6.8,6.8,6.8,100
34,6.8,6.8,6.8,6.8,100
42,6.8,6.85,6.8,6.85,1448
60,6.8,6.8,6.8,6.8,100
81,6.8,6.8,6.8,6.8,900
82,6.8,6.8,6.8,6.8,900
86,6.85,6.85,6.8,6.8,200
88,6.845,6.845,6.845,6.845,125
89,6.75,6.775,6.75,6.75,2100
91,6.75,6.775,6.75,6.775,400
93,6.8,6.8,6.8,6.8,100
94,6.775,6.8,6.7731,6.775,694
97,6.775,6.775,6.75,6.775,300
98,6.75,6.75,6.75,6.75,100
114,6.7764,6.7764,6.7764,6.7764,400
115,6.775,6.8,6.775,6.8,200
116,6.775,6.775,6.775,6.775,200
117,6.775,6.775,6.775,6.775,100
119,6.75,6.75,6.75,6.75,200
120,6.75,6.75,6.75,6.75,300
123,6.75,6.75,6.75,6.75,400
124,6.7,6.75,6.7,6.75,2482
125,6.725,6.725,6.725,6.725,100
131,6.75,6.75,6.7,6.7,800
132,6.7,6.7,6.7,6.7,200
133,6.7,6.7,6.7,6.7,100
136,6.725,6.75,6.725,6.725,500
137,6.8,6.8,6.75,6.75,426
141,6.75,6.8,6.75,6.8,900
143,6.75,6.75,6.75,6.75,400
145,6.75,6.75,6.75,6.75,300
146,6.75,6.75,6.75,6.75,600
147,6.8,6.8,6.8,6.8,200
148,6.75,6.75,6.75,6.75,100
149,6.75,6.75,6.75,6.75,100
150,6.7,6.75,6.7,6.75,300
166,6.725,6.725,6.725,6.725,200
169,6.725,6.75,6.7,6.725,600
170,6.725,6.725,6.725,6.725,100
173,6.75,6.75,6.75,6.75,100
183,6.725,6.725,6.725,6.725,100
186,6.725,6.725,6.7,6.7,1200
187,6.725,6.725,6.725,6.725,100
189,6.725,6.725,6.725,6.725,100
193,6.725,6.725,6.7,6.7,500
194,6.7,6.725,6.7,6.7,1100
198,6.725,6.725,6.725,6.725,202
200,6.725,6.725,6.725,6.725,100
202,6.7,6.7,6.7,6.7,100
212,6.725,6.725,6.725,6.725,100
214,6.725,6.725,6.725,6.725,100
225,6.725,6.725,6.725,6.725,200
232,6.725,6.75,6.725,6.75,700
243,6.75,6.75,6.75,6.75,200
247,6.75,6.75,6.75,6.75,300
248,6.725,6.725,6.725,6.725,100
249,6.725,6.75,6.7,6.75,1000
253,6.725,6.725,6.725,6.725,300
259,6.75,6.75,6.75,6.75,200
260,6.725,6.725,6.7,6.7,200
261,6.75,6.75,6.75,6.75,100
267,6.75,6.75,6.75,6.75,200
268,6.725,6.75,6.725,6.75,300
269,6.725,6.75,6.725,6.725,600
270,6.75,6.75,6.75,6.75,200
271,6.75,6.75,6.725,6.725,600
272,6.75,6.75,6.75,6.75,100
273,6.725,6.75,6.725,6.75,300
274,6.75,6.75,6.75,6.75,100
275,6.75,6.75,6.75,6.75,245
276,6.725,6.75,6.725,6.75,200
277,6.75,6.75,6.75,6.75,100
278,6.775,6.8,6.75,6.75,2668
279,6.775,6.775,6.775,6.775,800
281,6.75,6.75,6.75,6.75,1000
285,6.8,6.8,6.8,6.8,100
286,6.775,6.775,6.775,6.775,400
290,6.75,6.775,6.75,6.775,400
292,6.75,6.75,6.75,6.75,200
294,6.775,6.775,6.775,6.775,200
295,6.775,6.775,6.775,6.775,200
300,6.75,6.8,6.75,6.8,200
302,6.775,6.775,6.775,6.775,1100
305,6.7585,6.7585,6.7585,6.7585,200
310,6.775,6.8,6.75,6.8,523
312,6.775,6.8,6.775,6.8,600
315,6.8,6.8,6.8,6.8,100
320,6.8,6.8,6.8,6.8,110
321,6.775,6.8,6.775,6.8,390
322,6.8,6.8,6.8,6.8,100
330,6.775,6.8,6.775,6.8,300
332,6.8,6.8,6.8,6.8,200
333,6.775,6.8,6.775,6.8,377
335,6.775,6.8,6.775,6.8,700
337,6.775,6.8,6.775,6.8,400
339,6.8,6.8,6.8,6.8,300
340,6.7845,6.7845,6.7845,6.7845,1480
341,6.775,6.775,6.775,6.775,800
342,6.8,6.8,6.775,6.775,400
343,6.8,6.8,6.8,6.8,500
345,6.8,6.8,6.8,6.8,600
349,6.825,6.825,6.775,6.8,2000
350,6.825,6.825,6.825,6.825,400
351,6.825,6.825,6.8,6.825,600
352,6.825,6.825,6.825,6.825,500
353,6.825,6.825,6.825,6.825,100
354,6.825,6.85,6.8,6.825,2900
357,6.8,6.8,6.8,6.8,300
358,6.825,6.85,6.8,6.825,4200
359,6.825,6.85,6.825,6.85,500
360,6.85,6.85,6.85,6.85,100
362,6.825,6.825,6.825,6.825,400
364,6.8,6.85,6.8,6.8,500
365,6.825,6.825,6.825,6.825,100
366,6.825,6.825,6.825,6.825,200
367,6.8,6.8,6.8,6.8,600
368,6.8,6.8,6.8,6.8,300
369,6.8,6.8,6.8,6.8,100
371,6.8,6.825,6.8,6.8,600
373,6.825,6.825,6.825,6.825,400
374,6.825,6.825,6.825,6.825,100
375,6.825,6.825,6.8,6.825,1500
376,6.8,6.8,6.8,6.8,500
377,6.825,6.825,6.8,6.8,1300
378,6.8,6.825,6.8,6.825,300
379,6.8,6.8,6.8,6.8,700
380,6.825,6.825,6.825,6.825,300
381,6.825,6.825,6.8,6.8,500
382,6.825,6.825,6.8,6.825,400
383,6.825,6.825,6.8,6.825,500
385,6.75,6.8,6.75,6.8,4097
386,6.775,6.775,6.775,6.775,100
387,6.75,6.775,6.75,6.75,1447
388,6.775,6.775,6.75,6.75,432
389,6.8,6.8,6.75,6.8,6757
a1520346660,6.75,6.75,6.75,6.75,953
4,6.75,6.75,6.75,6.75,100
5,6.8,6.8,6.8,6.8,100
6,6.8,6.8,6.8,6.8,100
8,6.8,6.8,6.8,6.8,600
9,6.775,6.775,6.775,6.775,250
11,6.8,6.8,6.8,6.8,1020
23,6.8,6.8,6.8,6.8,100
25,6.8,6.8,6.8,6.8,100
