EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,18.05,18.05,18.05,18.05,1961
4,18.15,18.2,18.1,18.1,1800
5,18.2,18.2,18.2,18.2,1000
6,18.25,18.25,18.2,18.2,1050
7,18.3,18.3,18.3,18.3,100
9,18.3,18.3,18.3,18.3,1100
10,18.3,18.3,18.25,18.25,400
12,18.35,18.35,18.319,18.35,993
13,18.35,18.35,18.35,18.35,1848
17,18.3,18.35,18.3,18.35,1800
19,18.3,18.325,18.3,18.325,200
21,18.25,18.25,18.25,18.25,1000
24,18.25,18.25,18.25,18.25,100
25,18.25,18.25,18.25,18.25,100
29,18.275,18.275,18.275,18.275,100
30,18.25,18.275,18.25,18.275,200
41,18.2,18.2,18.2,18.2,100
42,18.225,18.25,18.225,18.25,1151
43,18.225,18.225,18.225,18.225,100
48,18.2,18.225,18.2,18.225,200
50,18.2,18.2,18.2,18.2,1600
53,18.2,18.2,18.2,18.2,100
56,18.15,18.15,18.15,18.15,100
58,18.2,18.25,18.2,18.25,500
60,18.2,18.2,18.2,18.2,500
61,18.15,18.15,18.15,18.15,100
64,18.2,18.2,18.2,18.2,100
67,18.2,18.2,18.2,18.2,200
68,18.2,18.2,18.2,18.2,100
70,18.2,18.2,18.2,18.2,100
71,18.15,18.2,18.15,18.2,500
73,18.2,18.2,18.2,18.2,400
74,18.2,18.2,18.2,18.2,200
76,18.2,18.2,18.2,18.2,100
77,18.15,18.2,18.15,18.2,600
78,18.15,18.2,18.15,18.2,9700
79,18.15,18.15,18.15,18.15,100
81,18.15,18.15,18.15,18.15,200
82,18.15,18.15,18.15,18.15,500
86,18.15,18.15,18.15,18.15,100
88,18.25,18.25,18.2,18.2,2874
98,18.25,18.25,18.25,18.25,100
110,18.3,18.3,18.2,18.3,1190
112,18.3,18.3,18.3,18.3,200
113,18.3,18.3,18.3,18.3,100
115,18.275,18.275,18.275,18.275,100
117,18.35,18.35,18.275,18.3,4138
118,18.325,18.35,18.325,18.35,400
119,18.35,18.35,18.35,18.35,200
120,18.35,18.35,18.32,18.32,595
122,18.35,18.35,18.35,18.35,200
123,18.35,18.35,18.35,18.35,352
125,18.35,18.35,18.35,18.35,100
126,18.305,18.325,18.305,18.325,3000
127,18.35,18.35,18.35,18.35,100
128,18.4,18.4,18.35,18.35,1217
129,18.35,18.4,18.35,18.4,2400
131,18.4,18.4,18.35,18.35,3400
136,18.375,18.375,18.35,18.35,300
142,18.35,18.375,18.35,18.375,500
144,18.375,18.375,18.375,18.375,200
145,18.375,18.375,18.375,18.375,100
146,18.3,18.35,18.275,18.35,3814
150,18.35,18.35,18.35,18.35,738
152,18.3,18.3,18.3,18.3,100
153,18.4,18.4,18.4,18.4,300
155,18.375,18.375,18.375,18.375,100
165,18.3,18.35,18.3,18.35,2391
166,18.3,18.3,18.3,18.3,100
170,18.3,18.3,18.3,18.3,400
177,18.3,18.3,18.25,18.25,600
186,18.3,18.3,18.3,18.3,100
194,18.275,18.275,18.25,18.275,700
195,18.275,18.275,18.275,18.275,100
207,18.275,18.275,18.275,18.275,200
211,18.3,18.3,18.275,18.275,300
215,18.25,18.275,18.25,18.25,800
221,18.25,18.275,18.25,18.275,1900
224,18.275,18.275,18.25,18.25,300
230,18.25,18.25,18.25,18.25,500
233,18.275,18.275,18.275,18.275,100
242,18.2,18.275,18.2,18.25,4400
245,18.25,18.25,18.25,18.25,100
247,18.225,18.25,18.225,18.25,300
249,18.25,18.25,18.25,18.25,200
250,18.2,18.2,18.2,18.2,500
251,18.25,18.25,18.225,18.25,900
252,18.25,18.25,18.25,18.25,800
256,18.225,18.225,18.225,18.225,540
258,18.25,18.25,18.25,18.25,500
260,18.2,18.2,18.2,18.2,100
261,18.225,18.225,18.225,18.225,100
263,18.2,18.2,18.2,18.2,100
265,18.25,18.25,18.2,18.225,1000
270,18.25,18.25,18.25,18.25,200
272,18.275,18.275,18.25,18.25,1000
273,18.25,18.25,18.25,18.25,100
274,18.275,18.275,18.275,18.275,100
275,18.25,18.3,18.25,18.3,300
276,18.2,18.25,18.2,18.25,2100
281,18.2,18.2,18.2,18.2,100
282,18.2,18.225,18.2,18.225,900
283,18.2,18.2,18.2,18.2,1100
284,18.225,18.225,18.225,18.225,100
285,18.25,18.25,18.25,18.25,100
289,18.2,18.225,18.2,18.225,200
290,18.2,18.2,18.2,18.2,1384
294,18.2,18.2,18.2,18.2,900
295,18.225,18.225,18.225,18.225,100
297,18.2,18.2,18.2,18.2,2700
298,18.2,18.2,18.2,18.2,300
302,18.2,18.2,18.2,18.2,500
303,18.225,18.225,18.225,18.225,100
306,18.225,18.25,18.225,18.25,200
307,18.25,18.25,18.25,18.25,700
308,18.25,18.25,18.25,18.25,100
311,18.25,18.25,18.25,18.25,1462
313,18.25,18.275,18.25,18.275,200
314,18.25,18.25,18.25,18.25,3339
319,18.2,18.225,18.2,18.225,700
320,18.225,18.225,18.225,18.225,100
325,18.2,18.2,18.2,18.2,576
326,18.225,18.225,18.225,18.225,585
328,18.2,18.2,18.2,18.2,100
330,18.2,18.225,18.2,18.225,700
333,18.225,18.225,18.225,18.225,200
336,18.275,18.275,18.25,18.25,976
337,18.25,18.25,18.25,18.25,300
338,18.25,18.275,18.25,18.25,500
343,18.2,18.2,18.2,18.2,100
345,18.2,18.25,18.2,18.25,500
350,18.2,18.25,18.2,18.25,200
351,18.275,18.275,18.25,18.25,712
352,18.275,18.275,18.25,18.275,1000
356,18.275,18.275,18.25,18.275,400
357,18.3,18.3,18.275,18.275,300
358,18.275,18.3,18.275,18.3,200
360,18.275,18.275,18.25,18.275,800
364,18.275,18.275,18.275,18.275,100
365,18.325,18.325,18.3,18.3,1960
366,18.325,18.325,18.3,18.3,400
368,18.325,18.325,18.325,18.325,100
369,18.3,18.3,18.3,18.3,100
370,18.25,18.325,18.25,18.325,3048
372,18.25,18.25,18.25,18.25,400
374,18.325,18.325,18.3,18.3,2476
375,18.35,18.35,18.35,18.35,100
376,18.325,18.325,18.3,18.325,400
377,18.3,18.325,18.3,18.325,200
378,18.3,18.325,18.3,18.325,600
379,18.3,18.325,18.3,18.325,600
380,18.3,18.325,18.3,18.3,408
381,18.35,18.35,18.35,18.35,200
384,18.35,18.35,18.35,18.35,100
386,18.325,18.325,18.3,18.325,1508
387,18.35,18.35,18.3,18.3,400
