EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,30.15,30.15,30.15,30.15,2368
5,30.35,30.35,30.35,30.35,200
8,30.3,30.3,30.3,30.3,100
9,30.4,30.4,30.35,30.35,400
16,30.6,30.6,30.4,30.4,1700
17,30.35,30.5,30.35,30.5,1387
18,30.35,30.35,30.3,30.3,300
20,30.3,30.3,30.3,30.3,100
21,30.25,30.25,30.25,30.25,253
25,30.35,30.35,30.35,30.35,100
26,30.4,30.4,30.4,30.4,100
30,30.25,30.25,30.25,30.25,759
34,30.2,30.2,30.15,30.15,400
35,30.15,30.15,30.15,30.15,200
37,30.05,30.15,30.05,30.15,200
38,30.05,30.05,30,30,200
39,30.05,30.05,30.05,30.05,100
40,30.1,30.1,29.95,29.95,200
43,30.05,30.05,30.05,30.05,195
56,30.05,30.05,30.05,30.05,1000
57,30,30,30,30,400
58,29.95,29.95,29.95,29.95,100
66,30.05,30.05,30,30,500
67,29.95,29.95,29.95,29.95,100
68,30,30,30,30,100
69,30,30,30,30,100
77,30,30.05,30,30.05,600
78,29.95,29.95,29.95,29.95,300
80,29.9,29.9,29.9,29.9,100
86,30.1,30.1,30.1,30.1,100
88,30.1,30.1,30.1,30.1,100
90,30.1,30.1,30.1,30.1,200
91,30.1,30.125,30.1,30.125,200
92,30.2,30.25,30.2,30.25,500
93,30.15,30.3,30.15,30.3,1013
94,30.25,30.35,30.15,30.15,7781
95,30.25,30.25,30.25,30.25,1301
96,30.25,30.3,30.25,30.25,2230
97,30.4,30.4,30.25,30.25,6157
98,30.35,30.35,30.35,30.35,800
99,30.35,30.35,30.35,30.35,200
100,30.35,30.45,30.35,30.35,300
101,30.35,30.35,30.35,30.35,1001
102,30.4,30.4,30.3,30.35,3098
103,30.4,30.4,30.35,30.35,800
104,30.4,30.4,30.4,30.4,200
106,30.4,30.4,30.4,30.4,200
107,30.4,30.4,30.4,30.4,100
108,30.4,30.4,30.4,30.4,600
109,30.3,30.3,30.3,30.3,100
110,30.25,30.25,30.25,30.25,396
111,30.35,30.35,30.35,30.35,800
112,30.35,30.35,30.35,30.35,300
113,30.35,30.35,30.35,30.35,100
114,30.35,30.35,30.35,30.35,100
120,30.35,30.35,30.35,30.35,200
122,30.35,30.35,30.35,30.35,100
125,30.35,30.35,30.35,30.35,100
127,30.35,30.35,30.35,30.35,300
130,30.325,30.325,30.325,30.325,100
133,30.5,30.5,30.4,30.4,4799
134,30.4,30.4,30.4,30.4,2982
139,30.45,30.45,30.45,30.45,100
141,30.45,30.45,30.45,30.45,100
143,30.35,30.35,30.35,30.35,500
144,30.35,30.35,30.35,30.35,100
146,30.3,30.3,30.3,30.3,400
147,30.314,30.314,30.314,30.314,144
150,30.25,30.3,30.25,30.3,1981
151,30.275,30.275,30.25,30.25,999
152,30.25,30.25,30.25,30.25,300
153,30.25,30.3,30.25,30.3,7216
154,30.25,30.25,30.25,30.25,750
155,30.25,30.25,30.2,30.2,2400
156,30.2,30.2,30.2,30.2,200
157,30.3,30.3,30.25,30.3,2605
158,30.3,30.3,30.3,30.3,2836
159,30.35,30.35,30.35,30.35,1825
160,30.4,30.4,30.35,30.35,3500
161,30.4,30.4,30.4,30.4,299
162,30.35,30.375,30.35,30.375,1022
163,30.3,30.325,30.3,30.3,800
164,30.3,30.325,30.3,30.325,400
165,30.35,30.35,30.35,30.35,600
166,30.35,30.35,30.35,30.35,100
169,30.4,30.4,30.4,30.4,1200
170,30.475,30.475,30.4,30.4,2340
171,30.4464,30.4464,30.4464,30.4464,200
173,30.4,30.4,30.4,30.4,300
187,30.45,30.45,30.45,30.45,100
191,30.5,30.5,30.5,30.5,100
192,30.6,30.6,30.5,30.5,1749
193,30.6,30.6,30.6,30.6,200
196,30.6,30.6,30.6,30.6,100
199,30.65,30.65,30.65,30.65,100
201,30.7,30.7,30.7,30.7,100
202,30.65,30.65,30.65,30.65,100
206,30.75,30.75,30.75,30.75,100
214,30.8,30.85,30.8,30.8,400
215,30.75,30.85,30.75,30.85,2096
216,30.8,30.8,30.8,30.8,200
217,30.85,30.85,30.85,30.85,100
220,30.85,30.85,30.85,30.85,200
221,30.8,30.8,30.8,30.8,200
229,30.85,30.85,30.85,30.85,100
232,30.8,30.8,30.8,30.8,600
233,30.8,30.8,30.8,30.8,400
235,30.755,30.755,30.755,30.755,200
237,30.75,30.75,30.75,30.75,200
241,30.7,30.7,30.7,30.7,100
242,30.55,30.7,30.55,30.7,2900
244,30.5925,30.5925,30.5454,30.5454,2200
251,30.7,30.7,30.65,30.65,1188
252,30.714,30.714,30.714,30.714,100
253,30.75,30.75,30.75,30.75,100
255,30.6,30.75,30.6,30.75,1900
258,30.6,30.6,30.6,30.6,100
266,30.6,30.6,30.6,30.6,100
268,30.5998,30.5998,30.5998,30.5998,1000
269,30.55,30.6,30.55,30.6,200
270,30.65,30.65,30.65,30.65,1601
272,30.75,30.75,30.7,30.7,200
273,30.75,30.75,30.7,30.7,200
274,30.6,30.65,30.6,30.65,1069
275,30.6,30.6,30.6,30.6,200
277,30.65,30.65,30.55,30.55,200
278,30.6,30.6,30.6,30.6,100
279,30.5,30.65,30.5,30.6,6683
280,30.5,30.55,30.45,30.5,5594
281,30.65,30.65,30.55,30.55,2830
282,30.6,30.65,30.6,30.65,1870
284,30.55,30.63,30.55,30.6,3920
288,30.6,30.6,30.6,30.6,100
290,30.45,30.55,30.45,30.55,1709
291,30.5,30.5,30.5,30.5,400
292,30.55,30.55,30.55,30.55,400
296,30.65,30.65,30.6,30.6,200
299,30.65,30.65,30.65,30.65,538
304,30.65,30.65,30.65,30.65,200
307,30.6,30.6,30.6,30.6,200
318,30.6,30.6,30.6,30.6,100
319,30.6,30.6,30.6,30.6,100
320,30.6,30.6,30.6,30.6,400
321,30.55,30.55,30.55,30.55,100
325,30.5,30.6,30.5,30.6,1800
326,30.55,30.55,30.55,30.55,100
327,30.6,30.6,30.6,30.6,100
332,30.6,30.6,30.6,30.6,800
333,30.55,30.55,30.55,30.55,100
334,30.6,30.6,30.6,30.6,100
335,30.6,30.6,30.6,30.6,100
337,30.65,30.7063,30.65,30.65,1946
339,30.65,30.65,30.65,30.65,100
340,30.6,30.6,30.6,30.6,800
341,30.6,30.6,30.6,30.6,100
343,30.55,30.55,30.55,30.55,100
344,30.6,30.6,30.6,30.6,100
