EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,4.25,4.25,4.25,4.25,2513
3,4.3,4.3,4.3,4.3,100
10,4.34,4.34,4.34,4.34,400
13,4.35,4.4,4.31,4.31,608
14,4.375,4.375,4.375,4.375,100
15,4.4,4.4,4.3,4.35,2100
16,4.35,4.375,4.35,4.35,702
18,4.4,4.4,4.4,4.4,100
19,4.35,4.35,4.35,4.35,496
20,4.3685,4.3685,4.3685,4.3685,200
22,4.4,4.4,4.35,4.35,200
23,4.35,4.35,4.35,4.35,100
25,4.35,4.35,4.35,4.35,290
26,4.35,4.35,4.35,4.35,100
27,4.4,4.4,4.4,4.4,100
29,4.35,4.35,4.35,4.35,518
32,4.35,4.35,4.3,4.35,3479
33,4.5,4.5,4.35,4.35,18090
34,4.431,4.475,4.37,4.45,6283
35,4.44,4.45,4.425,4.45,400
36,4.425,4.425,4.425,4.425,258
37,4.4,4.4,4.4,4.4,1700
38,4.4,4.418,4.4,4.418,1031
42,4.39,4.39,4.39,4.39,440
47,4.35,4.35,4.35,4.35,100
49,4.375,4.4,4.375,4.375,400
53,4.39,4.39,4.39,4.39,350
54,4.4,4.4,4.4,4.4,6000
55,4.405,4.405,4.4,4.4,2900
56,4.4,4.425,4.375,4.4,4890
57,4.4,4.4,4.4,4.4,400
58,4.4,4.4,4.4,4.4,2300
59,4.4,4.4,4.4,4.4,500
60,4.4,4.4,4.4,4.4,500
61,4.4,4.4,4.375,4.4,3000
62,4.4,4.4,4.4,4.4,1200
66,4.445,4.445,4.445,4.445,100
67,4.35,4.4,4.35,4.4,200
71,4.35,4.35,4.35,4.35,100
72,4.45,4.45,4.45,4.45,200
76,4.425,4.45,4.35,4.4,6627
77,4.45,4.45,4.425,4.45,6900
78,4.45,4.45,4.45,4.45,100
79,4.45,4.45,4.45,4.45,1300
80,4.45,4.45,4.45,4.45,700
81,4.45,4.45,4.45,4.45,1365
82,4.45,4.45,4.45,4.45,1865
83,4.45,4.45,4.45,4.45,600
85,4.4,4.4,4.4,4.4,200
89,4.45,4.5,4.45,4.49,3800
90,4.425,4.5,4.425,4.475,1900
91,4.45,4.45,4.45,4.45,700
92,4.5,4.5,4.445,4.445,7393
93,4.505,4.505,4.4866,4.495,6511
94,4.55,4.55,4.525,4.525,3250
95,4.55,4.55,4.55,4.55,7000
96,4.575,4.6,4.575,4.6,5739
97,4.6,4.6,4.5672,4.5672,2052
98,4.6,4.6,4.595,4.595,1500
99,4.6,4.6,4.6,4.6,6100
100,4.65,4.65,4.6248,4.625,1000
101,4.65,4.65,4.61,4.65,1100
102,4.65,4.65,4.625,4.64,5837
103,4.65,4.65,4.64,4.65,800
104,4.65,4.65,4.65,4.65,700
105,4.65,4.65,4.625,4.65,1100
106,4.625,4.65,4.61,4.65,1037
107,4.65,4.65,4.625,4.625,2006
108,4.65,4.65,4.65,4.65,600
109,4.65,4.65,4.65,4.65,400
110,4.65,4.65,4.64,4.64,3900
111,4.65,4.65,4.65,4.65,800
112,4.627,4.65,4.625,4.65,900
113,4.625,4.65,4.625,4.65,800
114,4.65,4.65,4.65,4.65,600
115,4.65,4.65,4.65,4.65,500
116,4.625,4.65,4.625,4.6344,1250
117,4.7,4.7,4.61,4.625,22816
118,4.625,4.675,4.625,4.675,8800
119,4.65,4.65,4.65,4.65,900
120,4.625,4.65,4.625,4.65,500
121,4.65,4.65,4.65,4.65,800
122,4.65,4.65,4.65,4.65,500
123,4.675,4.7,4.625,4.65,24681
124,4.69,4.7,4.69,4.7,600
125,4.7,4.7,4.7,4.7,100
126,4.675,4.7,4.675,4.7,700
127,4.7,4.7,4.6819,4.6819,2525
128,4.7,4.7,4.65,4.7,1800
129,4.7,4.7,4.682,4.682,200
131,4.675,4.7,4.655,4.7,5870
132,4.7,4.7,4.675,4.675,200
133,4.7,4.7,4.675,4.675,1100
134,4.7,4.7,4.6748,4.6748,1000
135,4.7,4.7,4.675,4.675,200
136,4.7,4.7,4.7,4.7,100
137,4.7,4.7,4.675,4.675,200
138,4.725,4.725,4.7,4.7,7681
139,4.745,4.75,4.745,4.75,200
140,4.75,4.75,4.75,4.75,100
141,4.75,4.75,4.75,4.75,100
142,4.75,4.75,4.75,4.75,500
143,4.75,4.75,4.75,4.75,100
144,4.75,4.75,4.75,4.75,1800
145,4.7181,4.75,4.7181,4.75,2300
146,4.74,4.75,4.725,4.725,300
147,4.775,4.8,4.725,4.745,12163
148,4.8304,4.9,4.775,4.775,14322
149,4.85,4.9,4.825,4.85,5970
151,4.85,4.85,4.825,4.85,1600
152,4.85,4.85,4.81,4.81,2500
153,4.85,4.9,4.85,4.85,2100
154,4.9,4.9,4.9,4.9,1600
155,4.8803,4.9,4.86,4.87,2200
156,4.9,4.9,4.9,4.9,400
157,4.9,4.9,4.9,4.9,1100
158,4.85,4.9,4.85,4.875,16346
159,4.8803,4.8803,4.875,4.875,300
160,4.8,4.895,4.725,4.895,29223
161,4.8,4.825,4.775,4.8196,11380
162,4.8,4.85,4.8,4.825,1500
163,4.8,4.825,4.8,4.8,1600
164,4.7,4.825,4.7,4.8,20201
165,4.725,4.8,4.7,4.725,14842
166,4.75,4.75,4.75,4.75,4300
167,4.75,4.75,4.75,4.75,1500
168,4.75,4.75,4.7,4.75,800
169,4.75,4.75,4.75,4.75,1100
170,4.7,4.75,4.7,4.75,4100
171,4.7,4.74,4.7,4.7,12200
172,4.75,4.75,4.7,4.75,10000
173,4.75,4.75,4.725,4.725,200
174,4.6,4.7,4.55,4.7,15507
175,4.675,4.7,4.625,4.625,10600
176,4.65,4.675,4.65,4.675,10050
177,4.6547,4.6547,4.65,4.65,300
178,4.65,4.7,4.65,4.65,3823
179,4.7,4.7,4.65,4.65,7700
180,4.65,4.74,4.65,4.7,3400
181,4.65,4.675,4.64,4.65,13592
182,4.65,4.65,4.65,4.65,100
186,4.65,4.65,4.65,4.65,1300
187,4.65,4.65,4.65,4.65,300
188,4.61,4.61,4.61,4.61,450
189,4.65,4.65,4.65,4.65,200
190,4.65,4.65,4.65,4.65,100
191,4.6,4.65,4.6,4.625,3662
192,4.65,4.65,4.65,4.65,100
193,4.6,4.6283,4.6,4.6,400
195,4.65,4.65,4.65,4.65,100
199,4.625,4.65,4.6,4.6275,1400
202,4.65,4.65,4.65,4.65,100
203,4.625,4.65,4.6,4.6,3100
