EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,263.89,263.89,263.89,263.89,764
5,264.09,264.2,264.09,264.2,300
10,262.01,262.01,262.01,262.01,100
11,262.31,262.31,261.96,262.3,400
18,262.3,262.3,262.26,262.27,400
26,261.995,261.995,261.995,261.995,100
38,262.66,262.66,262.66,262.66,100
43,261.13,261.13,261.13,261.13,100
44,262.32,262.32,262.32,262.32,100
47,261.5,261.5,261.19,261.19,200
48,261.15,261.695,261.14,261.14,300
50,261.405,261.405,261.405,261.405,200
51,261.825,261.825,261.825,261.825,100
63,261.34,261.34,261.34,261.34,100
65,261.24,261.24,261.24,261.24,100
73,260.8,261.29,260.8,261.24,600
75,261.48,261.48,261.48,261.48,100
76,261.5,261.6,261.47,261.47,4300
77,262.455,262.455,262.455,262.455,100
78,262.04,262.04,262.04,262.04,100
87,262.7,262.7,262.7,262.7,100
90,263.835,263.835,263.835,263.835,100
96,262.87,262.87,261.68,261.9,300
97,262.86,262.86,262.8575,262.8575,200
103,261.7705,261.7705,261.7705,261.7705,170
106,263.005,263.005,263.005,263.005,100
110,263.8799,263.88,263.8,263.8,396
114,263.74,263.74,263.74,263.74,100
116,263.8,263.8,263.8,263.8,100
122,263.74,263.74,263.74,263.74,100
124,262.551,262.551,262.551,262.551,105
126,262.7144,262.7144,262.7144,262.7144,147
136,263.63,263.63,263.63,263.63,100
138,263.83,263.83,263.83,263.83,100
141,263.78,263.78,263.78,263.78,100
147,263.03,263.03,263.03,263.03,100
148,263.78,263.78,263.78,263.78,114
150,263.78,263.78,263.78,263.78,100
151,264.26,264.26,263.64,263.64,600
158,264.26,264.26,264.26,264.26,100
159,264.81,264.81,264.81,264.81,100
161,264.395,264.395,264.395,264.395,100
168,264.51,264.51,264.51,264.51,100
170,264.5007,264.515,264.5007,264.515,200
175,264.39,264.39,264.39,264.39,200
185,264.17,264.17,264.17,264.17,100
187,264.54,264.54,264.45,264.45,200
197,264.26,264.26,264.26,264.26,100
205,265,265,265,265,100
206,265,265,265,265,100
210,264.99,264.99,264.99,264.99,100
218,264.49,264.49,264.49,264.49,300
232,264.6265,264.6265,264.6265,264.6265,200
243,264.8,264.8,264.8,264.8,200
249,264.74,264.74,264.74,264.74,500
251,266.47,266.47,264.78,264.78,900
261,265.94,265.94,265.94,265.94,100
262,266.38,266.38,266.38,266.38,100
270,266.47,266.47,266.3,266.3,200
271,266.34,266.39,265.94,266.39,900
272,266.35,266.35,266.35,266.35,100
278,265.54,265.54,265.54,265.54,100
279,265.6104,265.6104,265.4411,265.4411,400
280,265.87,265.87,265.87,265.87,100
281,265.89,265.89,265.89,265.89,200
285,265.22,265.22,265.22,265.22,200
289,265.7,265.86,265.35,265.86,300
293,264.52,264.52,264.52,264.52,100
294,265.4,265.4,265.4,265.4,100
306,265.89,265.89,265.89,265.89,100
311,265.65,265.68,265.65,265.68,604
315,266.105,266.105,266.105,266.105,100
319,265.935,266.22,265.935,266.22,400
320,266.68,266.68,266.22,266.22,400
321,266.89,266.89,266.89,266.89,100
322,266.99,266.99,266.99,266.99,100
326,266.985,266.985,265.9801,266.48,767
330,266.94,266.94,266.94,266.94,100
332,266.94,266.94,266.94,266.94,100
333,266.445,266.445,266.445,266.445,100
337,267.16,268.735,266.79,266.79,2338
338,266.46,267.99,266.46,266.98,700
340,267.0092,267.185,267.0092,267.185,400
347,266.83,266.83,266.83,266.83,100
349,266.945,266.945,266.945,266.945,100
353,266.26,266.26,266.26,266.26,100
355,266.89,266.89,266.89,266.89,100
358,266.95,266.95,266.95,266.95,100
361,266.5,266.5,266.5,266.5,100
362,266.9,266.9,266.9,266.9,100
363,267.9475,267.99,267.82,267.82,500
364,266.65,267.56,266.65,267.56,500
367,267.07,267.36,267.07,267.36,400
368,267.62,267.62,267.62,267.62,100
373,267.875,267.875,267.4965,267.4965,300
374,268.05,268.16,267.56,267.85,800
375,267.08,268.19,267.07,268.06,666
376,268.13,268.13,268.04,268.04,500
378,267.685,268.04,267.685,268.04,200
379,267.68,268.02,267.68,268.02,200
380,267.44,267.44,267.44,267.44,100
381,268.04,268.13,267.725,268.08,1700
382,268.7,268.72,267.98,268.06,4167
383,268.225,268.285,267.87,268.22,700
384,268.2005,268.63,267.76,268.63,500
385,267.81,268.58,267.75,267.9,1600
386,267.57,268.18,267.365,267.785,1500
387,267.335,267.495,267.16,267.25,900
388,267.15,267.465,267.15,267.22,400
389,266.63,266.99,266.55,266.99,1099
390,266.47,266.89,266.3,266.89,5245
a1520346600,267.57,267.57,267.57,267.57,422
6,266.99,266.99,266.99,266.99,100
16,264.7712,264.7712,264.7712,264.7712,100
20,264.51,264.51,264.51,264.51,100
21,263.255,263.53,262.91,263.53,300
28,264.82,264.97,264.73,264.95,1200
34,264.15,264.15,264.15,264.15,140
36,264.1215,264.15,264.1215,264.15,200
38,262.875,262.875,262.875,262.875,100
57,264.785,264.785,264.785,264.785,100
59,265.93,265.93,265.93,265.93,100
69,265.72,265.72,265.72,265.72,100
71,265.72,265.72,265.72,265.72,402
75,265.1,265.15,265.1,265.15,200
80,264.35,264.35,264.26,264.26,400
81,264.35,264.35,264.35,264.35,100
82,264.15,264.15,264.15,264.15,100
85,263.54,264.5,263.54,264.5,434
86,263.46,264.68,263.46,264.68,200
88,261.6892,261.6892,261.6892,261.6892,125
100,263.145,263.145,263.145,263.145,100
101,263.145,263.145,263.145,263.145,100
102,263.1593,263.1593,263.145,263.145,200
103,263.145,263.145,263.145,263.145,100
104,263,263,263,263,100
105,262.32,262.32,262.32,262.32,200
108,263.97,263.97,263.97,263.97,100
111,263.18,263.18,263.1,263.1,394
114,263.45,263.45,263.45,263.45,100
116,263.43,263.43,262.9201,263,300
119,263.56,263.795,263.05,263.795,300
123,262.3,262.45,262.3,262.45,200
127,263.88,263.88,263.63,263.63,300
132,264,264,264,264,100
133,264.65,264.65,264.65,264.65,100
141,264.91,264.91,264.91,264.91,100
143,263.7,263.7,262.725,262.725,200
148,262.46,263.72,262.46,263.72,600
149,267.11,267.2,264.35,264.58,7128
150,265.76,265.915,265.76,265.82,1800
151,265.91,266.28,265.91,266.28,500
153,265.56,266,264.98,265.1,2235
158,265.26,265.585,265.17,265.26,700
159,265.26,265.26,265.26,265.26,100
161,265.26,265.26,265.26,265.26,400
162,265.09,265.65,265.09,265.65,500
