EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,16.23,16.23,16.23,16.23,1750
3,16.3,16.3,16.3,16.3,1990
7,16.42,16.42,16.42,16.42,100
9,16.42,16.42,16.42,16.42,573
10,16.4038,16.4038,16.4038,16.4038,225
12,16.5,16.5,16.46,16.46,580
13,16.5,16.5,16.5,16.5,600
19,16.54,16.54,16.54,16.54,100
21,16.47,16.47,16.47,16.47,990
22,16.38,16.38,16.37,16.37,1000
26,16.34,16.34,16.34,16.34,200
30,16.4094,16.4094,16.4094,16.4094,740
41,16.4,16.4,16.4,16.4,100
45,16.39,16.3999,16.38,16.3999,500
48,16.38,16.38,16.38,16.38,100
49,16.38,16.38,16.38,16.38,200
53,16.38,16.38,16.38,16.38,300
55,16.391,16.391,16.391,16.391,575
59,16.39,16.44,16.39,16.44,2020
64,16.4,16.4,16.4,16.4,200
68,16.4,16.4,16.4,16.4,200
70,16.4,16.4,16.4,16.4,200
72,16.3868,16.3868,16.3868,16.3868,505
75,16.4,16.4,16.4,16.4,100
77,16.39,16.39,16.39,16.39,700
80,16.3748,16.3748,16.3748,16.3748,390
87,16.39,16.39,16.39,16.39,100
88,16.39,16.39,16.39,16.39,100
91,16.39,16.39,16.39,16.39,100
94,16.4,16.4,16.4,16.4,100
98,16.4,16.4,16.4,16.4,400
100,16.4,16.4,16.4,16.4,100
102,16.4,16.4,16.4,16.4,400
103,16.4,16.4,16.4,16.4,200
104,16.4,16.4,16.4,16.4,400
109,16.4,16.4,16.4,16.4,100
110,16.4,16.4,16.4,16.4,1000
111,16.4,16.4,16.4,16.4,2100
112,16.4,16.4,16.3994,16.4,2500
113,16.4,16.4,16.4,16.4,400
114,16.4,16.4,16.4,16.4,200
115,16.41,16.41,16.4,16.4,600
117,16.43,16.43,16.43,16.43,100
120,16.46,16.46,16.46,16.46,200
127,16.45,16.45,16.45,16.45,200
128,16.45,16.45,16.44,16.45,530
131,16.45,16.45,16.45,16.45,100
135,16.4825,16.4825,16.4825,16.4825,100
137,16.45,16.45,16.45,16.45,100
148,16.44,16.44,16.44,16.44,200
159,16.43,16.46,16.43,16.46,400
161,16.46,16.46,16.45,16.46,600
162,16.45,16.45,16.45,16.45,100
163,16.4306,16.4306,16.4306,16.4306,200
166,16.42,16.42,16.42,16.42,100
171,16.4324,16.4324,16.4324,16.4324,1925
172,16.42,16.42,16.42,16.42,200
182,16.44,16.44,16.44,16.44,533
188,16.43,16.43,16.43,16.43,200
201,16.45,16.45,16.45,16.45,100
203,16.45,16.45,16.45,16.45,100
206,16.44,16.44,16.44,16.44,100
212,16.46,16.46,16.46,16.46,100
221,16.4699,16.4699,16.4699,16.4699,1000
223,16.5,16.5,16.49,16.49,500
227,16.4978,16.4978,16.4978,16.4978,1017
230,16.46,16.495,16.46,16.49,826
239,16.45,16.47,16.45,16.47,300
241,16.44,16.44,16.44,16.44,100
242,16.43,16.43,16.43,16.43,100
255,16.41,16.41,16.41,16.41,300
264,16.39,16.39,16.39,16.39,100
267,16.42,16.42,16.42,16.42,100
268,16.42,16.42,16.42,16.42,500
272,16.41,16.43,16.41,16.43,500
274,16.39,16.41,16.39,16.41,400
283,16.37,16.37,16.37,16.37,200
290,16.37,16.37,16.37,16.37,200
296,16.37,16.39,16.37,16.39,400
300,16.4,16.4,16.4,16.4,100
308,16.41,16.41,16.41,16.41,100
310,16.43,16.43,16.42,16.43,600
317,16.45,16.45,16.45,16.45,100
318,16.4503,16.4503,16.44,16.4495,1200
322,16.44,16.45,16.44,16.45,300
327,16.45,16.45,16.45,16.45,200
334,16.47,16.47,16.47,16.47,100
340,16.44,16.46,16.44,16.46,627
344,16.4399,16.4399,16.4399,16.4399,300
346,16.43,16.43,16.43,16.43,100
353,16.44,16.45,16.44,16.45,1000
354,16.44,16.44,16.44,16.44,100
357,16.44,16.44,16.44,16.44,200
362,16.44,16.44,16.42,16.42,200
363,16.42,16.44,16.42,16.44,700
367,16.42,16.43,16.42,16.43,200
369,16.44,16.44,16.43,16.43,886
371,16.45,16.46,16.45,16.46,200
372,16.44,16.4502,16.44,16.4502,206
374,16.45,16.46,16.45,16.45,753
375,16.44,16.44,16.44,16.44,1300
376,16.44,16.45,16.44,16.44,400
377,16.44,16.44,16.44,16.44,189
379,16.44,16.44,16.43,16.43,200
380,16.43,16.43,16.43,16.43,300
381,16.41,16.43,16.41,16.43,200
383,16.42,16.42,16.42,16.42,311
384,16.42,16.42,16.42,16.42,100
386,16.41,16.42,16.41,16.41,500
387,16.4,16.4,16.4,16.4,580
388,16.395,16.395,16.395,16.395,100
389,16.39,16.4,16.39,16.39,975
390,16.39,16.4,16.39,16.4,200
a1520346600,16.4,16.4,16.4,16.4,423
4,16.38,16.4,16.38,16.4,200
6,16.32,16.32,16.32,16.32,100
8,16.3,16.3,16.3,16.3,1300
10,16.31,16.31,16.31,16.31,100
17,16.37,16.37,16.36,16.36,200
22,16.33,16.33,16.33,16.33,100
23,16.32,16.32,16.32,16.32,100
25,16.32,16.32,16.32,16.32,100
27,16.35,16.35,16.35,16.35,500
30,16.3698,16.3698,16.3698,16.3698,125
33,16.36,16.36,16.36,16.36,200
34,16.36,16.36,16.36,16.36,300
36,16.36,16.36,16.36,16.36,100
40,16.36,16.36,16.36,16.36,100
42,16.36,16.3601,16.36,16.3601,500
45,16.33,16.33,16.33,16.33,100
46,16.35,16.35,16.35,16.35,360
50,16.37,16.37,16.36,16.36,400
52,16.43,16.43,16.41,16.41,500
60,16.4,16.4,16.4,16.4,100
61,16.37,16.37,16.37,16.37,100
64,16.3634,16.3634,16.35,16.35,254
66,16.34,16.34,16.34,16.34,100
68,16.34,16.34,16.34,16.34,100
74,16.34,16.34,16.34,16.34,100
75,16.35,16.35,16.35,16.35,122
76,16.35,16.35,16.35,16.35,700
78,16.33,16.33,16.33,16.33,100
79,16.32,16.33,16.32,16.33,1200
81,16.3,16.3,16.3,16.3,100
82,16.31,16.31,16.31,16.31,200
84,16.31,16.31,16.31,16.31,400
86,16.3,16.3,16.3,16.3,100
89,16.3,16.3,16.3,16.3,100
90,16.32,16.32,16.32,16.32,100
91,16.32,16.32,16.32,16.32,100
92,16.34,16.34,16.34,16.34,200
97,16.37,16.37,16.37,16.37,350
98,16.4161,16.43,16.3983,16.3999,2300
106,16.4069,16.4069,16.4069,16.4069,1407
