EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,18.54,18.54,18.54,18.54,174
8,18.75,18.75,18.64,18.64,2900
9,18.89,18.89,18.88,18.89,400
17,18.88,18.88,18.7461,18.7461,351
35,18.8,18.82,18.77,18.77,1389
40,18.7401,18.7401,18.7401,18.7401,200
41,18.75,18.75,18.75,18.75,100
51,18.765,18.765,18.765,18.765,100
52,18.79,18.79,18.79,18.79,100
53,18.83,18.83,18.765,18.765,1023
65,18.84,18.84,18.8,18.8,200
68,18.82,18.82,18.82,18.82,100
69,18.79,18.79,18.79,18.79,100
77,18.77,18.77,18.77,18.77,300
79,18.77,18.77,18.74,18.77,1111
80,18.78,18.78,18.7799,18.78,475
82,18.79,18.8,18.79,18.8,300
90,18.75,18.75,18.72,18.72,400
94,18.75,18.75,18.74,18.74,300
96,18.77,18.77,18.75,18.75,889
97,18.83,18.83,18.79,18.8,300
98,18.79,18.79,18.79,18.79,100
106,18.88,18.88,18.88,18.88,100
108,18.88,18.88,18.88,18.88,100
112,18.87,18.87,18.87,18.87,100
114,18.92,18.92,18.87,18.87,291
123,18.88,18.88,18.88,18.88,100
130,18.865,18.865,18.865,18.865,100
131,18.9,18.9,18.88,18.88,202
133,18.88,18.9,18.88,18.9,314
139,18.9,18.9,18.9,18.9,100
147,18.88,18.9,18.88,18.9,400
153,18.91,18.91,18.9,18.9,336
157,18.92,18.92,18.9051,18.9051,200
162,18.89,18.89,18.89,18.89,100
166,18.83,18.83,18.83,18.83,100
167,18.83,18.83,18.83,18.83,200
168,18.82,18.82,18.82,18.82,100
172,18.83,18.83,18.81,18.82,300
176,18.78,18.78,18.78,18.78,100
181,18.83,18.83,18.83,18.83,100
182,18.8,18.8,18.8,18.8,100
185,18.79,18.79,18.79,18.79,100
186,18.79,18.79,18.79,18.79,100
188,18.8,18.8,18.8,18.8,100
190,18.81,18.81,18.81,18.81,200
195,18.79,18.79,18.79,18.79,100
198,18.79,18.79,18.79,18.79,100
204,18.79,18.79,18.79,18.79,100
205,18.87,18.87,18.82,18.82,701
206,18.84,18.84,18.84,18.84,100
207,18.86,18.86,18.86,18.86,100
209,18.87,18.87,18.85,18.85,400
215,18.89,18.89,18.88,18.88,302
218,18.91,18.91,18.88,18.88,500
220,18.85,18.85,18.85,18.85,100
223,18.86,18.86,18.86,18.86,200
226,18.85,18.85,18.85,18.85,100
227,18.87,18.87,18.87,18.87,100
228,18.88,18.88,18.87,18.87,340
229,18.9,18.9,18.9,18.9,100
230,18.86,18.86,18.86,18.86,136
237,18.87,18.87,18.87,18.87,100
238,18.91,18.91,18.91,18.91,100
239,18.86,18.87,18.86,18.87,400
241,18.87,18.87,18.85,18.86,400
242,18.84,18.85,18.84,18.85,300
246,18.86,18.9,18.85,18.86,900
249,18.86,18.86,18.86,18.86,100
250,18.8458,18.8458,18.8458,18.8458,277
252,18.87,18.87,18.83,18.87,300
253,18.87,18.87,18.87,18.87,300
254,18.87,18.87,18.87,18.87,100
255,18.87,18.87,18.85,18.85,300
256,18.84,18.84,18.84,18.84,100
261,18.85,18.87,18.85,18.87,200
262,18.89,18.89,18.87,18.87,439
263,18.92,18.92,18.8925,18.8925,336
265,18.91,18.91,18.91,18.91,100
266,18.96,18.96,18.96,18.96,200
267,18.94,18.94,18.94,18.94,200
268,18.915,18.915,18.915,18.915,100
272,18.9,18.9,18.9,18.9,100
273,18.9,18.9,18.9,18.9,200
276,18.85,18.85,18.85,18.85,100
278,18.85,18.87,18.85,18.87,200
280,18.92,18.92,18.92,18.92,100
283,18.905,18.905,18.89,18.89,300
290,18.89,18.89,18.87,18.87,200
291,18.87,18.87,18.87,18.87,200
295,18.89,18.9,18.88,18.885,500
296,18.94,18.98,18.94,18.94,1300
298,18.93,18.94,18.93,18.94,300
304,18.88,18.88,18.87,18.88,400
306,18.88,18.88,18.88,18.88,100
307,18.88,18.88,18.88,18.88,200
308,18.91,18.92,18.89,18.9,900
309,18.91,18.91,18.91,18.91,100
311,18.95,18.96,18.9278,18.93,900
314,18.92,18.96,18.92,18.96,1346
317,18.92,18.92,18.92,18.92,100
319,18.94,18.94,18.93,18.93,200
323,18.94,18.94,18.94,18.94,100
324,18.925,18.925,18.925,18.925,100
327,18.94,18.94,18.94,18.94,153
329,18.93,18.93,18.93,18.93,100
331,18.945,18.945,18.93,18.93,300
335,18.97,18.98,18.97,18.97,543
336,18.99,18.99,18.96,18.96,989
338,18.975,18.975,18.975,18.975,100
341,18.97,18.97,18.97,18.97,200
342,18.96,18.96,18.96,18.96,100
343,18.94,18.94,18.94,18.94,100
345,18.955,18.955,18.955,18.955,100
349,18.98,18.98,18.97,18.97,500
350,19.05,19.05,19,19,402
353,19.03,19.03,19.03,19.03,1264
354,19.05,19.05,19.05,19.05,100
355,19.01,19.01,19.01,19.01,100
356,19.01,19.01,19.01,19.01,200
357,19.01,19.01,19.01,19.01,100
358,19.01,19.01,19.01,19.01,300
359,19,19.01,19,19.01,200
360,19,19,19,19,100
361,19,19,19,19,100
362,19.02,19.02,19,19,400
364,19.02,19.02,19.02,19.02,300
365,19.02,19.02,19.01,19.01,200
367,19.02,19.02,19.02,19.02,100
368,19.02,19.02,19.02,19.02,100
369,19.02,19.02,19.02,19.02,100
370,19.02,19.02,19.02,19.02,100
371,19.03,19.05,19.03,19.03,800
372,19.04,19.06,19.04,19.05,692
373,19.07,19.07,19.07,19.07,100
374,19.08,19.08,19.06,19.065,600
375,19.05,19.07,19.05,19.07,900
376,19.05,19.07,19.05,19.05,1000
377,19.06,19.07,19.05,19.05,1700
378,19.05,19.05,19.05,19.05,100
380,19.065,19.065,19.065,19.065,100
381,19.04,19.06,19.04,19.05,605
383,18.99,19.04,18.99,19.04,2172
384,19.03,19.03,19.03,19.03,300
385,19.02,19.02,19.02,19.02,100
386,19,19.02,18.98,19.01,646
387,18.96,19.01,18.96,19.01,1619
388,19,19,18.97,18.99,2205
389,18.98,18.98,18.96,18.98,1900
390,18.95,19,18.95,18.98,4037
a1520346600,18.97,18.97,18.97,18.97,1107
1,19.19,19.19,19.19,19.19,474
6,18.9,18.9325,18.9,18.9325,400
10,18.94,18.95,18.91,18.91,960
20,18.9301,18.9301,18.9301,18.9301,116
23,18.945,18.945,18.945,18.945,200
25,18.99,18.99,18.96,18.96,300
31,18.92,18.94,18.905,18.94,1300
