EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,68.3,68.3,68.3,68.3,926
1,67.9,67.9,67.9,67.9,100
2,68.55,68.55,68.55,68.55,100
18,68.325,68.325,68.325,68.325,100
35,68.35,68.35,68.35,68.35,500
39,68.4,68.4,68.4,68.4,100
41,68.3,68.3,68.3,68.3,100
44,68.35,68.35,68.35,68.35,100
48,68.1,68.25,68.1,68.25,400
51,68.3,68.3,68.3,68.3,100
58,68.25,68.25,68.25,68.25,100
63,68.3,68.3,68.3,68.3,100
65,68.45,68.55,68.45,68.55,200
67,68.2176,68.2176,68.2176,68.2176,100
74,68.4,68.45,68.35,68.45,300
77,68.3,68.35,68.3,68.35,300
94,68.35,68.558,68.3,68.558,613
95,68.3,68.3,68.3,68.3,100
100,68.65,68.65,68.65,68.65,100
102,68.65,68.65,68.65,68.65,100
108,68.7,68.7,68.7,68.7,100
114,68.675,68.675,68.675,68.675,100
116,68.7,68.8,68.7,68.8,200
121,68.8,68.8,68.8,68.8,200
131,69,69,68.85,68.85,200
137,68.9,68.9,68.9,68.9,100
153,69,69.05,68.85,68.85,1000
155,69.1,69.1,69.1,69.1,100
162,69.15,69.15,69.15,69.15,100
163,69.1,69.1,69.1,69.1,100
190,69.075,69.075,69.075,69.075,100
199,69.0239,69.0239,69.0239,69.0239,128
203,69.1,69.1,69.1,69.1,100
205,69.2,69.2,69.2,69.2,100
207,69.175,69.175,69.175,69.175,100
215,69.2,69.2,69.2,69.2,100
219,69.225,69.225,69.225,69.225,100
233,69.05,69.05,69.05,69.05,100
237,69.175,69.175,69.175,69.175,100
238,69.175,69.175,69.175,69.175,100
239,69.15,69.15,69.15,69.15,100
240,69.25,69.25,69.25,69.25,100
241,69.25,69.25,69.25,69.25,100
242,69.3,69.3,69.2,69.2,640
243,69.35,69.35,69.35,69.35,100
252,69.4,69.4,69.4,69.4,300
253,69.375,69.4,69.375,69.4,200
254,69.2,69.3,69.2,69.3,200
264,69.25,69.25,69.25,69.25,100
271,69.35,69.35,69.35,69.35,100
273,69.35,69.35,69.35,69.35,200
276,69.325,69.325,69.325,69.325,100
277,69.2,69.25,69.2,69.25,500
286,69.25,69.25,69.175,69.175,400
289,69.35,69.35,69.35,69.35,100
295,69.2,69.2,69.2,69.2,300
298,69.275,69.275,69.275,69.275,100
303,69.4,69.4,69.4,69.4,100
308,69.4,69.4,69.4,69.4,242
309,69.4,69.4,69.375,69.375,718
311,69.45,69.45,69.45,69.45,100
312,69.425,69.425,69.425,69.425,100
315,69.425,69.425,69.425,69.425,200
317,69.5,69.5,69.5,69.5,100
318,69.425,69.425,69.425,69.425,100
319,69.5,69.5,69.45,69.5,600
325,69.55,69.55,69.5,69.5,200
326,69.55,69.55,69.55,69.55,200
328,69.6,69.6,69.6,69.6,100
331,69.55,69.6,69.55,69.6,900
332,69.65,69.65,69.65,69.65,100
335,69.65,69.65,69.65,69.65,400
336,69.6,69.6,69.6,69.6,201
338,69.6,69.675,69.6,69.675,600
340,69.55,69.55,69.55,69.55,200
343,69.55,69.55,69.55,69.55,100
344,69.45,69.45,69.45,69.45,200
351,69.5,69.5,69.5,69.5,200
352,69.55,69.55,69.55,69.55,100
354,69.575,69.575,69.575,69.575,100
357,69.5473,69.55,69.45,69.55,1100
358,69.45,69.45,69.4,69.45,300
362,69.7,69.7,69.5,69.5,500
366,69.6,69.6,69.6,69.6,200
368,69.7,69.7,69.65,69.65,417
369,69.7,69.725,69.7,69.725,400
371,69.65,69.65,69.65,69.65,400
373,69.65,69.7,69.65,69.7,300
374,69.6,69.683,69.6,69.6495,2247
375,69.7,69.7,69.625,69.65,700
376,69.7,69.7,69.7,69.7,200
377,69.8,69.8,69.8,69.8,100
378,69.725,69.725,69.725,69.725,400
380,69.8,69.8,69.8,69.8,100
381,69.65,69.75,69.65,69.725,1472
383,69.625,69.65,69.6,69.65,600
384,69.65,69.65,69.625,69.625,981
385,69.6,69.6,69.6,69.6,295
386,69.55,69.55,69.5,69.55,500
387,69.45,69.45,69.45,69.45,100
388,69.5,69.5,69.5,69.5,100
389,69.4,69.4,69.4,69.4,340
390,69.45,69.45,69.35,69.4,1192
a1520346660,69.75,69.75,69.75,69.75,1178
1,69.25,69.25,69.25,69.25,100
3,69,69.25,69,69.25,500
5,68.9,68.9,68.9,68.9,100
6,68.95,68.95,68.95,68.95,250
10,69.05,69.05,69.05,69.05,100
18,69,69,69,69,100
20,68.8,68.8,68.8,68.8,400
29,68.6666,68.6666,68.6666,68.6666,150
31,68.55,68.6,68.55,68.6,470
37,68.55,68.55,68.5,68.5,400
38,68.5,68.5,68.5,68.5,500
40,68.45,68.45,68.45,68.45,100
54,68.4,68.4,68.4,68.4,200
58,68.5,68.5,68.5,68.5,100
66,68.45,68.5,68.45,68.5,400
68,68.55,68.55,68.45,68.55,1500
70,68.4,68.4,68.4,68.4,100
77,68.6,68.6,68.6,68.6,100
82,68.4,68.4,68.4,68.4,300
84,68.2,68.2,68.2,68.2,450
88,68.1,68.1,68.1,68.1,100
92,68.3,68.3,68.3,68.3,100
96,68.25,68.35,68.25,68.3,1400
103,68.25,68.25,68.25,68.25,100
106,68.55,68.55,68.4,68.4,200
107,68.55,68.55,68.55,68.55,100
110,68.55,68.55,68.55,68.55,200
136,68.775,68.775,68.775,68.775,100
144,68.65,68.65,68.65,68.65,100
145,68.65,68.65,68.65,68.65,100
146,68.75,68.75,68.7,68.7,200
156,69.1,69.1,69.1,69.1,100
157,69.15,69.15,69.15,69.15,100
194,69.05,69.05,69.05,69.05,100
199,68.975,68.975,68.95,68.95,401
202,69.15,69.15,69.1,69.1,400
209,69.4,69.4,69.4,69.4,100
219,69.25,69.25,69.25,69.25,300
220,69.3,69.3,69.3,69.3,100
221,69.15,69.2548,69.15,69.2548,249
227,69.15,69.15,69.15,69.15,100
237,69.1,69.1,69.1,69.1,400
242,69.125,69.125,69.125,69.125,100
255,69.15,69.15,69.15,69.15,100
259,68.7,68.85,68.7,68.85,974
261,68.7,68.7,68.7,68.7,100
267,68.75,68.75,68.75,68.75,100
270,68.65,68.65,68.65,68.65,100
280,68.6,68.6,68.6,68.6,100
285,68.5,68.5,68.5,68.5,100
295,68.65,68.65,68.65,68.65,290
301,68.65,68.65,68.65,68.65,200
303,68.6,68.6,68.6,68.6,221
305,68.7,68.7,68.7,68.7,400
