EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,18.65,18.65,18.65,18.65,265
4,18.75,18.75,18.75,18.75,100
6,18.85,18.85,18.85,18.85,1000
8,18.95,18.95,18.95,18.95,100
20,18.8,18.85,18.8,18.85,1038
21,18.75,18.75,18.75,18.75,600
35,18.85,18.85,18.85,18.85,100
39,18.75,18.75,18.75,18.75,100
44,18.75,18.75,18.75,18.75,810
46,18.8,18.8,18.8,18.8,200
52,18.8,18.8,18.8,18.8,100
65,18.8,18.8,18.8,18.8,100
67,18.85,18.85,18.85,18.85,100
68,18.85,18.85,18.85,18.85,600
75,18.9,18.9,18.9,18.9,100
78,18.9,18.9,18.9,18.9,100
88,18.85,18.85,18.85,18.85,100
95,18.9,18.9,18.9,18.9,800
98,18.95,18.95,18.9,18.9,300
109,18.9502,18.9502,18.9502,18.9502,100
112,18.95,18.95,18.95,18.95,100
115,19,19,19,19,100
130,19,19,19,19,100
143,19,19,19,19,200
146,18.95,18.95,18.95,18.95,400
171,18.9,18.9,18.9,18.9,962
194,18.9,18.9,18.9,18.9,100
196,18.9,18.9,18.9,18.9,100
215,18.9,18.9,18.9,18.9,800
218,18.95,18.95,18.9,18.9,892
220,18.95,18.95,18.95,18.95,100
221,18.95,18.95,18.95,18.95,300
227,18.95,18.95,18.95,18.95,100
233,19,19,18.9,18.9,752
234,19,19,19,19,200
235,19.05,19.05,19.05,19.05,200
236,19.05,19.05,19.05,19.05,500
242,19.1,19.1,19.1,19.1,100
245,19,19.05,19,19.05,600
246,19.1,19.1,19.1,19.1,100
260,19.1,19.1,19,19,1100
262,19,19,19,19,100
266,19.1,19.1,19.1,19.1,100
270,19.15,19.15,19.15,19.15,225
271,19.15,19.15,19.15,19.15,300
274,19.175,19.175,19.15,19.15,482
275,19.2,19.2,19.2,19.2,100
276,19.1,19.1,19.1,19.1,100
277,19.1,19.1,19.1,19.1,200
278,19.1,19.1,19.1,19.1,100
279,19.1,19.1,19.05,19.05,600
281,19.1,19.1,19.1,19.1,100
284,19.1,19.1,19.1,19.1,100
289,19.1,19.1,19.1,19.1,100
290,19.1,19.1,19.1,19.1,200
297,19.1,19.1,19.1,19.1,279
301,19.1,19.15,19.1,19.15,200
324,19.15,19.15,19.15,19.15,152
330,19.2,19.2,19.2,19.2,100
331,19.25,19.25,19.2,19.2,400
333,19.2,19.2,19.2,19.2,100
336,19.25,19.25,19.25,19.25,300
337,19.262,19.262,19.262,19.262,200
339,19.3,19.3,19.3,19.3,125
341,19.25,19.25,19.2,19.2,700
345,19.25,19.25,19.25,19.25,500
346,19.25,19.25,19.2,19.25,1000
348,19.225,19.225,19.225,19.225,100
350,19.25,19.25,19.25,19.25,300
355,19.25,19.25,19.25,19.25,100
357,19.25,19.25,19.25,19.25,200
358,19.225,19.225,19.2,19.2,300
359,19.225,19.225,19.225,19.225,100
360,19.2,19.2,19.2,19.2,100
364,19.2,19.2,19.15,19.15,200
365,19.25,19.25,19.25,19.25,200
370,19.2,19.2,19.2,19.2,100
371,19.25,19.25,19.25,19.25,100
373,19.25,19.25,19.25,19.25,100
376,19.2,19.25,19.2,19.25,800
380,19.2,19.2,19.2,19.2,373
382,19.2,19.2,19.175,19.2,600
384,19.2,19.2,19.2,19.2,200
385,19.15,19.15,19.15,19.15,100
386,19.15,19.15,19.1,19.15,1300
387,19.15,19.2,19.125,19.15,2600
388,19.15,19.2,19.15,19.2,583
389,19.15,19.2,19.15,19.15,1742
390,19.15,19.2,19.15,19.2,2199
a1520346660,19.15,19.15,19.15,19.15,361
3,19.2,19.2,19.2,19.2,200
5,19.2,19.2,19.2,19.2,200
12,19.2,19.2,19.2,19.2,855
13,19.2125,19.2125,19.2,19.2,300
14,19.2,19.2,19.2,19.2,200
15,19.2,19.2,19.1,19.1,400
24,19.25,19.25,19.25,19.25,136
42,19.3,19.3,19.3,19.3,100
45,19.2,19.2,19.2,19.2,100
57,19.3,19.3,19.3,19.3,800
59,19.4,19.4,19.4,19.4,300
60,19.35,19.4,19.35,19.4,300
66,19.35,19.4,19.35,19.35,1738
67,19.3,19.35,19.3,19.35,280
74,19.3,19.3,19.3,19.3,100
77,19.25,19.3,19.25,19.25,400
78,19.25,19.25,19.25,19.25,200
79,19.25,19.25,19.25,19.25,200
80,19.15,19.25,19.15,19.25,1500
81,19.2,19.2,19.2,19.2,700
82,19.1999,19.1999,19.1999,19.1999,200
83,19.2,19.2,19.2,19.2,200
84,19.15,19.2,19.1465,19.2,1000
85,19.2,19.2,19.2,19.2,100
87,19.15,19.15,19.15,19.15,200
91,19.2,19.2,19.2,19.2,200
95,19.2,19.25,19.2,19.25,200
104,19.2,19.2,19.2,19.2,100
106,19.25,19.25,19.2,19.2,300
117,19.225,19.25,19.225,19.25,200
124,19.225,19.225,19.225,19.225,100
125,19.25,19.25,19.25,19.25,600
126,19.275,19.275,19.275,19.275,100
133,19.25,19.25,19.25,19.25,100
135,19.25,19.25,19.25,19.25,100
137,19.275,19.275,19.25,19.25,200
139,19.25,19.25,19.25,19.25,100
141,19.25,19.25,19.25,19.25,100
143,19.25,19.25,19.25,19.25,100
145,19.275,19.275,19.25,19.25,200
147,19.25,19.25,19.25,19.25,100
149,19.25,19.25,19.25,19.25,100
150,19.25,19.25,19.25,19.25,800
151,19.25,19.25,19.25,19.25,400
152,19.25,19.25,19.25,19.25,100
156,19.25,19.25,19.25,19.25,100
158,19.25,19.25,19.25,19.25,100
165,19.275,19.275,19.275,19.275,100
167,19.275,19.275,19.275,19.275,100
186,19.275,19.275,19.275,19.275,100
188,19.25,19.25,19.25,19.25,200
192,19.275,19.275,19.275,19.275,200
194,19.3,19.3,19.3,19.3,191
200,19.3,19.35,19.3,19.35,1300
201,19.3,19.3,19.3,19.3,100
203,19.3386,19.3386,19.3386,19.3386,600
211,19.4,19.4,19.35,19.35,700
215,19.4,19.4,19.4,19.4,100
218,19.4,19.4,19.375,19.375,200
223,19.3862,19.3862,19.3862,19.3862,1700
224,19.4,19.4,19.4,19.4,300
226,19.375,19.375,19.375,19.375,100
239,19.35,19.35,19.3,19.35,1153
246,19.35,19.35,19.35,19.35,200
247,19.35,19.35,19.35,19.35,200
248,19.4,19.4,19.4,19.4,300
260,19.4,19.4,19.35,19.35,200
261,19.375,19.375,19.375,19.375,100
265,19.375,19.375,19.375,19.375,100
