EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,21.64,21.64,21.64,21.64,1040
3,21.6633,21.6633,21.6633,21.6633,200
9,21.6653,21.7,21.6653,21.6655,698
21,21.6206,21.6498,21.6206,21.6498,1100
22,21.6767,21.68,21.6767,21.68,500
28,21.6767,21.68,21.6767,21.68,500
34,21.6767,21.68,21.6767,21.68,1000
50,21.64,21.64,21.64,21.64,100
54,21.6471,21.6471,21.6471,21.6471,840
70,21.63,21.63,21.63,21.63,400
77,21.62,21.633,21.62,21.63,3646
100,21.626,21.626,21.626,21.626,200
128,21.626,21.65,21.62,21.65,2870
130,21.6584,21.6584,21.6584,21.6584,801
135,21.6631,21.6631,21.6631,21.6631,100
149,21.645,21.645,21.62,21.62,401
161,21.62,21.6699,21.62,21.6699,2600
164,21.67,21.67,21.62,21.62,2821
175,21.6401,21.6401,21.6401,21.6401,325
180,21.6541,21.6541,21.6541,21.6541,2451
182,21.6429,21.6429,21.6429,21.6429,1000
183,21.6573,21.6573,21.6573,21.6573,458
184,21.63,21.63,21.63,21.63,200
219,21.64,21.655,21.64,21.655,271
240,21.6683,21.6699,21.6683,21.6699,638
262,21.67,21.67,21.67,21.67,300
279,21.6775,21.6775,21.6775,21.6775,233
300,21.68,21.68,21.68,21.68,100
301,21.66,21.67,21.66,21.67,1300
302,21.6652,21.6652,21.6652,21.6652,280
303,21.67,21.67,21.67,21.67,100
309,21.65,21.653,21.65,21.65,1147
313,21.66,21.66,21.66,21.66,100
317,21.6545,21.6545,21.65,21.65,600
322,21.65,21.6687,21.65,21.65,2722
335,21.6598,21.6598,21.6598,21.6598,100
337,21.64,21.64,21.64,21.64,100
363,21.65,21.65,21.65,21.65,200
367,21.66,21.66,21.65,21.65,580
375,21.65,21.65,21.65,21.65,600
385,21.66,21.66,21.63,21.65,1900
386,21.67,21.67,21.67,21.67,100
387,21.66,21.66,21.66,21.66,188
390,21.68,21.68,21.68,21.68,100
a1520346600,21.68,21.68,21.68,21.68,220
30,21.65,21.65,21.65,21.65,100
58,21.67,21.69,21.665,21.68,1400
61,21.7,21.7,21.67,21.67,5124
88,21.7,21.75,21.6975,21.6975,1200
99,21.7001,21.7001,21.7001,21.7001,349
100,21.72,21.72,21.72,21.72,100
108,21.73,21.73,21.7101,21.7101,700
122,21.7318,21.7318,21.7318,21.7318,223
134,21.725,21.725,21.725,21.725,250
139,21.725,21.74,21.725,21.725,800
175,21.728,21.728,21.728,21.728,141
180,21.73,21.73,21.73,21.73,100
195,21.71,21.72,21.71,21.72,400
215,21.72,21.72,21.71,21.72,1400
216,21.715,21.715,21.715,21.715,1000
228,21.7172,21.7172,21.7172,21.7172,100
233,21.71,21.71,21.71,21.71,940
239,21.7148,21.7148,21.7148,21.7148,300
243,21.71,21.71,21.71,21.71,100
246,21.7105,21.7105,21.71,21.71,298
248,21.7175,21.72,21.7175,21.72,686
259,21.72,21.72,21.72,21.72,132
260,21.71,21.72,21.71,21.72,320
264,21.72,21.72,21.72,21.72,101
269,21.71,21.71,21.71,21.71,100
270,21.72,21.72,21.71,21.71,1405
277,21.715,21.7179,21.715,21.7179,700
279,21.71,21.71,21.71,21.71,600
280,21.72,21.72,21.71,21.71,350
285,21.715,21.7199,21.715,21.715,1400
288,21.715,21.715,21.715,21.715,200
289,21.71,21.71,21.71,21.71,420
298,21.7101,21.7101,21.7101,21.7101,600
306,21.73,21.73,21.73,21.73,100
312,21.7247,21.7247,21.7247,21.7247,920
313,21.73,21.73,21.73,21.73,100
316,21.72,21.72,21.72,21.72,400
320,21.72,21.72,21.72,21.72,100
328,21.72,21.72,21.72,21.72,150
332,21.7187,21.7187,21.7187,21.7187,125
341,21.72,21.75,21.72,21.72,7240
342,21.7328,21.7328,21.7328,21.7328,500
351,21.75,21.75,21.72,21.72,780
370,21.716,21.725,21.716,21.725,740
373,21.725,21.729,21.71,21.71,900
379,21.71,21.71,21.71,21.71,600
382,21.7138,21.7138,21.7138,21.7138,114
385,21.72,21.72,21.72,21.72,100
390,21.72,21.72,21.71,21.71,300
a1520433000,21.74,21.74,21.74,21.74,550
15,21.7248,21.7248,21.7248,21.7248,100
27,21.7499,21.7499,21.7499,21.7499,125
44,21.74,21.74,21.73,21.73,2100
48,21.7316,21.7316,21.7316,21.7316,500
59,21.736,21.736,21.736,21.736,500
65,21.74,21.74,21.74,21.74,100
75,21.725,21.749,21.725,21.749,655
91,21.7366,21.74,21.72,21.735,900
110,21.716,21.716,21.716,21.716,350
115,21.76,21.76,21.738,21.74,1750
141,21.7133,21.7133,21.7133,21.7133,185
144,21.72,21.72,21.72,21.72,100
152,21.75,21.75,21.75,21.75,100
153,21.7176,21.7176,21.7176,21.7176,225
178,21.7127,21.7127,21.7101,21.7104,610
218,21.73,21.73,21.73,21.73,100
220,21.725,21.725,21.72,21.72,400
223,21.7201,21.7201,21.7201,21.7201,160
230,21.74,21.74,21.74,21.74,100
233,21.74,21.74,21.73,21.73,200
246,21.7352,21.7352,21.7352,21.7352,310
248,21.7301,21.7301,21.7301,21.7301,350
282,21.71,21.73,21.71,21.73,4050
286,21.72,21.72,21.715,21.715,200
288,21.73,21.73,21.715,21.715,815
318,21.8,21.8,21.76,21.76,1300
322,21.775,21.775,21.775,21.775,250
333,21.782,21.782,21.782,21.782,1500
337,21.8,21.8,21.76,21.76,200
367,21.81,21.81,21.78,21.78,2200
368,21.8099,21.8099,21.8099,21.8099,500
378,21.7756,21.7756,21.7756,21.7756,180
379,21.8052,21.8052,21.8052,21.8052,140
385,21.78,21.78,21.78,21.78,100
390,21.76,21.8,21.76,21.8,400
a1520519400,21.82,21.82,21.82,21.82,290
16,21.85,21.85,21.85,21.85,100
17,21.82,21.9563,21.82,21.86,1568
27,21.9453,21.9453,21.9453,21.9453,1000
54,21.959,21.959,21.959,21.959,455
55,21.9108,21.9108,21.9,21.91,5400
64,21.9165,21.9165,21.9165,21.9165,289
77,21.9,21.9,21.9,21.9,100
83,21.9298,21.9351,21.9298,21.9351,1200
89,21.9007,21.9007,21.9007,21.9007,200
91,21.9582,21.9582,21.9582,21.9582,500
99,21.99,21.99,21.965,21.97,2000
100,21.99,21.99,21.99,21.99,100
125,21.962,21.9801,21.962,21.9801,1040
128,21.95,21.95,21.95,21.95,400
129,21.966,21.966,21.966,21.966,1000
