EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,1.7,1.7,1.7,1.7,3290
3,1.725,1.725,1.725,1.725,180
5,1.725,1.725,1.725,1.725,361
6,1.7,1.7,1.7,1.7,100
8,1.725,1.725,1.725,1.725,100
9,1.725,1.725,1.7,1.7,200
16,1.725,1.725,1.7,1.7,200
17,1.725,1.725,1.725,1.725,100
25,1.7,1.725,1.7,1.725,616
29,1.699,1.7001,1.65,1.7,18123
31,1.675,1.675,1.675,1.675,100
33,1.675,1.675,1.675,1.675,100
34,1.6625,1.675,1.6625,1.675,200
46,1.655,1.655,1.655,1.655,200
48,1.6,1.675,1.6,1.675,42579
55,1.6035,1.6035,1.6035,1.6035,200
56,1.6173,1.6173,1.6173,1.6173,470
58,1.6327,1.6327,1.6327,1.6327,1000
59,1.6,1.6,1.6,1.6,100
61,1.6,1.625,1.6,1.625,200
63,1.6,1.65,1.6,1.65,270
64,1.6,1.6,1.6,1.6,200
65,1.6,1.6,1.6,1.6,300
70,1.6,1.6,1.6,1.6,23838
71,1.6,1.6001,1.6,1.6,4900
76,1.6,1.6,1.6,1.6,100
82,1.6,1.6,1.6,1.6,200
84,1.6,1.6,1.6,1.6,100
85,1.6,1.6,1.6,1.6,300
87,1.6274,1.6274,1.6274,1.6274,1000
90,1.625,1.625,1.6,1.6,11604
91,1.6035,1.6035,1.6035,1.6035,200
95,1.625,1.625,1.625,1.625,100
99,1.625,1.65,1.625,1.65,1540
100,1.6,1.6,1.6,1.6,200
104,1.6,1.6,1.6,1.6,200
105,1.625,1.625,1.6,1.6,200
107,1.625,1.649,1.625,1.649,560
109,1.6035,1.6035,1.6035,1.6035,200
110,1.6,1.6499,1.6,1.6499,2858
113,1.6321,1.6321,1.6321,1.6321,100
116,1.6042,1.6042,1.6042,1.6042,340
118,1.6035,1.6035,1.6035,1.6035,200
124,1.6,1.6125,1.6,1.6125,300
127,1.625,1.625,1.6035,1.6035,300
130,1.6001,1.6001,1.6001,1.6001,100
131,1.625,1.625,1.625,1.625,400
136,1.6035,1.6035,1.6035,1.6035,200
138,1.625,1.642,1.625,1.642,6100
142,1.6499,1.6499,1.6499,1.6499,115
145,1.6035,1.6035,1.6035,1.6035,200
147,1.625,1.625,1.6,1.6,400
154,1.6035,1.6035,1.6035,1.6035,200
163,1.6035,1.6035,1.6035,1.6035,200
166,1.65,1.65,1.65,1.65,100
171,1.6125,1.6125,1.6125,1.6125,200
172,1.6035,1.6125,1.6035,1.6125,300
178,1.625,1.65,1.625,1.65,1000
181,1.6035,1.6035,1.6035,1.6035,200
183,1.625,1.625,1.6059,1.625,6100
190,1.6035,1.6035,1.6035,1.6035,200
195,1.625,1.625,1.625,1.625,100
199,1.6035,1.65,1.6035,1.65,300
205,1.6,1.6,1.6,1.6,100
206,1.625,1.65,1.6,1.65,500
208,1.6035,1.6035,1.6035,1.6035,200
214,1.65,1.65,1.65,1.65,100
217,1.6035,1.6035,1.6035,1.6035,200
226,1.625,1.625,1.6035,1.6035,300
230,1.6001,1.6001,1.6001,1.6001,153
235,1.6035,1.6035,1.6035,1.6035,200
237,1.6468,1.6468,1.6468,1.6468,137
238,1.6499,1.6499,1.6499,1.6499,150
240,1.649,1.649,1.649,1.649,339
244,1.6035,1.6035,1.6035,1.6035,200
247,1.625,1.625,1.625,1.625,100
249,1.65,1.65,1.65,1.65,100
250,1.65,1.65,1.65,1.65,100
253,1.6035,1.6035,1.6035,1.6035,200
257,1.65,1.65,1.65,1.65,300
259,1.6125,1.65,1.6125,1.65,300
260,1.65,1.65,1.65,1.65,100
262,1.6035,1.6035,1.6035,1.6035,200
263,1.65,1.65,1.65,1.65,100
267,1.625,1.625,1.6,1.6,200
271,1.625,1.6499,1.6035,1.644,5510
275,1.65,1.65,1.65,1.65,100
278,1.625,1.625,1.6,1.6,3776
280,1.601,1.601,1.601,1.601,200
283,1.65,1.65,1.65,1.65,400
289,1.625,1.625,1.6035,1.6035,300
298,1.6035,1.625,1.6035,1.625,300
303,1.65,1.65,1.65,1.65,100
307,1.65,1.65,1.6035,1.65,600
311,1.65,1.65,1.65,1.65,100
316,1.6035,1.6035,1.6035,1.6035,200
319,1.65,1.65,1.65,1.65,300
321,1.6,1.6,1.6,1.6,100
325,1.625,1.65,1.6,1.65,500
326,1.625,1.625,1.625,1.625,100
329,1.601,1.601,1.601,1.601,100
330,1.65,1.65,1.65,1.65,258
331,1.6035,1.6035,1.6035,1.6035,100
332,1.625,1.625,1.625,1.625,100
336,1.6125,1.65,1.6125,1.65,300
337,1.65,1.65,1.65,1.65,100
339,1.65,1.65,1.65,1.65,300
347,1.65,1.65,1.65,1.65,100
348,1.65,1.65,1.65,1.65,300
350,1.625,1.65,1.625,1.65,300
355,1.65,1.65,1.65,1.65,300
356,1.65,1.65,1.65,1.65,100
362,1.65,1.65,1.65,1.65,300
364,1.65,1.65,1.65,1.65,294
368,1.65,1.65,1.65,1.65,102
370,1.625,1.65,1.625,1.65,602
371,1.65,1.65,1.65,1.65,100
372,1.625,1.625,1.625,1.625,500
373,1.65,1.65,1.6125,1.65,500
374,1.65,1.65,1.65,1.65,100
376,1.65,1.65,1.65,1.65,100
378,1.65,1.65,1.65,1.65,100
379,1.65,1.65,1.625,1.625,416
380,1.625,1.625,1.601,1.601,1160
381,1.65,1.65,1.65,1.65,100
382,1.6,1.65,1.6,1.625,2692
383,1.625,1.625,1.625,1.625,200
385,1.6,1.6,1.6,1.6,200
386,1.65,1.65,1.6,1.6,200
387,1.6,1.625,1.6,1.6,400
388,1.625,1.65,1.6,1.6,600
389,1.6,1.6,1.6,1.6,300
390,1.625,1.65,1.6,1.6,4719
a1520346660,1.6499,1.65,1.6,1.65,234127
1,1.6,1.6438,1.6,1.603,2283
2,1.625,1.6499,1.625,1.6499,1100
5,1.65,1.65,1.6,1.65,12125
6,1.6346,1.6437,1.625,1.6343,5233
14,1.625,1.625,1.625,1.625,100
15,1.6125,1.65,1.6125,1.65,400
16,1.605,1.605,1.605,1.605,222
17,1.649,1.649,1.625,1.625,406
19,1.625,1.625,1.625,1.625,100
20,1.65,1.65,1.65,1.65,100
22,1.625,1.625,1.625,1.625,100
23,1.625,1.625,1.625,1.625,200
25,1.625,1.625,1.625,1.625,100
27,1.619,1.619,1.619,1.619,480
28,1.65,1.65,1.625,1.625,300
