EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,70.7,70.7,70.7,70.7,1198
1,69.92,69.92,69.92,69.92,100
2,70.46,70.46,70.46,70.46,140
4,70.895,70.895,70.525,70.525,500
5,71.04,71.04,70.91,70.91,400
6,71.05,71.05,71.05,71.05,100
7,71.255,71.29,71.06,71.06,800
11,71.59,71.59,71.59,71.59,100
12,70.99,70.99,70.99,70.99,670
14,70.73,71.04,70.73,71.01,4000
16,70.755,70.755,70.755,70.755,100
18,70.75,70.9,70.75,70.9,800
23,70.95,71.07,70.83,70.93,7622
24,70.8901,70.8901,70.8901,70.8901,200
27,71.08,71.08,71,71.02,1715
30,70.9,70.99,70.9,70.99,700
31,70.8492,70.8492,70.8492,70.8492,117
33,70.7289,70.75,70.7289,70.75,340
36,70.69,70.74,70.69,70.72,300
39,70.63,70.63,70.63,70.63,100
40,70.72,70.72,70.64,70.64,300
42,70.51,70.62,70.51,70.62,1800
45,70.4,70.4,70.4,70.4,100
47,70.52,70.58,70.52,70.53,1000
48,70.56,70.63,70.56,70.63,200
50,70.61,70.61,70.61,70.61,100
51,70.66,70.66,70.65,70.66,481
57,70.6,70.7,70.6,70.7,1000
58,70.55,70.55,70.48,70.48,300
59,70.61,70.61,70.61,70.61,100
60,70.76,70.76,70.76,70.76,198
63,70.6101,70.6101,70.6101,70.6101,200
65,70.57,70.64,70.57,70.64,800
66,70.5699,70.5699,70.5699,70.5699,322
67,70.59,70.59,70.59,70.59,100
69,70.76,70.76,70.69,70.69,400
73,70.71,70.71,70.71,70.71,400
75,70.675,70.675,70.675,70.675,100
76,70.635,70.635,70.635,70.635,100
77,70.605,70.61,70.605,70.61,200
78,70.54,70.54,70.54,70.54,100
79,70.495,70.495,70.4701,70.4701,300
84,70.555,70.555,70.555,70.555,100
85,70.5,70.5,70.5,70.5,300
88,70.72,70.72,70.55,70.55,1500
89,70.71,70.79,70.71,70.78,800
91,70.84,70.84,70.84,70.84,100
92,70.75,70.87,70.75,70.87,765
93,70.75,70.75,70.75,70.75,100
97,70.74,70.84,70.74,70.83,3423
98,70.82,70.82,70.82,70.82,100
100,70.92,70.92,70.82,70.82,200
102,70.865,70.9,70.84,70.88,2190
103,70.98,70.98,70.895,70.9,1700
104,70.9,70.97,70.86,70.9,2300
106,70.9,70.9,70.9,70.9,300
107,70.81,70.9,70.8,70.9,1033
109,70.92,70.92,70.9,70.9,200
110,70.9,70.92,70.9,70.92,200
111,70.92,70.92,70.92,70.92,100
112,70.8,70.9,70.79,70.9,800
113,70.85,70.9,70.84,70.84,1733
114,70.8948,70.92,70.8948,70.92,433
115,70.91,70.92,70.91,70.92,600
116,70.835,70.89,70.835,70.85,900
117,70.85,70.91,70.85,70.9,900
118,70.87,70.87,70.87,70.87,300
120,70.89,70.89,70.89,70.89,200
122,70.85,70.95,70.85,70.95,2041
123,70.81,70.89,70.81,70.82,2900
126,70.8301,70.8301,70.7901,70.7901,423
127,70.78,70.78,70.77,70.78,400
128,70.86,70.86,70.77,70.77,300
129,70.89,70.9,70.83,70.88,1300
130,70.95,70.95,70.81,70.88,3250
131,70.91,70.93,70.82,70.89,4898
132,71.13,71.15,70.91,71.04,1547
133,71.0835,71.15,71.0835,71.13,1256
134,71.065,71.16,71.065,71.13,1900
135,71.0505,71.1,71.0505,71.08,2000
136,71.1,71.12,71,71.09,5091
137,71.005,71.15,71.005,71.1,2500
138,71.16,71.17,71.03,71.03,1050
139,71.25,71.28,71.2,71.21,990
140,71.27,71.28,71.25,71.25,500
141,71.37,71.39,71.35,71.35,500
142,71.5,71.5,71.43,71.43,1080
145,71.45,71.45,71.43,71.43,200
146,71.35,71.43,71.35,71.43,500
147,71.2401,71.36,71.2401,71.35,641
149,71.385,71.385,71.36,71.36,200
155,71.42,71.445,71.42,71.42,500
156,71.44,71.44,71.36,71.42,700
159,71.33,71.33,71.33,71.33,100
163,71.2801,71.2801,71.2801,71.2801,200
165,71.26,71.27,71.26,71.27,200
167,71.23,71.24,71.23,71.24,200
168,71.23,71.23,71.23,71.23,100
171,71.23,71.23,71.18,71.21,600
172,71.16,71.21,71.16,71.21,200
173,71.1001,71.19,71.1001,71.19,400
174,71.11,71.13,71.11,71.13,300
176,71.16,71.19,71.105,71.12,800
179,71.24,71.24,71.24,71.24,100
182,71.17,71.19,71.17,71.19,400
183,71.21,71.21,71.21,71.21,100
184,71.22,71.22,71.17,71.17,200
189,71.18,71.2,71.18,71.2,200
191,71.23,71.23,71.215,71.215,600
192,71.2,71.21,71.19,71.21,500
193,71.19,71.19,71.19,71.19,100
195,71.13,71.17,71.13,71.17,400
196,71.13,71.14,71.13,71.14,300
197,71.11,71.14,71.11,71.11,1800
198,71.04,71.11,71.035,71.11,2353
201,71.075,71.075,71.07,71.07,282
202,71.05,71.05,71.05,71.05,300
203,70.96,71.04,70.96,71.03,2000
204,71,71,70.99,70.99,1000
207,71.005,71.005,71.005,71.005,100
208,71.05,71.05,71.05,71.05,100
210,71.0201,71.07,71.015,71.04,600
211,71.06,71.06,71.025,71.04,600
214,70.98,71.01,70.975,71.01,1920
215,70.99,70.99,70.99,70.99,100
218,70.98,71.01,70.98,71.01,800
220,70.95,70.95,70.95,70.95,200
221,70.97,70.98,70.97,70.97,500
222,71.01,71.02,71.01,71.01,300
223,71.01,71.04,71.01,71.03,600
224,71.075,71.075,71.01,71.035,400
227,71.07,71.08,71.07,71.08,200
228,71.04,71.04,71.04,71.04,100
230,71.05,71.07,71.05,71.07,300
231,71.03,71.04,71,71.04,2000
232,71.04,71.06,71.04,71.04,600
233,71.08,71.1,71.08,71.08,700
234,71.16,71.16,71.08,71.1,800
235,71.17,71.17,71.15,71.15,400
236,71.1,71.19,71.09,71.18,700
237,71.14,71.23,71.14,71.14,500
238,71.14,71.18,71.14,71.18,200
240,71.16,71.16,71.12,71.12,600
242,71.18,71.22,71.18,71.22,400
243,71.09,71.09,71.09,71.09,100
244,71.12,71.13,71.1,71.13,300
245,71.17,71.17,71.13,71.13,500
247,71.19,71.22,71.19,71.22,300
249,71.2,71.2,71.19,71.19,200
251,71.25,71.27,71.22,71.22,1000
252,71.295,71.295,71.295,71.295,200
253,71.29,71.29,71.29,71.29,400
254,71.29,71.29,71.29,71.29,100
257,71.23,71.23,71.23,71.23,100
258,71.18,71.19,71.18,71.18,624
