EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,19.8,19.8,19.8,19.8,274
17,19.9,19.9,19.9,19.9,200
19,19.9,19.9,19.9,19.9,500
23,19.8,19.8,19.8,19.8,100
26,19.85,19.85,19.85,19.85,205
33,19.85,19.85,19.85,19.85,200
38,19.85,19.85,19.85,19.85,400
48,19.7,19.7,19.7,19.7,200
54,19.75,19.75,19.75,19.75,500
67,19.9,19.9,19.9,19.9,100
76,19.8,19.8,19.8,19.8,100
82,19.9,19.9,19.9,19.9,500
90,19.9,19.9,19.9,19.9,100
94,19.85,19.85,19.85,19.85,100
97,19.85,19.85,19.85,19.85,100
100,19.9,19.9,19.85,19.85,500
102,19.95,19.95,19.95,19.95,100
110,20,20,19.9,19.9,300
125,20,20,20,20,100
126,19.9,19.9,19.9,19.9,100
136,20,20,20,20,1342
142,20.05,20.05,20.05,20.05,100
146,20.025,20.025,20.025,20.025,100
149,20.05,20.05,20.05,20.05,100
162,20.05,20.05,20.05,20.05,100
168,20,20,20,20,868
181,20,20,20,20,100
187,19.9,19.9,19.9,19.9,200
206,19.85,19.85,19.85,19.85,300
212,19.85,19.85,19.85,19.85,100
213,19.87,19.87,19.87,19.87,145
221,19.9,19.9,19.9,19.9,100
225,19.9,19.9,19.9,19.9,100
233,19.95,19.95,19.95,19.95,200
236,19.95,19.95,19.95,19.95,377
246,19.9,19.9,19.9,19.9,100
257,19.85,19.85,19.85,19.85,100
258,19.8,19.8,19.8,19.8,100
263,19.8,19.8,19.8,19.8,669
265,19.8,19.8,19.8,19.8,200
271,19.9,19.9,19.85,19.85,1394
273,19.95,19.95,19.95,19.95,100
277,19.85,19.85,19.85,19.85,100
279,19.95,19.95,19.95,19.95,100
283,19.85,19.9,19.85,19.9,300
287,19.8,19.8,19.8,19.8,100
290,19.75,19.8,19.75,19.8,700
298,19.866,19.866,19.8,19.8,779
303,19.9,19.9,19.9,19.9,100
307,19.85,19.85,19.85,19.85,100
312,19.9,19.95,19.9,19.95,200
316,19.95,19.95,19.95,19.95,100
322,19.85,19.85,19.85,19.85,100
326,19.9,19.9,19.9,19.9,400
329,19.95,19.95,19.95,19.95,100
330,19.9,19.95,19.9,19.95,700
336,19.95,19.95,19.95,19.95,100
337,19.85,19.85,19.85,19.85,100
340,19.875,19.875,19.875,19.875,100
351,19.9,19.9,19.9,19.9,200
359,19.9,19.9,19.9,19.9,100
360,19.95,19.95,19.9,19.9,345
361,19.9,19.9,19.9,19.9,400
365,19.9,19.9,19.9,19.9,100
367,19.9,19.9,19.9,19.9,100
369,19.95,19.95,19.95,19.95,1700
370,19.95,19.95,19.95,19.95,100
375,19.975,20,19.95,19.95,600
377,19.95,19.95,19.95,19.95,500
379,19.95,19.95,19.95,19.95,300
383,19.975,20,19.975,20,600
385,20,20,20,20,300
386,19.975,20,19.975,20,500
387,19.925,19.95,19.925,19.95,1754
388,19.95,19.975,19.925,19.95,2632
389,19.9,19.95,19.9,19.95,1317
390,19.9,19.95,19.9,19.9,1600
a1520346600,19.95,19.95,19.95,19.95,225
1,19.8,19.8,19.8,19.8,159
5,19.9,19.9,19.9,19.9,400
7,19.95,19.95,19.85,19.85,1000
32,19.85,19.9,19.8,19.9,1600
33,19.8,19.8,19.8,19.8,100
38,19.8,19.8,19.8,19.8,100
45,19.8,19.8,19.8,19.8,700
52,19.85,19.85,19.85,19.85,200
56,19.8035,19.8035,19.8035,19.8035,345
65,19.85,19.85,19.85,19.85,300
66,19.85,19.85,19.85,19.85,300
67,19.95,19.95,19.95,19.95,100
76,19.85,19.85,19.85,19.85,200
78,19.825,19.825,19.8,19.8,1200
79,19.8,19.8,19.8,19.8,900
80,19.8,19.8,19.8,19.8,700
81,19.8,19.8,19.8,19.8,100
82,19.825,19.85,19.825,19.85,500
85,19.8,19.8,19.8,19.8,700
87,19.8,19.85,19.8,19.85,300
89,19.8252,19.8252,19.8,19.8,1135
101,19.9,19.9,19.9,19.9,400
103,19.9,19.9,19.9,19.9,100
106,20,20,20,20,200
107,20.0215,20.0215,20.0215,20.0215,1000
111,20.05,20.05,20.05,20.05,100
114,20,20,20,20,500
115,19.95,19.95,19.95,19.95,100
116,19.95,19.95,19.95,19.95,200
130,19.95,19.95,19.95,19.95,100
131,19.9,19.9,19.9,19.9,100
132,19.85,19.89,19.85,19.89,500
141,19.925,19.925,19.925,19.925,100
149,19.95,19.95,19.95,19.95,200
154,20,20,19.95,19.95,400
160,20.05,20.05,20.05,20.05,100
165,20.025,20.05,20,20.05,400
172,20.025,20.025,20.025,20.025,100
173,20.05,20.05,20.05,20.05,100
174,20.0298,20.0298,20.0298,20.0298,760
177,20.05,20.05,20.05,20.05,300
180,20.05,20.05,20,20,200
182,20.05,20.1,20.05,20.1,200
183,20.05,20.05,20.05,20.05,100
192,20.15,20.15,20.1,20.1,400
193,20.1,20.1,20.1,20.1,100
194,20.15,20.15,20.1,20.1,300
195,20.05,20.1,20.05,20.1,900
204,19.95,19.95,19.95,19.95,100
206,20,20.05,20,20,400
207,20.1,20.1,20.05,20.05,400
225,20.025,20.05,20.025,20.05,700
226,20.05,20.05,20.05,20.05,400
231,20.05,20.05,20.05,20.05,100
246,20,20,20,20,200
247,20.025,20.025,20.025,20.025,100
249,20,20,20,20,300
250,19.95,20,19.95,20,400
252,19.975,19.975,19.975,19.975,100
263,19.925,19.925,19.925,19.925,1102
265,19.95,19.95,19.931,19.931,3114
270,20,20,20,20,100
272,20,20,20,20,200
273,20,20,20,20,100
277,19.95,19.95,19.95,19.95,100
278,20,20,19.9775,19.9775,450
283,20.025,20.025,20.025,20.025,100
286,20.03,20.03,20.025,20.025,539
288,20.025,20.025,20.025,20.025,100
289,20.05,20.05,20.05,20.05,200
292,20,20,20,20,100
300,20.05,20.05,20.045,20.05,700
301,20.075,20.075,20.075,20.075,100
302,20.1,20.1,20.1,20.1,100
307,20.1,20.1,20.1,20.1,100
308,20.1,20.1,20.1,20.1,400
309,20.088,20.088,20.088,20.088,1350
320,20.15,20.15,20.15,20.15,100
321,20.125,20.125,20.125,20.125,100
326,20.05,20.1,20.05,20.1,600
338,20.1,20.1,20.1,20.1,100
339,20.1,20.1,20.1,20.1,100
340,20.075,20.075,20.075,20.075,100
346,20.075,20.075,20.075,20.075,100
351,20.1,20.1,20.1,20.1,100
352,20.05,20.075,20.05,20.075,200
