EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,80.38,80.38,80.38,80.38,474
11,80.71,80.71,80.66,80.7,1447
12,80.91,80.91,80.84,80.84,500
13,80.8,80.8,80.8,80.8,1100
14,80.97,80.97,80.97,80.97,100
19,81.219,81.219,81.219,81.219,200
20,80.935,81.035,80.78,81.035,943
21,80.8,81.0495,80.8,81.03,1000
22,81.24,81.24,81.17,81.17,1500
23,81.27,81.37,81.18,81.18,2026
24,81.414,81.414,81.3305,81.39,940
25,81.345,81.345,81.345,81.345,100
26,81.32,81.34,81.32,81.34,1354
29,81.51,81.51,81.51,81.51,100
30,81.4,81.56,81.4,81.56,1100
36,81.685,81.685,81.685,81.685,194
38,81.61,81.62,81.61,81.62,1022
40,81.72,81.72,81.67,81.67,1288
44,81.71,81.73,81.71,81.72,778
45,81.69,81.69,81.69,81.69,122
46,81.54,81.63,81.54,81.63,500
47,81.61,81.61,81.61,81.61,100
50,81.64,81.64,81.59,81.59,599
51,81.68,81.68,81.68,81.68,198
55,81.72,81.72,81.58,81.62,1051
58,81.46,81.46,81.46,81.46,100
63,81.65,81.65,81.49,81.565,601
66,81.71,81.71,81.71,81.71,100
68,81.74,81.74,81.74,81.74,200
70,81.76,81.76,81.71,81.71,200
71,81.74,81.74,81.74,81.74,100
72,81.64,81.66,81.62,81.64,911
73,81.58,81.59,81.58,81.59,300
79,81.66,81.66,81.54,81.54,300
83,81.7,81.72,81.7,81.72,456
88,81.76,81.82,81.76,81.81,700
89,81.82,81.82,81.82,81.82,500
91,81.86,81.87,81.86,81.86,500
92,81.86,81.86,81.86,81.86,100
94,81.84,81.84,81.84,81.84,600
96,81.9,81.9,81.9,81.9,100
97,81.92,81.92,81.92,81.92,100
98,82,82,81.95,81.95,600
101,81.96,81.995,81.91,81.94,881
104,82.05,82.05,82.05,82.05,300
105,82.08,82.11,82.08,82.09,400
107,82.11,82.12,82.11,82.12,300
114,82.18,82.18,82.18,82.18,800
118,82.29,82.29,82.29,82.29,100
120,82.32,82.32,82.251,82.3,400
122,82.395,82.395,82.395,82.395,100
125,82.14,82.27,82.14,82.27,1673
126,82.14,82.14,82.14,82.14,100
129,82.11,82.11,82.11,82.11,100
131,82.25,82.3,82.17,82.17,697
132,82.24,82.31,82.24,82.31,500
133,82.24,82.24,82.24,82.24,500
134,82.2,82.2,82.2,82.2,300
135,82.23,82.27,82.19,82.19,500
136,82.14,82.19,82.14,82.19,500
138,82.13,82.13,82.13,82.13,100
142,82.09,82.09,82.09,82.09,100
145,82.04,82.13,82.04,82.13,600
149,81.98,82,81.98,82,200
153,82.15,82.15,82.045,82.09,901
155,82.15,82.15,82.15,82.15,300
159,82.1401,82.15,82.1401,82.15,400
160,82.15,82.15,82.15,82.15,100
161,82.15,82.24,82.15,82.15,1400
162,82.16,82.19,82.16,82.19,400
164,82.14,82.2,82.14,82.175,2044
165,82.07,82.12,82.07,82.12,600
167,82.03,82.03,82.03,82.03,200
169,82.04,82.05,82.04,82.05,700
170,82.12,82.12,82.07,82.07,801
177,82.08,82.08,82.08,82.08,100
179,82.15,82.21,82.15,82.21,700
180,82.17,82.21,82.15,82.21,700
181,82.15,82.155,82.15,82.155,300
182,82.08,82.15,82.08,82.15,900
184,82.1,82.1,82.1,82.1,100
187,82.15,82.18,82.13,82.13,540
189,82.15,82.18,82.15,82.15,600
191,82.24,82.24,82.24,82.24,200
192,82.23,82.23,82.23,82.23,100
194,82.19,82.23,82.19,82.23,761
197,82.18,82.18,82.18,82.18,100
198,82.15,82.15,82.15,82.15,100
203,82.191,82.191,82.191,82.191,125
206,82.12,82.15,82.12,82.15,605
207,82.09,82.09,82.09,82.09,170
208,82.14,82.17,82.11,82.11,600
210,82.27,82.27,82.27,82.27,100
218,82.11,82.18,82.11,82.18,843
219,82.11,82.11,82.11,82.11,101
224,82.12,82.19,82.115,82.19,400
226,82.23,82.28,82.23,82.28,283
227,82.16,82.16,82.16,82.16,100
228,82.23,82.23,82.23,82.23,100
229,82.23,82.23,82.23,82.23,100
230,82.06,82.16,82.06,82.16,500
237,82.165,82.22,82.15,82.22,500
241,82.12,82.12,82.12,82.12,267
242,82.04,82.12,82.04,82.12,900
246,82.05,82.05,82.04,82.04,200
247,82.05,82.1,82.04,82.04,900
250,82.05,82.05,82.05,82.05,200
251,82.1,82.1,82.1,82.1,100
254,82.07,82.11,82.07,82.11,525
255,82.05,82.06,82.05,82.06,300
256,82,82,82,82,100
257,82.11,82.11,82.07,82.07,200
258,82.03,82.06,82.03,82.06,400
259,82,82.02,82,82.02,200
260,82.07,82.07,82.07,82.07,400
262,82.06,82.06,82.0385,82.0385,305
265,81.97,81.97,81.97,81.97,100
266,81.99,82.04,81.99,82.04,300
268,81.97,81.97,81.97,81.97,100
270,81.93,81.98,81.93,81.98,700
273,81.88,81.89,81.88,81.89,600
274,81.84,81.84,81.84,81.84,100
276,81.75,81.75,81.75,81.75,100
279,81.87,81.87,81.82,81.83,1033
284,81.8,81.84,81.8,81.84,1086
285,81.78,81.78,81.78,81.78,100
288,81.84,81.85,81.77,81.77,900
290,81.76,81.77,81.76,81.77,400
291,81.79,81.79,81.79,81.79,100
293,81.82,81.82,81.82,81.82,200
294,81.77,81.81,81.77,81.81,200
296,81.84,81.84,81.84,81.84,100
297,81.91,81.91,81.91,81.91,100
298,81.8,81.82,81.8,81.82,200
299,81.75,81.79,81.75,81.79,400
301,81.8008,81.8008,81.8008,81.8008,100
302,81.74,81.74,81.74,81.74,100
303,81.75,81.75,81.75,81.75,100
304,81.82,81.82,81.82,81.82,100
306,81.77,81.77,81.77,81.77,100
307,81.75,81.76,81.75,81.76,700
308,81.81,81.81,81.72,81.72,200
309,81.76,81.82,81.76,81.82,300
310,81.77,81.77,81.77,81.77,100
312,81.76,81.77,81.76,81.77,200
313,81.77,81.77,81.77,81.77,100
316,81.82,81.82,81.82,81.82,100
318,81.84,81.95,81.82,81.82,1297
319,81.88,81.99,81.88,81.99,200
320,81.96,82,81.96,82,1200
321,82,82,81.99,81.99,300
322,82,82.06,82,82.06,300
323,82.06,82.06,82,82,200
324,82.05,82.05,82.05,82.05,100
325,82,82,82,82,100
326,82.01,82.01,82.01,82.01,100
327,82.15,82.17,82.07,82.07,1400
328,82.13,82.165,82.13,82.14,913
329,82.1,82.1,82.1,82.1,200
