EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,28,28,28,28,3477
1,27.3456,27.3456,27.3456,27.3456,400
7,28.02,28.02,27.99,27.99,1700
14,28.11,28.11,27.94,28.03,4300
15,27.952,28.03,27.952,28.03,700
30,27.96,27.96,27.96,27.96,1024
32,27.9778,27.9778,27.9778,27.9778,100
36,27.95,27.96,27.94,27.96,1100
41,27.89,27.91,27.88,27.88,700
49,27.8247,27.8247,27.8247,27.8247,292
50,27.83,27.83,27.83,27.83,100
54,27.82,27.82,27.82,27.82,100
57,27.865,27.87,27.865,27.87,900
58,27.811,27.811,27.811,27.811,2000
63,27.87,27.87,27.84,27.84,500
66,27.8601,27.8601,27.8601,27.8601,136
67,27.89,27.89,27.86,27.87,2200
68,27.9,27.9,27.8866,27.8866,1300
75,27.94,27.94,27.94,27.94,1100
82,27.87,27.9,27.87,27.9,5963
83,27.85,27.85,27.85,27.85,300
90,27.85,27.85,27.85,27.85,100
92,27.9,27.9,27.85,27.85,500
94,27.85,27.85,27.85,27.85,100
95,27.84,27.8602,27.84,27.85,952
96,27.84,27.85,27.84,27.84,1300
97,27.87,27.87,27.87,27.87,100
108,27.81,27.82,27.81,27.82,600
110,27.846,27.846,27.81,27.81,1200
111,27.81,27.81,27.81,27.81,100
117,27.81,27.81,27.81,27.81,200
118,27.81,27.81,27.81,27.81,100
120,27.92,27.92,27.81,27.81,1950
121,27.89,27.92,27.89,27.92,600
122,27.89,27.9,27.89,27.9,656
132,27.88,27.9,27.88,27.88,1297
140,27.85,27.85,27.85,27.85,200
144,27.85,27.85,27.85,27.85,500
145,27.87,27.87,27.85,27.85,200
146,27.89,27.89,27.89,27.89,600
147,27.86,27.86,27.86,27.86,100
162,27.86,27.86,27.86,27.86,100
164,27.92,27.92,27.92,27.92,100
165,27.9,27.9,27.9,27.9,100
170,27.86,27.86,27.86,27.86,100
172,27.86,27.875,27.86,27.875,300
173,27.85,27.85,27.85,27.85,200
175,27.85,27.86,27.85,27.85,300
177,27.8625,27.87,27.85,27.85,300
178,27.9,27.9,27.89,27.89,570
182,27.9,27.9,27.9,27.9,100
183,27.94,27.94,27.9,27.9,1650
191,27.96,27.97,27.96,27.97,490
195,28.01,28.01,28.01,28.01,200
197,28.05,28.07,27.96,28.07,1200
213,27.98,27.98,27.95,27.95,200
220,28.01,28.01,27.99,27.99,400
221,28.02,28.06,28.01,28.01,300
226,28.02,28.02,28.02,28.02,100
228,28.02,28.02,28.01,28.01,200
237,28.03,28.03,28.03,28.03,1500
239,28.01,28.05,27.97,28.04,1600
240,28.01,28.01,28.01,28.01,100
247,28.025,28.025,28,28,200
248,27.99,28.0025,27.99,28.0025,200
252,28.04,28.04,28.02,28.02,400
253,28.02,28.02,28.02,28.02,100
256,28,28.02,28,28.02,300
268,28.02,28.02,28,28,500
272,28,28,27.98,27.98,200
277,27.98,27.98,27.98,27.98,100
278,28,28,27.98,27.98,200
282,28.01,28.01,28.01,28.01,700
290,28.08,28.08,28.08,28.08,100
292,28.04,28.07,28.025,28.07,400
294,28.1,28.1,28.05,28.05,342
297,28.06,28.06,28.06,28.06,100
299,28.0548,28.0548,28.0548,28.0548,100
301,28.065,28.065,28.065,28.065,400
308,28.06,28.06,28.06,28.06,100
310,28.09,28.09,28.09,28.09,100
314,28.14,28.14,28.1,28.1,300
316,28.08,28.09,28.07,28.09,1100
317,28.055,28.0801,28.055,28.08,3034
325,27.9957,27.9957,27.9957,27.9957,2000
326,28.025,28.025,28.025,28.025,120
328,28.09,28.135,28.09,28.135,200
337,28.15,28.15,28.105,28.105,450
339,28.1,28.1,28.1,28.1,100
340,28.07,28.07,28.07,28.07,100
341,28.07,28.07,28.07,28.07,200
351,28.05,28.05,28.05,28.05,100
354,28.07,28.07,28.07,28.07,300
355,28.0501,28.0501,28.0501,28.0501,328
356,28.05,28.05,28.05,28.05,300
358,28.05,28.05,28.05,28.05,100
360,28.05,28.05,28.05,28.05,400
363,28.06,28.06,28.06,28.06,300
366,28.05,28.05,28.05,28.05,200
369,28.08,28.08,28.08,28.08,500
371,28.08,28.08,28.08,28.08,100
374,28.08,28.08,28.05,28.05,300
376,28.05,28.05,28.05,28.05,230
377,28.04,28.05,28.04,28.05,402
382,28.07,28.07,28.06,28.07,500
383,28.08,28.08,28.08,28.08,100
386,28.08,28.08,28.08,28.08,100
387,28.06,28.07,28.06,28.07,400
388,28.075,28.08,28.05,28.08,5802
389,28.08,28.09,28.08,28.09,900
390,28.1,28.1,28.07,28.1,3097
a1520346600,28.12,28.12,28.12,28.12,2194
1,28.25,28.25,28.15,28.15,1929
2,28.12,28.19,28.12,28.16,2550
6,28.17,28.17,28.17,28.17,200
7,28.175,28.175,28.175,28.175,300
13,28.225,28.225,28.225,28.225,500
14,28.16,28.225,28.16,28.225,1800
18,28.18,28.235,28.18,28.235,1000
20,28.19,28.235,28.19,28.235,1000
21,28.16,28.22,28.16,28.22,1300
30,28.37,28.37,28.28,28.29,13558
31,28.39,28.39,28.38,28.38,400
36,28.44,28.44,28.44,28.44,100
39,28.38,28.415,28.37,28.415,1900
40,28.35,28.36,28.35,28.35,300
48,28.34,28.34,28.34,28.34,100
49,28.34,28.34,28.34,28.34,1400
51,28.375,28.375,28.375,28.375,100
57,28.395,28.395,28.395,28.395,100
58,28.36,28.36,28.36,28.36,100
59,28.4,28.4,28.4,28.4,300
61,28.41,28.41,28.41,28.41,100
63,28.37,28.4,28.37,28.4,800
64,28.37,28.37,28.37,28.37,200
66,28.395,28.395,28.395,28.395,100
67,28.37,28.37,28.37,28.37,100
75,28.3965,28.3965,28.3965,28.3965,1000
82,28.395,28.395,28.39,28.39,600
84,28.36,28.395,28.36,28.38,700
86,28.37,28.37,28.37,28.37,100
89,28.39,28.39,28.39,28.39,100
90,28.365,28.365,28.365,28.365,100
94,28.35,28.35,28.35,28.35,300
95,28.33,28.33,28.33,28.33,100
102,28.3376,28.3376,28.32,28.32,600
105,28.29,28.32,28.29,28.32,200
135,28.26,28.28,28.26,28.28,5157
136,28.26,28.26,28.26,28.26,100
138,28.24,28.26,28.24,28.26,5101
171,28.22,28.22,28.22,28.22,100
172,28.22,28.22,28.22,28.22,300
181,28.2328,28.2328,28.22,28.22,300
187,28.22,28.22,28.22,28.22,400
188,28.21,28.21,28.19,28.21,700
