EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520261700,2.39,2.39,2.39,2.39,100
164,2.35,2.37,2.35,2.37,400
165,2.35,2.35,2.35,2.35,200
184,2.38,2.38,2.38,2.38,100
365,2.35,2.3601,2.35,2.3601,1200
a1520346780,2.38,2.38,2.37,2.37,200
49,2.35,2.36,2.35,2.36,1300
149,2.37,2.37,2.37,2.37,100
386,2.38,2.38,2.38,2.38,100
a1520444040,2.33,2.34,2.33,2.34,500
2,2.36,2.36,2.33,2.33,800
4,2.37,2.37,2.37,2.37,100
22,2.38,2.38,2.36,2.36,900
94,2.351,2.351,2.351,2.351,300
132,2.39,2.39,2.39,2.39,100
a1520519400,2.4,2.4,2.4,2.4,100
a1520622180,2.3648,2.3648,2.3648,2.3648,100
84,2.38,2.38,2.38,2.38,100
TIMEZONE_OFFSET=-240
a1520861580,2.25,2.31,2.25,2.31,600
1,2.33,2.33,2.25,2.25,3300
5,2.37,2.37,2.25,2.25,200
166,2.35,2.35,2.35,2.35,100
240,2.33,2.36,2.33,2.36,300
241,2.36,2.36,2.36,2.36,100
306,2.38,2.38,2.36,2.36,200
a1520948820,2.3318,2.3318,2.3318,2.3318,1400
27,2.38,2.38,2.38,2.38,100
335,2.39,2.39,2.33,2.33,3200
a1521034200,2.35,2.35,2.35,2.35,100
1,2.39,2.39,2.39,2.39,100
258,2.3499,2.3499,2.3499,2.3499,300
261,2.38,2.38,2.35,2.35,810
344,2.35,2.35,2.35,2.35,290
345,2.38,2.38,2.36,2.36,500
a1521128820,2.36,2.361,2.36,2.3601,500
190,2.39,2.39,2.35,2.35,3928
a1521220320,2.3594,2.3594,2.3594,2.3594,3800
10,2.39,2.39,2.36,2.36,1200
102,2.38,2.381,2.38,2.381,5600
a1521489600,2.3517,2.3517,2.3517,2.3517,1200
a1521552780,2.38,2.38,2.38,2.38,100
204,2.3801,2.381,2.38,2.381,3500
250,2.3838,2.3838,2.3838,2.3838,1900
261,2.3801,2.3801,2.3801,2.3801,1600
264,2.38,2.38,2.38,2.38,1200
297,2.38,2.38,2.38,2.38,200
326,2.39,2.39,2.39,2.39,100
384,2.3805,2.3805,2.38,2.38,688
386,2.39,2.39,2.39,2.39,100
a1521656280,2.351,2.3648,2.35,2.3648,4000
1,2.39,2.39,2.361,2.361,2600
2,2.39,2.39,2.3636,2.3636,1973
3,2.36,2.36,2.36,2.36,256
5,2.39,2.39,2.39,2.39,200
10,2.3801,2.3801,2.38,2.38,2600
13,2.39,2.39,2.39,2.39,100
a1521746460,2.3501,2.3501,2.35,2.3501,364
4,2.39,2.39,2.37,2.37,300
a1521812880,2.3799,2.3799,2.3799,2.3799,200
