EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,59.6,59.6,59.6,59.6,437
2,59.45,59.45,59.45,59.45,300
17,59.7,59.7,59.65,59.65,500
18,59.65,59.65,59.65,59.65,490
22,59.5,59.5,59.5,59.5,100
23,59.375,59.375,59.375,59.375,200
24,59.5,59.5,59.5,59.5,100
31,59.55,59.55,59.55,59.55,200
37,59.6,59.6,59.6,59.6,200
40,59.55,59.55,59.55,59.55,100
51,59.35,59.55,59.35,59.55,200
56,59.6,59.6,59.6,59.6,100
60,59.55,59.55,59.55,59.55,300
65,59.45,59.45,59.45,59.45,100
67,59.6,59.6,59.6,59.6,100
70,59.45,59.45,59.45,59.45,500
71,59.35,59.45,59.35,59.4,1100
72,59.55,59.55,59.3,59.3,5730
73,59.6,59.7,59.4,59.4,5514
74,59.55,59.55,59.4,59.4,700
75,59.65,59.65,59.55,59.55,1204
76,59.6,59.6,59.5,59.6,2000
77,59.55,59.6,59.55,59.6,1186
78,59.75,59.75,59.6,59.6,600
79,59.6,59.75,59.45,59.75,6787
80,59.55,59.55,59.5,59.5,500
82,59.55,59.55,59.5,59.55,3100
83,59.45,59.45,59.45,59.45,200
93,59.45,59.45,59.45,59.45,100
98,59.5,59.6,59.5,59.5,3790
99,59.6,59.6,59.6,59.6,400
103,59.7,59.7,59.7,59.7,100
104,59.65,59.65,59.65,59.65,100
109,59.625,59.625,59.625,59.625,100
113,59.7,59.7,59.7,59.7,100
114,59.8,59.8,59.8,59.8,200
120,59.95,59.95,59.95,59.95,100
123,59.85,59.85,59.85,59.85,100
130,60,60,60,60,100
131,60.1,60.1,60.1,60.1,100
136,60.3,60.3,60.25,60.25,200
146,60.175,60.3,60.175,60.2,1785
151,60.1,60.3,60.1,60.25,300
153,60.3,60.3,60.3,60.3,100
158,60.3,60.3,60.3,60.3,100
164,60.3,60.3,60.3,60.3,100
168,60.2,60.2,60.2,60.2,100
175,60.1,60.15,60.1,60.15,400
178,60,60,60,60,100
179,60.15,60.15,60.15,60.15,100
182,60.15,60.15,60.15,60.15,200
185,59.975,59.975,59.975,59.975,100
187,60.1,60.1,60.1,60.1,100
195,60.1,60.1,60,60,200
196,60,60,60,60,100
204,60.1,60.2,60.1,60.2,300
209,60.2,60.2,60.2,60.2,100
215,60.25,60.25,60.25,60.25,100
219,60.2,60.2,60.2,60.2,100
222,60.2,60.2,60.2,60.2,100
227,60.2,60.2,60.2,60.2,100
233,60.2,60.2,60.2,60.2,100
235,60.35,60.35,60.35,60.35,400
239,60.45,60.45,60.45,60.45,100
242,60.3,60.35,60.3,60.35,300
243,60.3,60.3,60.3,60.3,300
250,60.375,60.375,60.375,60.375,100
255,60.35,60.35,60.35,60.35,100
257,60.35,60.35,60.35,60.35,100
261,60.35,60.35,60.35,60.35,200
265,60.4,60.4,60.35,60.35,202
274,60.45,60.45,60.45,60.45,100
275,60.5,60.5,60.5,60.5,100
279,60.3,60.3,60.3,60.3,100
283,60.3,60.3,60.3,60.3,200
285,60.2,60.2,60.2,60.2,100
290,60.2,60.2,60.2,60.2,100
292,60.15,60.15,60.15,60.15,100
295,60.25,60.25,60.25,60.25,100
296,60.3,60.3,60.3,60.3,296
298,60.25,60.25,60.25,60.25,300
304,60.25,60.25,60.1,60.1,200
305,60.1,60.25,60.1,60.25,200
307,60.15,60.15,60.1,60.1,300
309,60.2,60.2,60.1,60.1,300
311,60.3,60.3,60.3,60.3,100
317,60.275,60.275,60.275,60.275,100
318,60.3,60.3,60.3,60.3,200
319,60.25,60.25,60.25,60.25,100
320,60.4,60.4,60.4,60.4,100
323,60.4,60.4,60.4,60.4,100
325,60.3,60.35,60.3,60.3,500
330,60.3,60.375,60.3,60.375,200
332,60.5,60.5,60.4,60.4,400
333,60.35,60.45,60.35,60.4,600
334,60.45,60.45,60.45,60.45,200
335,60.45,60.55,60.45,60.55,300
339,60.55,60.55,60.5,60.5,450
340,60.4,60.55,60.4,60.5,600
342,60.45,60.45,60.45,60.45,500
344,60.5398,60.6,60.5398,60.6,256
346,60.525,60.525,60.525,60.525,100
348,60.525,60.525,60.525,60.525,100
351,60.65,60.65,60.55,60.55,401
352,60.65,60.65,60.65,60.65,100
353,60.65,60.65,60.6,60.6,200
354,60.7,60.7,60.65,60.65,400
355,60.75,60.75,60.75,60.75,100
357,60.6,60.7,60.6,60.7,300
361,60.575,60.575,60.575,60.575,100
364,60.65,60.65,60.65,60.65,100
365,60.65,60.65,60.65,60.65,100
366,60.7,60.7,60.65,60.65,300
367,60.7,60.7,60.7,60.7,200
368,60.7,60.7,60.7,60.7,100
369,60.7,60.7,60.65,60.65,1006
371,60.7,60.7,60.7,60.7,300
373,60.75,60.75,60.75,60.75,300
374,60.75,60.75,60.75,60.75,100
375,60.8,60.8,60.75,60.75,601
376,60.85,60.85,60.85,60.85,100
377,60.8,60.825,60.8,60.8,600
378,60.85,60.85,60.8,60.8,300
379,60.85,60.85,60.85,60.85,300
380,60.85,60.9,60.8,60.9,497
381,60.75,60.8,60.75,60.8,200
382,60.7,60.75,60.7,60.75,400
383,60.65,60.7,60.65,60.7,200
385,60.6,60.65,60.55,60.65,600
386,60.55,60.6,60.55,60.55,500
387,60.5,60.55,60.5,60.55,2135
388,60.5,60.55,60.5,60.55,1220
389,60.4,60.55,60.4,60.5,2742
390,60.55,60.6,60.45,60.45,5596
a1520346600,60.9,60.9,60.9,60.9,672
7,60.85,60.85,60.85,60.85,100
15,60.75,60.75,60.75,60.75,100
22,60.6,60.6,60.6,60.6,161
25,60.75,60.75,60.75,60.75,200
30,60.8,60.8,60.8,60.8,100
32,60.6,60.6,60.6,60.6,100
34,60.6,60.6,60.6,60.6,100
36,60.6,60.6,60.6,60.6,100
38,60.7,60.7,60.65,60.65,500
40,60.55,60.6,60.55,60.55,1100
41,60.6,60.6,60.6,60.6,100
45,60.45,60.45,60.45,60.45,100
50,60.7,60.7,60.6,60.6,200
54,60.65,60.7,60.65,60.7,300
56,60.7,60.75,60.7,60.75,700
60,60.75,60.75,60.75,60.75,100
63,60.7,60.85,60.7,60.85,300
68,60.85,60.85,60.85,60.85,100
71,60.8,60.8,60.8,60.8,200
72,60.725,60.725,60.725,60.725,100
79,60.5,60.5,60.5,60.5,104
81,60.35,60.4,60.35,60.4,300
83,60.3,60.3,60.3,60.3,100
