EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,9.44,9.44,9.44,9.44,199
4,9.435,9.435,9.435,9.435,200
12,9.55,9.55,9.51,9.51,300
13,9.52,9.53,9.45,9.53,400
22,9.415,9.45,9.415,9.45,1083
25,9.44,9.44,9.44,9.44,100
26,9.44,9.44,9.44,9.44,100
27,9.47,9.47,9.44,9.44,400
28,9.47,9.49,9.47,9.49,400
29,9.435,9.49,9.435,9.44,300
30,9.53,9.53,9.47,9.47,705
36,9.505,9.505,9.47,9.47,250
39,9.5,9.5,9.5,9.5,200
45,9.47,9.47,9.47,9.47,100
48,9.46,9.46,9.46,9.46,100
54,9.48,9.48,9.48,9.48,200
56,9.43,9.43,9.43,9.43,100
62,9.46,9.46,9.46,9.46,115
63,9.46,9.46,9.46,9.46,100
64,9.39,9.42,9.39,9.42,300
65,9.39,9.39,9.39,9.39,200
67,9.43,9.43,9.43,9.43,100
70,9.47,9.48,9.46,9.46,400
79,9.48,9.48,9.48,9.48,100
82,9.5,9.5,9.5,9.5,100
89,9.57,9.57,9.57,9.57,200
90,9.54,9.55,9.54,9.55,500
91,9.57,9.57,9.55,9.55,300
96,9.53,9.53,9.53,9.53,100
102,9.57,9.57,9.57,9.57,100
104,9.56,9.56,9.56,9.56,400
110,9.5501,9.5501,9.5501,9.5501,224
112,9.5646,9.6,9.5646,9.57,357
114,9.54,9.54,9.54,9.54,100
116,9.59,9.59,9.59,9.59,100
119,9.59,9.59,9.59,9.59,100
121,9.55,9.55,9.55,9.55,100
128,9.58,9.58,9.58,9.58,100
129,9.58,9.58,9.58,9.58,100
132,9.61,9.61,9.61,9.61,800
135,9.6,9.61,9.6,9.61,700
138,9.61,9.63,9.61,9.63,200
139,9.61,9.61,9.61,9.61,100
140,9.62,9.62,9.62,9.62,100
148,9.65,9.65,9.65,9.65,781
153,9.63,9.63,9.63,9.63,100
155,9.63,9.63,9.61,9.62,700
160,9.63,9.6314,9.63,9.6314,550
161,9.62,9.63,9.62,9.63,400
164,9.62,9.62,9.62,9.62,200
175,9.6,9.6,9.6,9.6,100
177,9.64,9.64,9.63,9.63,601
182,9.59,9.63,9.59,9.63,500
185,9.56,9.56,9.56,9.56,100
187,9.59,9.59,9.59,9.59,400
191,9.58,9.58,9.58,9.58,100
192,9.61,9.61,9.61,9.61,100
201,9.605,9.63,9.605,9.63,600
202,9.61,9.61,9.61,9.61,100
203,9.61,9.61,9.61,9.61,100
207,9.61,9.61,9.61,9.61,200
211,9.66,9.66,9.64,9.65,1300
217,9.74,9.74,9.74,9.74,100
218,9.66,9.68,9.66,9.68,200
223,9.67,9.67,9.67,9.67,200
224,9.64,9.64,9.64,9.64,100
231,9.62,9.62,9.62,9.62,100
243,9.62,9.63,9.62,9.63,900
251,9.59,9.59,9.59,9.59,100
252,9.59,9.59,9.59,9.59,294
255,9.58,9.58,9.56,9.56,400
256,9.59,9.59,9.59,9.59,300
258,9.59,9.59,9.59,9.59,500
260,9.5719,9.5719,9.5719,9.5719,1000
264,9.6,9.6,9.59,9.59,600
266,9.59,9.59,9.59,9.59,100
269,9.6,9.6,9.6,9.6,100
273,9.6098,9.6098,9.6098,9.6098,200
275,9.59,9.59,9.59,9.59,200
278,9.6,9.6,9.58,9.58,300
283,9.6,9.61,9.6,9.61,200
290,9.5998,9.5998,9.58,9.58,330
291,9.58,9.58,9.58,9.58,100
295,9.62,9.62,9.62,9.62,100
300,9.64,9.64,9.64,9.64,100
301,9.66,9.66,9.66,9.66,200
303,9.65,9.65,9.65,9.65,100
307,9.63,9.63,9.63,9.63,100
311,9.63,9.63,9.63,9.63,100
314,9.65,9.65,9.64,9.64,200
318,9.63,9.63,9.63,9.63,100
322,9.63,9.63,9.63,9.63,100
323,9.64,9.64,9.64,9.64,200
326,9.65,9.67,9.65,9.66,500
335,9.66,9.66,9.66,9.66,100
341,9.66,9.66,9.66,9.66,200
342,9.64,9.64,9.64,9.64,100
343,9.64,9.64,9.64,9.64,100
352,9.69,9.69,9.69,9.69,500
353,9.66,9.675,9.66,9.675,200
355,9.66,9.66,9.66,9.66,100
357,9.64,9.64,9.64,9.64,100
361,9.65,9.6562,9.64,9.65,900
363,9.66,9.66,9.66,9.66,100
364,9.65,9.65,9.65,9.65,100
365,9.64,9.65,9.64,9.65,300
369,9.63,9.63,9.63,9.63,100
370,9.63,9.63,9.63,9.63,100
372,9.6,9.6,9.6,9.6,100
374,9.64,9.64,9.64,9.64,500
375,9.62,9.62,9.62,9.62,300
376,9.62,9.62,9.62,9.62,100
380,9.63,9.63,9.63,9.63,200
381,9.62,9.625,9.62,9.625,200
382,9.61,9.61,9.61,9.61,100
383,9.61,9.61,9.61,9.61,100
386,9.61,9.64,9.61,9.64,1100
387,9.61,9.61,9.6,9.6,900
388,9.61,9.61,9.61,9.61,500
389,9.59,9.6,9.59,9.6,1892
390,9.58,9.59,9.58,9.59,1298
a1520346600,9.64,9.64,9.64,9.64,514
4,9.71,9.71,9.56,9.56,500
11,9.645,9.645,9.645,9.645,100
17,9.63,9.63,9.63,9.63,100
22,9.64,9.64,9.64,9.64,257
23,9.66,9.66,9.62,9.62,200
25,9.65,9.65,9.65,9.65,100
31,9.69,9.69,9.69,9.69,100
32,9.67,9.67,9.66,9.66,200
33,9.63,9.63,9.63,9.63,300
42,9.59,9.59,9.56,9.59,710
45,9.56,9.56,9.56,9.56,100
56,9.54,9.54,9.54,9.54,100
62,9.565,9.565,9.565,9.565,100
66,9.6,9.6,9.6,9.6,328
67,9.63,9.63,9.63,9.63,100
68,9.7,9.7,9.68,9.68,200
70,9.7,9.7,9.7,9.7,100
73,9.65,9.65,9.65,9.65,100
75,9.63,9.66,9.63,9.66,300
78,9.59,9.59,9.59,9.59,100
79,9.59,9.59,9.59,9.59,100
82,9.55,9.55,9.55,9.55,100
83,9.54,9.54,9.54,9.54,100
87,9.52,9.52,9.52,9.52,100
88,9.52,9.52,9.52,9.52,100
89,9.47,9.51,9.47,9.51,5400
92,9.49,9.49,9.47,9.47,200
93,9.5,9.5,9.49,9.49,200
97,9.53,9.53,9.53,9.53,300
100,9.53,9.55,9.53,9.55,500
104,9.455,9.46,9.45,9.45,400
107,9.41,9.41,9.41,9.41,100
112,9.46,9.46,9.46,9.46,200
117,9.46,9.46,9.4,9.4,500
118,9.46,9.46,9.46,9.46,200
