EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,16.67,16.67,16.67,16.67,4244
1,16.6662,16.6662,16.6662,16.6662,1235
7,16.7,16.7,16.7,16.7,600
10,16.7,16.7,16.7,16.7,800
14,16.66,16.66,16.66,16.66,500
23,16.671,16.671,16.6585,16.6585,1475
24,16.657,16.67,16.657,16.67,740
27,16.65,16.65,16.65,16.65,2526
33,16.66,16.66,16.66,16.66,400
37,16.675,16.675,16.675,16.675,2000
40,16.6748,16.6748,16.6748,16.6748,150
42,16.64,16.66,16.64,16.66,1500
58,16.64,16.65,16.63,16.63,600
67,16.68,16.68,16.67,16.67,1851
68,16.7,16.7,16.69,16.69,4301
73,16.72,16.72,16.7,16.7,2400
74,16.716,16.73,16.716,16.72,1075
79,16.7199,16.72,16.7199,16.72,2232
86,16.72,16.72,16.72,16.72,400
89,16.72,16.72,16.7148,16.7148,1100
90,16.73,16.73,16.72,16.72,2400
91,16.74,16.74,16.74,16.74,100
94,16.75,16.75,16.75,16.75,196
97,16.7398,16.7398,16.7398,16.7398,239
106,16.75,16.75,16.75,16.75,829
113,16.7698,16.7698,16.7698,16.7698,2000
114,16.77,16.77,16.77,16.77,1100
122,16.7862,16.7862,16.7862,16.7862,262
124,16.79,16.79,16.79,16.79,100
125,16.78,16.79,16.78,16.79,1400
126,16.7961,16.7961,16.7961,16.7961,1000
131,16.8,16.8,16.8,16.8,625
132,16.8,16.8,16.8,16.8,200
134,16.81,16.81,16.7949,16.7949,2200
139,16.8034,16.8034,16.8034,16.8034,500
140,16.81,16.81,16.8094,16.81,1600
145,16.81,16.81,16.81,16.81,100
148,16.81,16.81,16.8,16.8,200
150,16.8037,16.8037,16.8037,16.8037,1037
151,16.81,16.81,16.81,16.81,100
154,16.8099,16.81,16.8099,16.81,1400
155,16.81,16.81,16.81,16.81,100
156,16.81,16.81,16.81,16.81,750
159,16.82,16.8232,16.82,16.8232,200
164,16.82,16.82,16.82,16.82,100
165,16.83,16.83,16.83,16.83,760
166,16.82,16.82,16.82,16.82,309
167,16.8199,16.82,16.8199,16.82,850
168,16.8114,16.8114,16.8114,16.8114,501
171,16.8162,16.82,16.815,16.815,1500
172,16.8,16.81,16.8,16.81,370
182,16.81,16.81,16.81,16.81,100
184,16.8,16.81,16.8,16.81,1661
186,16.791,16.791,16.791,16.791,1100
187,16.795,16.795,16.795,16.795,100
190,16.8,16.8,16.8,16.8,100
191,16.81,16.81,16.8,16.8,770
194,16.81,16.81,16.81,16.81,100
204,16.85,16.85,16.82,16.82,3100
206,16.8475,16.85,16.8475,16.85,600
208,16.8418,16.8418,16.8418,16.8418,251
213,16.8499,16.85,16.8499,16.85,650
226,16.8699,16.87,16.86,16.86,2000
232,16.841,16.85,16.84,16.85,1000
233,16.8551,16.8551,16.8551,16.8551,600
236,16.84,16.84,16.84,16.84,100
237,16.8552,16.8552,16.8552,16.8552,163
242,16.83,16.84,16.83,16.84,700
243,16.81,16.81,16.81,16.81,200
248,16.8272,16.8272,16.8272,16.8272,300
252,16.84,16.84,16.84,16.84,100
253,16.84,16.84,16.84,16.84,100
254,16.84,16.84,16.82,16.83,1100
255,16.84,16.84,16.84,16.84,100
256,16.84,16.84,16.84,16.84,100
257,16.84,16.84,16.84,16.84,200
258,16.84,16.84,16.84,16.84,100
259,16.84,16.84,16.84,16.84,100
260,16.8298,16.84,16.8279,16.8279,1272
261,16.84,16.84,16.84,16.84,100
262,16.8299,16.84,16.8299,16.84,1100
263,16.84,16.84,16.82,16.834,1600
264,16.84,16.84,16.84,16.84,200
265,16.84,16.84,16.84,16.84,100
266,16.84,16.84,16.84,16.84,100
267,16.84,16.84,16.84,16.84,100
268,16.83,16.84,16.83,16.84,300
269,16.84,16.84,16.83,16.83,300
270,16.84,16.84,16.84,16.84,200
276,16.8778,16.8778,16.8778,16.8778,1000
279,16.88,16.88,16.88,16.88,239
280,16.8799,16.8799,16.8799,16.8799,125
285,16.84,16.8639,16.84,16.8639,1000
294,16.83,16.83,16.83,16.83,100
298,16.8547,16.8547,16.8547,16.8547,147
299,16.8398,16.8398,16.8398,16.8398,500
302,16.8595,16.8595,16.8595,16.8595,1199
304,16.8548,16.8548,16.8548,16.8548,300
309,16.86,16.86,16.86,16.86,100
323,16.883,16.883,16.883,16.883,1000
328,16.8899,16.8899,16.8899,16.8899,800
341,16.894,16.894,16.8801,16.8801,500
345,16.874,16.874,16.874,16.874,1857
350,16.89,16.89,16.8701,16.8701,1452
354,16.87,16.87,16.87,16.87,100
355,16.88,16.88,16.87,16.87,700
356,16.86,16.86,16.86,16.86,200
357,16.85,16.85,16.85,16.85,200
358,16.86,16.86,16.85,16.8571,1291
359,16.85,16.85,16.85,16.85,200
360,16.85,16.85,16.85,16.85,100
361,16.84,16.8538,16.84,16.84,347
362,16.84,16.84,16.84,16.84,100
363,16.84,16.84,16.84,16.84,100
364,16.84,16.84,16.84,16.84,200
365,16.84,16.84,16.84,16.84,200
366,16.84,16.84,16.84,16.84,200
367,16.84,16.858,16.84,16.84,2200
368,16.86,16.86,16.84,16.84,900
370,16.84,16.84,16.84,16.84,200
371,16.84,16.84,16.84,16.84,100
372,16.84,16.84,16.84,16.84,200
373,16.84,16.84,16.84,16.84,300
374,16.84,16.84,16.84,16.84,100
375,16.84,16.84,16.84,16.84,300
376,16.8524,16.8524,16.84,16.84,497
377,16.84,16.84,16.84,16.84,300
378,16.84,16.84,16.84,16.84,300
379,16.84,16.84,16.84,16.84,300
380,16.84,16.84,16.84,16.84,400
381,16.84,16.84,16.84,16.84,400
382,16.84,16.84,16.84,16.84,500
383,16.84,16.84,16.84,16.84,700
384,16.83,16.847,16.83,16.84,2891
385,16.83,16.83,16.83,16.83,700
386,16.83,16.83,16.83,16.83,700
387,16.83,16.83,16.83,16.83,1600
388,16.83,16.84,16.83,16.83,1600
389,16.83,16.83,16.83,16.83,1227
390,16.82,16.82,16.82,16.82,1307
a1520346600,16.92,16.92,16.92,16.92,7138
1,16.89,16.89,16.89,16.89,500
2,16.95,16.95,16.95,16.95,200
7,16.95,16.95,16.95,16.95,150
8,16.95,16.95,16.95,16.95,100
11,16.941,16.95,16.94,16.95,2541
16,16.92,16.94,16.92,16.94,2800
21,16.93,16.93,16.93,16.93,237
22,16.94,16.9516,16.94,16.94,4615
23,16.97,16.97,16.95,16.95,1812
