EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,11.68,11.68,11.68,11.68,5121
3,11.6826,11.6826,11.6826,11.6826,815
4,11.6702,11.6702,11.6702,11.6702,449
6,11.6954,11.6954,11.6954,11.6954,100
7,11.6891,11.6891,11.6891,11.6891,2000
11,11.7,11.7,11.685,11.685,1400
14,11.725,11.725,11.725,11.725,500
15,11.7375,11.7376,11.7375,11.7376,1409
17,11.71,11.72,11.71,11.72,1000
19,11.7,11.7,11.7,11.7,500
20,11.69,11.69,11.69,11.69,400
21,11.69,11.69,11.682,11.69,2300
22,11.69,11.695,11.69,11.695,2400
25,11.6806,11.6806,11.6806,11.6806,4000
27,11.69,11.69,11.685,11.685,400
29,11.6875,11.6892,11.6875,11.6892,2000
32,11.68,11.68,11.68,11.68,700
33,11.67,11.67,11.67,11.67,100
35,11.69,11.69,11.67,11.67,5000
38,11.73,11.75,11.69,11.69,29855
39,11.72,11.72,11.72,11.72,300
42,11.69,11.71,11.69,11.71,8500
43,11.7,11.7,11.7,11.7,3800
45,11.7,11.7,11.7,11.7,300
47,11.701,11.71,11.701,11.71,2426
48,11.7,11.7,11.7,11.7,1800
50,11.7,11.7,11.7,11.7,700
51,11.7099,11.71,11.705,11.705,500
54,11.71,11.71,11.71,11.71,500
55,11.71,11.71,11.71,11.71,500
61,11.73,11.73,11.72,11.72,1200
63,11.7237,11.7237,11.7237,11.7237,255
64,11.73,11.73,11.73,11.73,100
66,11.7354,11.74,11.73,11.73,3279
67,11.74,11.74,11.74,11.74,1750
68,11.74,11.74,11.74,11.74,1800
73,11.74,11.74,11.74,11.74,100
74,11.74,11.74,11.74,11.74,100
76,11.75,11.75,11.75,11.75,100
77,11.75,11.75,11.745,11.745,2447
78,11.75,11.75,11.75,11.75,400
79,11.75,11.75,11.75,11.75,768
80,11.76,11.76,11.75,11.75,500
81,11.7505,11.7505,11.7505,11.7505,353
84,11.7575,11.76,11.7575,11.76,6000
86,11.755,11.755,11.755,11.755,200
88,11.76,11.76,11.76,11.76,1500
90,11.77,11.77,11.77,11.77,100
91,11.7852,11.79,11.7748,11.7748,7325
92,11.79,11.79,11.79,11.79,1200
95,11.7936,11.8,11.7936,11.8,5816
96,11.8,11.8,11.8,11.8,700
98,11.81,11.81,11.8,11.8,1400
99,11.81,11.81,11.81,11.81,300
100,11.805,11.81,11.805,11.81,500
103,11.8,11.8,11.8,11.8,300
106,11.8,11.8,11.8,11.8,5000
109,11.8062,11.81,11.8,11.8,1654
111,11.81,11.81,11.81,11.81,100
113,11.81,11.81,11.81,11.81,200
116,11.81,11.81,11.8,11.8,847
117,11.8099,11.8099,11.8,11.8,4395
118,11.8,11.805,11.8,11.805,400
121,11.8,11.805,11.8,11.8028,1737
122,11.8,11.805,11.8,11.805,700
123,11.804,11.804,11.804,11.804,400
124,11.8066,11.8066,11.8,11.805,750
125,11.8,11.809,11.8,11.8,3300
126,11.8,11.8,11.8,11.8,100
127,11.8,11.8,11.8,11.8,970
128,11.8,11.81,11.8,11.81,200
130,11.81,11.81,11.81,11.81,900
131,11.811,11.811,11.811,11.811,141
133,11.8121,11.8121,11.8121,11.8121,500
134,11.81,11.82,11.81,11.82,603
135,11.8194,11.82,11.8122,11.8122,4216
136,11.8299,11.83,11.81,11.81,3530
138,11.83,11.83,11.8299,11.8299,500
142,11.825,11.825,11.825,11.825,200
144,11.82,11.83,11.82,11.83,2300
145,11.805,11.8125,11.805,11.8125,1202
146,11.805,11.81,11.805,11.81,400
148,11.82,11.82,11.82,11.82,100
150,11.81,11.82,11.81,11.82,7300
152,11.81,11.81,11.8001,11.8001,1200
153,11.81,11.81,11.805,11.805,300
155,11.81,11.81,11.81,11.81,400
156,11.8,11.8,11.8,11.8,650
157,11.805,11.81,11.805,11.81,300
158,11.81,11.81,11.81,11.81,100
160,11.81,11.81,11.81,11.81,100
161,11.805,11.805,11.805,11.805,200
162,11.8094,11.81,11.8094,11.81,2236
163,11.81,11.81,11.81,11.81,100
164,11.81,11.81,11.81,11.81,100
165,11.81,11.81,11.81,11.81,500
166,11.8049,11.81,11.8049,11.81,1100
167,11.81,11.81,11.8028,11.8028,2232
169,11.81,11.81,11.81,11.81,270
171,11.805,11.81,11.805,11.81,300
172,11.81,11.81,11.81,11.81,200
173,11.79,11.8,11.79,11.8,4242
175,11.79,11.79,11.79,11.79,200
177,11.785,11.79,11.785,11.79,300
178,11.79,11.79,11.79,11.79,100
180,11.79,11.79,11.79,11.79,1100
181,11.79,11.79,11.79,11.79,100
182,11.79,11.79,11.79,11.79,400
183,11.7933,11.8,11.7933,11.8,1222
184,11.8,11.8,11.7971,11.7971,400
186,11.8,11.8,11.8,11.8,100
187,11.8,11.8,11.8,11.8,100
189,11.8,11.8,11.8,11.8,100
190,11.8,11.8,11.8,11.8,100
192,11.792,11.8,11.792,11.8,1875
193,11.8,11.8,11.8,11.8,200
195,11.8,11.8,11.8,11.8,100
197,11.795,11.795,11.795,11.795,300
198,11.8,11.8,11.8,11.8,300
200,11.8,11.8,11.8,11.8,100
201,11.8,11.8,11.8,11.8,100
203,11.7902,11.8,11.7902,11.8,5100
204,11.8,11.8,11.8,11.8,100
205,11.7931,11.7931,11.7931,11.7931,100
206,11.79,11.795,11.7874,11.795,9100
207,11.79,11.79,11.785,11.79,1600
208,11.7901,11.795,11.79,11.79,5500
209,11.8,11.8,11.8,11.8,100
211,11.79,11.8,11.79,11.8,6600
212,11.7901,11.7901,11.79,11.79,4300
213,11.79,11.795,11.7893,11.795,8608
214,11.784,11.8,11.784,11.7999,9507
215,11.784,11.79,11.784,11.79,1150
216,11.7901,11.8,11.79,11.8,500
218,11.79,11.79,11.79,11.79,100
219,11.7801,11.7801,11.78,11.78,6800
220,11.78,11.78,11.78,11.78,100
221,11.77,11.7773,11.77,11.7773,10580
222,11.77,11.77,11.77,11.77,1292
223,11.77,11.77,11.77,11.77,100
224,11.77,11.77,11.7699,11.7699,500
227,11.77,11.77,11.77,11.77,100
228,11.76,11.76,11.76,11.76,700
229,11.77,11.77,11.77,11.77,100
230,11.77,11.77,11.77,11.77,100
231,11.7632,11.7632,11.7632,11.7632,242
232,11.77,11.77,11.77,11.77,100
233,11.77,11.77,11.7624,11.7624,1300
235,11.77,11.77,11.77,11.77,100
236,11.77,11.77,11.77,11.77,100
