EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,26.06,26.06,26.06,26.06,469
2,26.28,26.28,26.12,26.12,200
17,26.56,26.56,26.56,26.56,100
20,26.38,26.51,26.38,26.41,1230
21,26.35,26.35,26.35,26.35,400
22,26.21,26.21,26.21,26.21,100
24,26.18,26.18,26.18,26.18,100
25,26.19,26.19,26.15,26.17,500
28,26.15,26.25,26.15,26.22,700
30,26.11,26.11,26.11,26.11,100
31,26.11,26.11,26.11,26.11,100
32,26.11,26.11,26.11,26.11,100
34,26.18,26.18,26.18,26.18,300
39,26.255,26.255,26.185,26.185,200
41,26.33,26.33,26.33,26.33,100
42,26.27,26.28,26.27,26.28,1066
44,26.335,26.335,26.335,26.335,100
45,26.23,26.27,26.2,26.27,300
46,26.265,26.265,26.265,26.265,100
49,26.19,26.22,26.19,26.22,300
50,26.255,26.255,26.255,26.255,300
51,26.14,26.21,26.14,26.17,300
54,26.225,26.225,26.225,26.225,100
55,26.225,26.33,26.225,26.28,600
56,26.325,26.325,26.325,26.325,163
58,26.355,26.355,26.355,26.355,100
59,26.37,26.37,26.37,26.37,100
60,26.33,26.33,26.33,26.33,200
63,26.23,26.27,26.23,26.27,565
64,26.282,26.282,26.282,26.282,204
65,26.21,26.21,26.21,26.21,100
66,26.115,26.285,26.115,26.2,700
67,26.25,26.25,26.25,26.25,100
68,26.3,26.33,26.3,26.31,400
69,26.38,26.38,26.38,26.38,100
71,26.39,26.39,26.38,26.38,200
74,26.4,26.4,26.35,26.35,200
77,26.48,26.48,26.48,26.48,100
79,26.435,26.435,26.435,26.435,100
82,26.505,26.505,26.505,26.505,100
84,26.55,26.57,26.55,26.57,200
87,26.57,26.605,26.57,26.605,200
88,26.63,26.63,26.63,26.63,100
89,26.59,26.61,26.59,26.61,500
90,26.625,26.63,26.625,26.63,200
91,26.65,26.65,26.65,26.65,200
93,26.65,26.65,26.65,26.65,200
95,26.61,26.61,26.61,26.61,200
96,26.61,26.61,26.61,26.61,100
98,26.68,26.71,26.68,26.68,600
99,26.67,26.67,26.67,26.67,300
101,26.66,26.66,26.66,26.66,100
102,26.7,26.7,26.7,26.7,100
103,26.73,26.74,26.73,26.74,600
105,26.73,26.73,26.73,26.73,300
106,26.755,26.755,26.755,26.755,100
109,26.775,26.775,26.775,26.775,100
111,26.78,26.78,26.78,26.78,100
112,26.73,26.74,26.73,26.74,300
113,26.69,26.7,26.69,26.7,400
114,26.76,26.76,26.76,26.76,100
116,26.755,26.755,26.755,26.755,100
119,26.72,26.72,26.72,26.72,100
121,26.7,26.7,26.68,26.68,404
123,26.64,26.65,26.64,26.65,299
125,26.61,26.61,26.61,26.61,100
128,26.61,26.61,26.61,26.61,100
130,26.68,26.68,26.68,26.68,100
131,26.72,26.72,26.72,26.72,200
133,26.72,26.72,26.72,26.72,100
135,26.72,26.72,26.72,26.72,100
137,26.79,26.8,26.73,26.73,400
138,26.73,26.73,26.73,26.73,100
141,26.71,26.71,26.71,26.71,100
143,26.69,26.69,26.69,26.69,200
145,26.71,26.74,26.71,26.73,700
146,26.7238,26.7238,26.7238,26.7238,208
147,26.745,26.745,26.745,26.745,100
149,26.78,26.78,26.78,26.78,100
150,26.71,26.73,26.71,26.73,300
151,26.7,26.7,26.7,26.7,100
153,26.74,26.74,26.74,26.74,100
154,26.79,26.79,26.77,26.77,200
157,26.765,26.765,26.765,26.765,100
160,26.765,26.765,26.765,26.765,100
163,26.74,26.74,26.74,26.74,317
164,26.78,26.78,26.78,26.78,100
165,26.8,26.8,26.8,26.8,200
169,26.775,26.78,26.775,26.78,300
175,26.7,26.75,26.7,26.75,400
176,26.75,26.75,26.75,26.75,400
178,26.8,26.8,26.76,26.76,300
182,26.78,26.8,26.78,26.8,400
183,26.7457,26.7457,26.7457,26.7457,100
184,26.765,26.765,26.765,26.765,100
185,26.77,26.77,26.77,26.77,100
189,26.81,26.82,26.81,26.82,200
191,26.825,26.825,26.825,26.825,100
193,26.8,26.84,26.8,26.84,200
194,26.78,26.8,26.78,26.8,700
195,26.77,26.785,26.77,26.785,200
196,26.8,26.81,26.8,26.81,500
200,26.865,26.865,26.82,26.82,700
201,26.84,26.87,26.81,26.87,300
203,26.87,26.87,26.87,26.87,200
204,26.91,26.91,26.91,26.91,100
208,26.85,26.85,26.85,26.85,100
210,26.9,26.9,26.9,26.9,200
213,26.95,26.95,26.95,26.95,100
214,26.9,26.9,26.9,26.9,200
215,26.9,26.9,26.9,26.9,200
216,26.87,26.87,26.87,26.87,100
219,26.95,26.95,26.95,26.95,100
226,26.92,26.92,26.86,26.89,300
227,26.9,26.9,26.9,26.9,100
230,26.88,26.88,26.88,26.88,100
231,26.88,26.88,26.88,26.88,100
233,26.915,26.915,26.915,26.915,100
237,26.89,26.89,26.89,26.89,100
239,26.9,26.9,26.89,26.89,200
243,26.83,26.83,26.83,26.83,100
244,26.86,26.88,26.86,26.87,780
245,26.85,26.86,26.85,26.86,596
246,26.83,26.83,26.83,26.83,200
250,26.85,26.85,26.85,26.85,400
251,26.89,26.89,26.89,26.89,100
252,26.85,26.85,26.85,26.85,100
253,26.83,26.83,26.83,26.83,100
254,26.85,26.88,26.85,26.88,200
255,26.85,26.85,26.85,26.85,100
256,26.89,26.89,26.89,26.89,100
259,26.84,26.84,26.84,26.84,300
262,26.835,26.835,26.81,26.81,200
265,26.81,26.83,26.81,26.81,300
266,26.81,26.81,26.81,26.81,200
268,26.82,26.84,26.82,26.84,200
271,26.83,26.87,26.83,26.87,300
272,26.905,26.905,26.87,26.88,300
276,26.86,26.86,26.86,26.86,100
280,26.91,26.91,26.88,26.88,700
283,26.87,26.87,26.86,26.87,736
284,26.84,26.84,26.84,26.84,100
286,26.86,26.86,26.86,26.86,100
287,26.86,26.87,26.86,26.87,200
290,26.83,26.83,26.83,26.83,100
291,26.89,26.89,26.855,26.855,1001
292,26.9,26.9,26.9,26.9,200
296,26.92,26.93,26.92,26.93,300
299,26.86,26.89,26.86,26.89,307
301,26.84,26.84,26.84,26.84,100
303,26.83,26.83,26.83,26.83,200
304,26.82,26.82,26.82,26.82,100
308,26.87,26.87,26.79,26.79,801
309,26.88,26.88,26.83,26.83,400
311,26.84,26.84,26.84,26.84,100
313,26.84,26.85,26.84,26.85,621
314,26.81,26.81,26.81,26.81,100
317,26.86,26.86,26.85,26.85,400
