EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,13.42,13.42,13.42,13.42,1678
10,13.41,13.41,13.3701,13.3701,900
18,13.3986,13.41,13.3986,13.41,1781
29,13.415,13.415,13.415,13.415,100
30,13.41,13.41,13.41,13.41,100
31,13.415,13.415,13.41,13.41,400
32,13.43,13.43,13.43,13.43,100
63,13.41,13.41,13.41,13.41,200
71,13.42,13.42,13.42,13.42,200
88,13.4,13.4,13.4,13.4,498
96,13.4,13.4,13.4,13.4,100
102,13.38,13.4,13.38,13.4,200
108,13.3932,13.3932,13.3932,13.3932,500
112,13.4,13.4,13.4,13.4,100
115,13.38,13.38,13.38,13.38,100
117,13.38,13.38,13.38,13.38,100
119,13.38,13.38,13.38,13.38,200
121,13.38,13.38,13.38,13.38,100
122,13.38,13.38,13.38,13.38,100
124,13.38,13.38,13.38,13.38,100
126,13.38,13.38,13.38,13.38,100
128,13.38,13.38,13.38,13.38,100
130,13.38,13.38,13.38,13.38,100
132,13.38,13.38,13.38,13.38,100
134,13.385,13.385,13.37,13.37,200
136,13.37,13.37,13.37,13.37,100
137,13.37,13.37,13.37,13.37,100
139,13.36,13.36,13.36,13.36,100
141,13.36,13.36,13.36,13.36,100
143,13.36,13.36,13.36,13.36,100
145,13.38,13.38,13.38,13.38,100
147,13.38,13.4,13.36,13.36,300
149,13.36,13.36,13.36,13.36,100
151,13.36,13.36,13.36,13.36,100
153,13.36,13.36,13.36,13.36,100
155,13.36,13.36,13.36,13.36,100
157,13.36,13.36,13.36,13.36,300
159,13.36,13.36,13.36,13.36,100
161,13.36,13.36,13.36,13.36,200
163,13.36,13.36,13.36,13.36,100
165,13.36,13.36,13.36,13.36,100
167,13.36,13.36,13.36,13.36,100
169,13.35,13.35,13.35,13.35,100
171,13.35,13.35,13.35,13.35,100
173,13.35,13.35,13.35,13.35,100
174,13.4,13.4,13.4,13.4,400
175,13.35,13.35,13.35,13.35,100
177,13.35,13.35,13.35,13.35,100
180,13.35,13.35,13.35,13.35,100
182,13.35,13.35,13.35,13.35,100
184,13.35,13.35,13.35,13.35,100
186,13.35,13.35,13.35,13.35,100
188,13.34,13.34,13.34,13.34,100
190,13.33,13.33,13.33,13.33,100
192,13.33,13.33,13.33,13.33,100
195,13.32,13.32,13.32,13.32,100
197,13.32,13.32,13.32,13.32,100
199,13.32,13.32,13.32,13.32,100
201,13.31,13.31,13.31,13.31,100
204,13.31,13.31,13.31,13.31,100
206,13.31,13.31,13.31,13.31,100
208,13.31,13.31,13.31,13.31,100
211,13.31,13.31,13.31,13.31,100
213,13.31,13.31,13.31,13.31,100
215,13.31,13.31,13.31,13.31,100
218,13.31,13.31,13.31,13.31,100
220,13.31,13.31,13.31,13.31,100
222,13.31,13.31,13.31,13.31,100
225,13.31,13.31,13.31,13.31,100
227,13.31,13.31,13.31,13.31,100
230,13.31,13.31,13.31,13.31,100
232,13.31,13.31,13.31,13.31,100
237,13.31,13.31,13.31,13.31,100
239,13.31,13.31,13.31,13.31,100
242,13.31,13.31,13.31,13.31,100
244,13.31,13.31,13.31,13.31,100
246,13.31,13.31,13.31,13.31,100
249,13.31,13.31,13.31,13.31,100
251,13.31,13.31,13.31,13.31,100
253,13.31,13.31,13.31,13.31,100
256,13.31,13.31,13.31,13.31,100
258,13.31,13.31,13.31,13.31,100
260,13.31,13.31,13.31,13.31,100
262,13.31,13.31,13.31,13.31,100
264,13.31,13.31,13.31,13.31,100
267,13.31,13.31,13.31,13.31,100
269,13.31,13.31,13.31,13.31,100
271,13.31,13.31,13.31,13.31,100
273,13.31,13.31,13.31,13.31,100
275,13.31,13.31,13.31,13.31,100
277,13.31,13.31,13.31,13.31,100
279,13.31,13.31,13.31,13.31,100
281,13.32,13.32,13.32,13.32,100
283,13.32,13.32,13.32,13.32,100
285,13.32,13.32,13.32,13.32,100
287,13.32,13.32,13.32,13.32,100
289,13.32,13.32,13.32,13.32,100
291,13.335,13.335,13.335,13.335,100
293,13.32,13.32,13.32,13.32,100
296,13.32,13.32,13.32,13.32,100
298,13.32,13.32,13.32,13.32,100
300,13.32,13.32,13.32,13.32,100
302,13.32,13.32,13.32,13.32,100
304,13.32,13.32,13.32,13.32,100
306,13.32,13.32,13.32,13.32,100
308,13.32,13.32,13.32,13.32,100
310,13.32,13.32,13.32,13.32,100
312,13.32,13.32,13.32,13.32,100
314,13.32,13.32,13.32,13.32,100
315,13.32,13.32,13.32,13.32,100
317,13.32,13.32,13.32,13.32,100
319,13.32,13.32,13.32,13.32,100
321,13.32,13.32,13.32,13.32,100
323,13.32,13.32,13.32,13.32,100
324,13.3352,13.3352,13.3352,13.3352,128
325,13.34,13.34,13.34,13.34,100
327,13.32,13.32,13.32,13.32,100
328,13.32,13.32,13.32,13.32,100
330,13.32,13.32,13.32,13.32,100
332,13.32,13.32,13.32,13.32,100
334,13.32,13.32,13.32,13.32,100
336,13.32,13.32,13.32,13.32,100
337,13.32,13.32,13.32,13.32,100
339,13.32,13.32,13.32,13.32,100
341,13.32,13.32,13.32,13.32,100
343,13.32,13.32,13.32,13.32,100
344,13.32,13.32,13.32,13.32,100
346,13.32,13.32,13.32,13.32,100
347,13.3341,13.3341,13.3341,13.3341,1500
348,13.33,13.33,13.33,13.33,100
350,13.33,13.33,13.33,13.33,100
351,13.34,13.34,13.34,13.34,700
361,13.34,13.34,13.34,13.34,100
362,13.34,13.34,13.34,13.34,100
364,13.34,13.34,13.34,13.34,100
365,13.34,13.34,13.34,13.34,100
366,13.34,13.34,13.34,13.34,100
368,13.34,13.34,13.34,13.34,100
369,13.34,13.34,13.34,13.34,100
370,13.34,13.34,13.34,13.34,100
371,13.34,13.34,13.34,13.34,100
372,13.34,13.34,13.34,13.34,100
373,13.34,13.34,13.34,13.34,100
375,13.34,13.34,13.34,13.34,100
376,13.34,13.34,13.34,13.34,100
377,13.32,13.3347,13.32,13.32,500
378,13.32,13.32,13.32,13.32,200
379,13.32,13.32,13.32,13.32,100
380,13.32,13.32,13.32,13.32,200
381,13.32,13.32,13.32,13.32,200
382,13.32,13.32,13.32,13.32,200
384,13.32,13.32,13.32,13.32,100
385,13.33,13.33,13.33,13.33,300
386,13.35,13.35,13.33,13.33,412
387,13.33,13.34,13.33,13.33,500
388,13.33,13.33,13.33,13.33,400
389,13.33,13.33,13.33,13.33,300
