EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,27.22,27.22,27.22,27.22,113
9,27.3,27.3,27.26,27.26,200
10,27.56,27.56,27.56,27.56,100
17,27.3,27.3,27.3,27.3,100
51,27.16,27.16,27.16,27.16,100
62,27.15,27.15,27.15,27.15,134
70,27,27,27,27,100
91,27.09,27.09,27.09,27.09,100
96,27.1,27.1,27.09,27.09,220
97,27.12,27.12,27.12,27.12,137
102,27.16,27.16,27.16,27.16,399
114,27.1,27.1,27.1,27.1,200
127,27.1,27.1,27.1,27.1,100
133,27.01,27.01,27.01,27.01,100
143,26.97,27.01,26.97,27.01,200
153,26.97,26.97,26.97,26.97,200
163,27,27,26.97,26.97,300
166,26.82,26.95,26.82,26.95,1831
167,26.8,26.8,26.8,26.8,100
186,26.78,26.78,26.78,26.78,200
243,26.785,26.785,26.785,26.785,100
247,26.72,26.72,26.72,26.72,100
248,26.68,26.68,26.68,26.68,100
249,26.65,26.65,26.65,26.65,100
252,26.65,26.65,26.65,26.65,300
258,26.56,26.69,26.56,26.64,699
269,26.57,26.57,26.57,26.57,100
282,26.6,26.6,26.59,26.59,300
312,26.57,26.57,26.57,26.57,200
322,26.7,26.7,26.7,26.7,100
327,26.71,26.71,26.71,26.71,100
334,26.73,26.73,26.72,26.72,200
336,26.73,26.73,26.73,26.73,200
339,26.8037,26.8037,26.8037,26.8037,300
340,26.735,26.735,26.735,26.735,100
352,26.73,26.73,26.73,26.73,200
357,26.71,26.71,26.66,26.7,633
372,26.56,26.56,26.56,26.56,100
374,26.5501,26.5501,26.5501,26.5501,664
375,26.57,26.7,26.57,26.7,200
376,26.57,26.5938,26.57,26.5938,321
377,26.7,26.71,26.7,26.71,200
379,26.63,26.63,26.62,26.63,600
384,26.55,26.55,26.55,26.55,288
389,26.565,26.565,26.55,26.55,819
390,26.54,26.55,26.54,26.55,1056
a1520346660,27.11,27.13,27.11,27.13,400
1,26.91,26.91,26.91,26.91,100
4,26.4,26.44,26.4,26.44,519
16,26.48,26.48,26.48,26.48,100
45,26.22,26.32,26.22,26.32,200
49,26.21,26.23,26.21,26.23,200
53,26.37,26.37,26.37,26.37,200
54,26.42,26.42,26.42,26.42,100
65,26.28,26.28,26.28,26.28,200
73,26.35,26.35,26.35,26.35,300
74,26.35,26.35,26.35,26.35,480
76,26.34,26.34,26.34,26.34,100
77,26.34,26.34,26.34,26.34,100
79,26.31,26.31,26.31,26.31,500
80,26.25,26.26,26.25,26.26,850
84,26.18,26.18,26.18,26.18,300
87,26.16,26.16,26.16,26.16,100
88,26.16,26.16,26.16,26.16,200
89,26.26,26.26,26.17,26.17,880
97,26.1701,26.1701,26.1701,26.1701,100
99,26.1801,26.1801,26.1801,26.1801,100
117,26.345,26.345,26.345,26.345,100
123,26.34,26.3401,26.34,26.3401,400
132,26.39,26.39,26.39,26.39,200
133,26.44,26.44,26.4001,26.4001,410
137,26.44,26.44,26.44,26.44,100
139,26.5,26.5,26.44,26.44,1063
143,26.5189,26.5189,26.5189,26.5189,291
163,26.54,26.54,26.54,26.54,100
173,26.56,26.56,26.54,26.54,400
174,26.63,26.63,26.56,26.56,2279
178,26.8,26.8,26.7183,26.73,1600
179,26.81,26.87,26.81,26.87,500
181,26.9,26.9,26.9,26.9,100
182,27,27,26.9,26.95,800
184,27.14,27.14,27.01,27.01,1500
186,27.14,27.14,27.14,27.14,2200
187,27.14,27.14,27.14,27.14,100
188,27.2,27.2,27.17,27.17,300
189,27.2,27.2,27.2,27.2,200
190,27.2,27.2,27.2,27.2,100
191,27.2,27.2,27.2,27.2,100
192,27.2,27.2,27.2,27.2,100
193,27.2,27.2,27.2,27.2,300
194,27.2,27.2,27.2,27.2,670
195,27.15,27.15,27.15,27.15,100
204,26.96,26.96,26.96,26.96,100
205,26.96,26.96,26.96,26.96,100
206,27.0095,27.01,26.99,26.99,800
207,27.07,27.07,27.07,27.07,570
210,26.955,26.955,26.955,26.955,100
219,26.87,26.87,26.87,26.87,100
221,27.05,27.05,27.04,27.04,500
224,27.07,27.07,27.05,27.05,4100
232,27.05,27.05,27.05,27.05,100
234,27.07,27.07,27.07,27.07,1300
241,27.07,27.07,27.03,27.03,200
242,27.07,27.07,27.05,27.05,500
243,27.07,27.07,27.07,27.07,1700
244,27.1,27.1,27.07,27.07,600
258,27.115,27.115,27.08,27.08,200
261,27.08,27.08,27.08,27.08,200
264,27.08,27.08,27.08,27.08,100
266,27.08,27.08,27.08,27.08,100
271,27.07,27.07,27.07,27.07,500
311,27.06,27.06,27.06,27.06,100
335,27.11,27.12,27.11,27.115,2000
336,27.105,27.105,27.105,27.105,100
360,26.84,26.84,26.84,26.84,100
371,26.82,26.82,26.82,26.82,100
376,26.82,26.82,26.82,26.82,100
378,27,27,27,27,100
379,26.83,26.83,26.83,26.83,100
388,26.82,26.85,26.8,26.82,1828
389,26.8,26.82,26.8,26.81,701
a1520433000,26.73,26.73,26.73,26.73,106
14,26.81,26.81,26.81,26.81,115
42,26.63,26.63,26.63,26.63,100
55,26.64,26.64,26.64,26.64,100
68,26.56,26.56,26.56,26.56,100
98,26.58,26.59,26.58,26.59,439
107,26.6,26.6,26.57,26.57,253
122,26.43,26.43,26.43,26.43,100
130,26.3601,26.3601,26.3601,26.3601,800
157,26.32,26.32,26.32,26.32,100
178,26.29,26.29,26.29,26.29,100
187,26.39,26.39,26.38,26.38,200
206,26.39,26.39,26.39,26.39,100
208,26.44,26.44,26.44,26.44,100
230,26.44,26.44,26.44,26.44,100
239,26.48,26.48,26.48,26.48,100
304,26.53,26.53,26.53,26.53,100
348,26.54,26.54,26.54,26.54,100
349,26.55,26.55,26.53,26.53,577
350,26.55,26.55,26.55,26.55,100
352,26.57,26.57,26.57,26.57,200
354,26.58,26.58,26.58,26.58,100
375,26.66,26.66,26.65,26.65,200
378,26.65,26.67,26.65,26.67,499
379,26.65,26.65,26.65,26.65,100
383,26.65,26.65,26.65,26.65,100
385,26.65,26.65,26.65,26.65,400
386,26.59,26.64,26.59,26.64,200
387,26.615,26.615,26.615,26.615,100
388,26.65,26.65,26.65,26.65,100
389,26.6,26.6,26.59,26.59,273
390,26.55,26.61,26.55,26.6,967
a1520519400,26.54,26.54,26.54,26.54,100
53,26.54,26.55,26.54,26.55,268
73,26.29,26.3,26.29,26.3,200
101,26.4399,26.44,26.43,26.43,500
