EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,12.05,12.05,12.05,12.05,170
15,12.13,12.13,12.13,12.13,100
40,12.105,12.105,12.105,12.105,500
80,12.11,12.11,12.11,12.11,200
91,12.12,12.12,12.11,12.11,300
105,12.13,12.13,12.13,12.13,271
115,12.18,12.18,12.18,12.18,200
119,12.15,12.15,12.15,12.15,100
133,12.1797,12.1797,12.1797,12.1797,129
134,12.21,12.21,12.21,12.21,500
142,12.2197,12.2197,12.2197,12.2197,260
164,12.19,12.2,12.19,12.2,791
185,12.19,12.19,12.19,12.19,100
214,12.2,12.2,12.2,12.2,462
215,12.22,12.23,12.22,12.22,1100
222,12.2055,12.2055,12.2055,12.2055,100
273,12.2001,12.2001,12.2,12.2,280
278,12.2,12.2,12.2,12.2,100
321,12.21,12.21,12.21,12.21,200
325,12.21,12.21,12.21,12.21,109
345,12.22,12.22,12.22,12.22,600
363,12.2301,12.2301,12.2301,12.2301,100
382,12.2301,12.2301,12.23,12.23,782
386,12.23,12.23,12.23,12.23,191
387,12.23,12.23,12.23,12.23,300
a1520346600,12.25,12.25,12.25,12.25,296
21,12.2348,12.25,12.2348,12.25,341
26,12.2299,12.2299,12.2299,12.2299,1000
40,12.23,12.23,12.23,12.23,300
55,12.21,12.21,12.21,12.21,100
61,12.2299,12.2299,12.2299,12.2299,501
80,12.21,12.211,12.21,12.21,1700
164,12.2,12.2,12.2,12.2,3288
177,12.2099,12.2099,12.2099,12.2099,195
189,12.21,12.21,12.21,12.21,271
202,12.25,12.25,12.22,12.22,800
272,12.24,12.24,12.24,12.24,100
291,12.24,12.24,12.24,12.24,700
316,12.27,12.27,12.25,12.25,200
382,12.248,12.248,12.24,12.24,200
390,12.24,12.24,12.24,12.24,1095
a1520433000,12.24,12.24,12.24,12.24,128
35,12.2,12.2,12.2,12.2,200
42,12.25,12.25,12.25,12.25,100
89,12.2201,12.2201,12.2201,12.2201,600
96,12.23,12.23,12.23,12.23,3614
97,12.22,12.23,12.22,12.23,1500
140,12.22,12.22,12.22,12.22,1400
143,12.22,12.22,12.22,12.22,200
144,12.22,12.22,12.22,12.22,200
153,12.22,12.22,12.22,12.22,100
159,12.21,12.21,12.21,12.21,400
162,12.2,12.2,12.2,12.2,200
169,12.19,12.19,12.19,12.19,100
174,12.19,12.19,12.19,12.19,100
182,12.1846,12.1846,12.1846,12.1846,345
186,12.1944,12.1944,12.1944,12.1944,200
211,12.17,12.17,12.17,12.17,134
212,12.1882,12.1882,12.1882,12.1882,143
214,12.2099,12.2099,12.2099,12.2099,400
263,12.198,12.198,12.198,12.198,720
294,12.26,12.26,12.2,12.2,1099
300,12.2207,12.2207,12.2207,12.2207,400
302,12.25,12.25,12.23,12.23,700
343,12.26,12.27,12.26,12.27,200
345,12.2541,12.2541,12.2541,12.2541,116
363,12.29,12.29,12.29,12.29,400
a1520520120,12.32,12.37,12.32,12.36,300
9,12.3294,12.3294,12.3294,12.3294,105
36,12.32,12.32,12.32,12.32,766
44,12.3001,12.3001,12.3001,12.3001,320
85,12.3031,12.3031,12.3031,12.3031,150
91,12.32,12.32,12.31,12.31,500
125,12.32,12.32,12.32,12.32,121
210,12.3,12.3,12.3,12.3,126
212,12.3094,12.3094,12.3094,12.3094,2000
247,12.3001,12.3001,12.3001,12.3001,142
330,12.3,12.3,12.3,12.3,1000
342,12.2967,12.3,12.2967,12.3,800
369,12.29,12.29,12.29,12.29,300
378,12.3,12.3,12.3,12.3,200
a1520605800,12.3,12.3,12.3,12.3,100
19,12.36,12.36,12.36,12.36,1000
79,12.3852,12.4,12.3787,12.3901,1866
82,12.4005,12.41,12.4005,12.41,300
93,12.42,12.42,12.42,12.42,900
128,12.45,12.45,12.45,12.45,100
138,12.46,12.46,12.4499,12.45,600
141,12.4599,12.46,12.4599,12.46,600
143,12.47,12.47,12.4599,12.46,800
170,12.48,12.48,12.4683,12.47,5100
188,12.4999,12.5,12.485,12.5,1809
210,12.48,12.5,12.48,12.5,900
211,12.48,12.48,12.48,12.48,846
216,12.489,12.489,12.489,12.489,1100
240,12.47,12.48,12.47,12.48,4000
270,12.4782,12.4782,12.4782,12.4782,150
345,12.48,12.52,12.48,12.51,2000
351,12.4993,12.4993,12.4993,12.4993,598
373,12.5,12.5,12.5,12.5,1011
388,12.49,12.49,12.49,12.49,100
390,12.5186,12.5186,12.5,12.5,601
TIMEZONE_OFFSET=-240
a1520861400,12.49,12.49,12.49,12.49,211
58,12.4898,12.4898,12.4898,12.4898,433
99,12.48,12.48,12.48,12.48,300
119,12.48,12.48,12.48,12.48,100
242,12.4665,12.4665,12.4665,12.4665,200
297,12.48,12.48,12.4799,12.4799,800
311,12.4711,12.4711,12.4711,12.4711,449
314,12.4663,12.4663,12.4663,12.4663,120
325,12.4673,12.4673,12.4673,12.4673,123
342,12.48,12.48,12.48,12.48,500
346,12.49,12.49,12.47,12.48,967
360,12.484,12.484,12.484,12.484,100
376,12.51,12.51,12.5,12.5,700
389,12.5,12.5001,12.5,12.5001,1832
390,12.5,12.5,12.5,12.5,100
a1520947800,12.48,12.48,12.48,12.48,165
8,12.52,12.52,12.52,12.52,200
13,12.51,12.51,12.51,12.51,141
78,12.5,12.5011,12.5,12.5,1200
79,12.5,12.5001,12.5,12.5001,500
83,12.5,12.5,12.5,12.5,300
88,12.5,12.5,12.5,12.5,100
90,12.4902,12.4902,12.4902,12.4902,100
94,12.49,12.49,12.49,12.49,400
155,12.494,12.494,12.494,12.494,200
159,12.49,12.49,12.49,12.49,200
180,12.49,12.49,12.49,12.49,100
196,12.4984,12.4984,12.48,12.48,260
265,12.48,12.4887,12.45,12.4887,1125
290,12.44,12.48,12.44,12.44,4238
301,12.48,12.48,12.48,12.48,2000
320,12.45,12.45,12.45,12.45,100
338,12.4538,12.4538,12.4538,12.4538,200
375,12.4638,12.4638,12.45,12.45,300
379,12.4225,12.4225,12.42,12.42,500
a1521035760,12.4749,12.4749,12.4749,12.4749,120
10,12.4682,12.4682,12.4682,12.4682,190
32,12.46,12.46,12.46,12.46,100
33,12.4625,12.4625,12.4625,12.4625,800
50,12.42,12.46,12.42,12.46,1600
73,12.4385,12.4385,12.4385,12.4385,700
84,12.44,12.44,12.44,12.44,100
90,12.42,12.422,12.42,12.422,341
107,12.42,12.42,12.42,12.42,200
