EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260260,28.6,28.6,28.55,28.55,2377
12,28.714,28.714,28.66,28.66,1000
13,28.79,28.79,28.74,28.74,500
14,28.86,28.86,28.79,28.79,1700
15,28.77,28.84,28.77,28.84,2183
16,28.76,28.76,28.76,28.76,100
29,28.94,28.94,28.94,28.94,100
30,28.98,28.98,28.875,28.875,200
31,28.924,28.924,28.924,28.924,280
41,28.88,28.88,28.88,28.88,100
42,28.835,28.835,28.835,28.835,100
46,28.8218,28.8218,28.8218,28.8218,1000
51,28.88,28.88,28.88,28.88,100
55,28.8302,28.8302,28.8302,28.8302,114
57,28.78,28.79,28.78,28.79,600
63,28.6,28.725,28.6,28.66,2348
74,28.6544,28.6544,28.6544,28.6544,400
82,28.73,28.73,28.73,28.73,100
92,28.74,28.74,28.74,28.74,1481
93,29.03,29.03,28.885,28.885,200
98,28.9298,28.9298,28.9298,28.9298,100
102,28.93,28.93,28.93,28.93,100
113,29.13,29.13,29.13,29.13,100
114,29.0198,29.0198,29.0198,29.0198,304
115,29.025,29.025,29.025,29.025,100
123,29.12,29.12,29.12,29.12,100
127,29.0098,29.0098,29.0098,29.0098,200
133,29.12,29.12,29.12,29.12,100
135,29.13,29.13,29.01,29.01,300
143,29.12,29.12,29.12,29.12,100
144,29.11,29.11,29.11,29.11,100
146,29.032,29.11,29.03,29.0468,1900
154,29.0999,29.0999,29.09,29.09,235
155,29.06,29.06,29.06,29.06,200
162,29.0608,29.0608,29.0608,29.0608,300
163,29.06,29.06,29.06,29.06,257
164,29.04,29.09,29.04,29.09,200
168,29.21,29.21,29.14,29.14,200
171,29.2,29.2,29.2,29.2,100
174,29.22,29.22,29.1483,29.1483,700
177,29.1,29.1,29.1,29.1,1200
183,29.08,29.08,29.08,29.08,100
190,29.15,29.15,29.15,29.15,100
192,29.16,29.16,29.15,29.15,892
195,28.92,29.03,28.92,29.03,700
219,29.16,29.16,29.085,29.1557,2020
221,29.17,29.17,29.1,29.1052,2120
224,29.1057,29.1057,29.1057,29.1057,700
225,29.125,29.125,29.125,29.125,100
228,29.14,29.14,29.14,29.14,100
229,29.15,29.15,29.15,29.15,200
231,29.1,29.149,29.1,29.149,400
236,29.1,29.14,29.1,29.14,500
243,29.02,29.02,29.02,29.02,200
245,28.995,28.995,28.995,28.995,200
262,29.14,29.14,29.14,29.14,100
269,29.0285,29.0285,29.0285,29.0285,300
271,29.0187,29.0187,29.0187,29.0187,200
275,29.025,29.025,29.025,29.025,100
282,29.016,29.016,29.016,29.016,200
289,28.94,28.96,28.94,28.96,1000
291,28.916,28.916,28.916,28.916,100
303,28.88,28.88,28.8601,28.8601,1000
312,28.94,28.94,28.94,28.94,250
314,29.05,29.06,29.03,29.06,500
323,29.05,29.05,29.05,29.05,200
332,28.96,28.96,28.96,28.96,100
334,28.9,28.97,28.9,28.95,400
336,28.96,28.96,28.89,28.9,1212
337,28.9125,28.9125,28.9125,28.9125,100
339,28.85,28.89,28.85,28.89,1400
343,28.86,28.86,28.86,28.86,100
344,28.84,28.84,28.84,28.84,100
347,28.78,28.82,28.78,28.82,1900
348,28.7501,28.76,28.75,28.76,400
349,28.7501,28.76,28.75,28.76,400
350,28.77,28.78,28.76,28.76,600
351,28.79,28.8,28.79,28.79,1095
352,28.91,28.92,28.8584,28.8584,766
363,28.815,28.815,28.815,28.815,100
365,28.85,28.85,28.85,28.85,100
366,28.7971,28.7971,28.7971,28.7971,100
367,28.8379,28.8379,28.8379,28.8379,200
369,28.76,28.79,28.76,28.79,600
378,28.78,28.78,28.78,28.78,100
379,28.78,28.78,28.78,28.78,149
380,28.765,28.79,28.75,28.785,1950
381,28.71,28.71,28.71,28.71,100
382,28.73,28.76,28.73,28.76,880
384,28.76,28.76,28.76,28.76,1257
385,28.785,28.82,28.76,28.81,800
386,28.81,28.81,28.8,28.8,600
388,28.81,28.81,28.81,28.81,600
389,28.83,28.83,28.74,28.81,4832
a1520346660,29.15,29.15,29,29,2510
7,29.01,29.01,29.01,29.01,100
9,29,29,29,29,100
15,28.965,28.965,28.965,28.965,100
18,29,29,29,29,100
19,28.9712,28.9712,28.9712,28.9712,100
24,29.02,29.02,29.02,29.02,300
30,29.0357,29.0357,29.0357,29.0357,500
33,29.11,29.11,29.11,29.11,100
37,28.9138,28.9138,28.9138,28.9138,3100
42,28.9,28.95,28.9,28.95,1250
48,28.932,28.932,28.932,28.932,174
51,28.99,28.99,28.99,28.99,100
53,28.93,28.93,28.93,28.93,100
58,28.9,28.92,28.9,28.92,470
62,28.99,28.99,28.99,28.99,1000
63,28.934,28.934,28.934,28.934,160
64,28.972,28.972,28.972,28.972,1200
69,29,29.04,28.99,28.99,900
70,29,29,29,29,1950
75,29.02,29.02,29.02,29.02,100
77,29.01,29.01,29.01,29.01,100
78,29.02,29.02,29.02,29.02,100
79,29.01,29.01,29.01,29.01,100
80,28.9,28.9,28.9,28.9,2648
81,28.9475,28.9475,28.9,28.9,1000
83,28.8799,28.9,28.8,28.9,12470
87,28.75,28.75,28.75,28.75,100
88,28.75,28.75,28.75,28.75,700
89,28.71,28.71,28.71,28.71,100
91,28.73,28.73,28.715,28.715,200
92,28.76,28.76,28.76,28.76,100
94,28.7421,28.7421,28.7421,28.7421,156
96,28.79,28.79,28.79,28.79,100
97,28.7554,28.7554,28.7554,28.7554,500
98,28.82,28.86,28.81,28.81,1000
100,28.89,28.89,28.8571,28.8571,725
102,28.92,28.93,28.9,28.9,1600
103,28.97,28.97,28.97,28.97,100
105,29.01,29.01,28.782,28.782,2500
109,29.02,29.02,29.02,29.02,100
113,28.99,28.99,28.99,28.99,100
117,28.74,28.8,28.74,28.8,600
118,28.7899,28.7899,28.7899,28.7899,140
119,28.7821,28.7821,28.7821,28.7821,1000
124,28.68,28.7669,28.68,28.72,400
125,28.67,28.71,28.67,28.71,400
132,28.72,28.72,28.561,28.561,300
139,28.54,28.61,28.54,28.61,3930
140,28.6399,28.6399,28.6399,28.6399,1000
143,28.565,28.565,28.565,28.565,100
145,28.66,28.66,28.66,28.66,100
146,28.6018,28.615,28.593,28.615,861
147,28.66,28.66,28.66,28.66,100
148,28.67,28.72,28.67,28.67,1620
151,28.81,28.82,28.81,28.82,200
152,28.81,28.81,28.81,28.81,100
156,28.85,28.85,28.85,28.85,100
