EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,20.5,20.5,20.5,20.5,284
29,20.8265,20.8265,20.8265,20.8265,500
30,20.75,20.75,20.75,20.75,300
32,20.5,20.56,20.5,20.55,500
42,20.5,20.5,20.5,20.5,350
47,20.49,20.49,20.49,20.49,200
49,20.5,20.5,20.5,20.5,350
54,20.6306,20.6306,20.6306,20.6306,150
68,20.68,20.68,20.66,20.66,200
100,20.85,20.85,20.85,20.85,100
125,20.76,20.78,20.72,20.72,500
126,20.7588,20.76,20.7588,20.76,800
130,20.95,20.95,20.95,20.95,100
134,20.8,20.84,20.8,20.8,900
139,20.8,20.8,20.8,20.8,400
177,20.82,20.82,20.81,20.81,300
181,20.79,20.82,20.79,20.8,1900
182,20.78,20.81,20.78,20.81,500
183,20.82,20.83,20.82,20.83,200
222,20.78,20.79,20.75,20.78,4518
230,20.75,20.75,20.75,20.75,300
257,20.79,20.79,20.79,20.79,100
258,20.73,20.8,20.73,20.8,200
266,20.6913,20.6913,20.6913,20.6913,1000
297,20.8,20.8,20.77,20.77,500
305,20.75,20.75,20.75,20.75,100
307,20.75,20.75,20.75,20.75,400
323,20.7353,20.7353,20.7353,20.7353,100
330,20.77,20.77,20.77,20.77,100
340,20.75,20.75,20.75,20.75,500
355,20.754,20.754,20.754,20.754,100
356,20.74,20.74,20.74,20.74,400
360,20.74,20.74,20.74,20.74,100
361,20.75,20.76,20.74,20.74,2000
364,20.79,20.79,20.79,20.79,100
368,20.8,20.8,20.8,20.8,300
369,20.79,20.79,20.79,20.79,200
373,20.7277,20.7277,20.7277,20.7277,131
375,20.75,20.75,20.6101,20.6101,2500
376,20.8974,20.99,20.87,20.94,2427
379,20.8,20.8,20.8,20.8,1000
381,20.56,20.79,20.56,20.79,2925
386,20.54,20.54,20.54,20.54,100
390,20.69,20.69,20.62,20.63,829
a1520346600,20.76,20.76,20.76,20.76,379
52,20.86,20.95,20.845,20.95,800
57,20.91,20.91,20.91,20.91,100
63,20.9299,20.9299,20.89,20.89,564
66,20.9,20.9,20.89,20.89,264
71,20.9108,20.9108,20.9108,20.9108,100
76,20.9,20.9,20.9,20.9,100
77,20.9,20.9,20.9,20.9,100
79,20.9,20.9,20.9,20.9,500
82,20.85,20.85,20.85,20.85,200
83,20.87,20.87,20.87,20.87,439
84,20.86,20.87,20.86,20.86,578
85,20.84,20.84,20.84,20.84,500
88,20.81,20.81,20.79,20.79,300
90,20.8,20.81,20.8,20.81,698
92,20.79,20.79,20.79,20.79,100
94,20.77,20.77,20.77,20.77,100
96,20.79,20.79,20.79,20.79,200
98,20.79,20.79,20.79,20.79,100
101,20.78,20.78,20.78,20.78,100
102,20.77,20.77,20.77,20.77,400
103,20.74,20.77,20.74,20.77,2601
104,20.7,20.7,20.7,20.7,191
107,20.7,20.7,20.7,20.7,100
108,20.715,20.72,20.68,20.72,661
109,20.7,20.7,20.7,20.7,103
119,20.55,20.55,20.55,20.55,100
122,20.54,20.54,20.54,20.54,109
126,20.57,20.57,20.57,20.57,300
132,20.62,20.62,20.62,20.62,435
142,20.7,20.7,20.7,20.7,300
145,20.72,20.72,20.72,20.72,100
146,20.78,20.78,20.77,20.77,400
148,20.73,20.73,20.73,20.73,169
154,20.695,20.79,20.695,20.74,1500
165,20.69,20.72,20.68,20.68,669
169,20.69,20.705,20.69,20.69,534
170,20.73,20.73,20.73,20.73,400
171,20.69,20.69,20.69,20.69,100
173,20.68,20.68,20.68,20.68,100
176,20.705,20.705,20.705,20.705,100
179,20.73,20.73,20.73,20.73,513
184,20.7,20.7,20.7,20.7,114
191,20.73,20.73,20.68,20.72,500
192,20.7098,20.7098,20.705,20.705,400
199,20.68,20.68,20.68,20.68,100
203,20.68,20.705,20.68,20.705,500
206,20.73,20.73,20.68,20.68,200
210,20.65,20.66,20.65,20.66,395
213,20.67,20.67,20.67,20.67,216
218,20.7299,20.7299,20.69,20.69,300
219,20.69,20.69,20.69,20.69,100
227,20.67,20.67,20.67,20.67,100
228,20.56,20.67,20.56,20.67,1100
229,20.51,20.5699,20.49,20.55,2404
230,20.6,20.6,20.51,20.51,849
231,20.49,20.5299,20.37,20.45,13323
234,20.7,20.7,20.6,20.6,400
245,20.6799,20.7,20.6799,20.69,500
246,20.68,20.68,20.68,20.68,400
247,20.68,20.72,20.68,20.7,2400
248,20.67,20.78,20.66,20.7099,12376
249,20.67,20.67,20.62,20.64,700
250,20.58,20.58,20.58,20.58,100
255,20.58,20.58,20.58,20.58,100
257,20.57,20.57,20.57,20.57,300
260,20.52,20.62,20.52,20.52,300
267,20.44,20.53,20.44,20.51,1300
274,20.435,20.435,20.435,20.435,100
275,20.6,20.6,20.5,20.5,661
281,20.72,20.72,20.7,20.7,350
290,20.58,20.58,20.58,20.58,100
293,20.57,20.57,20.57,20.57,473
304,20.61,20.61,20.55,20.55,200
306,20.61,20.61,20.6,20.6,400
310,20.56,20.56,20.56,20.56,100
312,20.59,20.62,20.58,20.62,522
313,20.59,20.59,20.59,20.59,200
317,20.6,20.61,20.6,20.6,929
321,20.64,20.64,20.6,20.6,500
323,20.6,20.6,20.6,20.6,235
324,20.6,20.6,20.6,20.6,100
326,20.6,20.6,20.6,20.6,100
329,20.585,20.62,20.495,20.62,300
333,20.61,20.61,20.59,20.59,531
336,20.62,20.62,20.6,20.6,350
338,20.59,20.59,20.59,20.59,406
341,20.62,20.62,20.58,20.58,388
342,20.58,20.58,20.58,20.58,411
345,20.56,20.61,20.56,20.59,1312
346,20.55,20.55,20.5,20.51,1701
351,20.77,20.77,20.52,20.57,1987
353,20.66,20.66,20.65,20.65,600
355,20.62,20.62,20.62,20.62,100
357,20.57,20.57,20.57,20.57,100
359,20.59,20.59,20.59,20.59,888
360,20.62,20.62,20.62,20.62,200
362,20.58,20.58,20.58,20.58,200
364,20.59,20.59,20.59,20.59,177
365,20.62,20.63,20.62,20.63,700
367,20.62,20.62,20.59,20.59,400
369,20.56,20.56,20.56,20.56,100
370,20.56,20.62,20.56,20.56,400
371,20.56,20.585,20.56,20.585,202
372,20.56,20.56,20.56,20.56,100
373,20.61,20.61,20.61,20.61,200
374,20.61,20.61,20.58,20.6,2100
375,20.66,20.66,20.66,20.66,200
378,20.62,20.62,20.62,20.62,200
379,20.55,20.55,20.55,20.55,100
380,20.62,20.62,20.62,20.62,200
