EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520262180,13.07,13.07,13.03,13.03,500
18,13.1219,13.1219,13.1219,13.1219,200
a1520346840,13.1,13.1,13.0598,13.0739,1600
5,13.02,13.02,13.02,13.02,100
115,13.0776,13.1039,13.0776,13.0798,1425
116,13.13,13.13,13.0848,13.1039,1150
117,13.1139,13.13,13.0898,13.1299,1947
118,13.1139,13.1139,13.0848,13.0848,900
119,13.1037,13.1037,13.1037,13.1037,592
125,13.03,13.1399,13.03,13.0848,1714
129,13.14,13.14,13.14,13.14,100
364,13.03,13.03,13.03,13.03,588
377,13.0301,13.04,13.0301,13.04,200
378,13.03,13.03,13.03,13.03,200
379,13.0998,13.3,13.0998,13.0999,986
380,13.1,13.1599,13.09,13.098,1500
381,13.15,13.15,13.0998,13.0998,400
a1520452020,13.04,13.06,13.04,13.06,300
6,13.15,13.15,13.15,13.15,500
23,13.15,13.16,13.15,13.16,300
a1520527020,13.2,13.2,13.2,13.2,100
260,13.11,13.12,13.11,13.12,977
a1520609160,13.15,13.15,13.14,13.14,300
98,13.1151,13.1151,13.11,13.11,600
106,13.07,13.07,13.07,13.07,126
269,13.01,13.01,13.01,13.01,700
272,13.01,13.01,13.01,13.01,500
273,13.01,13.01,13.01,13.01,342
275,13.01,13.01,13.01,13.01,300
276,13.01,13.01,13.01,13.01,100
283,12.9501,12.9501,12.9501,12.9501,575
301,12.986,13.0002,12.986,13.0002,857
302,12.92,12.9996,12.92,12.96,600
303,12.899,12.899,12.899,12.899,400
304,12.8,12.899,12.8,12.899,967
322,12.8648,12.8648,12.8648,12.8648,115
323,12.929,12.929,12.929,12.929,399
324,12.8698,12.929,12.8648,12.8648,1896
325,12.8632,12.929,12.8632,12.92,1798
326,12.9299,12.9299,12.8632,12.8632,1197
327,12.8632,12.8648,12.8632,12.8648,800
328,12.872,12.872,12.872,12.872,610
332,12.866,12.866,12.866,12.866,566
TIMEZONE_OFFSET=-240
a1520947800,13.04,13.04,13.04,13.04,100
15,13.0998,13.0998,13.0998,13.0998,149
19,13.0761,13.0761,13.0761,13.0761,500
22,13.0761,13.0761,13.0761,13.0761,1000
24,13.0761,13.0761,13.0761,13.0761,1000
106,13.0177,13.02,13.0111,13.02,478
136,13.011,13.011,13.011,13.011,1000
137,13.06,13.06,13,13.0364,3560
165,13.0179,13.0179,13.0179,13.0179,500
171,13.02,13.02,13.02,13.02,100
180,13.01,13.04,13.01,13.0142,400
182,13.0056,13.0056,13.0056,13.0056,500
183,13.0308,13.035,13,13.001,1544
184,13,13,13,13,100
187,13.0001,13.0001,13,13,780
192,13,13,13,13,200
262,13,13,13,13,200
263,13,13,13,13,300
264,13,13,13,13,200
314,12.966,12.966,12.966,12.966,571
a1521037620,13.0872,13.0872,13.0872,13.0872,390
1,13.1402,13.1402,13.0872,13.1352,1950
2,13.1352,13.151,13.0872,13.151,1560
3,13.1352,13.1434,13.0862,13.0872,1950
5,13.126,13.1434,13.126,13.1434,1007
12,13.07,13.07,13.07,13.07,100
14,13.026,13.0401,13,13.02,1200
15,13.0952,13.0952,13,13.0902,2210
17,13,13.0941,13,13.01,1496
76,12.96,12.96,12.95,12.96,300
89,12.9299,12.9299,12.8346,12.9299,1952
90,12.8398,12.9299,12.8346,12.8398,1084
242,12.9,12.9,12.9,12.9,1500
286,12.8301,12.84,12.8301,12.84,200
a1521121260,12.77,12.77,12.77,12.77,100
3,12.9617,12.9617,12.9617,12.9617,350
4,12.9617,12.9651,12.875,12.9651,1050
5,12.9617,12.9617,12.875,12.89,2000
78,12.8,12.8,12.8,12.8,1900
80,12.8,12.8,12.8,12.8,1000
81,12.8,12.8,12.8,12.8,5500
112,12.82,12.82,12.82,12.82,100
113,12.82,12.82,12.82,12.82,100
289,12.8581,12.8581,12.8581,12.8581,400
298,12.82,12.82,12.82,12.82,100
a1521207000,12.72,12.72,12.72,12.72,317
11,12,12.5,12,12.5,1152
12,12.52,12.52,12.52,12.52,466
14,12.9725,13,12.9725,13,700
81,12.75,12.75,12.75,12.75,2319
100,12.75,12.75,12.75,12.75,211
110,12.7883,12.8152,12.7883,12.8152,804
111,12.7883,12.8185,12.7883,12.8185,1875
112,12.7883,12.8152,12.7883,12.8152,750
127,12.75,12.76,12.75,12.75,2000
129,12.75,12.75,12.75,12.75,570
261,12.6599,12.6599,12.5819,12.659,1524
262,12.5916,12.6599,12.5916,12.6599,758
347,12.5401,12.5401,12.5401,12.5401,754
348,12.5,12.5801,12.5,12.5801,1598
349,12.5,12.5001,12.5,12.5001,800
383,12.4,12.4,12.4,12.4,200
387,12.5,12.5,12.5,12.5,100
388,12.46,12.5,12.46,12.5,200
a1521466200,12.52,12.52,12.52,12.52,202
284,12.6953,12.6953,12.6953,12.6953,100
292,12.6948,12.6948,12.6933,12.6933,800
293,12.7512,12.7512,12.6948,12.6948,854
296,12.6952,12.6952,12.6388,12.6388,854
297,12.6952,12.6952,12.6378,12.6378,800
366,12.7,12.7,12.7,12.7,100
390,12.6,12.6,12.6,12.6,300
a1521556740,12.55,12.55,12.55,12.55,978
54,12.6378,12.6802,12.6378,12.6378,1327
55,12.6528,12.6802,12.6378,12.6802,1530
199,12.5375,12.5375,12.5375,12.5375,500
200,12.5,12.51,12.5,12.5,3800
201,12.5375,12.5375,12.5,12.5,2400
202,12.5369,12.5375,12.5,12.5,1200
a1521646800,12.4,12.4,12.39,12.4,1200
251,12.3,12.33,12.3,12.33,3160
a1521747120,12.25,12.25,12.25,12.25,500
26,12.26,12.2601,12.26,12.26,600
27,12.25,12.25,12.25,12.25,100
28,12.26,12.26,12.26,12.26,100
a1521811800,12.2,12.2,12.2,12.2,1000
66,12.22,12.22,12.2,12.21,500
199,12.2398,12.269,12.2398,12.2459,2490
200,12.2348,12.269,12.2348,12.269,1494
203,12.2298,12.2298,12.2298,12.2298,499
204,12.2342,12.26,12.2248,12.2248,1629
205,12.332,12.35,12.2442,12.26,1077
209,12.34,12.34,12.34,12.34,100
