EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,14.7,14.7,14.7,14.7,1730
7,14.7199,14.7199,14.7,14.7,300
12,14.7,14.7,14.7,14.7,200
14,14.7,14.7,14.7,14.7,100
16,14.7,14.7,14.7,14.7,200
17,14.705,14.705,14.705,14.705,100
19,14.7,14.7,14.7,14.7,600
22,14.7,14.71,14.7,14.71,500
29,14.66,14.66,14.66,14.66,100
35,14.77,14.77,14.77,14.77,300
36,14.72,14.72,14.71,14.71,400
38,14.68,14.68,14.68,14.68,200
39,14.72,14.72,14.72,14.72,100
75,14.7,14.7,14.7,14.7,2729
89,14.76,14.76,14.76,14.76,100
101,14.7,14.7,14.7,14.7,500
129,14.79,14.79,14.79,14.79,300
152,14.7,14.7,14.7,14.7,1479
212,14.78,14.78,14.78,14.78,100
215,14.82,14.82,14.82,14.82,100
231,14.9147,14.9147,14.9147,14.9147,714
232,14.767,14.767,14.767,14.767,109
237,15,15,15,15,100
253,14.88,14.89,14.88,14.89,200
256,15.12,15.12,15.12,15.12,100
266,15.1899,15.1899,15.1899,15.1899,100
272,15.1899,15.1899,15.1899,15.1899,200
278,15.16,15.16,15.16,15.16,100
299,15.1899,15.1899,15.1899,15.1899,200
311,15.1799,15.1799,15.1799,15.1799,200
317,14.975,14.975,14.975,14.975,100
331,15.16,15.19,15.16,15.19,300
335,14.78,14.78,14.78,14.78,100
348,15.19,15.19,15.19,15.19,348
349,14.96,14.96,14.755,14.755,200
354,15.0382,15.0382,15.0382,15.0382,1622
388,15.14,15.14,15.13,15.13,200
389,15.16,15.16,15.16,15.16,100
390,14.875,15.13,14.83,14.88,405
a1520347980,14.65,14.72,14.65,14.72,1700
4,14.81,14.81,14.8,14.81,400
16,14.89,14.9,14.89,14.9,402
17,14.79,14.79,14.79,14.79,100
72,14.86,14.86,14.86,14.86,100
97,14.8332,14.8332,14.8332,14.8332,1408
166,14.59,14.89,14.59,14.89,200
291,14.74,14.74,14.74,14.74,100
328,14.735,14.735,14.735,14.735,350
343,14.72,14.72,14.72,14.72,100
349,14.745,14.745,14.745,14.745,906
365,14.68,14.68,14.68,14.68,200
a1520441220,14.83,14.83,14.83,14.83,100
56,14.5706,14.5706,14.5706,14.5706,200
121,14.5724,14.5724,14.5724,14.5724,1020
131,14.771,14.771,14.771,14.771,144
174,14.66,14.81,14.66,14.81,794
176,14.6942,14.6942,14.6942,14.6942,150
239,14.8,14.8,14.8,14.8,100
a1520525580,14.8699,14.8699,14.8699,14.8699,132
48,14.42,14.45,14.42,14.45,200
153,14.43,14.43,14.43,14.43,100
224,14.7,14.7,14.7,14.7,546
285,14.39,14.4,14.39,14.4,282
a1520605800,14.56,14.56,14.56,14.56,100
31,14.72,14.72,14.72,14.72,100
46,14.68,14.68,14.68,14.68,100
78,14.6399,14.6399,14.6399,14.6399,500
80,14.64,14.64,14.64,14.64,100
89,14.62,14.62,14.62,14.62,100
96,14.682,14.7106,14.63,14.7106,833
207,14.72,14.72,14.72,14.72,100
242,14.7,14.7,14.7,14.7,160
290,14.67,14.68,14.66,14.66,2452
291,14.68,14.68,14.59,14.6779,2268
302,14.66,14.66,14.66,14.66,100
328,14.8297,14.8297,14.8297,14.8297,224
357,14.6767,14.6767,14.6767,14.6767,556
375,14.6178,14.6178,14.6178,14.6178,400
381,14.78,14.78,14.78,14.78,100
382,14.73,14.73,14.73,14.73,100
390,14.705,14.72,14.7,14.72,1066
TIMEZONE_OFFSET=-240
a1520868300,14.6875,14.6875,14.6875,14.6875,303
17,14.6447,14.6447,14.6447,14.6447,344
60,14.86,14.86,14.85,14.85,200
136,14.88,14.88,14.88,14.88,100
137,14.88,14.88,14.88,14.88,100
195,14.69,14.69,14.69,14.69,100
198,14.88,14.88,14.88,14.88,330
236,15.1,15.1,15.1,15.1,100
251,15.14,15.14,15.14,15.14,100
275,14.89,14.89,14.89,14.89,100
a1520954460,14.65,15,14.65,14.9125,336
77,14.99,14.99,14.99,14.99,100
181,15,15,15,15,100
264,15,15,14.99,14.99,244
279,14.49,14.85,14.49,14.85,200
a1521034200,14.79,14.79,14.79,14.79,300
98,14.78,14.78,14.78,14.78,100
100,14.999,14.999,14.999,14.999,240
126,14.79,14.79,14.79,14.79,100
159,14.77,14.99,14.77,14.99,200
321,14.78,14.78,14.78,14.78,100
328,14.7704,14.7704,14.7704,14.7704,300
329,14.77,14.77,14.77,14.77,300
335,14.77,14.77,14.77,14.77,100
a1521126060,15.21,15.21,15.21,15.21,100
22,14.63,15,14.6,15,2700
42,14.97,14.97,14.97,14.97,100
58,14.9999,14.9999,14.9999,14.9999,118
111,14.97,14.97,14.97,14.97,100
200,14.94,14.94,14.94,14.94,100
275,14.95,14.95,14.95,14.95,100
a1521214680,14.58,14.62,14.58,14.62,300
126,14.5401,15.1077,14.51,14.86,1341
197,14.61,14.61,14.61,14.61,300
200,14.57,14.57,14.57,14.57,100
201,14.57,14.6,14.57,14.6,340
262,14.87,14.87,14.87,14.87,100
a1521467220,14.44,14.48,14.44,14.48,265
12,14.59,14.5901,14.59,14.59,1200
45,14.45,14.49,14.45,14.49,400
80,14.5,14.5,14.5,14.5,700
214,14.34,14.47,14.34,14.47,200
217,14.49,14.49,14.42,14.42,300
230,14.48,14.48,14.48,14.48,100
244,14.5,14.5,14.5,14.5,100
297,14.42,14.42,14.42,14.42,100
301,14.5,14.5,14.5,14.5,100
346,14.5,14.5,14.5,14.5,131
a1521555660,14.0892,14.0892,14.0892,14.0892,1025
13,14.32,14.68,14.32,14.68,200
102,14.6,14.62,14.6,14.62,772
107,14.61,14.61,14.61,14.61,200
236,14.87,14.87,14.87,14.87,124
300,14.798,14.798,14.798,14.798,286
331,14.83,14.83,14.83,14.83,200
332,14.76,14.76,14.76,14.76,100
338,14.78,14.78,14.78,14.78,200
339,14.6,14.6,14.6,14.6,100
a1521648480,14.8476,14.8476,14.8476,14.8476,424
11,14.6,14.6,14.6,14.6,8700
33,14.88,14.88,14.88,14.88,100
34,14.81,14.81,14.81,14.81,500
50,14.81,14.81,14.81,14.81,1476
96,14.8987,14.8987,14.8987,14.8987,170
138,15.09,15.09,15.09,15.09,100
219,14.83,14.83,14.83,14.83,100
220,14.83,14.83,14.83,14.83,200
230,14.83,14.83,14.83,14.83,100
232,14.5,14.5,14.5,14.5,100
