EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,4.74,4.74,4.74,4.74,13110
1,4.74,4.74,4.74,4.74,100
3,4.7499,4.7499,4.733,4.733,1015
6,4.75,4.75,4.74,4.74,2558
7,4.76,4.76,4.76,4.76,216
8,4.74,4.76,4.74,4.76,2155
14,4.74,4.74,4.74,4.74,300
16,4.74,4.74,4.74,4.74,100
17,4.74,4.74,4.74,4.74,1099
20,4.73,4.73,4.73,4.73,200
21,4.73,4.73,4.73,4.73,1011
22,4.725,4.725,4.725,4.725,100
23,4.745,4.745,4.73,4.73,1400
29,4.731,4.731,4.731,4.731,4100
31,4.74,4.74,4.73,4.73,2778
33,4.73,4.73,4.73,4.73,100
34,4.72,4.7299,4.72,4.7299,2600
35,4.72,4.72,4.72,4.72,100
36,4.72,4.72,4.72,4.72,100
37,4.725,4.725,4.725,4.725,100
38,4.72,4.73,4.72,4.725,1700
39,4.72,4.72,4.705,4.71,5225
40,4.73,4.73,4.72,4.725,7900
41,4.74,4.74,4.735,4.74,4821
42,4.74,4.745,4.74,4.745,200
51,4.73,4.73,4.73,4.73,200
53,4.74,4.74,4.735,4.74,1000
56,4.74,4.74,4.74,4.74,200
57,4.74,4.74,4.74,4.74,200
59,4.737,4.737,4.737,4.737,600
60,4.74,4.74,4.74,4.74,200
68,4.74,4.7453,4.74,4.7453,1330
69,4.74,4.74,4.74,4.74,1400
73,4.75,4.75,4.745,4.745,400
74,4.76,4.76,4.76,4.76,100
76,4.76,4.76,4.76,4.76,100
77,4.76,4.76,4.76,4.76,100
78,4.7594,4.76,4.755,4.755,383
79,4.76,4.76,4.76,4.76,100
80,4.76,4.76,4.76,4.76,500
83,4.76,4.76,4.76,4.76,500
84,4.76,4.76,4.76,4.76,100
87,4.76,4.76,4.76,4.76,200
88,4.765,4.765,4.76,4.76,700
92,4.76,4.76,4.76,4.76,100
93,4.76,4.76,4.76,4.76,500
94,4.765,4.765,4.76,4.76,3300
95,4.765,4.77,4.76,4.76,986
96,4.77,4.77,4.77,4.77,2700
98,4.79,4.79,4.77,4.77,1700
100,4.78,4.78,4.78,4.78,100
110,4.7735,4.78,4.7735,4.775,3666
111,4.7788,4.7788,4.7788,4.7788,100
112,4.77,4.7707,4.77,4.7707,1832
113,4.79,4.79,4.775,4.775,1200
114,4.79,4.8,4.79,4.79,1000
118,4.78,4.78,4.78,4.78,200
122,4.7851,4.7851,4.7851,4.7851,250
124,4.78,4.78,4.78,4.78,400
125,4.78,4.78,4.78,4.78,300
127,4.78,4.78,4.78,4.78,200
128,4.78,4.78,4.78,4.78,1000
131,4.79,4.79,4.79,4.79,600
134,4.8,4.8,4.8,4.8,300
135,4.8,4.8,4.8,4.8,400
140,4.78,4.79,4.78,4.79,1400
141,4.7818,4.7818,4.7818,4.7818,200
144,4.777,4.777,4.77,4.77,2080
145,4.77,4.77,4.77,4.77,100
146,4.7752,4.7752,4.7752,4.7752,400
147,4.77,4.77,4.77,4.77,500
148,4.76,4.76,4.76,4.76,400
149,4.7651,4.7651,4.7651,4.7651,500
152,4.76,4.76,4.76,4.76,100
153,4.76,4.76,4.76,4.76,100
154,4.75,4.76,4.75,4.76,200
155,4.7551,4.7551,4.7551,4.7551,200
156,4.75,4.75,4.75,4.75,100
158,4.76,4.76,4.76,4.76,600
162,4.76,4.765,4.76,4.76,9273
167,4.77,4.77,4.77,4.77,1600
168,4.77,4.78,4.77,4.78,430
170,4.77,4.77,4.77,4.77,100
171,4.77,4.77,4.77,4.77,200
173,4.76,4.76,4.76,4.76,100
174,4.76,4.7661,4.76,4.7661,940
175,4.77,4.77,4.77,4.77,200
178,4.765,4.765,4.765,4.765,100
179,4.76,4.76,4.76,4.76,100
180,4.76,4.76,4.76,4.76,100
182,4.76,4.76,4.755,4.76,995
185,4.76,4.76,4.76,4.76,100
190,4.76,4.76,4.76,4.76,400
192,4.77,4.77,4.77,4.77,700
196,4.77,4.77,4.77,4.77,300
197,4.77,4.77,4.77,4.77,100
200,4.77,4.77,4.77,4.77,100
201,4.765,4.765,4.765,4.765,210
206,4.76,4.76,4.76,4.76,200
207,4.7633,4.7633,4.7633,4.7633,1000
208,4.76,4.76,4.76,4.76,200
209,4.76,4.76,4.76,4.76,100
210,4.765,4.765,4.765,4.765,481
215,4.76,4.76,4.76,4.76,100
216,4.76,4.76,4.76,4.76,200
217,4.76,4.7651,4.76,4.7651,1200
218,4.76,4.76,4.76,4.76,100
219,4.77,4.77,4.77,4.77,700
220,4.77,4.77,4.77,4.77,500
223,4.77,4.77,4.77,4.77,200
224,4.78,4.78,4.78,4.78,521
225,4.77,4.78,4.77,4.78,200
228,4.77,4.77,4.77,4.77,100
229,4.77,4.77,4.77,4.77,2115
234,4.765,4.765,4.765,4.765,100
240,4.7662,4.7662,4.7662,4.7662,100
242,4.76,4.76,4.76,4.76,100
245,4.76,4.76,4.76,4.76,200
246,4.77,4.77,4.765,4.77,1100
247,4.77,4.77,4.77,4.77,600
249,4.77,4.77,4.77,4.77,100
250,4.775,4.775,4.775,4.775,100
251,4.77,4.77,4.77,4.77,100
252,4.775,4.775,4.775,4.775,100
254,4.775,4.775,4.775,4.775,100
255,4.775,4.775,4.775,4.775,200
256,4.78,4.78,4.78,4.78,1100
257,4.78,4.78,4.78,4.78,100
258,4.78,4.78,4.7799,4.78,300
261,4.7707,4.78,4.7707,4.78,295
263,4.78,4.78,4.78,4.78,100
264,4.79,4.79,4.78,4.78,1682
266,4.79,4.79,4.79,4.79,100
267,4.79,4.79,4.79,4.79,100
268,4.79,4.79,4.78,4.78,1821
270,4.79,4.79,4.79,4.79,300
271,4.79,4.79,4.79,4.79,100
272,4.79,4.79,4.78,4.78,200
275,4.785,4.79,4.785,4.79,200
276,4.785,4.79,4.785,4.79,300
277,4.775,4.775,4.775,4.775,200
278,4.78,4.79,4.78,4.78,1598
281,4.785,4.785,4.785,4.785,100
282,4.78,4.78,4.78,4.78,223
283,4.78,4.78,4.78,4.78,100
284,4.775,4.78,4.775,4.78,200
285,4.79,4.79,4.78,4.78,2890
288,4.785,4.79,4.785,4.79,400
290,4.78,4.7869,4.78,4.7869,800
292,4.78,4.78,4.775,4.78,1400
293,4.785,4.785,4.785,4.785,100
297,4.79,4.79,4.79,4.79,470
301,4.785,4.785,4.785,4.785,100
307,4.78,4.78,4.78,4.78,100
