EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,7.77,7.77,7.77,7.77,21355
5,7.805,7.805,7.805,7.805,273
8,7.84,7.84,7.822,7.84,3800
12,7.85,7.85,7.84,7.84,1000
13,7.88,7.89,7.87,7.89,3738
18,7.87,7.87,7.84,7.85,2710
20,7.86,7.86,7.86,7.86,100
24,7.8599,7.8599,7.8599,7.8599,100
38,7.8599,7.86,7.855,7.86,400
42,7.85,7.85,7.84,7.84,700
43,7.85,7.865,7.85,7.86,1900
46,7.84,7.85,7.84,7.85,1000
68,7.88,7.88,7.86,7.86,900
69,7.86,7.88,7.86,7.88,500
81,7.8989,7.8989,7.875,7.875,600
94,7.92,7.92,7.92,7.92,400
95,7.92,7.92,7.92,7.92,300
109,7.95,7.9589,7.9104,7.9104,600
113,7.9355,7.9355,7.9355,7.9355,172
118,7.97,7.97,7.94,7.94,400
129,7.94,7.94,7.94,7.94,300
134,7.97,7.97,7.9699,7.97,400
135,7.97,7.97,7.97,7.97,100
149,7.9699,7.9699,7.94,7.94,400
165,7.9549,7.9549,7.9549,7.9549,5033
170,7.9699,7.9699,7.93,7.93,500
172,7.9699,7.9699,7.9699,7.9699,200
173,7.9579,7.9579,7.9579,7.9579,400
175,7.945,7.97,7.945,7.96,5058
179,7.98,7.98,7.98,7.98,800
181,7.968,7.968,7.968,7.968,1250
183,8.01,8.01,7.98,7.98,11335
188,8,8,7.9999,7.9999,400
189,8,8,8,8,300
190,8,8,8,8,300
191,8,8,8,8,300
202,8,8,7.9925,8,1000
228,7.98,8,7.98,8,900
234,7.96,7.97,7.96,7.97,200
309,7.9348,7.9348,7.9348,7.9348,200
345,7.965,7.965,7.965,7.965,620
361,7.9695,7.9695,7.9695,7.9695,2500
367,7.9606,7.9606,7.9606,7.9606,400
375,7.946,7.96,7.946,7.9577,1800
376,7.9542,7.97,7.9441,7.96,6168
377,7.9344,7.9344,7.9344,7.9344,540
381,7.9345,7.9345,7.9345,7.9345,380
385,7.9405,7.9405,7.9405,7.9405,520
390,7.97,7.97,7.97,7.97,230
a1520346600,7.96,7.96,7.96,7.96,2066
51,7.94,7.94,7.94,7.94,100
60,7.9123,7.9123,7.9123,7.9123,957
71,7.9458,7.9458,7.9458,7.9458,500
86,7.92,7.92,7.92,7.92,200
114,7.92,7.92,7.92,7.92,200
116,7.92,7.92,7.92,7.92,100
118,7.91,7.91,7.91,7.91,1400
119,7.91,7.91,7.91,7.91,100
126,7.88,7.88,7.88,7.88,100
130,7.8859,7.8859,7.8859,7.8859,875
132,7.9094,7.91,7.875,7.875,1600
138,7.9036,7.9036,7.9036,7.9036,1375
150,7.92,7.92,7.92,7.92,400
151,7.919,7.92,7.919,7.92,2000
184,7.91,7.91,7.91,7.91,100
194,7.9159,7.92,7.9158,7.92,700
245,7.914,7.92,7.914,7.92,1300
250,7.92,7.92,7.92,7.92,100
259,7.92,7.92,7.92,7.92,100
261,7.92,7.92,7.92,7.92,200
284,7.92,7.92,7.92,7.92,100
298,7.91,7.91,7.91,7.91,200
313,7.92,7.92,7.92,7.92,100
318,7.911,7.911,7.911,7.911,1500
320,7.9098,7.9098,7.9098,7.9098,200
328,7.9001,7.9001,7.9001,7.9001,200
330,7.9042,7.9042,7.9042,7.9042,300
334,7.92,7.92,7.92,7.92,100
335,7.91,7.91,7.91,7.91,300
337,7.92,7.92,7.92,7.92,100
339,7.92,7.92,7.92,7.92,100
341,7.92,7.92,7.92,7.92,100
342,7.92,7.92,7.92,7.92,100
344,7.92,7.92,7.92,7.92,500
346,7.91,7.92,7.89,7.92,600
348,7.92,7.92,7.92,7.92,200
349,7.92,7.92,7.92,7.92,200
390,7.905,7.905,7.905,7.905,100
a1520433000,7.87,7.87,7.87,7.87,2476
36,7.9799,7.9799,7.9799,7.9799,635
91,7.96,7.96,7.96,7.96,100
107,7.98,7.98,7.98,7.98,100
108,7.98,7.98,7.98,7.98,500
126,7.97,7.97,7.97,7.97,800
137,7.92,7.92,7.92,7.92,100
139,7.93,7.93,7.93,7.93,100
148,7.93,7.93,7.93,7.93,500
152,7.93,7.93,7.93,7.93,400
159,7.87,7.931,7.87,7.931,2500
161,7.885,7.885,7.885,7.885,100
170,7.88,7.88,7.88,7.88,400
171,7.896,7.896,7.896,7.896,678
177,7.84,7.87,7.84,7.87,400
187,7.84,7.9,7.84,7.9,900
190,7.9,7.9,7.9,7.9,500
192,7.86,7.88,7.86,7.88,300
194,7.8793,7.8793,7.8793,7.8793,200
200,7.86,7.88,7.86,7.88,300
207,7.88,7.89,7.88,7.885,300
211,7.8898,7.8898,7.8898,7.8898,130
212,7.8898,7.8898,7.8898,7.8898,150
213,7.88,7.88,7.87,7.87,200
218,7.88,7.88,7.88,7.88,200
224,7.86,7.86,7.86,7.86,200
229,7.87,7.88,7.87,7.88,200
234,7.88,7.88,7.88,7.88,100
235,7.88,7.88,7.88,7.88,100
238,7.885,7.885,7.885,7.885,100
240,7.89,7.89,7.89,7.89,100
242,7.9,7.9,7.9,7.9,100
243,7.9,7.9,7.9,7.9,100
246,7.89,7.89,7.89,7.89,100
248,7.89,7.89,7.89,7.89,100
251,7.89,7.89,7.89,7.89,100
253,7.89,7.89,7.89,7.89,100
256,7.89,7.89,7.89,7.89,185
292,7.92,7.92,7.92,7.92,200
299,7.91,7.91,7.91,7.91,100
304,7.9,7.9,7.9,7.9,100
309,7.9,7.9,7.9,7.9,100
314,7.9,7.9,7.9,7.9,100
319,7.899,7.899,7.899,7.899,100
323,7.899,7.899,7.899,7.899,100
328,7.9,7.9,7.9,7.9,100
332,7.9,7.9,7.9,7.9,100
335,7.899,7.9,7.899,7.9,1800
336,7.91,7.91,7.91,7.91,100
339,7.92,7.92,7.9095,7.91,700
343,7.915,7.915,7.915,7.915,100
355,7.93,7.93,7.93,7.93,100
358,7.92,7.92,7.92,7.92,200
360,7.92,7.92,7.92,7.92,100
362,7.9114,7.92,7.9114,7.92,200
366,7.93,7.93,7.93,7.93,100
367,7.93,7.93,7.929,7.93,1600
374,7.925,7.925,7.925,7.925,215
379,7.9294,7.9294,7.9294,7.9294,495
380,7.9335,7.9335,7.9335,7.9335,150
383,7.94,7.94,7.94,7.94,100
385,7.95,7.95,7.95,7.95,100
386,7.945,7.945,7.945,7.945,100
387,7.949,7.95,7.945,7.945,700
