EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,7.33,7.33,7.33,7.33,776
3,7.3447,7.3447,7.3447,7.3447,200
31,7.35,7.36,7.35,7.36,207
124,7.36,7.3648,7.36,7.36,1557
229,7.36,7.36,7.36,7.36,200
256,7.3699,7.3699,7.3699,7.3699,1400
298,7.368,7.368,7.368,7.368,200
373,7.3633,7.3633,7.3633,7.3633,1000
375,7.36,7.36,7.36,7.36,100
a1520346600,7.29,7.29,7.29,7.29,5377
9,7.3001,7.3001,7.3001,7.3001,558
20,7.3,7.3,7.3,7.3,300
21,7.3,7.3,7.3,7.3,900
33,7.3,7.3,7.3,7.3,500
35,7.3,7.3,7.3,7.3,700
39,7.3,7.3,7.3,7.3,100
43,7.2968,7.2968,7.2968,7.2968,144
47,7.31,7.31,7.31,7.31,100
56,7.31,7.31,7.31,7.31,158
57,7.335,7.335,7.335,7.335,200
61,7.32,7.32,7.32,7.32,100
62,7.32,7.32,7.32,7.32,300
84,7.28,7.3175,7.28,7.31,1000
110,7.33,7.33,7.33,7.33,4000
112,7.31,7.33,7.31,7.33,4500
130,7.31,7.31,7.31,7.31,300
131,7.31,7.31,7.31,7.31,100
138,7.305,7.305,7.305,7.305,100
161,7.3159,7.3159,7.3159,7.3159,3000
167,7.29,7.3105,7.29,7.305,1700
262,7.32,7.32,7.32,7.32,100
267,7.3199,7.3199,7.3199,7.3199,700
271,7.305,7.305,7.305,7.305,100
284,7.31,7.31,7.31,7.31,100
296,7.32,7.32,7.32,7.32,600
324,7.32,7.32,7.32,7.32,100
325,7.3199,7.3199,7.3199,7.3199,600
365,7.32,7.32,7.32,7.32,100
390,7.34,7.34,7.34,7.34,200
a1520437140,7.3399,7.3399,7.3399,7.3399,300
26,7.3146,7.3146,7.3146,7.3146,500
45,7.3299,7.33,7.3299,7.33,400
58,7.3261,7.3261,7.3261,7.3261,525
175,7.3,7.3,7.3,7.3,1100
178,7.3,7.3,7.3,7.3,1000
180,7.29,7.3,7.29,7.3,200
191,7.29,7.29,7.29,7.29,100
a1520540520,7.2989,7.2989,7.2989,7.2989,1500
12,7.2988,7.2988,7.2988,7.2988,400
38,7.3,7.3,7.3,7.3,100
a1520605800,7.27,7.27,7.27,7.27,129
37,7.3104,7.3104,7.3104,7.3104,600
105,7.3162,7.3162,7.3162,7.3162,879
143,7.33,7.33,7.33,7.33,3887
177,7.3192,7.3192,7.3192,7.3192,100
362,7.32,7.32,7.32,7.32,100
381,7.2846,7.32,7.2846,7.32,2412
390,7.31,7.31,7.31,7.31,100
TIMEZONE_OFFSET=-240
a1520874900,7.3078,7.3078,7.3078,7.3078,177
23,7.3199,7.3199,7.3199,7.3199,100
33,7.3199,7.3199,7.3199,7.3199,900
51,7.3024,7.3024,7.3024,7.3024,899
64,7.306,7.306,7.306,7.306,273
71,7.3,7.3,7.3,7.3,402
74,7.295,7.3,7.295,7.3,900
77,7.3,7.3,7.3,7.3,700
79,7.3,7.3,7.295,7.295,1068
82,7.3,7.3,7.3,7.3,100
a1520950800,7.2501,7.3,7.2501,7.291,9265
27,7.2845,7.2845,7.2845,7.2845,200
29,7.275,7.275,7.275,7.275,200
34,7.275,7.275,7.275,7.275,200
47,7.29,7.29,7.29,7.29,100
49,7.29,7.29,7.29,7.29,100
90,7.3,7.3,7.2999,7.2999,500
129,7.29,7.29,7.29,7.29,561
134,7.28,7.28,7.28,7.28,300
218,7.283,7.283,7.283,7.283,1100
222,7.29,7.29,7.29,7.29,100
243,7.28,7.28,7.28,7.28,500
247,7.28,7.28,7.28,7.28,300
250,7.28,7.28,7.275,7.28,800
252,7.28,7.28,7.28,7.28,900
254,7.28,7.28,7.28,7.28,700
257,7.28,7.28,7.28,7.28,1000
259,7.28,7.28,7.28,7.28,350
265,7.2899,7.29,7.285,7.285,4139
271,7.2999,7.2999,7.2857,7.299,1489
281,7.3,7.3,7.3,7.3,100
333,7.3,7.3,7.3,7.3,100
340,7.31,7.31,7.31,7.31,100
a1521040620,7.2623,7.2623,7.2623,7.2623,700
258,7.24,7.24,7.24,7.24,109
a1521123120,7.21,7.23,7.21,7.23,200
13,7.2188,7.2188,7.2188,7.2188,1170
26,7.23,7.23,7.23,7.23,300
104,7.2348,7.2348,7.2348,7.2348,100
107,7.24,7.24,7.24,7.24,100
201,7.24,7.24,7.24,7.24,200
212,7.24,7.24,7.24,7.24,100
299,7.2316,7.2316,7.2316,7.2316,536
307,7.24,7.24,7.22,7.22,1000
320,7.25,7.25,7.23,7.24,6000
a1521213480,7.2748,7.2748,7.2748,7.2748,1500
183,7.28,7.28,7.28,7.28,200
191,7.29,7.29,7.29,7.29,200
254,7.28,7.28,7.28,7.28,200
a1521473160,7.2202,7.2202,7.2202,7.2202,1000
102,7.26,7.26,7.2401,7.2401,2100
110,7.2518,7.2518,7.2518,7.2518,223
117,7.26,7.26,7.2455,7.2455,321
132,7.26,7.26,7.26,7.26,209
a1521556800,7.2535,7.2535,7.2535,7.2535,2300
26,7.25,7.25,7.25,7.25,100
183,7.2301,7.2301,7.2301,7.2301,604
190,7.26,7.26,7.2383,7.2383,614
200,7.2586,7.2586,7.2586,7.2586,300
203,7.26,7.26,7.24,7.24,900
221,7.2345,7.2345,7.2345,7.2345,177
224,7.26,7.26,7.2,7.23,5200
249,7.26,7.26,7.259,7.26,926
265,7.2101,7.2101,7.2101,7.2101,788
273,7.2198,7.2198,7.2198,7.2198,155
292,7.23,7.23,7.2153,7.2153,740
297,7.2088,7.2088,7.2088,7.2088,271
303,7.2119,7.2119,7.2119,7.2119,299
311,7.2021,7.2021,7.2021,7.2021,730
320,7.23,7.23,7.23,7.23,100
a1521646140,7.2499,7.2499,7.2499,7.2499,200
152,7.24,7.24,7.24,7.24,100
a1521725700,7.2492,7.2492,7.19,7.22,1400
1,7.1489,7.24,7.09,7.2044,20214
8,7.15,7.15,7.15,7.15,100
11,7.14,7.14,7.14,7.14,170
32,7.15,7.15,7.15,7.15,4900
80,7.15,7.165,7.15,7.165,200
91,7.1799,7.1799,7.1799,7.1799,200
96,7.17,7.1799,7.17,7.1799,500
97,7.18,7.18,7.18,7.18,500
104,7.162,7.162,7.162,7.162,1240
140,7.15,7.15,7.15,7.15,200
197,7.18,7.18,7.18,7.18,500
200,7.18,7.18,7.18,7.18,200
239,7.21,7.21,7.2,7.2,5000
