EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,9.39,9.39,9.39,9.39,3201
2,9.415,9.415,9.415,9.415,500
7,9.45,9.45,9.44,9.44,548
8,9.47,9.47,9.47,9.47,250
9,9.4517,9.4517,9.4517,9.4517,250
10,9.46,9.46,9.46,9.46,400
11,9.46,9.46,9.46,9.46,200
12,9.48,9.49,9.46,9.46,500
13,9.46,9.46,9.46,9.46,400
15,9.45,9.45,9.45,9.45,200
16,9.45,9.45,9.45,9.45,250
17,9.45,9.45,9.45,9.45,1200
18,9.47,9.47,9.47,9.47,179
19,9.48,9.48,9.48,9.48,600
20,9.44,9.44,9.44,9.44,200
22,9.43,9.43,9.43,9.43,100
23,9.43,9.43,9.43,9.43,100
24,9.43,9.43,9.43,9.43,100
25,9.43,9.43,9.43,9.43,100
26,9.43,9.43,9.43,9.43,100
27,9.43,9.43,9.43,9.43,100
28,9.43,9.43,9.43,9.43,100
29,9.43,9.43,9.43,9.43,100
30,9.43,9.43,9.43,9.43,200
32,9.43,9.43,9.43,9.43,500
33,9.42,9.42,9.42,9.42,100
34,9.431,9.431,9.43,9.43,600
35,9.46,9.46,9.44,9.44,300
37,9.43,9.43,9.43,9.43,100
38,9.43,9.43,9.43,9.43,100
40,9.42,9.42,9.42,9.42,100
41,9.42,9.42,9.42,9.42,500
42,9.42,9.42,9.42,9.42,600
43,9.42,9.42,9.42,9.42,200
45,9.42,9.42,9.42,9.42,100
47,9.42,9.42,9.42,9.42,100
48,9.42,9.42,9.42,9.42,100
49,9.42,9.42,9.42,9.42,100
52,9.4,9.4,9.4,9.4,200
54,9.42,9.42,9.41,9.41,200
55,9.41,9.41,9.41,9.41,100
56,9.43,9.43,9.43,9.43,4000
57,9.4194,9.4194,9.41,9.41,4300
58,9.41,9.41,9.41,9.41,100
59,9.41,9.41,9.41,9.41,100
60,9.41,9.41,9.41,9.41,200
61,9.4101,9.4101,9.4101,9.4101,441
62,9.41,9.41,9.41,9.41,300
63,9.41,9.41,9.41,9.41,600
64,9.4,9.4143,9.4,9.4143,400
65,9.4,9.4,9.4,9.4,100
66,9.4,9.4,9.4,9.4,100
67,9.43,9.44,9.41,9.41,2800
70,9.45,9.45,9.45,9.45,200
83,9.44,9.44,9.44,9.44,100
84,9.44,9.44,9.44,9.44,179
86,9.44,9.44,9.44,9.44,100
87,9.44,9.44,9.44,9.44,200
88,9.44,9.44,9.44,9.44,100
91,9.45,9.45,9.45,9.45,100
92,9.45,9.45,9.45,9.45,100
93,9.45,9.45,9.45,9.45,100
95,9.45,9.45,9.45,9.45,100
96,9.45,9.45,9.45,9.45,100
97,9.44,9.44,9.44,9.44,100
98,9.46,9.48,9.46,9.48,300
99,9.45,9.45,9.45,9.45,100
101,9.4589,9.4589,9.4589,9.4589,730
105,9.45,9.45,9.45,9.45,100
106,9.45,9.45,9.45,9.45,100
107,9.48,9.48,9.47,9.48,600
111,9.49,9.4996,9.49,9.4996,2320
112,9.49,9.49,9.49,9.49,100
114,9.5026,9.5026,9.49,9.502,2275
115,9.5,9.5,9.5,9.5,100
117,9.5,9.5,9.5,9.5,200
119,9.49,9.49,9.49,9.49,100
121,9.49,9.49,9.49,9.49,100
122,9.49,9.49,9.49,9.49,100
124,9.5034,9.5034,9.49,9.49,350
125,9.49,9.49,9.49,9.49,100
127,9.49,9.49,9.49,9.49,200
129,9.49,9.49,9.49,9.49,100
130,9.49,9.49,9.49,9.49,100
131,9.51,9.51,9.51,9.51,100
132,9.51,9.51,9.49,9.49,700
133,9.51,9.51,9.51,9.51,100
136,9.52,9.52,9.52,9.52,100
137,9.52,9.52,9.52,9.52,100
140,9.52,9.52,9.52,9.52,200
141,9.52,9.52,9.52,9.52,300
142,9.53,9.53,9.53,9.53,100
143,9.52,9.53,9.52,9.53,400
144,9.52,9.52,9.52,9.52,100
145,9.53,9.53,9.53,9.53,300
147,9.52,9.52,9.52,9.52,100
149,9.52,9.52,9.52,9.52,100
150,9.52,9.52,9.52,9.52,100
152,9.52,9.52,9.52,9.52,200
153,9.52,9.52,9.52,9.52,100
154,9.52,9.52,9.52,9.52,100
156,9.52,9.52,9.52,9.52,100
158,9.52,9.52,9.52,9.52,250
160,9.51,9.51,9.51,9.51,200
161,9.52,9.52,9.52,9.52,100
162,9.51,9.51,9.51,9.51,100
163,9.5116,9.5116,9.5116,9.5116,2100
164,9.51,9.51,9.51,9.51,100
166,9.51,9.51,9.51,9.51,300
168,9.52,9.52,9.51,9.51,600
169,9.52,9.52,9.52,9.52,400
173,9.51,9.53,9.51,9.53,1700
175,9.52,9.52,9.52,9.52,700
177,9.52,9.52,9.51,9.52,300
179,9.51,9.52,9.51,9.52,300
181,9.51,9.51,9.51,9.51,400
182,9.49,9.5,9.49,9.5,1200
183,9.49,9.49,9.49,9.49,100
184,9.49,9.49,9.49,9.49,100
185,9.5,9.5,9.49,9.49,200
186,9.5,9.5,9.5,9.5,100
187,9.49,9.49,9.49,9.49,200
188,9.4932,9.4932,9.4932,9.4932,400
189,9.48,9.4976,9.48,9.4976,600
191,9.48,9.48,9.48,9.48,100
192,9.48,9.49,9.48,9.49,300
193,9.48,9.48,9.48,9.48,100
195,9.48,9.48,9.48,9.48,100
196,9.49,9.49,9.49,9.49,100
197,9.48,9.48,9.48,9.48,300
199,9.48,9.48,9.48,9.48,100
201,9.48,9.49,9.48,9.49,200
202,9.48,9.48,9.48,9.48,100
204,9.48,9.48,9.48,9.48,100
205,9.4861,9.4861,9.4861,9.4861,700
206,9.48,9.48,9.48,9.48,100
207,9.49,9.49,9.49,9.49,100
208,9.48,9.48,9.48,9.48,100
209,9.49,9.49,9.49,9.49,300
210,9.48,9.48,9.48,9.48,200
212,9.48,9.48,9.48,9.48,100
214,9.5,9.5,9.48,9.48,4100
216,9.5,9.5,9.5,9.5,100
218,9.5,9.5,9.5,9.5,200
219,9.51,9.51,9.5093,9.51,800
222,9.5,9.5,9.5,9.5,100
223,9.5,9.5,9.5,9.5,500
224,9.51,9.51,9.51,9.51,200
225,9.5,9.5,9.5,9.5,200
227,9.49,9.5,9.49,9.5,1600
228,9.48,9.48,9.48,9.48,300
229,9.48,9.48,9.48,9.48,300
232,9.48,9.48,9.48,9.48,100
233,9.46,9.4701,9.46,9.4701,3200
236,9.46,9.46,9.46,9.46,300
238,9.46,9.46,9.46,9.46,100
