EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520370000,4.16,4.16,4.16,4.16,100
a1520448600,4.07,4.07,4.07,4.07,600
1,4.09,4.09,4.07,4.07,200
3,4.11,4.11,4.05,4.05,430
5,4.11,4.11,4.08,4.08,400
7,4.13,4.13,4.0819,4.09,2200
9,4.15,4.15,4.0748,4.1,600
15,4.2,4.2,4.16,4.16,945
a1520520900,4.12,4.12,4.12,4.12,100
4,4.13,4.13,4.13,4.13,1500
5,4.13,4.13,4.13,4.13,1100
8,4.16,4.16,4.16,4.16,100
361,4.1011,4.1056,4.1,4.1,1000
a1520605920,4.07,4.07,4.06,4.0601,1200
TIMEZONE_OFFSET=-240
a1520861400,4.01,4.01,4.01,4.01,100
340,4.0398,4.0398,4.0398,4.0398,200
a1520951460,4.0181,4.0181,4.0181,4.0181,200
216,4.0101,4.0101,4.0101,4.0101,1000
218,4.0101,4.0101,4.0101,4.0101,100
221,4.0101,4.0101,4.0101,4.0101,200
224,4.01,4.01,4.01,4.01,151
227,4.01,4.01,4.01,4.01,100
230,4.01,4.01,4.01,4.01,200
233,4.01,4.01,4.01,4.01,181
234,3.9501,3.9501,3.9501,3.9501,119
237,3.9501,3.9501,3.9501,3.9501,200
241,3.95,3.96,3.95,3.96,200
260,3.95,3.95,3.95,3.95,100
267,3.91,3.91,3.91,3.91,100
273,3.91,3.91,3.91,3.91,100
278,3.91,3.91,3.91,3.91,100
283,3.91,3.91,3.91,3.91,100
287,3.91,3.91,3.91,3.91,100
290,3.91,3.91,3.91,3.91,100
294,3.91,3.91,3.91,3.91,100
297,3.91,3.91,3.91,3.91,100
300,3.9599,3.9599,3.91,3.91,400
303,3.92,3.92,3.92,3.92,200
308,3.92,3.92,3.92,3.92,100
311,3.92,3.92,3.92,3.92,100
313,3.92,3.92,3.92,3.92,100
324,3.99,3.99,3.99,3.99,810
329,3.97,3.97,3.97,3.97,840
a1521466200,3.99,3.99,3.99,3.99,100
303,3.93,3.93,3.93,3.93,100
a1521639180,3.85,3.85,3.8,3.8,839
1,3.89,3.89,3.89,3.89,100
4,3.88,3.88,3.88,3.88,100
25,3.8886,3.8886,3.8886,3.8886,100
387,3.9,3.9,3.89,3.89,406
a1521725400,3.87,3.87,3.87,3.87,100
