EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260260,30.25,30.25,30.25,30.25,2606
3,30.45,30.45,30.35,30.4,1100
4,30.5,30.5,30.5,30.5,100
5,30.6,30.6,30.6,30.6,200
6,30.45,30.55,30.45,30.55,200
8,30.55,30.55,30.55,30.55,500
9,30.7,30.7,30.6,30.6,300
11,30.7,30.7,30.7,30.7,200
12,30.6,30.65,30.6,30.65,834
14,30.6,30.6,30.55,30.55,1000
15,30.55,30.6,30.5,30.5,300
16,30.5,30.6,30.5,30.6,414
17,30.45,30.45,30.4,30.4,200
18,30.5,30.55,30.45,30.5,2700
19,30.3,30.45,30.3,30.45,500
20,30.35,30.35,30.3,30.3,600
23,30.35,30.4,30.35,30.4,200
24,30.4,30.4,30.4,30.4,100
25,30.3,30.4,30.3,30.3,600
26,30.3,30.325,30.3,30.3,500
27,30.25,30.325,30.2,30.325,1800
28,30.25,30.35,30.25,30.35,300
29,30.25,30.3,30.25,30.3,300
30,30.3,30.35,30.25,30.3,3217
31,30.3,30.3,30.25,30.25,200
35,30.35,30.35,30.3,30.3,1300
36,30.3,30.325,30.2,30.3,3341
37,30.3,30.3,30.3,30.3,1600
38,30.275,30.3,30.275,30.3,200
39,30.25,30.25,30.25,30.25,500
40,30.2,30.2,30.2,30.2,100
41,30.1,30.15,30.1,30.15,400
42,30.15,30.175,30.1,30.15,400
43,30.15,30.2,30.15,30.175,491
45,30.15,30.15,30.15,30.15,200
46,30.25,30.25,30.2,30.2,1200
49,30.3,30.3,30.25,30.25,3500
50,30.3,30.3,30.3,30.3,100
51,30.3,30.35,30.3,30.3,2000
53,30.3,30.3,30.3,30.3,300
55,30.2,30.25,30.2,30.25,2400
57,30.2,30.225,30.2,30.225,200
58,30.3,30.3,30.2,30.2,1800
59,30.3,30.3,30.3,30.3,200
60,30.2,30.2,30.2,30.2,100
61,30.2,30.2,30.2,30.2,100
62,30.3,30.3,30.3,30.3,100
63,30.2,30.2,30.2,30.2,100
66,30.275,30.275,30.225,30.225,1300
67,30.35,30.35,30.25,30.25,1000
68,30.35,30.35,30.3,30.3,200
69,30.35,30.35,30.3,30.3,2712
70,30.5,30.55,30.4,30.4,8670
71,30.45,30.45,30.45,30.45,1156
72,30.45,30.45,30.45,30.45,1600
74,30.45,30.45,30.45,30.45,100
80,30.45,30.45,30.45,30.45,700
81,30.425,30.425,30.425,30.425,100
83,30.45,30.45,30.4,30.4,2200
84,30.45,30.45,30.45,30.45,200
86,30.4,30.4,30.4,30.4,100
87,30.475,30.5,30.45,30.45,1300
88,30.45,30.45,30.45,30.45,2000
89,30.55,30.55,30.5,30.5,400
90,30.55,30.55,30.55,30.55,1027
96,30.55,30.55,30.55,30.55,100
97,30.6,30.6,30.6,30.6,1400
98,30.625,30.625,30.625,30.625,200
99,30.6,30.6,30.6,30.6,2266
101,30.575,30.575,30.575,30.575,200
102,30.65,30.65,30.6,30.6,1600
103,30.7,30.7,30.7,30.7,1000
105,30.65,30.65,30.65,30.65,100
107,30.65,30.65,30.65,30.65,300
110,30.625,30.625,30.625,30.625,100
111,30.55,30.6,30.55,30.6,643
113,30.6,30.6,30.6,30.6,1400
114,30.65,30.65,30.65,30.65,200
115,30.7,30.7,30.65,30.65,823
116,30.65,30.65,30.65,30.65,1300
117,30.65,30.65,30.65,30.65,392
120,30.675,30.675,30.675,30.675,100
121,30.65,30.7,30.65,30.7,1442
122,30.65,30.675,30.65,30.675,300
124,30.65,30.65,30.65,30.65,348
125,30.65,30.65,30.65,30.65,100
129,30.65,30.65,30.65,30.65,1800
130,30.7,30.7,30.7,30.7,300
131,30.7,30.7,30.7,30.7,800
132,30.7,30.7,30.7,30.7,666
134,30.7,30.7,30.7,30.7,412
135,30.7,30.7,30.7,30.7,600
136,30.725,30.725,30.725,30.725,100
137,30.75,30.75,30.75,30.75,100
138,30.8,30.8,30.8,30.8,1870
139,30.75,30.825,30.75,30.825,767
141,30.75,30.75,30.75,30.75,200
142,30.775,30.775,30.775,30.775,100
143,30.75,30.775,30.75,30.75,800
146,30.75,30.75,30.75,30.75,200
150,30.75,30.75,30.75,30.75,100
152,30.8,30.8,30.8,30.8,200
153,30.775,30.775,30.775,30.775,200
155,30.775,30.775,30.775,30.775,200
157,30.775,30.775,30.775,30.775,200
158,30.775,30.775,30.75,30.75,200
159,30.75,30.75,30.75,30.75,100
160,30.775,30.8,30.775,30.8,300
162,30.7,30.75,30.7,30.75,3257
163,30.7,30.7,30.7,30.7,1202
164,30.675,30.675,30.65,30.675,500
166,30.675,30.675,30.675,30.675,100
167,30.675,30.675,30.675,30.675,200
168,30.65,30.675,30.65,30.65,1254
169,30.6,30.65,30.6,30.6,2600
171,30.55,30.575,30.55,30.55,400
172,30.55,30.55,30.5,30.5,2000
174,30.55,30.55,30.55,30.55,100
175,30.6,30.6,30.6,30.6,1100
177,30.625,30.625,30.6,30.6,400
178,30.65,30.65,30.65,30.65,100
181,30.65,30.7,30.65,30.65,1900
186,30.625,30.625,30.625,30.625,100
187,30.675,30.675,30.65,30.65,1200
188,30.65,30.65,30.65,30.65,1000
196,30.625,30.625,30.625,30.625,100
197,30.7,30.7,30.65,30.65,1300
200,30.725,30.725,30.7,30.7,600
201,30.7,30.7,30.7,30.7,900
206,30.75,30.75,30.7,30.7,1300
212,30.75,30.75,30.75,30.75,100
213,30.725,30.725,30.725,30.725,100
214,30.775,30.8,30.75,30.75,1200
215,30.775,30.775,30.775,30.775,200
223,30.8,30.8,30.8,30.8,800
224,30.825,30.825,30.825,30.825,100
225,30.85,30.85,30.85,30.85,100
228,30.85,30.85,30.85,30.85,600
229,30.85,30.85,30.85,30.85,100
230,30.85,30.85,30.85,30.85,1684
231,30.825,30.825,30.825,30.825,100
232,30.95,30.95,30.85,30.85,2800
233,30.9,30.9,30.9,30.9,100
241,30.8,30.95,30.8,30.95,1900
242,30.8,30.8,30.8,30.8,1287
248,30.8,30.8,30.8,30.8,200
249,30.75,30.8,30.75,30.8,400
250,30.775,30.775,30.775,30.775,100
253,30.775,30.775,30.775,30.775,100
254,30.725,30.75,30.7,30.75,2600
255,30.8,30.85,30.7,30.75,5230
257,30.7,30.75,30.7,30.75,1400
261,30.725,30.725,30.725,30.725,100
262,30.8,30.8,30.75,30.75,1400
263,30.775,30.775,30.775,30.775,100
265,30.75,30.75,30.75,30.75,100
