EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,3.4,3.4,3.4,3.4,2302
1,3.4,3.4,3.4,3.4,220
6,3.4,3.4,3.4,3.4,3100
7,3.4,3.425,3.4,3.425,1700
9,3.3,3.35,3.3,3.35,700
16,3.25,3.25,3.25,3.25,100
19,3.25,3.34,3.25,3.3,1100
21,3.25,3.25,3.25,3.25,100
25,3.2,3.25,3.2,3.25,1731
28,3.2,3.2,3.2,3.2,500
29,3.2,3.2,3.2,3.2,200
34,3.25,3.25,3.25,3.25,600
36,3.26,3.26,3.26,3.26,100
51,3.25,3.25,3.25,3.25,100
61,3.3,3.3,3.3,3.3,600
62,3.325,3.325,3.325,3.325,397
65,3.3,3.3,3.3,3.3,202
75,3.35,3.35,3.35,3.35,100
79,3.35,3.35,3.35,3.35,100
86,3.34,3.34,3.34,3.34,155
89,3.35,3.35,3.35,3.35,100
101,3.35,3.35,3.3,3.35,300
120,3.35,3.35,3.35,3.35,100
127,3.35,3.35,3.35,3.35,100
137,3.35,3.4,3.35,3.4,5331
167,3.3852,3.3852,3.3852,3.3852,990
210,3.375,3.375,3.375,3.375,500
222,3.395,3.395,3.395,3.395,293
242,3.4,3.4,3.3918,3.3918,469
245,3.375,3.375,3.35,3.35,300
256,3.4,3.4,3.35,3.4,5793
262,3.4362,3.45,3.425,3.45,1100
265,3.4,3.45,3.4,3.45,200
268,3.45,3.45,3.45,3.45,100
272,3.4,3.425,3.4,3.425,2600
308,3.425,3.425,3.425,3.425,100
329,3.4,3.4,3.4,3.4,300
337,3.45,3.45,3.45,3.45,100
340,3.4,3.4,3.4,3.4,3736
341,3.4,3.4,3.4,3.4,100
342,3.45,3.45,3.45,3.45,100
352,3.45,3.45,3.45,3.45,100
353,3.4,3.4,3.4,3.4,100
355,3.35,3.4,3.35,3.4,500
356,3.4,3.4,3.4,3.4,100
363,3.3832,3.3832,3.3832,3.3832,100
379,3.45,3.45,3.45,3.45,100
381,3.4,3.4,3.4,3.4,494
383,3.4,3.45,3.35,3.4,3900
390,3.45,3.45,3.45,3.45,100
a1520346600,3.45,3.45,3.45,3.45,826
6,3.45,3.45,3.45,3.45,1256
8,3.35,3.35,3.35,3.35,100
16,3.45,3.45,3.45,3.45,100
26,3.35,3.35,3.3,3.35,4584
28,3.3,3.3,3.3,3.3,100
30,3.3,3.3,3.3,3.3,100
37,3.2998,3.2998,3.2998,3.2998,300
42,3.35,3.35,3.35,3.35,100
43,3.3,3.3,3.3,3.3,2500
44,3.35,3.35,3.35,3.35,3316
54,3.3,3.3,3.3,3.3,100
58,3.33,3.4,3.33,3.4,1200
59,3.31,3.4,3.3,3.4,9224
60,3.4,3.4,3.4,3.4,100
61,3.35,3.35,3.35,3.35,100
67,3.325,3.325,3.325,3.325,100
69,3.35,3.35,3.35,3.35,8800
76,3.375,3.375,3.35,3.375,900
82,3.375,3.375,3.35,3.35,200
83,3.35,3.35,3.35,3.35,100
84,3.375,3.375,3.375,3.375,100
88,3.35,3.35,3.35,3.35,100
89,3.4,3.4,3.375,3.375,200
90,3.4,3.4,3.35,3.35,200
95,3.35,3.35,3.35,3.35,100
98,3.375,3.375,3.375,3.375,100
101,3.35,3.35,3.35,3.35,100
103,3.355,3.355,3.35,3.35,700
104,3.375,3.375,3.375,3.375,100
107,3.375,3.375,3.375,3.375,200
108,3.35,3.35,3.35,3.35,100
115,3.35,3.35,3.35,3.35,100
120,3.375,3.375,3.375,3.375,200
121,3.4,3.4,3.4,3.4,100
122,3.35,3.35,3.35,3.35,100
128,3.35,3.35,3.35,3.35,100
129,3.375,3.375,3.375,3.375,100
131,3.367,3.367,3.367,3.367,100
132,3.375,3.375,3.375,3.375,100
135,3.35,3.35,3.35,3.35,100
143,3.35,3.35,3.35,3.35,100
147,3.375,3.375,3.375,3.375,100
148,3.375,3.375,3.375,3.375,100
149,3.375,3.375,3.375,3.375,500
150,3.375,3.375,3.375,3.375,100
157,3.375,3.375,3.375,3.375,100
160,3.375,3.375,3.375,3.375,100
164,3.35,3.35,3.35,3.35,100
168,3.325,3.375,3.325,3.375,6544
169,3.325,3.325,3.3,3.325,500
172,3.3,3.3,3.3,3.3,100
180,3.35,3.35,3.3,3.3,6703
182,3.35,3.35,3.35,3.35,100
183,3.35,3.375,3.35,3.35,1300
184,3.35,3.35,3.35,3.35,100
192,3.35,3.35,3.35,3.35,100
195,3.35,3.35,3.35,3.35,500
197,3.35,3.35,3.35,3.35,100
209,3.35,3.35,3.35,3.35,300
210,3.35,3.35,3.35,3.35,100
216,3.45,3.45,3.4,3.4,7151
225,3.45,3.45,3.45,3.45,100
230,3.425,3.425,3.425,3.425,100
236,3.45,3.45,3.45,3.45,100
238,3.4,3.4,3.4,3.4,200
239,3.4,3.4,3.4,3.4,100
254,3.408,3.408,3.408,3.408,140
255,3.4,3.4,3.4,3.4,300
256,3.45,3.45,3.45,3.45,100
257,3.45,3.45,3.45,3.45,100
259,3.4,3.4,3.4,3.4,100
262,3.425,3.425,3.425,3.425,300
270,3.4,3.4,3.4,3.4,200
276,3.4,3.4,3.4,3.4,100
277,3.4,3.4,3.4,3.4,100
278,3.4,3.4,3.4,3.4,100
281,3.425,3.425,3.4,3.425,700
293,3.45,3.45,3.45,3.45,200
296,3.4,3.4,3.4,3.4,200
298,3.425,3.425,3.425,3.425,100
303,3.425,3.425,3.425,3.425,100
304,3.405,3.405,3.405,3.405,984
310,3.425,3.425,3.425,3.425,100
311,3.425,3.425,3.425,3.425,475
312,3.425,3.45,3.425,3.45,300
314,3.45,3.45,3.45,3.45,100
316,3.45,3.45,3.45,3.45,100
318,3.45,3.45,3.45,3.45,9423
320,3.475,3.475,3.45,3.475,7242
329,3.475,3.475,3.475,3.475,100
331,3.45,3.45,3.45,3.45,100
332,3.475,3.475,3.455,3.455,255
336,3.475,3.475,3.475,3.475,100
337,3.45,3.45,3.45,3.45,100
339,3.475,3.475,3.475,3.475,100
340,3.475,3.475,3.475,3.475,100
343,3.475,3.475,3.475,3.475,100
345,3.45,3.45,3.45,3.45,100
346,3.475,3.475,3.45,3.475,800
349,3.45,3.45,3.45,3.45,2241
350,3.425,3.425,3.425,3.425,300
354,3.4,3.4,3.4,3.4,100
359,3.4,3.45,3.4,3.45,200
364,3.4,3.4,3.4,3.4,100
365,3.425,3.425,3.425,3.425,100
