EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260440,81.61,81.62,81.57,81.57,800
a1520534640,84.3872,84.3872,84.3872,84.3872,109
a1520607600,85.61,85.61,85.61,85.61,100
17,86.04,86.04,86.04,86.04,100
112,87.7598,87.7598,87.7598,87.7598,260
218,87.76,87.76,87.76,87.76,200
219,87.75,87.75,87.75,87.75,200
229,87.55,87.55,87.55,87.55,100
239,87.18,87.18,87.18,87.18,100
250,87.44,87.44,87.44,87.44,100
262,87.77,87.77,87.77,87.77,100
274,87.55,87.55,87.55,87.55,100
285,87.77,87.77,87.77,87.77,100
294,87.84,87.84,87.84,87.84,100
303,87.86,87.86,87.86,87.86,100
310,88.1,88.1,88.1,88.1,100
316,88.17,88.17,88.17,88.17,100
321,88.21,88.21,88.21,88.21,100
326,87.93,87.93,87.93,87.93,100
331,87.97,87.97,87.97,87.97,100
335,88.01,88.01,88.01,88.01,100
338,88.04,88.04,88.04,88.04,100
341,88.23,88.23,88.23,88.23,100
344,88.27,88.27,88.27,88.27,100
347,88.17,88.17,88.17,88.17,100
350,87.92,87.92,87.92,87.92,100
352,87.93,87.93,87.93,87.93,400
TIMEZONE_OFFSET=-240
a1521143820,85.24,85.24,85.24,85.24,100
a1521469320,85.22,85.22,85.22,85.22,100
73,85.7672,85.7672,85.7672,85.7672,100
