EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,31.5,31.5,31.5,31.5,738
3,31.75,31.75,31.75,31.75,100
5,31.6,31.6,31.6,31.6,200
10,31.55,31.55,31.5,31.5,400
15,31.7997,31.7997,31.65,31.65,400
20,31.575,31.65,31.575,31.65,500
21,31.575,31.575,31.575,31.575,100
23,31.4,31.4,31.4,31.4,100
24,31.4,31.4,31.4,31.4,200
31,31.4003,31.5,31.4003,31.5,700
35,31.35,31.35,31.35,31.35,300
37,31.3,31.3,31.3,31.3,222
39,31.15,31.25,31.15,31.25,953
40,31.1,31.1,31.1,31.1,800
41,31.1,31.1,31.05,31.1,1000
42,31.1,31.1,31.05,31.05,1700
45,30.95,30.95,30.95,30.95,100
46,31.2,31.2,31.05,31.05,1758
47,31.2,31.25,31.15,31.2,1700
48,31.2,31.2498,31.2,31.2,902
49,31.2,31.2,31.2,31.2,100
50,31.2,31.2,31.2,31.2,1000
54,31.1,31.15,31.1,31.15,1500
56,31.15,31.15,31.1,31.1,1714
57,31.15,31.15,31.05,31.15,900
58,31.2,31.2,31.2,31.2,200
59,31.25,31.25,31.25,31.25,400
60,31.25,31.25,31.2,31.2,200
61,31.3,31.3,31.25,31.25,300
62,31.4,31.4,31.35,31.35,400
66,31.3,31.3,31.3,31.3,100
67,31.4,31.4,31.4,31.4,100
86,31.35,31.35,31.35,31.35,100
90,31.45,31.45,31.45,31.45,400
91,31.525,31.525,31.525,31.525,100
92,31.55,31.55,31.5,31.5,400
93,31.55,31.55,31.55,31.55,200
94,31.6,31.6,31.6,31.6,100
98,31.6,31.6,31.6,31.6,200
100,31.65,31.65,31.55,31.55,200
105,31.6,31.65,31.6,31.65,300
112,31.6,31.6,31.6,31.6,100
123,31.65,31.65,31.65,31.65,100
136,31.75,31.75,31.7,31.7,500
137,31.7,31.7,31.7,31.7,100
140,31.85,31.85,31.75,31.75,700
145,31.825,31.825,31.825,31.825,100
147,31.8,31.8002,31.8,31.8002,200
160,31.775,31.8,31.775,31.8,200
161,31.8,31.8,31.8,31.8,200
163,31.75,31.75,31.75,31.75,434
167,31.75,31.75,31.75,31.75,100
169,31.7,31.7,31.7,31.7,100
170,31.65,31.65,31.65,31.65,100
176,31.555,31.555,31.555,31.555,700
182,31.5998,31.5998,31.5998,31.5998,200
186,31.55,31.6,31.55,31.6,504
203,31.55,31.55,31.55,31.55,100
215,31.65,31.65,31.65,31.65,400
218,31.6,31.6,31.6,31.6,100
223,31.55,31.55,31.55,31.55,100
227,31.555,31.555,31.555,31.555,500
238,31.55,31.55,31.55,31.55,100
240,31.55,31.55,31.55,31.55,400
242,31.6,31.6,31.6,31.6,100
245,31.6,31.6,31.6,31.6,100
249,31.55,31.55,31.55,31.55,100
254,31.5,31.5,31.5,31.5,100
258,31.5,31.5,31.5,31.5,100
273,31.6,31.6,31.6,31.6,100
274,31.55,31.55,31.55,31.55,100
276,31.55,31.55,31.5,31.55,1108
277,31.6,31.6,31.55,31.55,200
282,31.5,31.55,31.5,31.55,200
285,31.55,31.6,31.55,31.6,200
286,31.5,31.5,31.5,31.5,100
295,31.6,31.6,31.6,31.6,100
297,31.6,31.6,31.55,31.6,1994
298,31.6,31.6,31.6,31.6,100
300,31.6,31.6,31.6,31.6,200
316,31.6,31.65,31.6,31.6,900
325,31.7,31.7,31.7,31.7,100
330,31.7,31.7,31.7,31.7,100
333,31.65,31.65,31.65,31.65,100
339,31.65,31.65,31.65,31.65,100
344,31.6,31.65,31.6,31.65,700
347,31.65,31.65,31.65,31.65,100
349,31.6,31.6,31.6,31.6,100
353,31.575,31.575,31.575,31.575,100
355,31.55,31.55,31.55,31.55,200
357,31.55,31.55,31.55,31.55,100
358,31.6,31.6,31.6,31.6,106
366,31.55,31.55,31.55,31.55,200
370,31.55,31.55,31.55,31.55,306
371,31.575,31.575,31.575,31.575,100
372,31.55,31.55,31.55,31.55,200
373,31.575,31.575,31.575,31.575,300
375,31.6,31.6,31.575,31.575,1173
377,31.575,31.6,31.575,31.6,300
380,31.575,31.6,31.575,31.6,200
381,31.575,31.575,31.55,31.55,400
383,31.6,31.6,31.6,31.6,100
384,31.6,31.6,31.6,31.6,200
385,31.575,31.6,31.575,31.6,400
386,31.575,31.6,31.575,31.575,700
387,31.575,31.6,31.55,31.575,589
388,31.55,31.6,31.55,31.6,200
389,31.525,31.575,31.525,31.55,1699
390,31.55,31.6,31.5,31.525,4728
a1520346660,31.45,31.65,31.45,31.65,986
5,31.9,31.9,31.9,31.9,200
16,31.5,31.625,31.5,31.625,200
17,31.25,31.35,31.25,31.35,300
34,31.1,31.1,31.1,31.1,100
38,31.1,31.2,31.1,31.2,200
39,31.125,31.125,31.125,31.125,100
40,31.125,31.125,31.125,31.125,100
41,31.05,31.125,31.05,31.05,565
42,31,31.05,31,31.05,600
43,31.05,31.05,31,31,887
44,31.05,31.1,31.05,31.05,2400
45,31.15,31.15,31.05,31.1,700
46,31.25,31.25,31.15,31.15,800
48,31.2,31.2,31.2,31.2,100
49,31.15,31.15,31.15,31.15,200
50,31.3,31.3,31.175,31.175,1500
51,31.3,31.3,31.25,31.25,1300
52,31.3,31.3,31.3,31.3,1600
54,31.3,31.3,31.3,31.3,1362
55,31.3,31.3,31.3,31.3,138
56,31.25,31.25,31.25,31.25,500
57,31.25,31.25,31.2,31.2,900
58,31.35,31.35,31.3,31.3,900
60,31.35,31.35,31.3,31.3,400
68,31.375,31.375,31.375,31.375,100
72,31.4,31.4,31.4,31.4,100
74,31.35,31.35,31.35,31.35,400
79,31.25,31.25,31.25,31.25,200
82,31.225,31.225,31.225,31.225,100
84,31.15,31.15,31.15,31.15,100
89,31.1,31.1,30.95,30.95,600
94,31.05,31.05,31.05,31.05,100
98,31.05,31.05,31.05,31.05,200
107,31.1,31.1,31.1,31.1,100
114,31.1,31.1,31.1,31.1,300
115,31.05,31.05,31.05,31.05,100
118,31.1,31.1,31.1,31.1,300
123,31.15,31.15,31.15,31.15,100
128,31.25,31.25,31.25,31.25,100
140,31.45,31.45,31.45,31.45,100
162,31.6,31.6,31.5,31.55,395
164,31.575,31.6,31.55,31.6,633
173,31.55,31.55,31.55,31.55,600
188,31.6,31.6,31.6,31.6,100
191,31.65,31.65,31.65,31.65,200
198,31.7,31.8,31.7,31.7,720
239,31.6,31.6,31.6,31.6,100
