EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520261340,12.95,12.95,12.95,12.95,300
5,12.85,12.85,12.85,12.85,200
12,12.9,12.9,12.9,12.9,100
32,12.85,12.85,12.85,12.85,248
36,12.9,12.9,12.9,12.9,100
67,12.9,12.9,12.9,12.9,600
74,13,13,13,13,100
152,13.05,13.05,13.05,13.05,100
160,13.05,13.05,13.05,13.05,100
161,13.1,13.1,13.1,13.1,196
170,13.075,13.075,13.075,13.075,100
183,13.1,13.1,13.1,13.1,100
185,13.05,13.05,13.05,13.05,1891
188,13.05,13.05,13.05,13.05,1500
198,13.05,13.05,13.05,13.05,100
206,13.1,13.1,13.1,13.1,100
208,13.05,13.05,13.05,13.05,100
210,13.05,13.05,13.05,13.05,500
217,13.05,13.05,13.05,13.05,100
219,13.05,13.05,13.05,13.05,100
220,13.05,13.05,13.05,13.05,100
222,13.05,13.05,13.05,13.05,100
231,13.05,13.05,13.05,13.05,100
235,13.05,13.05,13.05,13.05,100
239,13.05,13.05,13.05,13.05,1500
245,13.075,13.075,13.075,13.075,100
259,13.075,13.075,13.075,13.075,1500
261,13.075,13.075,13.075,13.075,100
264,13.15,13.15,13.1,13.1,2363
268,13.15,13.15,13.15,13.15,300
274,13.15,13.15,13.15,13.15,100
278,13.15,13.15,13.15,13.15,1500
291,13.15,13.15,13.15,13.15,1600
292,13.15,13.15,13.15,13.15,100
301,13.15,13.15,13.15,13.15,100
314,13.2,13.2,13.2,13.2,1323
317,13.35,13.35,13.35,13.35,400
319,13.35,13.35,13.35,13.35,100
320,13.35,13.35,13.35,13.35,400
321,13.3439,13.3439,13.3439,13.3439,500
322,13.3,13.3,13.3,13.3,573
325,13.325,13.325,13.325,13.325,1200
331,13.3,13.3,13.3,13.3,100
332,13.3,13.3,13.3,13.3,300
335,13.3,13.3,13.3,13.3,200
340,13.3,13.3,13.3,13.3,146
350,13.3,13.3,13.3,13.3,200
355,13.3,13.3,13.3,13.3,100
357,13.3,13.35,13.3,13.3,300
358,13.25,13.3,13.25,13.3,200
362,13.3,13.3,13.3,13.3,700
365,13.25,13.25,13.25,13.25,100
368,13.25,13.25,13.25,13.25,589
371,13.2,13.25,13.2,13.25,1080
a1520348520,13.05,13.2,13.05,13.2,800
1,13.15,13.15,13.15,13.15,100
3,13.05,13.05,13.05,13.05,100
6,13.15,13.15,13.15,13.15,100
16,13.05,13.05,13.05,13.05,100
24,13.15,13.15,13.15,13.15,100
29,13.2,13.2,13.2,13.2,100
50,13.1,13.15,13.1,13.15,400
58,13.05,13.05,13.05,13.05,420
60,13,13,13,13,200
65,13.025,13.025,13.025,13.025,100
80,13,13,13,13,200
82,12.95,12.95,12.95,12.95,100
84,12.9,12.9,12.9,12.9,200
90,12.85,12.85,12.85,12.85,100
96,12.95,12.95,12.95,12.95,858
108,13.05,13.05,13.05,13.05,100
109,13.05,13.05,13.05,13.05,100
110,13.05,13.05,13.05,13.05,200
111,13.05,13.05,13.05,13.05,100
112,13.05,13.05,13.05,13.05,200
113,13.05,13.05,13.05,13.05,100
114,13.15,13.15,13.1,13.1,400
137,13.1,13.1,13.1,13.1,100
139,13.2,13.2,13.2,13.2,100
146,13.2,13.2,13.2,13.2,100
147,13.2,13.2,13.2,13.2,100
148,13.2,13.2,13.2,13.2,100
149,13.2,13.2,13.2,13.2,100
150,13.2,13.2,13.15,13.15,200
151,13.2,13.2,13.2,13.2,100
152,13.2,13.2,13.2,13.2,100
153,13.2,13.2,13.2,13.2,299
160,13.25,13.25,13.25,13.25,100
168,13.35,13.35,13.35,13.35,100
172,13.425,13.425,13.425,13.425,100
177,13.5,13.5,13.5,13.5,100
183,13.428,13.428,13.428,13.428,425
197,13.4,13.45,13.4,13.4,600
199,13.45,13.45,13.45,13.45,100
223,13.45,13.45,13.45,13.45,100
242,13.4,13.4,13.4,13.4,200
244,13.4,13.4,13.4,13.4,100
245,13.45,13.45,13.4,13.4,300
249,13.4,13.4,13.4,13.4,100
251,13.4,13.4,13.4,13.4,100
260,13.45,13.45,13.45,13.45,100
272,13.5,13.5,13.5,13.5,100
276,13.55,13.55,13.55,13.55,300
280,13.5,13.5,13.45,13.45,1000
289,13.45,13.5,13.45,13.5,400
294,13.45,13.45,13.45,13.45,200
296,13.5,13.5,13.45,13.5,800
317,13.5,13.5,13.5,13.5,100
320,13.45,13.45,13.45,13.45,100
322,13.45,13.45,13.45,13.45,100
324,13.45,13.45,13.45,13.45,100
325,13.45,13.45,13.45,13.45,500
327,13.5,13.5,13.5,13.5,1000
331,13.5,13.5,13.5,13.5,200
334,13.5,13.5,13.5,13.5,200
339,13.5,13.5,13.5,13.5,800
344,13.5,13.5,13.5,13.5,100
345,13.55,13.55,13.55,13.55,100
348,13.6,13.6,13.6,13.6,100
349,13.55,13.55,13.55,13.55,100
350,13.5,13.5,13.5,13.5,200
351,13.5,13.5,13.5,13.5,100
353,13.525,13.55,13.525,13.55,800
356,13.525,13.525,13.5,13.5,373
357,13.525,13.525,13.5,13.5,400
358,13.525,13.55,13.5,13.55,2419
a1520433900,13.5,13.5,13.5,13.5,100
20,13.5,13.5,13.5,13.5,100
81,13.55,13.55,13.55,13.55,393
82,13.55,13.55,13.55,13.55,200
137,13.5,13.5,13.5,13.5,300
138,13.55,13.55,13.5,13.5,300
142,13.5,13.5,13.5,13.5,100
145,13.5,13.5,13.45,13.45,900
147,13.5,13.5,13.5,13.5,100
148,13.45,13.45,13.45,13.45,100
149,13.45,13.45,13.45,13.45,100
150,13.45,13.45,13.45,13.45,100
151,13.45,13.45,13.45,13.45,100
152,13.45,13.45,13.45,13.45,100
153,13.45,13.45,13.45,13.45,200
154,13.45,13.45,13.45,13.45,200
155,13.4,13.45,13.4,13.45,200
159,13.4,13.4,13.4,13.4,100
171,13.35,13.35,13.35,13.35,100
200,13.4,13.4,13.4,13.4,100
202,13.45,13.45,13.45,13.45,100
203,13.45,13.45,13.45,13.45,100
207,13.4,13.4,13.4,13.4,100
223,13.45,13.45,13.45,13.45,300
235,13.45,13.45,13.4,13.4,200
239,13.45,13.45,13.45,13.45,100
240,13.45,13.45,13.45,13.45,400
251,13.5,13.5,13.5,13.5,100
258,13.45,13.45,13.45,13.45,100
260,13.45,13.45,13.45,13.45,400
266,13.5,13.5,13.5,13.5,200
283,13.5,13.5,13.5,13.5,100
