EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520268600,11.577,11.577,11.568,11.568,1550
76,11.61,11.61,11.59,11.59,300
78,11.6,11.6,11.6,11.6,100
96,11.5951,11.61,11.5951,11.61,439
182,11.61,11.61,11.59,11.61,905
188,11.61,11.61,11.61,11.61,300
218,11.63,11.63,11.61,11.61,1027
a1520348460,11.6993,11.6993,11.6993,11.6993,2125
58,11.6231,11.6231,11.6231,11.6231,102
60,11.62,11.62,11.62,11.62,100
164,11.549,11.549,11.549,11.549,233
165,11.55,11.55,11.549,11.549,700
166,11.55,11.55,11.55,11.55,100
180,11.56,11.56,11.56,11.56,300
181,11.66,11.66,11.56,11.56,427
227,11.5703,11.5932,11.57,11.57,3027
266,11.6,11.6,11.6,11.6,200
354,11.62,11.62,11.62,11.62,200
a1520443140,11.6239,11.6239,11.6239,11.6239,717
85,11.6283,11.6283,11.6283,11.6283,470
94,11.6132,11.6132,11.6132,11.6132,435
210,11.7267,11.7267,11.7267,11.7267,1000
a1520519400,11.8,11.8,11.8,11.8,398
78,11.76,11.76,11.76,11.76,100
127,11.774,11.774,11.774,11.774,425
166,11.76,11.76,11.76,11.76,328
201,11.76,11.76,11.76,11.76,130
256,11.78,11.78,11.78,11.78,200
258,11.78,11.78,11.78,11.78,1485
279,11.73,11.73,11.73,11.73,800
292,11.73,11.73,11.72,11.73,1015
a1520613120,11.8411,11.8411,11.8411,11.8411,544
23,11.8,11.8,11.8,11.8,200
86,11.8718,11.8718,11.8718,11.8718,730
138,11.82,11.82,11.82,11.82,203
160,11.83,11.83,11.83,11.83,213
TIMEZONE_OFFSET=-240
a1520866140,11.85,11.87,11.85,11.87,2300
2,11.85,11.85,11.85,11.85,204
52,11.8499,11.8499,11.8499,11.8499,300
69,11.84,11.84,11.84,11.84,10300
70,11.84,11.84,11.84,11.84,3200
116,11.76,11.82,11.76,11.82,1000
275,11.81,11.829,11.81,11.82,2600
a1520950440,11.9456,11.9456,11.9456,11.9456,1400
77,11.9547,11.97,11.9,11.9,2000
80,11.885,11.885,11.885,11.885,1000
83,11.9584,11.9584,11.9584,11.9584,1000
97,11.96,11.96,11.9512,11.9512,800
103,11.9124,11.9124,11.9124,11.9124,1700
106,11.9485,11.96,11.9485,11.96,800
118,11.926,11.93,11.9164,11.93,1700
120,11.9384,11.94,11.92,11.93,2230
123,11.9016,11.9016,11.9016,11.9016,3000
145,11.81,11.81,11.81,11.81,100
155,11.864,11.864,11.864,11.864,342
272,11.84,11.84,11.84,11.84,475
331,11.8608,11.8608,11.8608,11.8608,200
335,11.87,11.87,11.87,11.87,100
341,11.87,11.87,11.87,11.87,100
345,11.87,11.87,11.87,11.87,200
a1521034200,11.78,11.78,11.65,11.65,345
1,11.7601,11.7601,11.76,11.76,3300
2,11.7201,11.7912,11.72,11.7912,14391
6,11.7,11.7,11.7,11.7,400
22,11.72,11.72,11.72,11.72,200
80,11.681,11.681,11.681,11.681,648
123,11.7172,11.72,11.7172,11.72,800
178,11.64,11.6401,11.64,11.6401,200
219,11.6554,11.6554,11.6554,11.6554,349
311,11.6596,11.6596,11.6596,11.6596,5000
346,11.689,11.689,11.689,11.689,417
a1521122100,11.6348,11.64,11.55,11.64,4200
147,11.6386,11.6386,11.6386,11.6386,546
166,11.62,11.62,11.62,11.62,300
169,11.62,11.62,11.62,11.62,350
303,11.59,11.59,11.58,11.59,974
a1521207060,11.56,11.56,11.56,11.56,144
91,11.5618,11.5618,11.5618,11.5618,566
104,11.5727,11.5727,11.5727,11.5727,565
134,11.6486,11.6486,11.6486,11.6486,270
138,11.6058,11.6058,11.6058,11.6058,280
275,11.547,11.547,11.547,11.547,200
339,11.6,11.6,11.6,11.6,238
371,11.55,11.55,11.55,11.55,100
380,11.51,11.51,11.51,11.51,200
a1521469860,11.5994,11.5994,11.5994,11.5994,600
3,11.6034,11.63,11.6034,11.63,475
11,11.6166,11.6166,11.6166,11.6166,700
26,11.554,11.554,11.554,11.554,700
329,11.5,11.5,11.5,11.5,100
a1521558600,11.511,11.511,11.511,11.511,1022
151,11.51,11.51,11.51,11.51,694
190,11.51,11.52,11.51,11.51,945
193,11.5099,11.5099,11.5099,11.5099,100
215,11.51,11.51,11.51,11.51,100
236,11.51,11.51,11.5,11.5,310
272,11.4821,11.4821,11.48,11.48,900
277,11.48,11.48,11.48,11.48,120
283,11.48,11.48,11.479,11.479,900
285,11.48,11.48,11.48,11.48,9439
287,11.48,11.48,11.48,11.48,1400
288,11.48,11.48,11.48,11.48,100
289,11.48,11.48,11.48,11.48,500
290,11.48,11.48,11.475,11.48,300
a1521639000,11.41,11.41,11.41,11.41,600
33,11.48,11.48,11.48,11.48,300
112,11.4918,11.4918,11.4918,11.4918,100
154,11.51,11.51,11.51,11.51,350
159,11.5,11.5,11.5,11.5,200
169,11.5013,11.5013,11.5013,11.5013,867
230,11.51,11.51,11.5,11.51,3200
271,11.51,11.51,11.51,11.51,400
a1521729780,11.46,11.46,11.46,11.46,900
5,11.46,11.46,11.46,11.46,200
36,11.46,11.46,11.46,11.46,150
46,11.46,11.46,11.46,11.46,700
47,11.46,11.46,11.46,11.46,223
54,11.46,11.46,11.46,11.46,200
118,11.46,11.46,11.46,11.46,1600
289,11.41,11.42,11.405,11.41,20795
299,11.4,11.4,11.4,11.4,200
316,11.375,11.375,11.375,11.375,100
a1521811860,11.41,11.41,11.41,11.41,100
123,11.3506,11.3506,11.31,11.31,2080
319,11.3,11.3,11.3,11.3,400
349,11.19,11.2549,11.19,11.25,5024
