EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,13.39,13.39,13.39,13.39,2420
10,13.39,13.39,13.39,13.39,500
11,13.39,13.39,13.39,13.39,874
13,13.37,13.39,13.37,13.39,5508
37,13.38,13.38,13.3749,13.3749,3100
41,13.38,13.38,13.38,13.38,100
44,13.38,13.38,13.371,13.371,7200
53,13.38,13.38,13.38,13.38,200
58,13.37,13.37,13.37,13.37,283
62,13.3799,13.38,13.3799,13.38,3000
64,13.37,13.3739,13.37,13.3739,600
66,13.38,13.38,13.38,13.38,200
67,13.38,13.38,13.38,13.38,100
75,13.41,13.41,13.395,13.395,859
77,13.38,13.41,13.38,13.41,1100
78,13.38,13.41,13.38,13.41,400
82,13.41,13.41,13.41,13.41,100
88,13.4,13.4,13.4,13.4,100
93,13.39,13.39,13.39,13.39,100
109,13.4,13.4,13.4,13.4,100
120,13.41,13.41,13.4,13.4,403
121,13.4,13.4,13.4,13.4,300
132,13.41,13.41,13.41,13.41,100
136,13.39,13.39,13.39,13.39,400
162,13.4,13.4099,13.39,13.4099,3400
171,13.36,13.3801,13.36,13.38,8658
193,13.375,13.375,13.375,13.375,100
203,13.39,13.39,13.39,13.39,100
218,13.37,13.38,13.37,13.38,600
244,13.38,13.38,13.38,13.38,100
269,13.36,13.36,13.36,13.36,100
270,13.39,13.39,13.39,13.39,100
295,13.37,13.38,13.37,13.38,800
305,13.38,13.38,13.38,13.38,100
315,13.34,13.3697,13.34,13.36,9700
321,13.32,13.3415,13.32,13.34,7900
326,13.335,13.335,13.335,13.335,750
327,13.34,13.3424,13.34,13.34,7370
333,13.34,13.3401,13.34,13.34,800
334,13.34,13.34,13.34,13.34,1100
337,13.36,13.36,13.36,13.36,100
340,13.35,13.36,13.35,13.36,300
354,13.36,13.36,13.36,13.36,100
355,13.36,13.36,13.36,13.36,200
358,13.37,13.37,13.37,13.37,300
360,13.38,13.38,13.38,13.38,5574
361,13.38,13.38,13.38,13.38,100
374,13.38,13.38,13.38,13.38,100
384,13.38,13.38,13.38,13.38,250
389,13.37,13.38,13.37,13.38,200
390,13.37,13.37,13.37,13.37,100
a1520346600,13.42,13.42,13.37,13.37,1582
11,13.38,13.38,13.38,13.38,100
12,13.38,13.38,13.38,13.38,400
15,13.35,13.3801,13.35,13.38,7961
16,13.34,13.36,13.34,13.35,5408
20,13.34,13.34,13.34,13.34,500
21,13.35,13.35,13.35,13.35,100
28,13.35,13.35,13.35,13.35,100
30,13.35,13.35,13.35,13.35,600
36,13.35,13.35,13.35,13.35,200
51,13.3518,13.3518,13.3518,13.3518,400
55,13.36,13.36,13.36,13.36,200
56,13.36,13.36,13.36,13.36,527
73,13.36,13.3618,13.36,13.3618,400
77,13.365,13.365,13.365,13.365,100
79,13.37,13.37,13.37,13.37,401
92,13.37,13.375,13.37,13.375,300
95,13.375,13.375,13.375,13.375,100
96,13.38,13.38,13.38,13.38,1000
108,13.38,13.38,13.38,13.38,100
110,13.38,13.38,13.38,13.38,1343
115,13.39,13.39,13.39,13.39,375
116,13.38,13.38,13.38,13.38,100
118,13.3899,13.39,13.385,13.39,1246
120,13.39,13.39,13.39,13.39,300
121,13.39,13.39,13.385,13.39,2300
126,13.39,13.39,13.39,13.39,200
127,13.39,13.39,13.39,13.39,100
128,13.4,13.4,13.39,13.39,800
129,13.4,13.4,13.4,13.4,800
132,13.4,13.4,13.4,13.4,400
134,13.4,13.4,13.4,13.4,572
158,13.4,13.4,13.4,13.4,900
159,13.4,13.4,13.4,13.4,1600
175,13.4,13.4,13.4,13.4,100
183,13.4,13.4,13.4,13.4,200
187,13.4,13.4,13.4,13.4,100
204,13.39,13.39,13.39,13.39,100
218,13.41,13.41,13.41,13.41,100
227,13.39,13.39,13.39,13.39,100
235,13.39,13.4005,13.39,13.4005,2035
239,13.4,13.41,13.4,13.409,2525
244,13.4099,13.4099,13.4099,13.4099,738
249,13.4,13.4,13.4,13.4,100
259,13.4001,13.4001,13.4001,13.4001,230
260,13.4099,13.4099,13.4099,13.4099,200
261,13.4,13.4,13.4,13.4,279
274,13.4,13.4,13.4,13.4,100
275,13.3914,13.3914,13.3914,13.3914,300
298,13.39,13.39,13.39,13.39,100
306,13.39,13.3911,13.39,13.3911,400
316,13.39,13.3912,13.39,13.3912,2100
317,13.4,13.4,13.4,13.4,100
320,13.39,13.41,13.39,13.41,7724
326,13.39,13.39,13.39,13.39,100
333,13.3981,13.3981,13.3981,13.3981,1678
336,13.39,13.3901,13.39,13.39,300
338,13.4099,13.4099,13.4,13.4,1500
342,13.41,13.41,13.41,13.41,100
351,13.3914,13.3914,13.3914,13.3914,300
352,13.39,13.39,13.39,13.39,100
360,13.41,13.41,13.41,13.41,100
361,13.4,13.4,13.4,13.4,100
382,13.4,13.4,13.4,13.4,100
384,13.39,13.39,13.39,13.39,100
390,13.41,13.41,13.39,13.39,314
a1520433000,13.41,13.41,13.4,13.4,1664
3,13.38,13.38,13.38,13.38,857
12,13.38,13.38,13.38,13.38,1100
25,13.38,13.4,13.38,13.399,5008
32,13.38,13.38,13.38,13.38,100
34,13.37,13.3711,13.37,13.37,900
43,13.372,13.372,13.372,13.372,3400
47,13.37,13.37,13.37,13.37,186
58,13.37,13.37,13.37,13.37,100
59,13.37,13.37,13.37,13.37,100
60,13.375,13.375,13.375,13.375,100
62,13.38,13.38,13.38,13.38,700
66,13.38,13.3801,13.38,13.3801,300
86,13.38,13.38,13.38,13.38,100
87,13.38,13.38,13.38,13.38,300
93,13.3801,13.3801,13.3801,13.3801,1750
94,13.38,13.38,13.38,13.38,100
101,13.39,13.39,13.39,13.39,400
106,13.3927,13.3927,13.39,13.39,5197
113,13.39,13.39,13.389,13.39,500
114,13.39,13.39,13.39,13.39,400
124,13.39,13.39,13.39,13.39,300
125,13.39,13.39,13.39,13.39,100
128,13.39,13.39,13.39,13.39,100
132,13.39,13.39,13.385,13.385,400
136,13.385,13.385,13.385,13.385,300
138,13.385,13.385,13.385,13.385,100
140,13.385,13.385,13.385,13.385,100
144,13.385,13.385,13.385,13.385,300
153,13.38,13.38,13.38,13.38,100
154,13.385,13.385,13.385,13.385,200
159,13.385,13.385,13.385,13.385,100
164,13.39,13.39,13.39,13.39,100
165,13.385,13.385,13.385,13.385,100
171,13.38,13.38,13.38,13.38,100
178,13.385,13.385,13.38,13.385,2350
