EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,15.25,15.25,15.25,15.25,250
2,15.1191,15.1191,15.1191,15.1191,214
33,15.16,15.27,15.1341,15.1341,10600
39,15.158,15.158,15.158,15.158,555
69,15.19,15.19,15.19,15.19,1491
74,15.19,15.19,15.19,15.19,130
89,15.173,15.173,15.173,15.173,150
131,15.18,15.18,15.18,15.18,675
133,15.17,15.17,15.17,15.17,450
156,15.17,15.17,15.17,15.17,150
157,15.18,15.18,15.18,15.18,500
164,15.16,15.16,15.16,15.16,130
216,15.18,15.18,15.18,15.18,100
220,15.1718,15.1718,15.1718,15.1718,500
232,15.19,15.19,15.18,15.18,3500
256,15.186,15.186,15.186,15.186,640
271,15.1753,15.1753,15.1753,15.1753,650
287,15.18,15.18,15.18,15.18,100
336,15.1769,15.2,15.1769,15.2,700
342,15.1988,15.1988,15.1812,15.1812,4612
388,15.2009,15.21,15.2009,15.21,2100
a1520346600,15.18,15.18,15.18,15.18,351
55,15.23,15.23,15.2097,15.23,800
70,15.25,15.25,15.2499,15.25,1136
91,15.26,15.26,15.2436,15.2436,800
101,15.2413,15.2413,15.2413,15.2413,250
104,15.28,15.28,15.25,15.2552,3831
109,15.2,15.29,15.2,15.28,3400
155,15.2,15.22,15.2,15.2,7341
182,15.28,15.28,15.245,15.27,1350
228,15.2648,15.28,15.2648,15.28,200
297,15.2499,15.2499,15.2499,15.2499,100
301,15.2499,15.2499,15.2499,15.2499,200
304,15.2499,15.2499,15.2499,15.2499,200
306,15.2499,15.2499,15.2499,15.2499,200
308,15.2213,15.2213,15.2213,15.2213,398
309,15.25,15.25,15.25,15.25,200
311,15.24,15.24,15.24,15.24,200
314,15.2599,15.2599,15.2599,15.2599,200
316,15.2599,15.2599,15.2599,15.2599,200
319,15.2599,15.2599,15.2599,15.2599,200
322,15.2999,15.2999,15.2999,15.2999,200
324,15.3499,15.3499,15.3499,15.3499,200
327,15.3399,15.3399,15.3399,15.3399,200
329,15.3299,15.3299,15.3299,15.3299,200
331,15.3299,15.3299,15.3299,15.3299,200
332,15.275,15.275,15.275,15.275,500
334,15.3299,15.3299,15.3299,15.3299,200
336,15.3199,15.3199,15.27,15.27,570
338,15.3199,15.3199,15.3199,15.3199,200
341,15.3199,15.3199,15.3199,15.3199,200
343,15.3199,15.3199,15.3199,15.3199,200
345,15.3199,15.3199,15.3199,15.3199,200
347,15.32,15.32,15.32,15.32,200
349,15.3199,15.3199,15.3199,15.3199,200
351,15.3199,15.32,15.3199,15.32,200
353,15.3199,15.3199,15.3199,15.3199,200
355,15.3199,15.3199,15.3199,15.3199,200
357,15.32,15.32,15.32,15.32,200
359,15.4899,15.4899,15.4899,15.4899,200
361,15.4899,15.4899,15.4899,15.4899,200
362,15.4899,15.4899,15.4899,15.4899,200
364,15.4899,15.4899,15.48,15.48,200
365,15.49,15.49,15.48,15.48,200
367,15.44,15.44,15.44,15.44,200
368,15.36,15.43,15.35,15.43,1100
370,15.38,15.46,15.38,15.46,200
371,15.45,15.45,15.44,15.44,200
372,15.44,15.44,15.44,15.44,200
374,15.43,15.43,15.43,15.43,200
375,15.42,15.42,15.42,15.42,200
376,15.47,15.47,15.47,15.47,100
377,15.47,15.47,15.47,15.47,100
378,15.46,15.47,15.46,15.47,300
379,15.45,15.45,15.45,15.45,200
381,15.42,15.43,15.42,15.43,400
382,15.41,15.41,15.41,15.41,200
383,15.44,15.44,15.41,15.41,200
384,15.43,15.43,15.43,15.43,300
385,15.43,15.43,15.43,15.43,200
386,15.45,15.45,15.44,15.44,400
387,15.44,15.45,15.44,15.45,400
388,15.45,15.45,15.45,15.45,300
389,15.46,15.46,15.46,15.46,300
390,15.48,15.48,15.48,15.48,700
a1520433000,15.45,15.45,15.45,15.45,2332
24,15.42,15.42,15.42,15.42,100
38,15.4,15.4,15.4,15.4,100
40,15.425,15.425,15.425,15.425,1650
44,15.4389,15.4389,15.4389,15.4389,300
48,15.4289,15.4289,15.4289,15.4289,200
49,15.39,15.4001,15.39,15.4,3716
54,15.4289,15.4289,15.4289,15.4289,300
57,15.4289,15.4289,15.4289,15.4289,300
61,15.4289,15.4289,15.4289,15.4289,100
68,15.4,15.4,15.4,15.4,100
99,15.4289,15.4289,15.4289,15.4289,100
112,15.4,15.4,15.4,15.4,1400
116,15.4189,15.4189,15.4189,15.4189,300
122,15.4089,15.4089,15.4089,15.4089,100
125,15.3948,15.3948,15.3948,15.3948,100
143,15.39,15.39,15.39,15.39,100
148,15.38,15.38,15.37,15.37,700
153,15.371,15.371,15.371,15.371,150
154,15.36,15.36,15.35,15.36,1400
156,15.351,15.351,15.351,15.351,1300
157,15.34,15.35,15.33,15.35,1574
159,15.35,15.35,15.35,15.35,100
162,15.3589,15.3589,15.3589,15.3589,100
164,15.33,15.33,15.33,15.33,330
166,15.3366,15.3366,15.3366,15.3366,150
169,15.35,15.35,15.35,15.35,100
181,15.3449,15.3449,15.3401,15.3401,264
205,15.33,15.3374,15.33,15.33,2090
210,15.3489,15.3489,15.3489,15.3489,100
213,15.3501,15.3599,15.3501,15.3599,675
229,15.35,15.35,15.35,15.35,100
230,15.369,15.37,15.36,15.36,2000
235,15.3589,15.3589,15.3589,15.3589,200
238,15.3789,15.3789,15.3789,15.3789,100
302,15.3699,15.3699,15.3653,15.3653,255
313,15.368,15.368,15.368,15.368,100
325,15.3699,15.3699,15.3699,15.3699,100
333,15.37,15.37,15.37,15.37,100
341,15.3789,15.3789,15.3789,15.3789,100
348,15.3799,15.3799,15.3799,15.3799,100
350,15.38,15.38,15.38,15.38,100
354,15.38,15.38,15.38,15.38,100
359,15.3999,15.3999,15.39,15.39,200
365,15.4,15.4,15.4,15.4,200
367,15.4,15.4,15.4,15.4,100
369,15.4,15.4,15.4,15.4,100
370,15.4,15.4,15.4,15.4,100
372,15.4,15.4,15.4,15.4,100
388,15.37,15.39,15.37,15.39,300
a1520519400,15.5,15.5,15.5,15.5,1160
24,15.4092,15.4092,15.4092,15.4092,735
70,15.39,15.39,15.39,15.39,100
101,15.4,15.4,15.39,15.39,1200
104,15.38,15.38,15.38,15.38,148
150,15.38,15.38,15.38,15.38,100
219,15.38,15.38,15.38,15.38,150
250,15.38,15.38,15.3799,15.3799,400
279,15.38,15.38,15.38,15.38,300
320,15.37,15.38,15.37,15.38,2800
