EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,10.8,10.8,10.8,10.8,100
50,10.77,10.77,10.76,10.76,200
59,10.775,10.775,10.775,10.775,100
64,10.75,10.75,10.75,10.75,100
65,10.74,10.74,10.74,10.74,600
69,10.76,10.76,10.76,10.76,100
75,10.775,10.775,10.775,10.775,100
77,10.7879,10.789,10.78,10.789,300
79,10.795,10.795,10.795,10.795,100
113,10.8,10.8,10.8,10.8,500
120,10.8,10.8,10.8,10.8,203
121,10.8,10.8,10.8,10.8,1000
124,10.83,10.83,10.83,10.83,100
125,10.8001,10.835,10.8001,10.835,2000
132,10.84,10.84,10.84,10.84,200
170,10.73,10.73,10.73,10.73,100
198,10.7701,10.805,10.7701,10.805,600
201,10.87,10.87,10.87,10.87,3600
256,10.86,10.86,10.86,10.86,200
257,10.86,10.86,10.86,10.86,800
259,10.8499,10.8499,10.8499,10.8499,500
306,10.85,10.85,10.85,10.85,200
324,10.8216,10.8216,10.8216,10.8216,351
346,10.8,10.8,10.8,10.8,400
382,10.8,10.8,10.8,10.8,100
386,10.82,10.82,10.82,10.82,100
a1520346600,10.91,10.91,10.91,10.91,100
11,10.925,10.94,10.91,10.94,3900
12,10.9,10.9,10.9,10.9,1100
13,10.8801,10.8801,10.8801,10.8801,1000
14,10.8901,10.8901,10.8901,10.8901,300
16,10.89,10.8901,10.89,10.89,500
19,10.88,10.88,10.88,10.88,200
20,10.88,10.88,10.88,10.88,100
22,10.8701,10.8701,10.8701,10.8701,400
23,10.86,10.87,10.86,10.87,1500
24,10.83,10.83,10.83,10.83,1400
30,10.9,10.9,10.9,10.9,560
31,10.89,10.89,10.89,10.89,400
32,10.89,10.89,10.88,10.88,2100
33,10.86,10.88,10.86,10.88,1600
34,10.86,10.86,10.86,10.86,1110
65,10.87,10.87,10.87,10.87,600
70,10.9,10.9,10.9,10.9,200
91,10.88,10.88,10.88,10.88,100
108,10.899,10.9,10.89,10.89,1500
110,10.88,10.88,10.88,10.88,200
119,10.8799,10.8799,10.8799,10.8799,100
138,10.88,10.88,10.88,10.88,100
140,10.88,10.88,10.88,10.88,100
142,10.8999,10.8999,10.8999,10.8999,1000
154,10.9,10.9099,10.9,10.9,600
173,10.885,10.8999,10.8848,10.8848,900
174,10.8848,10.8908,10.8848,10.885,600
199,10.865,10.875,10.865,10.875,400
209,10.86,10.86,10.86,10.86,599
210,10.8799,10.88,10.8526,10.8526,900
223,10.903,10.903,10.903,10.903,100
253,10.882,10.91,10.882,10.91,200
263,10.889,10.91,10.889,10.91,800
264,10.88,10.88,10.88,10.88,100
265,10.895,10.9,10.895,10.9,600
276,10.85,10.85,10.85,10.85,2100
278,10.845,10.845,10.845,10.845,100
280,10.86,10.86,10.86,10.86,100
303,10.8999,10.8999,10.89,10.89,700
319,10.9,10.9,10.89,10.89,400
341,10.9,10.9,10.9,10.9,200
342,10.895,10.8999,10.875,10.875,500
356,10.8698,10.8698,10.8698,10.8698,100
383,10.8995,10.9,10.8995,10.9,624
389,10.89,10.89,10.89,10.89,950
a1520433000,10.85,10.85,10.85,10.85,100
19,10.885,10.885,10.885,10.885,2145
27,10.85,10.86,10.85,10.86,3500
32,10.838,10.84,10.838,10.84,200
33,10.85,10.85,10.85,10.85,100
48,10.82,10.82,10.82,10.82,200
58,10.8399,10.8399,10.8399,10.8399,100
148,10.81,10.81,10.81,10.81,3400
155,10.77,10.77,10.77,10.77,2600
208,10.745,10.77,10.74,10.7548,2000
209,10.7448,10.7448,10.7448,10.7448,100
322,10.7775,10.7899,10.7775,10.7899,400
323,10.79,10.79,10.79,10.79,200
325,10.7899,10.7899,10.7899,10.7899,100
326,10.7648,10.7648,10.7648,10.7648,100
327,10.7685,10.7899,10.7648,10.7685,1100
329,10.8,10.8,10.79,10.79,800
330,10.794,10.794,10.794,10.794,500
337,10.7978,10.8,10.7978,10.8,680
338,10.8,10.8,10.7989,10.8,1100
342,10.845,10.88,10.845,10.88,900
359,10.8699,10.8699,10.85,10.85,200
382,10.87,10.87,10.87,10.87,400
a1520520600,10.91,10.91,10.91,10.91,600
1,10.91,10.91,10.91,10.91,100
3,10.9,10.9,10.9,10.9,200
4,10.89,10.89,10.89,10.89,200
22,10.87,10.87,10.87,10.87,100
27,10.89,10.89,10.89,10.89,500
37,10.89,10.89,10.89,10.89,400
44,10.89,10.89,10.89,10.89,299
46,10.9,10.91,10.9,10.91,203
49,10.88,10.88,10.88,10.88,200
54,10.89,10.89,10.887,10.89,400
132,10.89,10.89,10.89,10.89,452
133,10.89,10.89,10.89,10.89,548
153,10.8783,10.88,10.8583,10.88,500
297,10.92,10.92,10.89,10.89,2400
298,10.91,10.92,10.91,10.92,200
300,10.98,10.99,10.91,10.91,600
303,10.91,10.91,10.91,10.91,300
305,10.9,10.9,10.9,10.9,100
306,10.9,10.91,10.9,10.91,600
307,10.95,10.95,10.95,10.95,400
311,10.95,10.95,10.94,10.94,500
314,10.9599,10.96,10.9599,10.96,800
316,10.97,10.97,10.97,10.97,500
317,10.98,10.98,10.98,10.98,300
318,10.98,10.98,10.98,10.98,100
322,10.96,10.96,10.96,10.96,500
323,10.96,10.96,10.96,10.96,100
326,10.932,10.96,10.9201,10.94,2800
327,10.92,10.92,10.92,10.92,600
329,10.92,10.92,10.92,10.92,500
332,10.95,10.95,10.95,10.95,400
336,10.95,10.95,10.94,10.94,500
338,10.95,10.95,10.95,10.95,500
339,10.96,10.96,10.96,10.96,500
340,10.96,10.96,10.96,10.96,400
342,10.93,10.93,10.93,10.93,500
344,10.93,10.93,10.93,10.93,400
346,10.93,10.93,10.93,10.93,300
349,10.94,10.94,10.94,10.94,100
366,11.01,11.07,11.01,11.07,500
a1520605800,11.05,11.05,11.05,11.05,140
11,11.05,11.05,11.05,11.05,100
16,11.06,11.06,11.06,11.06,100
36,11.15,11.15,11.15,11.15,100
45,11.17,11.17,11.17,11.17,100
55,11.17,11.17,11.17,11.17,100
82,11.16,11.17,11.16,11.17,200
87,11.15,11.15,11.15,11.15,100
93,11.149,11.149,11.0601,11.14,1426
94,11.15,11.15,11.15,11.15,813
98,11.15,11.15,11.15,11.15,200
123,11.17,11.17,11.17,11.17,100
124,11.16,11.16,11.16,11.16,300
135,11.16,11.16,11.16,11.16,400
281,11.1,11.1,11.1,11.1,500
387,11.12,11.12,11.12,11.12,100
