EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,15.85,15.85,15.85,15.85,343
349,15.7041,15.7041,15.7041,15.7041,118
356,15.6654,15.6654,15.6654,15.6654,118
a1520346900,15.95,15.95,15.94,15.94,200
276,15.93,15.93,15.7501,15.7501,615
318,15.75,15.75,15.75,15.75,100
336,15.75,15.75,15.75,15.75,100
343,15.75,15.79,15.75,15.75,1100
364,15.75,15.75,15.75,15.75,400
384,15.75,15.75,15.75,15.75,100
a1520434560,15.74,15.74,15.72,15.72,200
34,15.74,15.74,15.74,15.74,100
39,15.74,15.74,15.74,15.74,651
113,15.77,15.77,15.77,15.77,100
172,15.79,15.8,15.79,15.8,649
179,15.7063,15.7063,15.7063,15.7063,1625
269,15.79,15.8,15.79,15.8,800
360,15.7301,15.7301,15.7301,15.7301,1358
a1520519400,15.68,15.68,15.68,15.68,873
12,15.71,15.71,15.71,15.71,100
245,15.9589,15.9589,15.7838,15.7838,1580
265,15.78,15.8,15.78,15.8,200
266,15.8,15.8,15.8,15.8,100
333,15.9599,15.9599,15.9599,15.9599,426
a1520614800,15.68,15.72,15.68,15.72,3500
2,15.71,15.71,15.71,15.71,100
9,15.75,15.75,15.75,15.75,100
16,15.7446,15.7446,15.7446,15.7446,900
30,15.75,15.75,15.75,15.75,100
151,15.6744,15.6744,15.6744,15.6744,262
212,15.76,15.76,15.76,15.76,108
225,15.66,15.66,15.66,15.66,100
TIMEZONE_OFFSET=-240
a1520861400,15.86,15.86,15.86,15.86,105
41,15.96,15.96,15.95,15.95,2610
377,15.8001,15.8001,15.8001,15.8001,579
381,15.8301,15.8301,15.8301,15.8301,483
390,15.9,15.9,15.9,15.9,235
a1520947860,15.8901,15.8901,15.8901,15.8901,368
2,15.89,15.89,15.89,15.89,300
368,15.7265,15.7265,15.7265,15.7265,890
381,15.7,15.7,15.7,15.7,100
a1521049140,15.6929,15.6931,15.65,15.68,3252
102,15.9948,15.9948,15.9948,15.9948,303
116,15.6101,15.6101,15.6101,15.6101,100
a1521130380,15.65,15.65,15.65,15.65,200
10,15.672,15.672,15.672,15.672,9000
50,15.73,15.73,15.73,15.73,200
51,15.73,15.73,15.73,15.73,200
59,15.74,15.74,15.74,15.74,200
64,15.73,15.73,15.73,15.73,2044
86,15.73,15.73,15.73,15.73,100
102,15.62,15.62,15.62,15.62,800
a1521211740,15.6,15.6,15.6,15.6,1458
60,15.5675,15.5675,15.5675,15.5675,400
297,15.53,15.53,15.53,15.53,100
300,15.61,15.61,15.6,15.6,350
301,15.58,15.58,15.58,15.58,100
a1521466200,15.58,15.58,15.58,15.58,198
189,15.73,15.73,15.73,15.73,100
235,15.66,15.66,15.66,15.66,800
236,15.65,15.65,15.65,15.65,300
264,15.65,15.65,15.65,15.65,200
324,15.65,15.65,15.65,15.65,137
331,15.6137,15.6137,15.6137,15.6137,1389
a1521552600,15.6,15.6,15.6,15.6,229
91,15.3755,15.3755,15.3755,15.3755,6790
94,15.717,15.717,15.717,15.717,250
380,15.51,15.6,15.5,15.6,1000
390,15.657,15.657,15.636,15.636,3021
a1521639000,15.56,15.56,15.56,15.56,351
13,15.313,15.313,15.313,15.313,250
14,15.439,15.439,15.439,15.439,500
85,15.61,15.61,15.58,15.58,400
221,15.6189,15.6189,15.6189,15.6189,569
226,15.5816,15.5816,15.5816,15.5816,544
240,15.61,15.61,15.61,15.61,100
263,15.6,15.6,15.6,15.6,200
325,15.6,15.6,15.6,15.6,111
353,15.62,15.62,15.62,15.62,300
362,15.62,15.62,15.62,15.62,300
a1521725400,15.54,15.54,15.54,15.54,214
68,15.71,15.71,15.71,15.71,100
370,15.73,15.73,15.73,15.73,3883
385,15.61,15.61,15.61,15.61,100
a1521811800,15.93,15.93,15.93,15.93,2042
2,15.89,15.89,15.89,15.89,100
180,15.7501,15.7501,15.7501,15.7501,2259
268,15.77,15.77,15.76,15.76,2110
273,15.74,15.74,15.74,15.74,100
343,15.73,15.73,15.73,15.73,100
359,15.511,15.74,15.49,15.73,1900
