EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,20.6,20.6,20.6,20.6,6443
2,20.6,20.6,20.6,20.6,346
3,20.55,20.605,20.55,20.605,700
4,20.25,20.55,20.25,20.55,3752
5,20.36,20.36,20.36,20.36,145
6,20.27,20.37,20.27,20.37,252
7,20.28,20.459,20.28,20.459,712
8,20.365,20.365,20.365,20.365,400
9,20.27,20.365,20.27,20.365,750
10,20.3,20.3,20.14,20.3,2250
11,20.11,20.3,20.11,20.3,3000
12,20.25,20.25,20.24,20.24,300
13,20.15,20.25,20.11,20.25,2803
14,20.12,20.2,20.06,20.2,3500
15,20.105,20.19,20.09,20.1843,3385
17,20,20.15,20,20.12,1853
19,20,20,20,20,200
20,20,20.093,20,20.093,4547
21,20.08,20.08,20,20,700
22,20.12,20.14,20.07,20.08,1400
23,20.2,20.2,20.135,20.16,800
24,20.2,20.2,20.2,20.2,200
25,20.1645,20.1645,20.1645,20.1645,759
26,20.23,20.23,20.12,20.16,1200
27,20.24,20.24,20.22,20.22,360
28,20.02,20.29,20.02,20.22,12488
29,20.07,20.07,20.07,20.07,100
31,20.04,20.07,20.04,20.07,200
34,20.09,20.09,20.06,20.08,800
37,20.04,20.095,20.04,20.095,2166
39,20.05,20.05,20.05,20.05,100
41,20.07,20.09,20.05,20.05,1750
42,20.16,20.16,20.1472,20.149,800
43,20.2199,20.2199,20.13,20.13,300
45,20.1404,20.18,20.09,20.179,3390
48,20.05,20.1,20.05,20.1,200
51,20.095,20.095,20.05,20.05,900
52,20.02,20.075,20,20.075,1804
53,20.03,20.0699,20,20.03,1800
54,20.04,20.04,20,20.02,1700
55,20.05,20.06,20.05,20.06,500
56,20.055,20.055,20.055,20.055,300
57,20.0499,20.07,20.02,20.055,2400
58,20.0899,20.0899,20,20.01,6700
59,20.01,20.02,20,20.02,14009
61,19.97,20,19.97,20,200
63,19.92,19.92,19.92,19.92,100
65,19.91,19.91,19.91,19.91,100
70,19.96,19.96,19.96,19.96,100
71,19.945,19.945,19.945,19.945,100
72,19.9099,19.925,19.89,19.92,3998
73,19.91,19.91,19.91,19.91,211
74,19.97,20,19.9399,19.94,2189
75,19.945,19.99,19.94,19.95,1700
76,19.95,19.95,19.925,19.945,2100
77,19.97,19.99,19.925,19.925,1650
78,19.95,19.95,19.93,19.93,700
79,19.945,19.945,19.945,19.945,200
85,19.98,19.98,19.98,19.98,100
86,19.98,19.98,19.89,19.89,200
88,19.92,19.98,19.9,19.9,500
89,19.99,19.99,19.99,19.99,100
90,19.99,19.99,19.99,19.99,100
91,19.91,19.91,19.91,19.91,200
94,19.98,19.98,19.98,19.98,100
95,19.85,19.95,19.85,19.95,1500
96,19.8999,19.8999,19.85,19.85,400
97,19.85,19.9199,19.85,19.9144,1200
98,19.86,19.86,19.86,19.86,100
99,19.9899,19.9899,19.87,19.87,2100
100,19.95,19.9899,19.95,19.95,1700
101,19.89,19.92,19.88,19.91,1420
102,19.8694,19.8694,19.85,19.86,600
104,19.9599,19.9599,19.86,19.86,3000
105,19.95,19.95,19.91,19.91,1400
106,19.9625,19.9625,19.95,19.95,400
107,19.87,19.99,19.87,19.95,2299
108,19.9,19.9,19.86,19.86,300
109,19.84,19.935,19.84,19.88,4978
110,19.94,19.9799,19.85,19.85,6200
111,19.95,19.95,19.91,19.95,1500
112,19.9,19.9,19.875,19.9,1000
113,19.87,19.9,19.865,19.9,1000
114,19.905,19.905,19.87,19.87,719
115,19.94,19.94,19.93,19.93,200
116,19.93,19.93,19.9,19.92,500
117,19.93,19.93,19.93,19.93,100
118,19.9392,19.9392,19.9392,19.9392,105
119,19.9699,19.97,19.9,19.97,300
120,19.97,19.97,19.96,19.96,200
121,19.95,19.97,19.925,19.96,1100
122,20,20,19.97,19.97,500
124,19.94,19.97,19.94,19.97,1000
126,19.95,19.9899,19.91,19.95,11400
127,19.945,19.96,19.91,19.91,2800
129,19.975,19.975,19.96,19.97,600
130,19.96,19.975,19.955,19.96,600
131,19.96,19.96,19.95,19.95,400
134,20,20,20,20,100
135,19.975,19.99,19.97,19.97,500
136,19.97,19.98,19.955,19.98,2000
138,19.98,19.98,19.96,19.96,25100
139,19.98,19.99,19.97,19.97,600
141,19.99,20,19.98,19.98,110100
142,19.975,19.99,19.97,19.99,2350
143,19.96,19.98,19.93,19.96,2000
144,19.96,19.96,19.92,19.96,1800
145,19.9599,19.9599,19.925,19.925,1000
146,19.93,19.9499,19.93,19.93,800
147,19.96,19.97,19.94,19.94,1400
148,19.99,19.995,19.96,19.96,800
150,19.98,19.98,19.97,19.97,2600
151,19.98,19.99,19.98,19.98,1100
152,19.99,19.99,19.99,19.99,200
153,19.99,19.99,19.9875,19.99,1000
156,19.97,19.985,19.95,19.98,2497
157,19.9399,19.94,19.905,19.94,2900
158,19.95,19.9999,19.895,19.91,4610
159,19.95,20,19.95,19.98,5700
160,19.985,19.985,19.97,19.97,600
161,19.97,19.99,19.96,19.99,2100
162,19.97,19.97,19.96,19.97,2000
163,19.97,19.97,19.96,19.96,600
164,19.98,20,19.98,19.98,2098
165,19.97,19.99,19.97,19.97,3200
166,19.96,20,19.96,19.975,4201
170,19.99,19.99,19.97,19.97,500
173,20.01,20.02,19.99,20,3350
174,19.98,19.99,19.98,19.99,300
176,19.98,19.99,19.98,19.98,1300
177,19.98,19.99,19.97,19.97,1100
178,19.99,19.99,19.99,19.99,400
179,20,20,19.99,19.99,200
180,19.99,19.99,19.99,19.99,100
182,19.99,19.99,19.99,19.99,100
184,20.02,20.02,20,20,2733
186,19.99,20,19.99,20,700
187,19.98,19.98,19.98,19.98,100
189,19.94,19.97,19.94,19.9501,900
191,19.98,19.9999,19.96,19.96,700
196,19.99,19.99,19.99,19.99,100
199,19.98,19.98,19.98,19.98,100
200,20,20.01,19.98,19.98,2100
201,20,20,19.985,19.99,1800
202,19.98,19.99,19.98,19.99,400
204,19.95,19.97,19.95,19.96,900
205,19.97,19.97,19.95,19.95,800
207,19.96,19.96,19.96,19.96,400
211,19.96,19.96,19.96,19.96,200
213,19.9868,19.9868,19.9868,19.9868,150
216,20,20,20,20,800
217,19.98,19.98,19.98,19.98,200
218,19.99,20,19.97,19.98,1500
219,19.99,19.99,19.99,19.99,200
220,19.98,19.98,19.98,19.98,100
221,19.9999,20,19.96,19.96,6800
222,19.98,19.98,19.98,19.98,25000
