EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,21.22,21.22,21.22,21.22,5554
5,21.15,21.17,21.15,21.17,2322
7,21.1777,21.1777,21.1777,21.1777,900
11,21.1937,21.22,21.192,21.192,2600
12,21.2103,21.2103,21.2103,21.2103,1700
13,21.1943,21.21,21.1943,21.21,1200
14,21.21,21.21,21.21,21.21,100
17,21.22,21.22,21.22,21.22,700
18,21.23,21.23,21.23,21.23,100
21,21.22,21.225,21.2,21.225,1611
24,21.2038,21.21,21.2038,21.21,900
25,21.1992,21.1992,21.1992,21.1992,1000
28,21.22,21.22,21.1982,21.21,962
30,21.21,21.21,21.21,21.21,1750
42,21.24,21.24,21.24,21.24,1000
43,21.22,21.23,21.22,21.23,500
44,21.21,21.22,21.21,21.22,250
46,21.2199,21.2199,21.19,21.19,600
47,21.19,21.19,21.19,21.19,231
48,21.17,21.17,21.17,21.17,100
49,21.17,21.17,21.17,21.17,100
51,21.17,21.17,21.17,21.17,100
52,21.19,21.19,21.19,21.19,100
53,21.21,21.21,21.21,21.21,100
55,21.19,21.19,21.19,21.19,700
56,21.18,21.18,21.17,21.17,1100
58,21.17,21.17,21.17,21.17,100
59,21.17,21.17,21.17,21.17,100
60,21.19,21.19,21.17,21.18,4200
61,21.202,21.21,21.17,21.17,2500
62,21.23,21.23,21.2099,21.21,3500
68,21.23,21.23,21.225,21.225,800
69,21.227,21.227,21.227,21.227,570
72,21.23,21.23,21.225,21.225,1731
73,21.23,21.25,21.23,21.25,200
74,21.25,21.25,21.25,21.25,100
83,21.24,21.24,21.24,21.24,100
84,21.26,21.26,21.26,21.26,100
85,21.2784,21.2784,21.2784,21.2784,483
86,21.295,21.295,21.27,21.27,600
88,21.28,21.28,21.28,21.28,100
89,21.29,21.29,21.29,21.29,100
91,21.29,21.34,21.29,21.3066,1700
93,21.3,21.3,21.3,21.3,100
94,21.29,21.29,21.29,21.29,100
96,21.29,21.29,21.29,21.29,100
98,21.31,21.32,21.29,21.29,300
99,21.3252,21.3252,21.3252,21.3252,331
101,21.29,21.29,21.29,21.29,100
102,21.31,21.31,21.31,21.31,100
104,21.29,21.29,21.29,21.29,100
106,21.29,21.29,21.29,21.29,100
108,21.31,21.31,21.31,21.31,100
109,21.31,21.31,21.31,21.31,100
111,21.31,21.31,21.29,21.29,200
114,21.315,21.315,21.315,21.315,100
116,21.33,21.33,21.31,21.31,1000
124,21.33,21.33,21.33,21.33,100
125,21.34,21.34,21.34,21.34,200
127,21.33,21.33,21.33,21.33,100
129,21.33,21.33,21.33,21.33,100
131,21.34,21.34,21.33,21.33,500
132,21.34,21.34,21.34,21.34,500
143,21.355,21.355,21.35,21.35,2451
145,21.355,21.4,21.355,21.355,1070
146,21.3821,21.3821,21.3821,21.3821,1460
148,21.3873,21.3873,21.3873,21.3873,202
156,21.39,21.39,21.39,21.39,100
166,21.3887,21.3887,21.38,21.38,1079
167,21.39,21.39,21.39,21.39,100
170,21.3931,21.3931,21.3931,21.3931,500
172,21.38,21.39,21.38,21.38,400
174,21.38,21.38,21.38,21.38,200
177,21.38,21.38,21.38,21.38,100
179,21.38,21.38,21.38,21.38,100
185,21.38,21.38,21.38,21.38,100
187,21.38,21.38,21.38,21.38,100
190,21.38,21.38,21.38,21.38,100
192,21.38,21.38,21.38,21.38,100
195,21.38,21.38,21.38,21.38,100
197,21.39,21.39,21.39,21.39,100
201,21.38,21.38,21.38,21.38,100
204,21.38,21.38,21.38,21.38,100
206,21.38,21.38,21.38,21.38,100
207,21.4,21.4,21.4,21.4,100
209,21.38,21.38,21.38,21.38,100
212,21.38,21.38,21.38,21.38,100
214,21.38,21.38,21.38,21.38,100
216,21.38,21.38,21.38,21.38,100
218,21.43,21.43,21.37,21.38,3308
222,21.4,21.4,21.4,21.4,100
224,21.42,21.42,21.42,21.42,200
231,21.41,21.41,21.41,21.41,100
233,21.42,21.42,21.42,21.42,100
234,21.42,21.42,21.42,21.42,100
236,21.42,21.42,21.42,21.42,100
239,21.4238,21.4238,21.4238,21.4238,128
241,21.41,21.41,21.41,21.41,100
243,21.41,21.41,21.41,21.41,100
246,21.4,21.4,21.4,21.4,100
248,21.41,21.41,21.41,21.41,100
251,21.4,21.4,21.4,21.4,100
253,21.4,21.4,21.4,21.4,100
254,21.412,21.412,21.412,21.412,169
256,21.41,21.41,21.41,21.41,100
259,21.41,21.412,21.41,21.41,1150
262,21.4142,21.4142,21.4142,21.4142,137
263,21.426,21.44,21.41,21.41,2000
265,21.42,21.42,21.42,21.42,100
267,21.435,21.435,21.435,21.435,100
276,21.43,21.43,21.43,21.43,100
277,21.43,21.43,21.43,21.43,100
279,21.43,21.43,21.43,21.43,100
281,21.4379,21.4379,21.43,21.43,608
282,21.43,21.43,21.43,21.43,100
283,21.43,21.43,21.43,21.43,100
284,21.4,21.4,21.4,21.4,100
285,21.4,21.4,21.4,21.4,100
287,21.4,21.4,21.4,21.4,100
289,21.4,21.4,21.4,21.4,100
291,21.39,21.39,21.39,21.39,100
293,21.38,21.38,21.38,21.38,100
295,21.4085,21.4085,21.4,21.4,200
297,21.4,21.4114,21.4,21.4114,349
298,21.41,21.41,21.41,21.41,100
300,21.41,21.41,21.41,21.41,100
302,21.42,21.42,21.42,21.42,100
304,21.42,21.42,21.42,21.42,215
305,21.41,21.41,21.41,21.41,100
306,21.4221,21.4221,21.4221,21.4221,100
307,21.41,21.41,21.41,21.41,100
309,21.44,21.44,21.41,21.41,1400
312,21.48,21.48,21.47,21.47,200
313,21.46,21.46,21.46,21.46,100
315,21.46,21.46,21.46,21.46,100
316,21.4754,21.4754,21.4754,21.4754,1122
317,21.47,21.47,21.47,21.47,100
319,21.47,21.4776,21.47,21.4776,588
321,21.47,21.47,21.47,21.47,100
322,21.5016,21.5016,21.5016,21.5016,500
324,21.49,21.49,21.49,21.49,100
326,21.47,21.47,21.47,21.47,100
328,21.47,21.47,21.47,21.47,100
330,21.47,21.47,21.47,21.47,100
332,21.5161,21.5161,21.48,21.48,1500
333,21.49,21.5053,21.49,21.5053,600
335,21.48,21.48,21.48,21.48,100
336,21.505,21.505,21.505,21.505,100
337,21.505,21.505,21.505,21.505,100
338,21.5197,21.5197,21.5197,21.5197,2000
340,21.49,21.49,21.49,21.49,100
342,21.49,21.49,21.49,21.49,100
344,21.49,21.49,21.49,21.49,100
