EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,67.2,67.2,67.2,67.2,1543
5,67.35,67.35,67.3,67.3,774
6,67.8,67.8,67.75,67.75,200
8,67.35,67.4,67.35,67.4,800
13,67.1,67.1,67.1,67.1,100
16,67.25,67.25,67.25,67.25,100
17,67.05,67.1,67.05,67.1,300
19,66.7,66.7,66.7,66.7,100
20,66.7496,66.8,66.7496,66.8,600
21,66.65,66.7,66.65,66.7,300
22,66.45,66.45,66.45,66.45,185
23,66.65,66.7,66.5,66.6,1000
24,66.65,66.75,66.65,66.75,400
26,66.8,66.8,66.8,66.8,200
27,66.7,66.7,66.7,66.7,300
31,66.45,66.7,66.45,66.7,2302
37,66.525,66.525,66.525,66.525,300
38,66.35,66.35,66.35,66.35,100
41,66.4,66.5,66.4,66.5,600
44,66.2,66.2,66.2,66.2,100
45,66.15,66.15,66.15,66.15,100
47,66.35,66.35,66.3,66.3,300
48,66.35,66.35,66.35,66.35,150
49,66.35,66.35,66.35,66.35,100
50,66.4,66.4,66.4,66.4,100
52,66.4,66.4,66.4,66.4,200
56,66.45,66.45,66.45,66.45,100
57,66.4,66.5,66.4,66.5,325
59,66.425,66.425,66.425,66.425,100
60,66.45,66.45,66.25,66.25,400
61,66.5,66.5,66.5,66.5,400
62,66.4,66.45,66.4,66.4,500
63,66.325,66.325,66.325,66.325,100
64,66.35,66.35,66.35,66.35,100
65,66.3,66.3,66.3,66.3,100
66,66.25,66.25,66.25,66.25,100
67,66.35,66.35,66.35,66.35,400
68,66.45,66.45,66.45,66.45,100
69,66.5,66.5,66.5,66.5,100
70,66.575,66.575,66.575,66.575,400
71,66.6,66.6,66.575,66.575,300
72,66.475,66.6,66.475,66.6,500
73,66.55,66.55,66.55,66.55,400
74,66.575,66.6,66.575,66.6,200
76,66.7,66.7,66.7,66.7,100
83,66.6,66.6,66.6,66.6,100
88,66.65,66.65,66.65,66.65,100
89,66.65,66.65,66.65,66.65,600
90,66.7,66.7,66.7,66.7,100
91,66.75,66.75,66.75,66.75,100
92,66.75,66.75,66.75,66.75,100
97,66.9,66.9,66.85,66.85,521
103,66.9,66.9,66.9,66.9,200
110,66.7,66.7,66.7,66.7,100
116,66.95,66.95,66.95,66.95,100
117,66.95,66.95,66.95,66.95,200
118,66.975,66.975,66.975,66.975,169
122,67,67,66.9,66.9,400
126,66.95,66.95,66.95,66.95,100
129,67,67,67,67,100
130,66.9,66.9,66.9,66.9,500
131,67.05,67.05,67.05,67.05,100
139,67.1,67.175,67.1,67.1,401
140,67,67.1,67,67.1,300
147,67.05,67.05,66.975,66.975,200
148,67.05,67.05,66.9807,66.9807,325
149,66.95,66.95,66.95,66.95,100
153,67.05,67.05,67.05,67.05,100
154,67.05,67.05,67.05,67.05,100
161,67.1,67.1,67.1,67.1,100
162,67.1,67.15,67.1,67.1312,732
163,66.925,67.1,66.9,67.1,900
164,66.95,66.95,66.95,66.95,100
165,66.9,66.95,66.9,66.95,200
167,66.954,66.954,66.954,66.954,175
169,66.95,66.95,66.95,66.95,100
170,66.9485,66.9485,66.9485,66.9485,100
171,66.9,66.9,66.9,66.9,100
172,66.85,66.85,66.85,66.85,100
174,66.95,66.95,66.9,66.9,530
176,66.8,66.8,66.8,66.8,100
178,66.75,66.75,66.75,66.75,100
179,66.8,66.8,66.8,66.8,150
180,66.8,66.85,66.8,66.85,501
181,66.8,66.85,66.8,66.85,400
182,66.8,66.8,66.8,66.8,100
184,66.8,66.8,66.8,66.8,100
190,66.75,66.75,66.75,66.75,100
195,66.8,66.8,66.75,66.75,400
196,66.75,66.8,66.75,66.8,500
197,66.75,66.75,66.75,66.75,100
200,66.75,66.76,66.75,66.76,221
203,66.85,66.85,66.85,66.85,100
205,66.75,66.75,66.75,66.75,100
209,66.8,66.8,66.8,66.8,100
212,66.85,66.85,66.8,66.8,473
213,66.9,66.9,66.875,66.9,300
214,66.95,66.95,66.9,66.9,300
217,66.95,66.95,66.95,66.95,289
221,66.875,66.9,66.875,66.9,300
223,66.875,66.95,66.875,66.95,600
224,67,67,66.875,66.875,672
226,66.95,66.95,66.95,66.95,100
227,66.95,66.95,66.95,66.95,100
229,66.85,66.85,66.85,66.85,100
232,66.9,66.9,66.9,66.9,100
233,66.95,66.95,66.85,66.85,200
237,67,67,66.95,66.95,200
238,67.025,67.05,67,67,300
240,66.95,66.95,66.95,66.95,314
246,66.95,66.95,66.9,66.9,300
247,66.9,66.95,66.9,66.95,377
250,67,67,67,67,100
251,67,67,67,67,276
253,67.05,67.05,67.05,67.05,104
255,67,67,67,67,300
258,66.825,66.85,66.825,66.85,200
259,66.825,66.825,66.825,66.825,100
260,66.9,66.9,66.9,66.9,100
261,66.825,66.9,66.825,66.9,201
262,67,67,66.9,66.9,300
266,66.975,66.975,66.975,66.975,100
271,67.05,67.075,67,67.05,501
273,67.15,67.15,67.15,67.15,100
274,67,67,66.95,67,530
275,66.95,67,66.95,67,500
276,66.9,66.9,66.9,66.9,100
277,66.9,66.9,66.9,66.9,100
278,66.85,66.85,66.85,66.85,100
282,66.9,66.9,66.9,66.9,100
283,66.8,66.9,66.8,66.85,575
285,66.75,66.8,66.75,66.75,500
286,66.75,66.8,66.75,66.8,300
288,66.75,66.75,66.75,66.75,100
289,66.7,66.7,66.7,66.7,100
290,66.7,66.7,66.7,66.7,300
291,66.75,66.75,66.75,66.75,100
293,66.7,66.8,66.7,66.75,3286
295,66.85,66.85,66.85,66.85,100
297,66.85,66.85,66.85,66.85,300
301,66.65,66.7,66.65,66.7,300
302,66.75,66.75,66.75,66.75,200
303,66.8,66.8,66.7,66.7,300
304,66.775,66.775,66.775,66.775,175
307,66.7,66.7,66.7,66.7,100
308,66.625,66.625,66.625,66.625,100
309,66.75,66.75,66.65,66.65,700
310,66.775,66.775,66.775,66.775,100
314,66.825,66.825,66.825,66.825,101
316,66.8,66.8,66.8,66.8,200
317,66.7,66.7,66.7,66.7,100
318,66.8,66.8,66.8,66.8,100
319,66.75,66.75,66.75,66.75,100
320,66.8,66.8,66.8,66.8,101
327,66.8,66.8,66.8,66.8,103
328,66.85,66.85,66.85,66.85,300
330,66.9,66.9,66.9,66.9,100
331,66.9,66.9,66.9,66.9,100
332,66.85,66.95,66.85,66.95,300
333,66.9,66.9,66.9,66.9,163
334,66.95,66.95,66.95,66.95,350
