EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,13.95,13.95,13.95,13.95,680
12,13.95,13.95,13.95,13.95,500
14,13.92,13.92,13.92,13.92,1000
15,13.9001,13.9001,13.9001,13.9001,300
34,13.9102,13.9102,13.9102,13.9102,1137
36,13.93,13.93,13.93,13.93,1000
40,13.9,13.9,13.9,13.9,100
62,13.92,13.92,13.92,13.92,100
63,13.9399,13.9399,13.9399,13.9399,2000
115,13.93,13.93,13.9101,13.9283,2518
134,13.9177,13.9177,13.9177,13.9177,1137
139,13.91,13.91,13.91,13.91,100
148,13.9253,13.9253,13.9253,13.9253,1300
171,13.91,13.91,13.91,13.91,100
191,13.915,13.915,13.91,13.91,300
194,13.91,13.91,13.91,13.91,300
239,13.91,13.91,13.91,13.91,100
252,13.9201,13.9201,13.9201,13.9201,200
261,13.91,13.92,13.91,13.92,1000
283,13.91,13.91,13.91,13.91,100
295,13.9001,13.9001,13.9001,13.9001,175
307,13.9,13.9,13.9,13.9,100
311,13.92,13.92,13.9,13.9121,3997
325,13.9137,13.9137,13.9137,13.9137,294
334,13.9149,13.9149,13.9,13.9,1400
345,13.8866,13.8866,13.8866,13.8866,575
379,13.88,13.88,13.88,13.88,325
380,13.8899,13.8899,13.8899,13.8899,202
381,13.87,13.87,13.87,13.87,101
389,13.8835,13.8835,13.8835,13.8835,295
a1520346900,13.9,13.9,13.87,13.87,500
10,13.8995,13.8995,13.8995,13.8995,1460
23,13.9221,13.94,13.9,13.91,3409
43,13.9291,13.9291,13.9291,13.9291,738
53,13.935,13.935,13.935,13.935,463
85,13.9139,13.94,13.9139,13.94,1200
91,13.9329,13.9329,13.9329,13.9329,1520
114,13.934,13.934,13.934,13.934,150
160,13.91,13.91,13.9,13.91,2000
181,13.9166,13.9166,13.9166,13.9166,1600
203,13.91,13.91,13.91,13.91,300
225,13.93,13.935,13.92,13.92,1854
227,13.9468,13.9468,13.9468,13.9468,700
268,13.9366,13.9366,13.9366,13.9366,933
329,13.944,13.944,13.944,13.944,100
350,13.9396,13.9396,13.9396,13.9396,518
362,13.9417,13.9417,13.9417,13.9417,1434
375,13.9418,13.9418,13.9418,13.9418,300
377,13.9376,13.9376,13.9376,13.9376,117
a1520433000,14.02,14.02,14.02,14.02,403
12,13.9777,13.9777,13.9777,13.9777,364
29,13.98,13.98,13.98,13.98,100
34,14,14,14,14,100
88,14,14,14,14,528
89,13.9779,13.9779,13.9779,13.9779,331
130,13.9999,13.9999,13.9999,13.9999,450
148,13.9847,13.9847,13.9847,13.9847,990
151,13.97,13.97,13.97,13.97,100
155,13.97,13.97,13.97,13.97,100
179,13.9602,13.9602,13.9602,13.9602,100
212,13.95,13.95,13.95,13.95,400
245,13.96,13.96,13.96,13.96,385
270,13.95,13.95,13.95,13.95,392
312,13.92,13.93,13.92,13.93,2546
326,13.9307,13.9307,13.9307,13.9307,188
342,13.9221,13.9221,13.9221,13.9221,500
345,13.945,13.97,13.9339,13.935,4300
352,13.96,13.99,13.9497,13.97,1410
360,13.9647,13.9647,13.9647,13.9647,635
368,13.98,13.98,13.975,13.975,1000
a1520519520,14.05,14.05,14.05,14.05,3325
6,14.04,14.04,14.04,14.04,300
45,14.02,14.02,14.02,14.02,106
53,14.03,14.03,14.03,14.03,200
56,14.042,14.05,14.042,14.05,600
84,14.0405,14.0405,14.04,14.04,1200
92,14.04,14.04,14.04,14.04,100
102,14.032,14.032,14.032,14.032,100
203,14.0338,14.0338,14.0338,14.0338,500
225,14.04,14.04,14.04,14.04,100
247,14.0237,14.0332,14.0237,14.03,600
252,14.02,14.0217,14,14.02,4621
271,14.0186,14.0186,14.0186,14.0186,100
272,14.02,14.02,14.02,14.02,200
281,14.02,14.02,14.02,14.02,200
293,14.02,14.02,14.02,14.02,100
299,14.004,14.02,14.004,14.02,1100
306,14.0372,14.0372,14.03,14.03,200
310,14.0379,14.0379,14.0379,14.0379,100
321,14.01,14.01,14.01,14.01,200
344,14.0258,14.0258,14.0258,14.0258,973
350,14.0379,14.0379,14.0379,14.0379,200
357,14.025,14.025,14.025,14.025,154
370,14.0379,14.0379,14.0379,14.0379,200
376,14.0307,14.0307,14.0307,14.0307,712
385,14.04,14.04,14.04,14.04,200
387,14.01,14.01,14.01,14.01,100
a1520605800,14.04,14.04,14.04,14.04,214
54,14.02,14.02,14,14.02,800
73,14.02,14.02,14.02,14.02,100
77,14.0093,14.01,14.0093,14.01,500
78,14,14,14,14,1757
85,13.98,13.9932,13.98,13.99,431
104,13.9957,13.9957,13.9957,13.9957,857
123,13.99,14,13.99,13.9952,1380
127,13.999,13.999,13.999,13.999,230
146,13.98,13.9811,13.98,13.9811,500
154,13.9901,13.9901,13.9901,13.9901,804
155,13.99,13.9986,13.99,13.9986,900
157,14,14,14,14,300
180,14.0199,14.0199,14.0199,14.0199,510
196,14.0299,14.0299,14.0299,14.0299,145
198,14.03,14.03,14.03,14.03,450
218,14.03,14.03,14.03,14.03,100
235,14.0394,14.04,14.039,14.039,3500
246,14.0301,14.0301,14.0301,14.0301,200
262,14.049,14.049,14.04,14.04,712
300,14.0336,14.0336,14.0336,14.0336,278
318,14.0365,14.0365,14.0365,14.0365,714
326,14.0486,14.0486,14.0486,14.0486,200
332,14.04,14.04,14.0301,14.0301,400
341,14.0475,14.0475,14.0475,14.0475,1400
388,14.04,14.04,14.04,14.04,100
TIMEZONE_OFFSET=-240
a1520861400,13.99,13.99,13.99,13.99,261
38,14.04,14.04,14,14,1400
42,14.01,14.01,14.01,14.01,100
44,14.01,14.01,14,14.01,300
68,13.995,13.995,13.991,13.991,1508
71,14.0139,14.02,14.0139,14.02,1340
107,13.98,13.991,13.9772,13.991,2374
163,13.9851,13.9851,13.9851,13.9851,1000
216,14.0052,14.0052,14.0052,14.0052,300
219,13.99,13.99,13.99,13.99,100
230,14,14,13.98,13.98,1600
250,14.0145,14.0145,14.0145,14.0145,535
265,13.9827,13.9827,13.98,13.98,743
271,14,14.02,14,14.02,500
282,14,14,14,14,941
284,14.0052,14.0052,14.0052,14.0052,553
286,14.019,14.019,14.019,14.019,1500
309,14,14.02,14,14.02,200
311,13.99,13.9952,13.99,13.9952,929
321,14.01,14.01,14.01,14.01,100
322,14.0265,14.0265,14.01,14.01,328
352,14.0038,14.0038,14.0038,14.0038,300
360,13.9801,13.9801,13.9801,13.9801,1341
