EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,145.46,145.46,145.46,145.46,1336
2,145.6091,145.6091,145.6091,145.6091,137
7,145.5789,145.5789,145.08,145.08,225
10,145.869,145.87,145.67,145.67,900
11,146.319,146.319,145.989,145.999,950
12,145.765,146.309,145.765,146.309,200
16,146.27,146.27,146.21,146.21,200
17,146.225,146.225,146.22,146.22,200
18,146.18,146.22,146.15,146.22,900
19,146.16,146.18,145.54,146.18,300
20,146.04,146.04,144.95,145.47,1000
21,145.99,146.01,145.7367,145.7367,1550
22,145.5667,145.94,145.5667,145.94,345
23,145.839,145.839,145.839,145.839,100
24,144.985,144.985,144.985,144.985,100
26,145.519,145.52,144.93,145.2,2252
27,145.52,145.52,145.52,145.52,100
28,146.06,146.06,145.52,145.52,400
29,146.139,146.139,146.139,146.139,200
30,145.54,145.84,145.54,145.7908,800
31,145.26,145.31,145.26,145.31,300
32,145.09,145.09,145.09,145.09,300
37,145.46,145.46,145.39,145.39,200
38,144.66,144.93,144.63,144.93,500
40,144.4926,144.62,144.01,144.54,1461
41,144.86,144.86,144.86,144.86,100
42,144.875,144.875,144.875,144.875,300
43,144.445,144.445,144.445,144.445,100
44,144.14,144.14,144.14,144.14,100
45,144.665,144.665,144.665,144.665,100
46,145.219,145.219,144.08,144.69,5950
47,145.229,145.239,145.229,145.239,200
48,145.22,145.22,145.22,145.22,200
49,145.2,145.2,145.2,145.2,100
50,145.19,145.19,145.19,145.19,300
51,145.19,145.19,145.19,145.19,200
53,145.13,145.13,144.7,144.7,200
54,144.75,145.099,144.75,145.099,200
55,144.92,144.93,144.92,144.93,200
56,144.69,144.94,144.66,144.94,1807
58,144.87,144.87,144.87,144.87,100
59,144.85,144.85,144.85,144.85,100
61,144.769,144.78,144.769,144.78,200
65,144.44,144.44,144.44,144.44,100
66,144.63,144.63,144.63,144.63,100
67,144.75,144.79,144.74,144.74,898
69,144.94,144.94,144.93,144.93,200
71,144.95,144.95,144.7316,144.7316,2100
72,144.9,144.95,144.9,144.95,200
74,144.39,144.73,144.39,144.73,4033
75,144.86,144.86,144.86,144.86,200
76,144.84,144.859,144.84,144.859,200
77,144.789,144.789,144.74,144.74,300
78,144.79,144.79,144.79,144.79,100
79,144.74,144.74,144.385,144.385,300
80,144.739,144.739,144.739,144.739,100
82,144.679,144.679,144.679,144.679,100
83,144.11,144.39,144.11,144.37,1700
85,143.83,144.275,143.83,144.275,1500
87,144.155,144.155,144.155,144.155,100
95,144.05,144.05,144.05,144.05,100
96,143.9,144.4,143.9,144.3,4276
97,144.82,144.82,144.4,144.4,737
98,144.91,144.91,144.6,144.83,600
99,144.99,144.99,144.99,144.99,800
100,145,145,144.99,144.99,200
101,145.075,145.15,145,145,500
102,145,145,145,145,100
103,145.055,145.11,145,145,535
104,145.17,145.18,145,145,800
107,145,145,145,145,100
109,145.08,145.08,145.08,145.08,200
111,145.15,145.15,145.15,145.15,100
112,145,145,145,145,100
115,144.99,144.99,144.99,144.99,300
117,144.85,144.85,144.7,144.7,200
118,144.85,144.85,144.85,144.85,300
119,144.86,144.899,144.83,144.899,1000
123,144.79,144.8,144.72,144.8,3200
124,145.349,145.36,144.85,144.869,5258
125,145.045,145.32,144.91,144.91,600
127,145.215,145.35,145.06,145.1,1400
128,145.01,145.36,145,145.06,2631
129,145.5,145.5,145.03,145.135,995
130,146.81,146.81,145.5,145.5,4180
131,146.989,146.989,146.47,146.809,900
132,146.98,146.98,146.89,146.89,200
133,147.029,147.03,147.029,147.03,200
134,146.665,147.029,146.66,147.029,1300
139,146.58,146.745,146.46,146.7,2501
140,146.5,146.5,146.5,146.5,300
141,146.33,146.415,146.14,146.415,1200
142,146.59,146.59,146.27,146.27,1173
143,146.489,146.589,146.489,146.589,200
144,146.355,146.355,146.22,146.22,472
147,146.2,146.2,145.94,145.94,604
148,145.8,145.97,145.8,145.8,900
149,145.78,145.8253,145.78,145.8253,531
150,145.75,145.75,145.75,145.75,200
151,145.98,145.98,145.93,145.93,650
153,146.315,146.489,146.05,146.05,600
154,146.21,146.315,146.01,146.21,1400
155,146.34,146.34,146.34,146.34,100
160,146.15,146.2,146.15,146.2,401
161,146.419,146.42,146.34,146.42,400
162,146.6,146.809,146.21,146.42,1000
163,146.49,146.655,146.26,146.655,1700
164,146.619,146.619,146.619,146.619,100
165,146.13,146.355,146.13,146.35,1095
166,146.1,146.1,146.05,146.05,245
169,145.99,145.99,145.99,145.99,300
170,146.09,146.09,146.09,146.09,100
171,146.09,146.09,146.09,146.09,100
172,145.69,146.1,145.69,146.1,1250
173,145.97,145.97,145.69,145.69,388
174,145.99,145.99,145.73,145.73,757
175,146,146,146,146,150
176,146.17,146.17,146.17,146.17,100
177,146,146.01,146,146.01,800
179,145.73,145.82,145.73,145.81,1040
181,146.02,146.02,146.02,146.02,100
182,145.78,146.13,145.72,146.13,709
183,145.72,145.72,145.72,145.72,300
184,146.06,146.06,145.75,145.75,733
186,145.98,145.98,145.9,145.9,600
187,145.89,145.98,145.85,145.98,656
192,146.07,146.07,146.07,146.07,100
193,145.945,146.08,145.945,146.08,200
196,145.96,145.96,145.96,145.96,300
198,145.9369,145.9369,145.9369,145.9369,202
199,145.84,145.84,145.84,145.84,100
201,146.11,146.21,145.95,145.96,3000
202,146.24,146.24,146.24,146.24,100
204,146.225,146.59,146.1,146.4325,5500
206,146.225,146.27,146.17,146.27,300
215,146.515,146.65,146.345,146.39,1902
216,146.42,146.42,146.42,146.42,100
217,146.02,146.47,146,146.46,2100
218,146.295,146.3,146.05,146.09,1475
219,146.61,146.61,146.61,146.61,100
221,146.765,146.7725,146.58,146.6,1900
222,146.47,146.64,146.43,146.64,1100
227,146.17,146.17,146.17,146.17,200
230,146.19,146.2,146.19,146.2,800
231,145.8,145.8,145.8,145.8,100
234,146.18,146.18,146.1,146.1,528
235,146.42,146.425,146.42,146.425,200
239,146.6,146.6,146.6,146.6,100
242,145.98,146.17,145.98,146.17,785
244,145.8223,145.8223,145.8223,145.8223,770
246,145.96,145.96,145.96,145.96,125
247,146.18,146.18,145.97,146.03,1001
249,146.236,146.236,146.236,146.236,200
250,146.175,146.195,146.1,146.195,1000
252,146.165,146.165,146.15,146.15,300
254,146.165,146.165,146.165,146.165,100
255,145.99,146.03,145.99,146.01,300
256,145.94,145.94,145.93,145.94,400
