EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1520260200,591.2,591.2,591.2,591.2,737
1,587.6401,587.6401,587.6401,587.6401,100
3,594,594,594,594,100
18,595,595,595,595,255
34,594.775,594.775,593.25,593.25,300
36,594.445,595.05,593.1,593.1,900
37,596.56,596.56,596.56,596.56,200
39,596.5,596.85,596.5,596.85,200
90,598.3,598.3,598.28,598.28,200
91,598.58,598.58,597.635,598.5,400
104,601.005,601.005,600.925,600.925,200
112,600.9995,600.9995,600.99,600.99,200
113,602.25,602.26,602.25,602.25,500
116,603.855,603.855,603.855,603.855,100
117,603.307,603.44,602.8005,602.81,646
122,602.51,602.51,602.51,602.51,100
127,602.1505,602.7,602.15,602.7,1490
128,602.0005,602.205,602.0005,602.205,200
130,602.7495,602.7495,602.69,602.69,300
131,603.55,603.55,603.32,603.32,200
155,603.65,603.65,603.65,603.65,300
164,604.25,604.25,604.25,604.25,100
165,604.055,604.055,604.05,604.05,200
166,604.05,604.05,604.05,604.05,100
184,604.4,604.4,604.4,604.4,114
194,603.59,603.595,603.59,603.595,200
206,606,606,605.225,605.46,400
210,606.72,606.72,606.67,606.67,200
218,608.0637,608.0637,608.0637,608.0637,100
229,608.62,608.62,607.8905,607.8905,600
230,609.02,609.02,608.49,608.85,1000
234,610.34,610.34,610.34,610.34,100
236,609.2,609.2,609.2,609.2,200
241,609.335,609.335,609.335,609.335,100
252,609.9,609.9,609.9,609.9,100
255,609.73,611.218,609.73,611.218,200
265,610.84,610.84,610.84,610.84,100
273,610.69,610.69,610.69,610.69,100
276,610.37,610.37,610.37,610.37,100
277,610.01,610.01,610.01,610.01,100
281,610.06,610.06,610.06,610.06,100
283,608.95,610.1,608.94,610.1,700
324,609.0012,609.025,608.9,608.9,300
326,608.86,608.86,608.86,608.86,100
329,609.04,609.04,608.83,608.925,800
330,609.85,609.85,609.85,609.85,100
335,611.54,611.54,610.84,610.84,400
336,613.7,613.7,613.7,613.7,100
337,613.7,613.7,613.27,613.27,200
339,614.985,614.985,614.985,614.985,100
340,613.58,613.65,613.58,613.65,200
341,613.75,613.86,612.91,612.96,600
343,612.25,612.33,612.25,612.33,200
344,612.021,612.021,612.021,612.021,108
348,612.02,612.02,612.02,612.02,100
349,613.79,613.79,613.79,613.79,100
352,614.9,614.9,614.9,614.9,100
353,615.1,615.19,615.1,615.19,300
356,614.1,616.2,613.94,616.2,400
357,614.49,614.49,614.49,614.49,100
359,613.01,613.01,613.01,613.01,100
360,614,614,614,614,100
362,613.0105,613.475,613.0105,613.475,400
363,613.2095,613.2095,613.2,613.2,200
364,615.56,615.56,613.3,613.3,521
365,615.475,615.475,615.475,615.475,100
373,616.95,616.95,616.95,616.95,100
374,616.41,616.41,616.41,616.41,100
375,616.96,616.96,616.96,616.96,200
377,617.9995,618.455,616.18,616.28,1400
378,616.02,618.27,616.02,618.27,200
381,616,616.36,616,616.36,200
382,616.05,616.85,616.05,616.85,300
384,616,616.94,616,616.94,600
387,616.17,616.24,616.1,616.24,457
388,616.19,616.19,616.15,616.15,300
389,617.18,617.18,616.655,616.655,200
390,615.34,617.105,615.16,617.105,2408
a1520346600,617.55,617.55,617.55,617.55,502
2,618.83,619.18,618.83,619.18,600
7,618.85,618.91,618.825,618.825,500
8,619.8275,619.8275,618.38,618.54,300
14,616.9,618.25,616.9,618.25,1219
18,615,615,614.18,614.18,200
19,611.16,611.16,611.16,611.16,100
24,616.4,616.4,616.4,616.4,100
25,617.61,617.61,617.6,617.6,200
26,619.55,620.49,619.55,620.49,200
27,621.7,621.7,618.3,618.31,300
28,620.6,620.6,618.01,618.01,200
29,621,621,620.7,620.7,200
30,620.22,620.22,620.22,620.22,100
31,618.16,620.15,618.16,619.615,500
40,618.53,618.53,618.53,618.53,100
42,617.82,617.82,617.82,617.82,100
43,618.63,618.63,618.06,618.06,1100
44,619,619.005,619,619.005,1600
46,618.5935,618.5935,618.47,618.47,200
48,618.56,618.56,618.56,618.56,200
51,618.31,618.31,618.31,618.31,100
52,618,618,618,618,800
56,618.44,618.44,618.44,618.44,100
65,618.05,619.58,618.05,619.58,200
66,618.97,618.97,618.97,618.97,100
67,618.96,618.96,618.96,618.96,100
71,618.49,618.49,618.49,618.49,100
73,619.34,619.34,619.34,619.34,100
75,619.3,619.3,619.3,619.3,100
77,619.22,619.22,619.22,619.22,100
80,618.14,618.45,618.14,618.45,500
81,618.64,618.64,618.64,618.64,100
93,617.95,617.95,617.95,617.95,100
96,617.95,617.95,617.95,617.95,100
98,619.16,619.16,619.16,619.16,100
99,618.93,618.93,618.16,618.16,600
102,617.74,618.32,617.74,618.32,200
103,617.68,617.68,617.68,617.68,100
108,618.72,618.72,618.72,618.72,100
109,618.53,619.09,618.45,618.45,1400
113,619.43,619.47,619.43,619.47,200
115,618.14,619.065,618.14,619.065,300
120,618.98,618.98,618.98,618.98,100
121,617.64,618.9,617.64,618.9,1510
123,618.95,618.95,618.95,618.95,100
127,618.95,618.95,618.94,618.94,387
129,619.78,619.78,619.78,619.78,100
130,620.88,620.88,619.91,619.95,800
132,620.3572,620.685,620.05,620.05,500
133,621.59,621.59,621.59,621.59,100
135,620.411,620.411,620.411,620.411,135
140,623.79,623.79,623.79,623.79,100
141,622.7,623.84,622.7,623.84,500
142,622.64,623.84,622.6,622.61,1500
143,622.48,622.7,622.48,622.7,300
144,622.88,622.88,622.88,622.88,100
153,624.91,624.91,624.91,624.91,100
156,623.525,623.72,622.9,623.495,400
157,623.44,623.44,622.35,622.35,200
158,623.44,623.45,623.44,623.45,200
159,623.565,623.645,623.565,623.645,200
163,624.15,624.15,624.15,624.15,115
166,625.15,625.89,625.09,625.17,600
168,624.45,624.55,624.45,624.55,500
170,624.6,624.6,624.6,624.6,100
176,623.975,623.975,623.975,623.975,213
178,623.06,623.06,623.06,623.06,100
179,623.11,623.11,623.11,623.11,100
181,623.05,623.05,623.05,623.05,100
182,623,623,623,623,200
184,622.84,622.84,622.84,622.84,100
190,624.18,624.18,624.18,624.18,155
192,624.39,624.39,624.39,624.39,100
193,623.67,623.67,623.67,623.67,100
194,625.2,625.295,624.5,624.5,500
195,628.025,628.025,628.025,628.025,100
203,627.65,627.65,627.65,627.65,100
206,628.8105,629.2,628.8105,629.2,200
211,629.12,630.285,629.12,629.47,900
212,627.02,628.0068,627.02,627.755,300
